name,startdate,enddate,description,image,offers
0,0,0,-1,-1,0
1,1,1,1,-1,0
2,2,2,2,-1,0
3,3,3,-1,-1,0
4,4,4,-1,-1,0
5,5,5,-1,-1,0
6,6,6,2,-1,0
7,7,7,-1,-1,0
8,8,8,-1,-1,0
8,9,8,-1,-1,0
9,10,9,-1,-1,0
10,11,10,3,-1,0
11,12,11,4,-1,0
12,13,12,-1,-1,0
13,14,13,4,-1,0
14,15,14,-1,-1,0
15,16,15,5,-1,0
16,17,16,-1,-1,0
17,18,17,6,-1,0
18,19,18,-1,-1,0
18,20,18,-1,-1,0
19,21,19,-1,-1,0
19,22,19,-1,-1,0
20,23,20,6,-1,0
21,24,21,-1,-1,0
22,25,22,6,-1,0
23,26,23,-1,-1,0
23,27,23,-1,-1,0
24,28,24,-1,-1,0
25,29,25,7,-1,0
26,30,26,8,-1,0
27,31,27,-1,-1,0
28,32,28,-1,-1,0
29,33,29,8,-1,0
30,34,30,-1,-1,0
31,35,31,8,-1,0
32,36,32,-1,-1,0
32,37,32,-1,-1,0
33,38,33,9,-1,0
34,39,34,-1,-1,0
35,40,35,-1,-1,0
36,41,36,-1,-1,0
37,42,37,-1,-1,0
38,43,38,9,-1,0
39,44,39,-1,-1,0
40,45,40,10,-1,0
41,45,40,10,-1,0
42,46,41,-1,-1,0
42,46,41,-1,-1,0
43,47,42,-1,-1,0
44,48,43,-1,-1,0
45,49,44,10,-1,0
46,50,45,-1,-1,0
47,51,46,10,-1,0
48,52,47,-1,-1,0
49,53,48,11,-1,0
50,54,49,-1,-1,0
51,55,50,-1,-1,0
52,56,51,12,-1,0
53,57,52,-1,-1,0
54,58,53,13,-1,0
55,59,54,-1,-1,0
56,60,55,-1,-1,0
57,61,56,14,-1,0
58,61,56,14,-1,0
59,62,57,-1,-1,0
60,63,58,-1,-1,0
61,64,59,15,-1,0
62,65,60,-1,-1,0
63,66,61,-1,-1,0
64,67,62,16,-1,0
65,68,63,-1,-1,0
65,69,63,-1,-1,0
65,70,63,-1,-1,0
66,71,64,16,-1,0
67,72,65,-1,-1,0
68,73,66,-1,-1,0
69,74,67,17,-1,0
70,75,68,-1,-1,0
71,76,69,18,-1,0
72,77,70,-1,-1,0
73,78,71,-1,-1,0
73,79,71,-1,-1,0
74,80,72,19,-1,0
75,81,73,-1,-1,0
76,82,74,20,-1,0
77,82,74,20,-1,0
78,83,75,-1,-1,0
78,84,75,-1,-1,0
78,85,75,-1,-1,0
79,86,76,-1,-1,0
80,87,77,20,-1,0
81,88,78,-1,-1,0
82,89,79,20,-1,0
83,90,80,21,-1,0
84,91,81,-1,-1,0
85,92,82,22,-1,0
86,93,83,23,-1,0
87,94,84,-1,-1,0
88,95,85,-1,-1,0
89,96,86,-1,-1,0
90,97,87,-1,-1,0
90,98,87,-1,-1,0
91,99,88,24,-1,0
92,100,89,-1,-1,0
93,101,90,24,-1,0
94,102,91,-1,-1,0
95,103,92,24,-1,0
96,104,93,-1,-1,0
97,105,94,-1,-1,0
98,106,95,25,-1,0
99,107,96,-1,-1,0
100,108,97,-1,-1,0
101,109,98,25,-1,0
102,110,99,-1,-1,0
103,111,100,-1,-1,0
104,112,101,-1,-1,0
105,113,102,26,-1,0
106,114,103,-1,-1,0
107,115,104,26,-1,0
108,116,105,27,-1,0
109,117,106,28,-1,0
110,118,107,-1,-1,0
111,119,108,-1,-1,0
112,120,109,-1,-1,0
113,121,110,-1,-1,0
114,122,111,-1,-1,0
115,123,112,28,-1,0
116,124,113,-1,-1,0
117,125,114,-1,-1,0
118,126,115,29,-1,0
119,127,116,30,-1,0
120,128,117,-1,-1,0
121,129,118,-1,-1,0
122,130,119,30,-1,0
123,131,120,-1,-1,0
124,132,121,-1,-1,0
125,133,122,31,-1,0
126,134,123,32,-1,0
127,135,124,-1,-1,0
127,136,124,-1,-1,0
127,137,124,-1,-1,0
128,138,125,-1,-1,0
129,139,126,32,-1,0
130,140,127,-1,-1,0
131,141,128,32,-1,0
