name,startdate,enddate,location
0,0,0,0
1,1,1,0
2,1,1,0
3,2,2,0
4,3,3,0
5,4,4,0
6,5,5,0
7,5,5,0
8,5,5,0
9,5,5,0
10,6,6,0
11,6,6,0
12,6,6,0
13,6,6,0
14,6,6,0
15,6,6,0
16,6,6,0
17,6,6,0
18,6,6,0
19,6,6,0
20,6,6,0
21,6,6,0
22,6,6,0
23,6,6,0
24,6,6,0
25,6,6,0
26,6,6,0
27,7,7,0
28,7,7,0
29,7,7,0
30,7,7,0
31,7,7,0
32,7,7,0
33,7,7,0
34,7,7,0
35,7,7,0
36,7,7,0
37,7,7,0
38,7,7,0
39,8,8,0
40,8,8,0
41,9,9,0
42,10,10,0
43,11,11,0
44,12,12,0
45,13,13,0
46,14,14,0
47,15,15,0
48,15,15,0
49,15,15,0
50,15,15,0
51,16,16,0
52,17,17,0
53,18,18,0
54,19,19,0
55,20,20,0
56,20,20,0
57,20,21,0
58,20,21,0
59,21,22,0
60,22,23,0
61,22,23,0
62,23,24,0
63,23,24,0
64,23,24,0
65,23,24,0
66,23,24,0
67,23,24,0
68,23,24,0
69,23,24,0
70,24,25,0
71,25,26,0
72,25,26,0
73,26,27,0
74,26,27,0
75,26,27,0
76,26,27,0
77,26,27,0
78,26,27,0
79,26,27,0
80,26,27,0
81,26,27,0
82,26,27,0
83,26,27,0
84,26,27,0
85,26,27,0
86,26,27,0
87,26,27,0
88,26,27,0
89,26,27,0
90,26,27,0
91,26,27,0
92,26,27,0
93,27,28,0
94,27,28,0
95,28,29,0
96,28,30,0
97,28,30,0
98,29,31,0
99,30,32,0
100,30,32,0
101,30,32,0
102,30,32,0
103,30,32,0
104,30,32,0
105,30,32,0
106,30,32,0
107,31,33,0
108,31,33,0
109,31,33,0
110,31,33,0
111,31,33,0
112,32,34,0
113,33,35,0
114,34,36,0
115,34,36,0
116,35,37,0
117,36,38,0
118,36,38,0
119,36,38,0
120,36,38,0
121,36,38,0
122,36,38,0
123,36,38,0
124,36,38,0
125,36,38,0
126,36,38,0
127,36,38,0
128,36,38,0
129,36,38,0
130,36,38,0
131,36,38,0
132,36,38,0
133,37,39,0
134,37,39,0
135,37,40,0
136,38,41,0
137,39,42,0
138,39,42,0
139,39,42,0
140,39,42,0
141,39,42,0
142,39,42,0
143,39,42,0
144,39,42,0
145,39,42,0
146,39,42,0
147,40,43,0
148,40,43,0
149,40,43,0
150,40,43,0
151,40,43,0
152,40,43,0
153,40,43,0
154,40,43,0
155,41,44,0
156,41,44,0
157,42,45,0
158,42,46,0
159,43,47,0
160,44,48,0
161,44,48,0
162,44,48,0
163,44,48,0
164,44,48,0
165,44,48,0
166,45,49,0
167,46,50,0
168,47,51,0
169,48,52,0
170,48,52,0
171,48,52,0
172,48,52,0
173,48,52,0
174,48,52,0
175,48,52,0
176,48,52,0
177,48,52,0
178,48,52,0
179,48,52,0
180,48,52,0
181,49,53,0
182,49,53,0
183,50,54,0
184,50,54,0
185,50,54,0
186,51,55,0
187,52,56,0
188,52,56,0
189,52,56,0
190,52,56,0
191,52,56,0
192,53,57,0
