name,startdate,enddate,location,offers,organizer
0,0,0,-1,-1,-1
0,1,1,-1,-1,-1
1,2,2,-1,-1,-1
1,3,3,-1,-1,-1
1,4,4,-1,-1,-1
1,5,5,-1,-1,-1
1,6,6,-1,-1,-1
2,7,7,-1,-1,-1
3,8,8,-1,-1,-1
3,9,9,-1,-1,-1
3,10,10,-1,-1,-1
3,11,11,-1,-1,-1
4,12,12,-1,-1,-1
4,13,13,-1,-1,-1
4,14,14,-1,-1,-1
4,15,15,-1,-1,-1
4,16,16,-1,-1,-1
5,17,17,-1,-1,-1
6,18,18,-1,-1,-1
6,19,19,-1,-1,-1
7,20,20,-1,-1,-1
8,21,21,-1,-1,-1
8,22,22,-1,-1,-1
8,23,23,-1,-1,-1
8,24,24,-1,-1,-1
8,25,25,-1,-1,-1
9,26,26,-1,-1,-1
9,27,27,-1,-1,-1
9,28,28,-1,-1,-1
9,29,29,-1,-1,-1
9,30,30,-1,-1,-1
9,31,31,-1,-1,-1
9,32,32,-1,-1,-1
9,33,33,-1,-1,-1
9,34,34,-1,-1,-1
9,35,35,-1,-1,-1
9,36,36,-1,-1,-1
9,37,37,-1,-1,-1
9,38,38,-1,-1,-1
9,39,39,-1,-1,-1
9,40,40,-1,-1,-1
9,41,41,-1,-1,-1
9,42,42,-1,-1,-1
9,43,43,-1,-1,-1
9,44,44,-1,-1,-1
9,45,45,-1,-1,-1
9,46,46,-1,-1,-1
9,47,47,-1,-1,-1
9,48,48,-1,-1,-1
9,49,49,-1,-1,-1
9,50,50,-1,-1,-1
10,51,51,-1,-1,-1
10,52,52,-1,-1,-1
10,53,53,-1,-1,-1
10,54,54,-1,-1,-1
10,55,55,-1,-1,-1
11,56,56,-1,-1,-1
11,57,57,-1,-1,-1
11,58,58,-1,-1,-1
11,59,59,-1,-1,-1
11,60,60,-1,-1,-1
12,61,61,-1,-1,-1
12,62,62,-1,-1,-1
13,63,63,-1,-1,-1
14,64,64,-1,-1,-1
14,65,65,-1,-1,-1
14,66,66,-1,-1,-1
14,67,67,-1,-1,-1
14,68,68,-1,-1,-1
15,69,69,-1,-1,-1
16,70,70,-1,-1,-1
16,71,71,-1,-1,-1
17,72,72,-1,-1,-1
17,73,73,-1,-1,-1
17,74,74,-1,-1,-1
17,75,75,-1,-1,-1
17,76,76,-1,-1,-1
18,77,77,-1,-1,-1
18,78,78,-1,-1,-1
18,79,79,-1,-1,-1
18,80,80,-1,-1,-1
18,81,81,-1,-1,-1
18,82,82,-1,-1,-1
18,83,83,-1,-1,-1
18,84,84,-1,-1,-1
18,85,85,-1,-1,-1
18,86,86,-1,-1,-1
18,87,87,-1,-1,-1
18,88,88,-1,-1,-1
18,89,89,-1,-1,-1
18,90,90,-1,-1,-1
18,91,91,-1,-1,-1
18,92,92,-1,-1,-1
18,93,93,-1,-1,-1
18,94,94,-1,-1,-1
18,95,95,-1,-1,-1
18,96,96,-1,-1,-1
18,97,97,-1,-1,-1
18,98,98,-1,-1,-1
18,99,99,-1,-1,-1
18,100,100,-1,-1,-1
18,101,101,-1,-1,-1
19,102,102,-1,-1,-1
19,103,103,-1,-1,-1
19,104,104,-1,-1,-1
19,105,105,-1,-1,-1
