startdate,enddate,location,eventattendancemode,organizer,performer
0,0,0,0,0,0
0,1,0,0,0,0
0,2,0,0,0,0
0,3,0,0,0,0
0,4,0,0,0,0
0,5,0,0,0,0
0,6,0,0,0,0
0,7,0,0,0,0
0,8,0,0,0,0
0,9,0,0,0,0
0,10,0,0,0,0
0,11,0,0,0,0
0,11,0,0,0,0
1,12,0,0,0,0
2,13,0,0,0,0
3,14,0,0,0,0
4,15,0,0,0,0
4,16,0,0,0,0
4,17,0,0,0,0
4,18,0,0,0,0
4,19,0,0,0,0
5,20,0,0,0,0
6,21,0,0,0,0
7,22,0,0,0,0
8,23,0,0,0,0
9,24,0,0,0,0
10,25,0,0,0,0
11,26,0,0,0,0
12,27,0,0,0,0
12,28,0,0,0,0
12,29,0,0,0,0
12,30,0,0,0,0
12,31,0,0,0,0
12,32,0,0,0,0
12,33,0,0,0,0
12,34,0,0,0,0
13,35,0,0,0,0
14,36,0,0,0,0
14,37,0,0,0,0
14,37,0,0,0,0
14,38,0,0,0,0
14,39,0,0,0,0
14,40,0,0,0,0
14,41,0,0,0,0
14,42,0,0,0,0
14,43,0,0,0,0
14,44,0,0,0,0
14,45,0,0,0,0
14,46,0,0,0,0
14,47,0,0,0,0
14,48,0,0,0,0
14,49,0,0,0,0
14,50,0,0,0,0
15,51,0,0,0,0
16,52,0,0,0,0
17,53,0,0,0,0
18,54,0,0,0,0
18,55,0,0,0,0
19,56,0,0,0,0
20,57,0,0,0,0
21,58,0,0,0,0
22,59,0,0,0,0
23,60,0,0,0,0
23,61,0,0,0,0
23,62,0,0,0,0
24,63,0,0,0,0
24,64,0,0,0,0
24,64,0,0,0,0
24,65,0,0,0,0
24,66,0,0,0,0
24,66,0,0,0,0
24,67,0,0,0,0
25,68,0,0,0,0
25,69,0,0,0,0
26,70,0,0,0,0
27,71,0,0,0,0
28,72,0,0,0,0
29,73,0,0,0,0
30,74,0,0,0,0
31,75,0,0,0,0
32,75,0,0,0,0
33,76,0,0,0,0
34,77,0,0,0,0
35,77,0,0,0,0
35,78,0,0,0,0
36,79,0,0,0,0
37,80,0,0,0,0
38,81,0,0,0,0
39,82,0,0,0,0
40,83,0,0,0,0
41,84,0,0,0,0
42,85,0,0,0,0
43,86,0,0,0,0
44,87,0,0,0,0
44,88,0,0,0,0
45,89,0,0,0,0
45,90,0,0,0,0
45,91,0,0,0,0
46,92,0,0,0,0
46,93,0,0,0,0
46,94,0,0,0,0
46,95,0,0,0,0
46,96,0,0,0,0
47,97,0,0,0,0
48,98,0,0,0,0
48,99,0,0,0,0
48,100,0,0,0,0
48,100,0,0,0,0
48,101,0,0,0,0
48,102,0,0,0,0
48,103,0,0,0,0
48,104,0,0,0,0
48,105,0,0,0,0
48,106,0,0,0,0
48,107,0,0,0,0
49,108,0,0,0,0
50,109,0,0,0,0
50,110,0,0,0,0
50,111,0,0,0,0
50,112,0,0,0,0
50,113,0,0,0,0
50,114,0,0,0,0
50,115,0,0,0,0
50,116,0,0,0,0
50,117,0,0,0,0
50,118,0,0,0,0
50,119,0,0,0,0
50,120,0,0,0,0
50,121,0,0,0,0
50,121,0,0,0,0
51,122,0,0,0,0
52,123,0,0,0,0
53,124,0,0,0,0
54,125,0,0,0,0
55,126,0,0,0,0
55,127,0,0,0,0
55,128,0,0,0,0
55,129,0,0,0,0
56,130,0,0,0,0
56,131,0,0,0,0
56,132,0,0,0,0
57,133,0,0,0,0
58,134,0,0,0,0
59,135,0,0,0,0
59,136,0,0,0,0
60,137,0,0,0,0
61,138,0,0,0,0
62,139,0,0,0,0
62,140,0,0,0,0
63,141,0,0,0,0
64,142,0,0,0,0
65,143,0,0,0,0
65,144,0,0,0,0
65,145,0,0,0,0
65,146,0,0,0,0
65,147,0,0,0,0
66,148,0,0,0,0
66,149,0,0,0,0
66,150,0,0,0,0
67,151,0,0,0,0
68,152,0,0,0,0
69,153,0,0,0,0
70,154,0,0,0,0
71,155,0,0,0,0
72,156,0,0,0,0
73,157,0,0,0,0
74,158,0,0,0,0
75,159,0,0,0,0
76,160,0,0,0,0
76,161,0,0,0,0
77,162,0,0,0,0
78,163,0,0,0,0
79,164,0,0,0,0
80,165,0,0,0,0
81,166,0,0,0,0
82,167,0,0,0,0
83,168,0,0,0,0
84,169,0,0,0,0
85,170,0,0,0,0
86,171,0,0,0,0
86,172,0,0,0,0
86,173,0,0,0,0
87,174,0,0,0,0
87,175,0,0,0,0
87,176,0,0,0,0
88,177,0,0,0,0
89,178,0,0,0,0
90,179,0,0,0,0
90,180,0,0,0,0
91,181,0,0,0,0
91,182,0,0,0,0
92,183,0,0,0,0
92,183,0,0,0,0
92,184,0,0,0,0
92,185,0,0,0,0
92,186,0,0,0,0
92,187,0,0,0,0
92,187,0,0,0,0
92,188,0,0,0,0
92,189,0,0,0,0
92,190,0,0,0,0
92,191,0,0,0,0
92,192,0,0,0,0
92,193,0,0,0,0
92,194,0,0,0,0
