datepublished,nutrition
1,-1
2,1
3,-1
4,-1
-1,2
5,-1
-1,2
6,3
-1,4
7,-1
8,-1
-1,4
9,-1
10,-1
11,5
12,-1
13,-1
14,-1
-1,6
-1,7
-1,8
15,-1
16,-1
17,9
18,-1
19,-1
20,10
21,-1
22,-1
23,-1
24,-1
25,11
-1,12
26,-1
27,-1
28,13
29,-1
30,-1
31,-1
32,14
33,-1
34,-1
35,-1
-1,15
-1,16
36,-1
37,17
38,-1
39,-1
40,18
41,-1
-1,19
-1,20
-1,20
-1,20
-1,20
42,21
43,-1
44,-1
45,-1
46,-1
47,22
-1,23
48,-1
49,-1
50,-1
51,-1
52,-1
53,-1
54,-1
55,-1
-1,24
56,-1
57,-1
58,-1
59,-1
-1,24
60,25
61,26
-1,27
62,28
63,-1
-1,29
64,-1
65,30
-1,31
-1,32
66,-1
-1,33
67,-1
68,-1
69,-1
70,-1
-1,34
71,-1
72,-1
73,-1
74,-1
75,35
76,-1
77,-1
78,-1
79,-1
80,-1
81,-1
82,-1
83,36
-1,37
84,-1
85,-1
86,-1
87,-1
88,-1
89,-1
90,38
91,39
92,-1
93,-1
94,40
95,41
96,-1
97,-1
-1,42
98,-1
99,-1
100,-1
101,-1
102,43
103,-1
104,-1
105,-1
-1,44
106,45
-1,46
107,-1
108,-1
109,47
110,48
-1,49
-1,50
111,51
112,52
113,53
114,-1
115,-1
116,-1
117,54
118,-1
-1,55
119,-1
120,-1
121,-1
122,-1
-1,55
123,-1
124,-1
125,-1
126,-1
127,-1
128,56
129,-1
130,-1
131,57
132,58
-1,59
133,-1
-1,60
-1,60
134,61
-1,62
-1,63
135,-1
136,-1
137,-1
138,64
139,-1
140,-1
141,-1
142,-1
143,-1
144,65
145,-1
146,66
147,-1
-1,67
148,68
149,-1
150,-1
151,69
-1,70
152,-1
153,71
154,-1
155,-1
156,-1
157,-1
158,-1
159,-1
-1,72
-1,72
160,-1
161,-1
-1,73
162,-1
-1,74
-1,75
163,-1
164,-1
-1,76
165,77
-1,78
166,79
167,-1
168,-1
169,-1
170,-1
171,-1
-1,80
172,-1
173,-1
-1,81
-1,81
174,-1
-1,82
175,-1
176,-1
-1,83
-1,83
177,-1
178,-1
179,84
180,-1
-1,85
-1,86
181,-1
182,-1
183,-1
184,-1
185,-1
186,87
187,-1
-1,88
-1,89
-1,90
188,-1
189,91
190,92
191,93
192,94
193,-1
-1,95
194,96
-1,97
195,-1
196,-1
197,-1
198,-1
199,-1
200,-1
-1,97
201,-1
202,-1
203,-1
204,-1
205,98
206,99
207,-1
-1,100
208,-1
209,-1
210,-1
211,-1
212,101
213,-1
214,-1
215,-1
216,-1
217,102
218,-1
219,103
220,-1
221,-1
-1,104
222,-1
223,-1
-1,105
224,-1
225,-1
-1,106
-1,107
226,108
227,109
-1,110
228,-1
229,-1
230,111
-1,112
-1,113
231,114
232,-1
233,115
234,116
-1,117
235,118
236,-1
-1,119
237,120
238,-1
239,-1
-1,121
-1,122
-1,123
240,-1
241,-1
242,124
243,-1
244,-1
-1,125
245,-1
246,-1
247,-1
248,-1
-1,126
249,127
-1,128
-1,129
-1,130
250,131
251,-1
252,-1
253,-1
-1,132
-1,132
-1,133
254,-1
255,-1
256,-1
257,134
258,135
-1,136
259,-1
-1,137
260,-1
261,-1
-1,138
262,-1
263,-1
264,-1
265,-1
266,-1
267,-1
-1,138
268,-1
269,-1
270,-1
271,-1
272,139
273,140
-1,141
274,142
275,143
276,-1
277,144
278,-1
-1,145
279,-1
-1,145
280,-1
281,-1
282,-1
283,-1
284,146
285,147
286,-1
-1,148
287,-1
288,-1
289,-1
-1,149
290,-1
291,-1
-1,150
-1,150
292,151
293,152
294,-1
295,-1
296,153
297,-1
298,-1
299,-1
300,-1
301,-1
302,-1
303,154
304,-1
-1,155
305,156
-1,157
-1,158
306,-1
307,-1
308,-1
309,-1
310,159
311,-1
312,-1
313,160
-1,161
314,-1
315,-1
316,-1
-1,162
-1,163
317,-1
-1,164
318,-1
319,-1
-1,165
320,-1
321,-1
322,-1
-1,165
323,-1
-1,166
324,167
325,-1
326,-1
327,168
328,-1
-1,169
-1,170
329,-1
-1,171
330,-1
331,-1
332,-1
333,172
334,-1
335,173
-1,174
336,-1
337,-1
338,-1
339,-1
340,-1
341,175
342,176
343,-1
344,-1
345,177
346,-1
347,-1
348,-1
349,-1
-1,178
350,179
351,-1
352,180
-1,181
353,-1
354,-1
355,-1
356,-1
357,-1
358,182
359,-1
360,-1
361,-1
362,183
363,-1
364,-1
365,-1
366,184
367,-1
368,-1
369,185
370,-1
371,-1
-1,186
-1,187
372,-1
373,188
374,189
-1,190
375,-1
376,-1
377,-1
-1,191
378,-1
379,-1
380,192
381,-1
382,-1
383,193
384,-1
385,194
386,-1
387,-1
388,195
