name,recipeinstructions,author,recipeingredient,recipeyield,preptime,keywords,aggregaterating,nutrition,inlanguage,yield
0,-1,1,-1,1,1,-1,-1,-1,1,1
1,-1,1,-1,-1,-1,1,-1,-1,1,-1
2,-1,1,-1,2,2,-1,-1,-1,1,2
3,-1,1,-1,-1,-1,-1,-1,-1,1,-1
4,-1,1,-1,3,3,-1,-1,-1,1,3
5,-1,1,-1,-1,-1,2,-1,-1,1,-1
6,-1,1,-1,-1,4,-1,-1,-1,1,-1
7,-1,1,-1,-1,-1,-1,-1,-1,1,-1
8,-1,1,-1,-1,-1,-1,-1,-1,1,-1
9,-1,1,-1,-1,-1,-1,-1,-1,1,-1
10,-1,1,-1,4,5,-1,-1,-1,1,4
11,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12,-1,1,-1,-1,-1,-1,-1,-1,1,-1
13,-1,1,-1,-1,-1,-1,-1,-1,1,-1
14,-1,1,-1,-1,6,-1,-1,-1,1,-1
15,-1,1,-1,5,7,-1,-1,-1,1,5
16,-1,1,-1,-1,7,-1,-1,-1,1,-1
17,-1,1,-1,-1,-1,-1,-1,-1,1,-1
18,-1,1,-1,5,8,-1,-1,-1,1,5
19,-1,1,-1,5,9,-1,-1,-1,1,5
20,-1,1,-1,-1,-1,-1,-1,-1,1,-1
21,-1,1,-1,5,10,-1,-1,-1,1,5
22,-1,1,-1,-1,-1,-1,-1,-1,1,-1
23,-1,1,-1,5,11,3,-1,-1,1,5
24,-1,1,-1,-1,-1,-1,-1,-1,1,-1
25,-1,1,-1,-1,-1,-1,-1,-1,1,-1
26,-1,1,-1,5,12,-1,-1,-1,1,5
27,-1,1,-1,-1,-1,-1,-1,-1,1,-1
28,-1,1,-1,-1,13,-1,-1,-1,1,-1
29,-1,1,-1,-1,-1,-1,-1,-1,1,-1
30,-1,1,-1,6,14,-1,-1,-1,1,6
31,-1,1,-1,6,14,-1,-1,-1,1,6
32,-1,1,-1,-1,-1,-1,-1,-1,1,-1
