recipeinstructions,author,recipeingredient,datepublished,recipeyield,preptime,cooktime,recipecategory,totaltime,recipecuisine,aggregaterating,nutrition,mainentityofpage,ispartof
0,0,-1,0,-1,1,1,-1,1,1,0,-1,0,0
0,0,-1,1,-1,2,2,-1,2,2,0,-1,0,0
0,0,-1,2,-1,2,3,-1,3,3,0,-1,0,0
0,0,-1,3,-1,3,4,1,4,3,0,-1,0,0
0,0,-1,4,-1,4,5,-1,5,3,0,-1,0,0
0,0,-1,5,-1,5,6,-1,6,3,0,-1,0,0
0,0,-1,6,-1,6,7,-1,7,3,0,-1,0,0
0,0,-1,7,-1,7,8,2,8,3,0,-1,0,0
0,0,-1,8,-1,7,9,-1,9,3,0,-1,0,0
0,0,-1,9,-1,8,10,-1,10,3,0,-1,0,0
0,0,-1,10,-1,9,11,-1,11,3,0,-1,0,0
0,0,-1,11,-1,10,12,-1,12,3,0,-1,0,0
0,0,-1,12,-1,11,13,-1,13,4,0,-1,0,0
0,0,-1,13,-1,12,14,-1,14,5,0,-1,0,0
0,0,-1,14,-1,13,15,-1,15,5,0,-1,0,0
0,0,-1,15,-1,14,16,-1,16,5,0,-1,0,0
0,0,-1,16,-1,15,17,-1,17,5,0,-1,0,0
0,0,-1,17,-1,15,-1,-1,18,6,0,-1,0,0
0,0,-1,18,-1,16,18,-1,19,-1,0,-1,0,0
0,0,-1,19,-1,17,19,-1,20,7,0,-1,0,0
0,0,-1,20,-1,18,20,-1,21,7,0,-1,0,0
0,0,-1,21,-1,18,21,-1,22,7,0,-1,0,0
0,0,-1,22,-1,18,21,2,23,7,0,-1,0,0
0,0,-1,23,-1,18,22,-1,24,8,0,-1,0,0
0,0,-1,24,-1,18,23,-1,25,9,0,-1,0,0
0,0,-1,25,-1,19,-1,-1,26,9,0,-1,0,0
0,0,-1,26,-1,20,-1,-1,27,9,0,-1,0,0
0,0,-1,27,-1,20,24,-1,28,-1,0,-1,0,0
0,0,-1,28,-1,21,25,-1,29,9,0,-1,0,0
0,0,-1,29,-1,22,-1,-1,30,9,0,-1,0,0
0,0,-1,30,-1,-1,25,-1,31,9,0,-1,0,0
0,0,-1,31,-1,23,-1,3,32,9,0,-1,0,0
0,0,-1,32,-1,24,26,-1,-1,9,0,-1,0,0
0,0,-1,33,-1,25,-1,-1,33,9,0,-1,0,0
0,0,-1,34,-1,26,-1,-1,34,9,0,-1,0,0
0,0,-1,35,-1,26,27,-1,35,9,0,-1,0,0
0,0,-1,36,-1,27,28,-1,36,9,0,-1,0,0
0,0,-1,37,-1,28,29,-1,37,9,0,-1,0,0
0,0,-1,38,-1,29,30,-1,38,9,0,-1,0,0
0,0,-1,39,-1,30,31,-1,39,9,0,-1,0,0
0,0,-1,40,-1,31,32,-1,40,10,0,-1,0,0
0,0,-1,41,-1,32,32,-1,41,11,0,-1,0,0
0,0,-1,42,-1,-1,33,-1,42,11,0,-1,0,0
0,0,-1,43,-1,32,-1,-1,43,11,0,-1,0,0
0,0,-1,44,-1,33,34,-1,44,12,0,-1,0,0
0,0,-1,45,-1,34,35,-1,45,13,0,-1,0,0
0,0,-1,46,-1,35,36,-1,46,13,0,-1,0,0
0,0,-1,47,-1,35,-1,-1,47,14,0,-1,0,0
0,0,-1,48,-1,36,37,-1,48,15,0,-1,0,0
0,0,-1,49,-1,37,38,-1,49,16,0,-1,0,0
0,0,-1,50,-1,38,39,4,50,17,0,-1,0,0
0,0,-1,51,-1,39,40,-1,50,-1,0,-1,0,0
0,0,-1,52,-1,40,41,-1,51,18,0,-1,0,0
0,0,-1,53,-1,41,42,-1,52,18,0,-1,0,0
0,0,-1,54,-1,42,43,-1,53,19,0,-1,0,0
0,0,-1,55,-1,43,44,5,54,20,0,-1,0,0
0,0,-1,56,-1,44,-1,-1,55,21,0,-1,0,0
0,0,-1,57,-1,45,45,5,56,22,0,-1,0,0
0,0,-1,58,-1,46,45,-1,57,23,0,-1,0,0
0,0,-1,59,-1,46,-1,-1,58,23,0,-1,0,0
0,0,-1,60,-1,46,46,-1,59,23,0,-1,0,0
0,0,-1,61,-1,47,47,-1,60,23,0,-1,0,0
0,0,-1,62,-1,48,-1,-1,61,23,0,-1,0,0
0,0,-1,63,-1,49,48,-1,62,-1,0,-1,0,0
0,0,-1,64,-1,50,49,-1,63,-1,0,-1,0,0
0,0,-1,65,-1,51,-1,-1,64,24,0,-1,0,0
0,0,-1,66,-1,52,50,-1,65,25,0,-1,0,0
0,0,-1,67,-1,53,51,-1,66,26,0,-1,0,0
0,0,-1,68,-1,54,52,-1,67,26,0,-1,0,0
0,0,-1,69,-1,55,53,-1,68,26,0,-1,0,0
0,0,-1,70,-1,56,53,-1,69,26,0,-1,0,0
0,0,-1,71,-1,57,54,-1,70,26,0,-1,0,0
0,0,-1,72,-1,58,55,-1,71,-1,0,-1,0,0
0,0,-1,73,-1,58,-1,6,72,26,0,-1,0,0
0,0,-1,74,-1,58,56,-1,73,26,0,-1,0,0
0,0,-1,75,-1,59,57,-1,74,26,0,-1,0,0
0,0,-1,76,-1,60,58,-1,75,26,0,-1,0,0
0,0,-1,77,-1,61,-1,-1,76,26,0,-1,0,0
0,0,-1,78,-1,61,59,-1,77,26,0,-1,0,0
0,0,-1,79,-1,62,60,-1,78,27,0,-1,0,0
0,0,-1,80,-1,63,61,-1,79,28,0,-1,0,0
0,0,-1,81,-1,-1,62,-1,80,29,0,-1,0,0
0,0,-1,82,-1,64,63,-1,81,30,0,-1,0,0
0,0,-1,83,-1,65,64,-1,82,30,0,-1,0,0
0,0,-1,84,-1,66,65,-1,83,30,0,-1,0,0
0,0,-1,85,-1,66,66,-1,84,30,0,-1,0,0
0,0,-1,86,-1,67,-1,7,85,30,0,-1,0,0
0,0,-1,87,-1,-1,67,-1,85,30,0,-1,0,0
0,0,-1,88,-1,68,68,-1,86,30,0,-1,0,0
0,0,-1,89,-1,69,69,-1,87,30,0,-1,0,0
0,0,-1,90,-1,70,70,-1,88,30,0,-1,0,0
0,0,-1,91,-1,70,71,-1,89,30,0,-1,0,0
0,0,-1,92,-1,71,72,-1,90,30,0,-1,0,0
0,0,-1,93,-1,71,73,-1,91,30,0,-1,0,0
0,0,-1,94,-1,72,74,-1,92,30,0,-1,0,0
0,0,-1,95,-1,73,75,-1,93,-1,0,-1,0,0
0,0,-1,96,-1,74,76,-1,94,30,0,-1,0,0
0,0,-1,97,-1,74,77,-1,95,-1,0,-1,0,0
0,0,-1,98,-1,75,-1,-1,96,30,0,-1,0,0
0,0,-1,99,-1,76,78,-1,97,-1,0,-1,0,0
0,0,-1,100,-1,77,79,-1,98,30,0,-1,0,0
0,0,-1,101,-1,78,80,-1,99,30,0,-1,0,0
0,0,-1,102,-1,78,81,-1,100,31,0,-1,0,0
0,0,-1,103,-1,79,82,-1,101,32,0,-1,0,0
0,0,-1,104,-1,80,83,-1,102,32,0,-1,0,0
0,0,-1,105,-1,81,84,-1,103,32,0,-1,0,0
0,0,-1,106,-1,82,85,-1,104,33,0,-1,0,0
0,0,-1,107,-1,83,86,-1,105,34,0,-1,0,0
0,0,-1,108,-1,84,86,-1,106,34,0,-1,0,0
0,0,-1,109,-1,84,87,-1,107,35,0,-1,0,0
0,0,-1,110,-1,85,88,-1,108,36,0,-1,0,0
0,0,-1,111,-1,86,89,-1,109,36,0,-1,0,0
0,0,-1,112,-1,87,90,8,110,36,0,-1,0,0
0,0,-1,113,-1,88,91,-1,111,36,0,-1,0,0
0,0,-1,114,-1,89,-1,-1,112,36,0,-1,0,0
0,0,-1,115,-1,90,92,-1,113,37,0,-1,0,0
0,0,-1,116,-1,91,93,-1,114,-1,0,-1,0,0
0,0,-1,117,-1,91,93,-1,114,38,0,-1,0,0
0,0,-1,118,-1,92,94,-1,115,38,0,-1,0,0
0,0,-1,119,-1,93,95,-1,116,38,0,-1,0,0
0,0,-1,120,-1,93,96,-1,117,38,0,-1,0,0
0,0,-1,121,-1,94,-1,9,118,38,0,-1,0,0
0,0,-1,122,-1,95,-1,-1,119,38,0,-1,0,0
0,0,-1,123,-1,-1,97,-1,120,38,0,-1,0,0
0,0,-1,124,-1,96,98,-1,121,38,0,-1,0,0
0,0,-1,125,-1,97,99,-1,122,38,0,-1,0,0
0,0,-1,126,-1,97,99,-1,122,-1,0,-1,0,0
0,0,-1,127,-1,97,100,-1,123,39,0,-1,0,0
0,0,-1,128,-1,98,101,-1,124,39,0,-1,0,0
0,0,-1,129,-1,99,102,-1,125,40,0,-1,0,0
