name,recipeingredient,preptime,cooktime
0,-1,1,1
1,-1,2,2
2,-1,-1,-1
3,-1,3,3
4,-1,-1,-1
5,-1,4,4
6,-1,-1,-1
7,-1,-1,-1
8,-1,5,5
9,-1,-1,-1
10,-1,5,6
11,-1,6,7
12,-1,-1,-1
13,-1,7,8
14,-1,-1,-1
15,-1,8,9
16,-1,-1,-1
17,-1,-1,-1
18,-1,9,10
19,-1,10,11
20,-1,-1,-1
21,-1,-1,-1
22,-1,11,12
23,-1,-1,-1
24,-1,12,13
25,-1,13,14
26,-1,-1,-1
27,-1,-1,-1
28,-1,14,-1
29,-1,-1,-1
30,-1,-1,-1
31,-1,15,15
32,-1,-1,-1
33,-1,16,16
34,-1,-1,-1
35,-1,17,17
36,-1,18,18
37,-1,19,19
38,-1,-1,-1
39,-1,-1,20
40,-1,-1,-1
41,-1,-1,21
42,-1,-1,-1
43,-1,-1,-1
44,-1,-1,22
45,-1,-1,-1
46,-1,20,-1
47,-1,-1,-1
48,-1,-1,-1
49,-1,-1,-1
50,-1,21,23
51,-1,22,24
52,-1,-1,25
53,-1,23,26
54,-1,24,27
55,-1,-1,28
56,-1,25,29
57,-1,25,-1
58,-1,-1,-1
59,-1,-1,-1
60,-1,26,-1
61,-1,-1,-1
62,-1,-1,-1
63,-1,27,30
64,-1,-1,-1
65,-1,-1,-1
66,-1,-1,-1
67,-1,28,-1
68,-1,28,31
69,-1,-1,32
70,-1,-1,-1
71,-1,29,-1
72,-1,30,33
73,-1,-1,34
74,-1,-1,-1
75,-1,-1,-1
76,-1,-1,-1
77,-1,-1,35
78,-1,31,36
79,-1,-1,-1
80,-1,-1,37
81,-1,-1,-1
82,-1,-1,38
83,-1,32,39
84,-1,-1,-1
85,-1,33,40
86,-1,34,41
87,-1,35,42
88,-1,-1,-1
89,-1,-1,-1
90,-1,-1,43
91,-1,36,-1
92,-1,37,44
93,-1,-1,-1
94,-1,-1,-1
95,-1,-1,45
96,-1,38,46
97,-1,39,47
98,-1,-1,48
99,-1,-1,-1
100,-1,40,49
101,-1,41,-1
102,-1,42,50
103,-1,43,51
104,-1,-1,-1
105,-1,-1,-1
106,-1,44,52
107,-1,-1,-1
108,-1,-1,53
109,-1,45,-1
110,-1,-1,-1
111,-1,-1,-1
112,-1,-1,-1
113,-1,46,54
114,-1,47,-1
115,-1,-1,-1
116,-1,48,55
117,-1,-1,-1
118,-1,-1,-1
119,-1,-1,56
120,-1,-1,-1
121,-1,-1,-1
122,-1,-1,57
123,-1,49,58
124,-1,50,59
125,1,51,60
126,-1,52,61
127,-1,53,62
128,-1,54,-1
129,-1,-1,-1
130,-1,55,63
131,-1,-1,-1
132,-1,-1,-1
133,-1,-1,-1
134,-1,-1,-1
135,2,-1,64
136,-1,-1,-1
137,-1,-1,-1
138,-1,-1,65
139,-1,56,66
140,-1,-1,67
141,-1,-1,-1
142,-1,57,68
143,-1,-1,-1
144,-1,-1,-1
145,-1,-1,-1
146,-1,-1,-1
147,-1,-1,-1
148,-1,-1,-1
149,-1,58,69
150,-1,59,69
151,-1,60,70
152,-1,61,71
153,-1,-1,-1
154,-1,62,72
155,-1,-1,73
156,-1,-1,-1
157,-1,-1,-1
158,-1,-1,-1
159,-1,-1,-1
160,-1,62,74
161,-1,-1,-1
162,-1,-1,-1
163,-1,63,75
164,-1,64,-1
165,-1,-1,-1
166,-1,-1,-1
167,-1,65,76
168,-1,-1,-1
169,-1,66,77
170,-1,-1,-1
171,-1,67,78
172,-1,-1,-1
173,-1,-1,79
174,-1,68,80
175,-1,-1,-1
176,-1,69,81
177,-1,70,82
178,-1,71,-1
179,-1,-1,-1
180,-1,-1,-1
181,-1,-1,-1
182,-1,-1,-1
183,-1,-1,-1
184,-1,72,83
185,-1,72,84
186,-1,-1,-1
187,-1,-1,-1
188,-1,73,85
189,-1,-1,-1
190,-1,-1,-1
191,-1,74,86
192,-1,-1,-1
193,-1,-1,-1
194,-1,-1,-1
195,-1,-1,-1
196,-1,75,87
197,-1,-1,88
198,-1,76,89
199,-1,77,90
200,-1,-1,-1
201,-1,-1,-1
202,-1,-1,-1
203,-1,78,91
204,-1,79,-1
205,-1,-1,-1
206,-1,-1,-1
207,-1,80,92
208,-1,81,93
209,-1,-1,-1
210,-1,-1,94
211,-1,-1,-1
212,-1,-1,-1
213,-1,-1,-1
214,-1,82,95
215,-1,-1,-1
216,-1,-1,96
217,-1,-1,97
218,-1,-1,-1
219,-1,-1,-1
220,-1,83,98
221,-1,84,99
222,-1,85,100
223,-1,-1,101
224,-1,86,102
225,3,87,103
226,-1,-1,-1
227,-1,-1,104
228,-1,88,105
229,-1,88,106
230,-1,-1,-1
231,-1,89,107
232,-1,-1,-1
233,-1,90,108
234,-1,91,-1
235,-1,-1,-1
236,-1,-1,-1
237,-1,-1,-1
238,-1,92,109
239,-1,93,110
240,-1,94,111
241,-1,95,112
242,-1,-1,-1
243,-1,96,113
244,-1,97,114
245,-1,-1,-1
246,-1,-1,-1
247,-1,98,115
248,-1,99,116
249,-1,-1,-1
250,-1,100,117
251,-1,101,-1
252,-1,102,-1
253,-1,-1,-1
254,-1,-1,-1
255,-1,-1,-1
256,-1,103,118
257,-1,-1,-1
258,-1,-1,-1
259,-1,-1,119
260,-1,-1,-1
261,-1,-1,-1
262,-1,-1,-1
263,-1,-1,-1
264,-1,-1,-1
265,-1,104,120
266,-1,-1,-1
267,-1,105,121
268,-1,106,-1
269,-1,107,122
270,-1,108,123
271,-1,-1,-1
272,-1,-1,-1
273,-1,109,123
274,-1,109,124
275,-1,109,125
276,-1,110,126
277,-1,-1,-1
278,-1,-1,-1
279,-1,111,127
280,-1,-1,-1
281,-1,-1,-1
282,-1,-1,-1
283,-1,-1,-1
284,-1,112,128
