name,author,recipecategory,recipecuisine,aggregaterating,nutrition,suitablefordiet
0,-1,1,1,-1,0,0
1,-1,2,2,-1,0,0
2,-1,3,3,-1,0,0
3,-1,4,3,-1,0,0
4,-1,4,3,-1,0,0
5,-1,5,4,-1,0,0
6,-1,6,5,-1,0,0
7,-1,6,5,-1,0,0
8,-1,6,5,-1,0,0
9,-1,7,5,-1,0,0
10,-1,8,5,-1,0,0
11,-1,8,5,-1,0,0
12,-1,9,5,-1,0,0
13,-1,10,5,-1,0,0
14,-1,11,5,-1,0,0
15,-1,11,6,-1,0,0
16,-1,12,7,-1,0,0
17,-1,13,7,-1,0,0
18,-1,14,8,-1,0,0
19,-1,15,9,-1,0,0
20,-1,15,10,-1,0,0
21,-1,15,11,-1,0,0
22,-1,15,11,-1,0,0
23,-1,16,11,-1,0,0
24,-1,17,12,-1,0,0
25,-1,18,13,-1,0,0
26,-1,18,13,-1,0,0
27,-1,19,13,-1,0,0
28,-1,20,13,-1,0,0
29,-1,21,13,-1,0,0
30,-1,22,13,-1,0,0
31,-1,23,14,-1,0,0
32,-1,23,15,-1,0,0
33,-1,24,16,-1,0,0
34,-1,25,16,-1,0,0
35,-1,26,16,-1,0,0
36,-1,26,16,-1,0,0
37,-1,27,16,-1,0,0
38,-1,27,17,-1,0,0
39,-1,28,18,-1,0,0
40,-1,29,19,-1,0,0
41,-1,30,20,-1,0,0
42,-1,31,21,-1,0,0
43,-1,32,22,-1,0,0
44,-1,32,22,-1,0,0
45,-1,32,22,-1,0,0
46,-1,32,22,-1,0,0
47,-1,32,23,-1,0,0
48,-1,33,24,-1,0,0
49,-1,34,25,-1,0,0
50,-1,35,26,-1,0,0
51,-1,36,26,-1,0,0
52,-1,36,26,-1,0,0
53,-1,37,26,-1,0,0
54,-1,37,26,-1,0,0
55,1,-1,-1,-1,0,0
56,-1,37,26,-1,0,0
57,-1,38,27,-1,0,0
58,-1,39,28,-1,0,0
59,-1,40,28,-1,0,0
60,-1,41,28,-1,0,0
61,-1,41,28,-1,0,0
62,-1,42,28,-1,0,0
63,-1,43,29,-1,0,0
64,-1,44,30,-1,0,0
65,-1,45,31,-1,0,0
66,-1,46,32,-1,0,0
67,-1,46,32,-1,0,0
