recipeinstructions,author,recipeingredient,datepublished,recipeyield,recipecategory,totaltime,keywords,recipecuisine,aggregaterating,nutrition
-1,0,-1,0,1,0,1,1,0,0,-1
-1,0,-1,1,1,0,2,2,1,0,-1
-1,0,-1,2,2,0,3,3,2,0,-1
-1,0,-1,3,2,0,4,4,3,0,-1
-1,0,-1,4,2,0,5,5,4,0,-1
-1,0,-1,5,3,0,6,6,5,0,-1
-1,0,-1,6,3,0,7,7,6,0,-1
-1,0,-1,7,3,0,8,8,7,0,-1
-1,0,-1,8,4,0,9,9,8,0,-1
-1,0,-1,9,4,0,10,10,9,0,-1
-1,0,-1,10,4,0,11,11,10,0,-1
-1,0,-1,11,5,0,12,12,11,0,-1
-1,0,-1,12,6,0,12,13,12,0,-1
-1,0,-1,13,7,0,13,-1,12,0,-1
-1,0,-1,14,8,0,14,13,12,0,-1
-1,0,-1,15,8,0,15,14,13,0,-1
-1,0,-1,16,8,0,16,15,14,0,-1
-1,0,-1,17,8,0,16,16,15,0,-1
-1,0,-1,18,8,0,-1,17,16,0,-1
-1,0,-1,19,9,0,17,-1,17,0,-1
-1,0,-1,20,10,0,18,18,17,0,-1
-1,0,-1,21,11,0,19,19,18,0,-1
-1,0,-1,22,11,0,20,20,19,0,-1
-1,0,-1,23,12,0,21,21,20,0,-1
-1,0,-1,24,12,0,22,22,21,0,-1
-1,0,-1,25,13,0,23,23,22,0,-1
-1,0,-1,26,14,0,24,24,23,0,-1
-1,0,-1,27,15,0,25,25,24,0,-1
-1,0,-1,28,15,0,26,26,25,0,-1
-1,0,-1,29,15,0,27,27,26,0,-1
-1,0,-1,30,16,0,28,28,27,0,-1
-1,0,-1,31,17,0,28,29,28,0,-1
-1,0,-1,32,17,0,29,30,29,0,-1
-1,0,-1,33,18,0,29,31,30,0,-1
-1,0,-1,34,19,0,30,32,31,0,-1
-1,0,-1,35,20,0,31,33,32,0,-1
-1,0,-1,36,21,0,32,34,33,0,-1
-1,0,-1,37,22,0,32,35,34,0,-1
-1,0,-1,38,22,0,33,36,35,0,-1
-1,0,-1,39,23,0,34,37,36,0,-1
-1,0,-1,40,24,0,34,-1,36,0,-1
-1,0,-1,41,25,0,35,38,36,0,-1
-1,0,-1,42,26,0,36,39,37,0,-1
-1,0,-1,43,27,0,37,40,38,0,-1
-1,0,-1,44,28,0,38,40,38,0,-1
-1,0,-1,45,28,0,39,-1,39,0,-1
-1,0,-1,46,29,0,39,41,40,0,-1
-1,0,-1,47,30,0,40,42,41,0,-1
-1,0,-1,48,30,0,41,43,42,0,-1
-1,0,-1,49,31,0,42,44,43,0,-1
-1,0,-1,50,31,0,43,45,44,0,-1
-1,0,-1,51,31,0,44,46,45,0,-1
-1,0,-1,52,31,0,45,47,46,0,-1
-1,0,-1,53,32,0,46,48,47,0,-1
-1,0,-1,54,33,0,47,-1,48,0,-1
-1,0,-1,55,34,0,48,49,49,0,-1
-1,0,-1,56,34,0,48,50,50,0,-1
-1,0,-1,57,35,0,49,-1,51,0,-1
-1,0,-1,58,36,0,49,-1,51,0,-1
-1,0,-1,59,37,0,50,51,51,0,-1
-1,0,-1,60,38,0,51,-1,51,0,-1
-1,0,-1,61,39,0,52,52,52,0,-1
-1,0,-1,62,40,0,53,53,53,0,-1
-1,0,-1,63,41,0,54,54,54,0,-1
-1,0,-1,64,41,0,55,-1,55,0,-1
-1,0,-1,65,42,0,55,55,56,0,-1
-1,0,-1,66,42,0,56,56,57,0,-1
-1,0,-1,67,42,0,57,56,57,0,-1
-1,0,-1,68,43,0,58,57,58,0,-1
-1,0,-1,69,44,0,59,58,59,0,-1
-1,0,-1,70,45,0,-1,59,60,0,-1
-1,0,-1,71,45,0,59,60,61,0,-1
-1,0,-1,72,46,0,60,61,62,0,-1
-1,0,-1,73,47,0,61,62,63,0,-1
-1,0,-1,74,47,0,62,62,63,0,-1
-1,0,-1,75,47,0,63,63,64,0,-1
1,0,-1,76,48,0,64,64,65,0,-1
-1,0,-1,77,49,0,65,65,66,0,-1
-1,0,-1,78,50,0,66,-1,66,0,-1
-1,0,-1,79,51,0,67,66,67,0,-1
-1,0,-1,80,51,0,68,67,68,0,-1
-1,0,-1,81,51,0,-1,68,69,0,-1
-1,0,-1,82,51,0,69,69,70,0,-1
-1,0,-1,83,51,0,69,70,71,0,-1
-1,0,-1,84,52,0,70,71,72,0,-1
-1,0,-1,85,52,0,71,72,73,0,-1
-1,0,-1,86,52,0,72,73,74,0,-1
-1,0,-1,87,53,0,73,74,75,0,-1
-1,0,-1,88,53,0,74,75,76,0,-1
-1,0,-1,89,53,0,-1,76,77,0,-1
-1,0,-1,90,53,0,75,77,78,0,-1
-1,0,-1,91,53,0,76,78,79,0,-1
-1,0,-1,92,54,0,76,79,80,0,-1
-1,0,-1,93,55,0,77,80,81,0,-1
-1,0,-1,94,56,0,77,81,82,0,-1
-1,0,-1,95,57,0,77,82,83,0,-1
-1,0,-1,96,58,0,78,83,84,0,-1
-1,0,-1,97,58,0,79,84,85,0,-1
-1,0,-1,98,59,0,-1,85,86,0,-1
-1,0,-1,99,60,0,80,86,87,0,-1
-1,0,-1,100,61,0,81,-1,88,0,-1
-1,0,-1,101,62,0,82,87,89,0,-1
-1,0,-1,102,62,0,83,88,90,0,-1
-1,0,-1,103,63,0,84,89,91,0,-1
-1,0,-1,104,64,0,85,90,92,0,-1
-1,0,-1,105,64,0,86,91,93,0,-1
-1,0,-1,106,65,0,87,92,94,0,-1
-1,0,-1,107,66,0,87,93,95,0,-1
-1,0,-1,108,67,0,88,94,96,0,-1
-1,0,-1,109,68,0,89,95,97,0,-1
-1,0,-1,110,68,0,90,96,98,0,-1
-1,0,-1,111,68,0,90,97,99,0,-1
-1,0,-1,112,68,0,-1,98,99,0,-1
-1,0,-1,113,68,0,90,99,99,0,-1
-1,0,-1,114,-1,0,-1,100,99,0,-1
-1,0,-1,115,69,0,91,101,100,0,-1
-1,0,-1,116,70,0,92,102,101,0,-1
-1,0,-1,117,71,0,93,103,102,0,-1
-1,0,-1,118,72,0,94,104,103,0,-1
-1,0,-1,119,72,0,95,105,104,0,-1
-1,0,-1,120,73,0,-1,106,105,0,-1
-1,0,-1,121,74,0,96,107,106,0,-1
-1,0,-1,122,75,0,97,107,106,0,-1
-1,0,-1,123,76,0,-1,107,106,0,-1
-1,0,-1,124,76,0,98,108,107,0,-1
-1,0,-1,125,77,0,99,108,107,0,-1
-1,0,-1,126,77,0,99,109,108,0,-1
-1,0,-1,127,-1,0,-1,110,109,0,-1
-1,0,-1,128,78,0,100,111,110,0,-1
-1,0,-1,129,78,0,100,112,111,0,-1
-1,0,-1,130,79,0,100,-1,112,0,-1
-1,0,-1,131,80,0,101,113,113,0,-1
-1,0,-1,132,81,0,101,114,114,0,-1
-1,0,-1,133,81,0,102,114,114,0,-1
-1,0,-1,134,-1,0,-1,115,115,0,-1
-1,0,-1,135,82,0,103,116,116,0,-1
-1,0,-1,136,83,0,104,-1,117,0,-1
-1,0,-1,137,84,0,105,117,118,0,-1
-1,0,-1,138,85,0,106,118,119,0,-1
-1,0,-1,139,85,0,107,119,120,0,-1
-1,0,-1,140,85,0,108,120,121,0,-1
-1,0,-1,141,86,0,109,121,122,0,-1
-1,0,-1,142,87,0,110,122,123,0,-1
-1,0,-1,143,87,0,110,123,124,0,-1
-1,0,-1,144,87,0,111,-1,125,0,-1
-1,0,-1,145,87,0,112,124,126,0,-1
-1,0,-1,146,87,0,113,125,127,0,-1
-1,0,-1,147,87,0,114,126,128,0,-1
-1,0,-1,148,87,0,115,127,129,0,-1
-1,0,-1,149,88,0,116,-1,129,0,-1
-1,0,-1,150,89,0,117,128,130,0,-1
-1,0,-1,151,90,0,118,129,131,0,-1
-1,0,-1,152,91,0,118,129,131,0,-1
-1,0,-1,153,91,0,119,130,132,0,-1
-1,0,-1,154,92,0,120,131,133,0,-1
-1,0,-1,155,93,0,121,-1,134,0,-1
-1,0,-1,156,-1,0,-1,132,135,0,-1
-1,0,-1,157,93,0,122,133,136,0,-1
-1,0,-1,158,94,0,123,-1,137,0,-1
-1,0,-1,159,95,0,124,134,138,0,-1
-1,0,-1,160,96,0,125,135,138,0,-1
-1,0,-1,161,97,0,126,136,139,0,-1
-1,0,-1,162,98,0,127,137,140,0,-1
-1,0,-1,163,98,0,128,138,141,0,-1
-1,0,-1,164,98,0,129,139,142,0,-1
-1,0,-1,165,98,0,130,140,143,0,-1
-1,0,-1,166,99,0,131,-1,143,0,-1
-1,0,-1,167,100,0,132,141,144,0,-1
-1,0,-1,168,101,0,133,142,144,0,-1
-1,0,-1,169,102,0,134,143,145,0,-1
-1,0,-1,170,102,0,135,144,146,0,-1
-1,0,-1,171,103,0,136,145,147,0,-1
-1,0,-1,172,104,0,136,145,147,0,-1
-1,0,-1,173,104,0,137,146,148,0,-1
-1,0,-1,174,105,0,138,146,148,0,-1
-1,0,-1,175,106,0,139,146,148,0,-1
-1,0,-1,176,107,0,140,146,148,0,-1
-1,0,-1,177,107,0,141,147,149,0,-1
-1,0,-1,178,108,0,142,148,150,0,-1
-1,0,-1,179,109,0,143,149,151,0,-1
-1,0,-1,180,110,0,144,150,152,0,-1
-1,0,-1,181,111,0,145,151,153,0,-1
-1,0,-1,182,112,0,146,152,154,0,-1
-1,0,-1,183,113,0,146,153,155,0,-1
-1,0,-1,184,113,0,147,154,156,0,-1
-1,0,-1,185,114,0,148,155,157,0,-1
-1,0,-1,186,114,0,149,156,158,0,-1
-1,0,-1,187,114,0,150,157,159,0,-1
