author,recipeingredient,datepublished,recipeyield,preptime,cooktime,recipecategory,totaltime,recipecuisine,aggregaterating,datemodified
-1,1,0,1,-1,-1,1,0,1,0,1
-1,2,1,2,1,-1,2,1,2,0,2
-1,-1,2,-1,-1,-1,3,2,3,0,3
-1,-1,3,3,-1,-1,4,2,4,0,4
-1,-1,4,4,2,1,5,3,5,0,5
-1,-1,5,5,3,2,6,4,6,0,6
-1,-1,6,6,4,3,7,5,7,0,7
-1,3,7,7,4,4,8,6,8,0,8
-1,-1,8,-1,-1,-1,9,7,9,0,9
-1,-1,9,-1,-1,-1,10,7,10,0,10
-1,-1,10,7,-1,-1,11,7,11,0,11
-1,-1,11,-1,-1,-1,12,7,12,0,12
-1,4,12,8,5,5,13,8,13,0,13
-1,5,13,8,5,6,14,9,14,0,14
-1,-1,14,9,5,-1,15,10,15,0,15
-1,-1,15,-1,-1,-1,16,11,16,0,16
-1,-1,16,-1,6,-1,17,12,17,0,17
-1,6,17,9,-1,-1,18,13,18,0,18
-1,-1,18,9,-1,-1,19,13,19,0,19
-1,-1,19,10,7,7,20,14,20,0,20
-1,7,20,11,-1,-1,21,15,21,0,21
-1,-1,21,12,7,8,22,15,22,0,22
-1,-1,22,13,8,9,23,16,23,0,23
-1,8,23,13,9,-1,24,17,24,0,24
-1,9,24,14,-1,-1,25,18,25,0,25
-1,-1,25,14,-1,-1,26,18,26,0,26
-1,10,26,15,10,10,27,18,27,0,27
-1,-1,27,16,11,11,28,19,28,0,28
-1,-1,28,16,11,12,29,20,29,0,29
-1,-1,29,-1,-1,-1,30,21,30,0,30
-1,11,30,-1,-1,-1,31,21,31,0,31
-1,-1,31,-1,-1,-1,32,21,32,0,32
-1,-1,32,-1,-1,-1,33,21,33,0,33
-1,-1,33,17,12,13,34,22,34,0,34
-1,-1,34,17,13,14,35,23,35,0,35
-1,-1,35,18,14,15,36,24,36,0,36
-1,-1,36,19,15,16,37,25,37,0,37
-1,12,37,20,15,17,38,26,38,0,38
-1,-1,38,21,-1,-1,39,27,39,0,39
-1,-1,39,21,-1,-1,40,27,40,0,40
-1,13,40,21,16,18,41,28,41,0,41
-1,-1,41,-1,-1,-1,42,29,42,0,42
-1,-1,42,21,16,19,43,30,43,0,43
-1,-1,43,21,-1,-1,44,31,44,0,44
-1,14,44,22,17,20,45,32,45,0,45
-1,-1,45,-1,-1,-1,46,33,46,0,46
-1,-1,46,-1,-1,-1,47,33,47,0,47
-1,-1,47,-1,-1,-1,48,33,48,0,48
-1,15,48,-1,-1,-1,49,33,49,0,49
-1,16,49,23,18,21,50,34,50,0,50
-1,-1,50,24,19,22,51,35,51,0,51
-1,-1,51,-1,-1,-1,52,36,52,0,52
-1,-1,52,24,19,23,53,37,53,0,53
-1,17,53,25,20,24,54,38,54,0,54
-1,-1,54,26,20,25,55,39,55,0,55
-1,-1,55,27,21,26,56,40,56,0,56
-1,-1,56,28,22,27,57,40,57,0,57
-1,-1,57,29,-1,-1,58,41,58,0,58
-1,-1,58,30,23,28,59,42,59,0,59
-1,18,59,31,24,-1,60,43,60,0,60
-1,19,60,31,-1,-1,61,44,61,0,61
-1,20,61,32,24,-1,62,45,62,0,62
-1,-1,62,-1,-1,-1,63,46,63,0,63
-1,-1,63,33,-1,-1,64,46,64,0,64
-1,-1,64,33,-1,-1,65,46,65,0,65
-1,-1,65,33,25,-1,66,47,66,0,66
-1,21,66,34,26,29,67,48,67,0,67
-1,22,67,35,26,30,68,49,68,0,68
-1,-1,68,36,27,31,69,50,69,0,69
-1,23,69,37,28,32,70,51,70,0,70
-1,-1,70,37,29,33,71,52,71,0,71
-1,-1,71,-1,-1,-1,72,53,72,0,72
-1,24,72,38,30,34,73,53,73,0,73
-1,25,73,39,31,34,74,54,74,0,74
-1,26,74,-1,-1,-1,75,55,75,0,75
-1,-1,75,40,-1,-1,76,55,76,0,76
-1,-1,76,-1,-1,-1,77,55,77,0,77
-1,27,77,41,31,34,78,56,78,0,78
-1,28,78,42,31,35,79,57,79,0,79
-1,-1,79,43,32,36,80,58,80,0,80
-1,-1,80,-1,-1,-1,81,59,81,0,81
-1,-1,81,-1,-1,-1,82,59,82,0,82
