name,author,recipeingredient,recipeyield,recipecategory,keywords,recipecuisine,mainentityofpage,publisher,headline,isaccessibleforfree,haspart
0,0,-1,1,1,1,1,0,0,0,1,-1
1,0,-1,2,2,2,-1,0,0,1,1,-1
2,0,-1,3,-1,3,2,0,0,2,1,-1
3,0,-1,-1,3,4,-1,0,0,3,1,-1
4,0,-1,4,4,5,3,0,0,4,1,-1
5,0,-1,5,5,5,-1,0,0,5,1,-1
6,0,-1,6,6,6,4,0,0,6,1,-1
7,0,-1,-1,7,7,-1,0,0,7,-1,-1
8,0,-1,7,8,8,5,0,0,8,1,-1
9,0,-1,8,8,9,6,0,0,9,1,-1
10,0,-1,9,9,10,7,0,0,10,1,-1
11,0,-1,10,10,11,8,0,0,11,1,-1
12,0,-1,11,11,12,9,0,0,12,1,-1
13,0,-1,12,11,13,10,0,0,13,1,-1
14,0,-1,13,12,14,11,0,0,14,1,-1
15,0,-1,-1,13,15,-1,0,0,15,-1,-1
16,0,-1,-1,14,16,-1,0,0,16,1,-1
17,0,-1,14,15,17,12,0,0,17,1,-1
18,0,-1,-1,16,18,-1,0,0,18,1,-1
19,0,-1,14,16,19,-1,0,0,19,1,-1
20,0,-1,15,17,20,13,0,0,20,1,-1
21,0,-1,16,-1,21,14,0,0,21,1,-1
22,0,-1,17,-1,22,15,0,0,22,1,-1
23,0,-1,18,17,23,16,0,0,23,1,-1
24,0,-1,19,17,-1,17,0,0,24,1,-1
25,0,-1,20,18,24,-1,0,0,25,1,-1
26,0,-1,21,19,25,-1,0,0,26,1,-1
27,0,-1,22,20,26,18,0,0,27,1,-1
28,0,-1,23,21,27,19,0,0,28,-1,-1
29,0,-1,24,22,28,20,0,0,29,1,-1
30,0,-1,-1,23,29,-1,0,0,30,1,-1
31,0,-1,25,24,30,-1,0,0,31,1,-1
32,0,1,26,24,31,21,0,0,32,1,-1
33,0,-1,27,24,32,21,0,0,33,1,-1
34,0,-1,28,-1,33,22,0,0,34,1,-1
35,0,-1,29,-1,34,23,0,0,35,1,-1
36,0,-1,30,25,35,-1,0,0,36,1,-1
37,0,-1,31,25,36,-1,0,0,37,1,-1
38,0,-1,-1,26,37,24,0,0,38,1,-1
