name,author,description,datepublished,preptime,cooktime,aggregaterating
0,0,0,0,0,0,0
1,0,1,0,0,0,0
2,0,2,0,0,0,0
3,0,3,0,0,0,0
4,0,4,1,1,1,0
5,0,5,2,1,2,0
6,0,6,3,2,3,0
7,0,7,3,2,3,0
8,0,8,4,3,4,0
9,0,9,5,4,5,0
10,0,10,6,5,6,0
11,0,11,7,6,7,0
12,0,12,8,7,8,0
13,0,13,9,7,9,0
14,0,14,10,7,10,0
15,0,15,10,7,10,0
16,0,16,10,7,10,0
17,0,17,10,7,10,0
18,0,18,10,7,10,0
19,0,19,10,7,10,0
20,0,20,10,7,10,0
21,0,21,11,8,11,0
22,0,22,12,9,12,0
23,0,23,13,10,12,0
24,0,24,14,11,12,0
25,0,25,15,12,13,0
26,0,26,16,13,14,0
27,0,27,17,13,14,0
28,0,28,17,13,14,0
29,0,29,17,13,14,0
30,0,30,17,13,14,0
31,0,31,17,13,14,0
32,0,32,17,13,14,0
33,0,33,17,13,14,0
34,0,34,17,13,14,0
35,0,35,17,13,14,0
36,0,36,17,13,14,0
37,0,37,18,13,15,0
38,0,38,19,13,16,0
39,0,39,19,13,16,0
40,0,40,19,13,16,0
41,0,41,19,13,16,0
42,0,42,19,13,16,0
43,0,43,19,13,16,0
44,0,44,19,13,16,0
45,0,45,19,13,16,0
46,0,46,20,13,17,0
47,0,47,21,13,18,0
48,0,48,22,13,19,0
49,0,49,23,13,20,0
50,0,50,23,13,20,0
51,0,51,24,14,21,0
52,0,52,25,15,22,0
53,0,53,25,15,22,0
54,0,54,25,15,22,0
55,0,55,26,15,23,0
56,0,56,27,15,24,0
57,0,57,27,15,24,0
58,0,58,28,16,25,0
59,0,59,29,17,26,0
60,0,60,29,17,26,0
61,0,61,29,17,26,0
62,0,62,29,17,26,0
63,0,63,29,17,26,0
64,0,64,29,17,26,0
65,0,65,29,17,26,0
66,0,66,30,17,27,0
67,0,67,31,17,28,0
68,0,68,32,17,29,0
69,0,69,32,17,29,0
70,0,70,32,17,29,0
71,0,71,33,18,30,0
72,0,72,34,19,31,0
73,0,73,34,19,31,0
74,0,74,34,19,31,0
75,0,75,34,19,31,0
76,0,76,35,20,32,0
77,0,77,36,20,33,0
78,0,78,37,21,34,0
79,0,79,37,21,34,0
80,0,80,38,22,35,0
81,0,81,39,23,36,0
82,0,82,39,23,36,0
83,0,83,39,23,36,0
84,0,84,39,23,36,0
85,0,85,39,23,36,0
86,0,86,39,23,36,0
87,0,87,39,23,36,0
88,0,88,40,24,37,0
89,0,89,41,25,38,0
90,0,90,42,26,39,0
91,0,91,43,27,40,0
92,0,92,43,27,40,0
93,0,93,43,27,40,0
94,0,94,43,27,40,0
95,0,95,44,28,41,0
96,0,96,45,29,42,0
97,0,97,45,29,42,0
98,0,98,45,29,42,0
99,0,99,45,29,42,0
100,0,100,45,29,42,0
101,0,101,45,29,42,0
102,0,102,45,29,42,0
103,0,103,45,29,42,0
104,0,104,45,29,42,0
105,0,105,45,29,42,0
106,0,106,45,29,42,0
107,0,107,45,29,42,0
108,0,108,45,29,42,0
109,0,109,45,29,42,0
110,0,110,45,29,42,0
111,0,111,46,30,43,0
112,0,112,47,31,44,0
113,0,113,47,31,44,0
114,0,114,48,32,45,0
115,0,115,49,33,46,0
116,0,116,50,34,47,0
117,0,117,51,35,47,0
118,0,118,52,36,48,0
119,0,119,53,37,49,0
120,0,120,54,38,50,0
121,0,121,54,38,50,0
122,0,122,54,38,50,0
123,0,123,54,38,50,0
124,0,124,55,39,50,0
125,0,125,56,40,50,0
126,0,126,56,40,50,0
127,0,127,56,40,50,0
128,0,128,56,40,50,0
129,0,129,56,40,50,0
130,0,130,56,40,50,0
131,0,131,56,40,50,0
132,0,132,56,40,50,0
133,0,133,57,40,50,0
134,0,134,58,41,51,0
