name,recipeinstructions,author,recipeingredient,datepublished,recipeyield,cooktime,totaltime,aggregaterating,nutrition,datemodified,datecreated,yield,isaccessibleforfree,haspart
0,-1,-1,-1,1,0,1,1,-1,-1,1,1,1,1,-1
1,-1,-1,-1,2,0,1,1,-1,-1,2,2,1,1,-1
2,-1,-1,-1,3,0,1,1,-1,-1,3,3,1,1,-1
3,-1,-1,-1,4,0,1,1,-1,-1,4,4,1,1,-1
4,-1,-1,-1,5,0,2,2,-1,-1,5,5,1,1,-1
5,-1,-1,-1,6,0,3,3,-1,-1,6,6,1,1,-1
6,-1,-1,-1,7,0,3,3,-1,-1,7,7,1,1,-1
7,-1,-1,-1,8,0,4,4,-1,-1,8,8,1,1,-1
8,-1,-1,-1,9,0,5,5,-1,-1,9,9,1,1,-1
9,-1,-1,-1,10,0,6,6,-1,-1,10,10,1,1,-1
10,-1,-1,-1,11,0,7,7,-1,-1,11,11,1,1,-1
11,-1,-1,-1,12,0,8,8,-1,-1,12,12,1,1,-1
12,-1,-1,-1,13,0,9,9,-1,-1,13,13,1,1,-1
13,-1,-1,-1,14,0,10,10,-1,-1,14,14,1,1,-1
14,-1,-1,-1,15,0,11,11,-1,-1,15,15,1,1,-1
15,-1,-1,-1,16,0,11,11,-1,-1,16,16,1,1,-1
16,-1,-1,-1,17,0,11,11,-1,-1,17,17,1,1,-1
17,-1,-1,-1,18,0,12,12,-1,-1,18,18,1,1,-1
18,-1,-1,-1,19,0,13,13,-1,-1,19,19,1,1,-1
19,-1,-1,-1,20,0,14,14,-1,-1,20,20,1,1,-1
20,-1,-1,-1,21,0,15,15,-1,-1,21,21,1,1,-1
21,-1,-1,-1,22,0,16,16,-1,-1,22,22,1,1,-1
22,-1,-1,-1,23,0,17,17,-1,-1,22,23,1,1,-1
23,-1,-1,-1,24,0,17,17,-1,-1,22,24,1,1,-1
24,-1,-1,-1,25,0,17,17,-1,-1,23,25,1,1,-1
25,-1,-1,-1,26,0,18,18,-1,-1,24,26,1,1,-1
26,-1,-1,-1,27,0,18,18,-1,-1,25,27,1,1,-1
27,-1,-1,-1,28,0,19,19,-1,-1,26,28,1,1,-1
28,-1,-1,-1,29,0,20,20,-1,-1,27,29,1,1,-1
29,-1,-1,-1,30,0,20,20,-1,-1,28,30,1,1,-1
30,-1,-1,-1,31,0,20,20,-1,-1,29,31,1,1,-1
31,-1,-1,-1,32,0,20,20,-1,-1,30,32,1,1,-1
32,-1,-1,-1,33,0,21,21,-1,-1,31,33,1,1,-1
33,-1,-1,-1,34,0,22,22,-1,-1,32,34,1,1,-1
34,-1,-1,-1,35,0,23,23,-1,-1,32,35,1,1,-1
35,-1,-1,-1,36,0,24,24,-1,-1,33,36,1,1,-1
36,-1,-1,-1,37,0,25,25,-1,-1,34,37,1,1,-1
37,-1,-1,-1,38,0,26,26,-1,-1,35,38,1,1,-1
38,-1,-1,-1,39,0,27,27,-1,-1,36,39,1,1,-1
39,-1,-1,-1,40,0,28,28,-1,-1,37,40,1,1,-1
40,-1,-1,-1,41,0,29,29,-1,-1,38,41,1,1,-1
