recipeinstructions,author,recipeingredient,datepublished,recipeyield,totaltime,aggregaterating,nutrition,mainentityofpage,image,datemodified,publisher
-1,0,-1,0,0,1,-1,-1,0,0,0,0
-1,0,-1,1,1,2,-1,-1,0,0,1,0
-1,0,-1,2,1,3,-1,-1,0,0,2,0
-1,0,-1,3,2,4,-1,-1,0,0,3,0
-1,0,-1,4,3,5,-1,-1,0,0,4,0
-1,0,-1,5,4,6,-1,-1,0,0,5,0
-1,0,-1,6,5,7,-1,-1,0,0,6,0
-1,0,-1,7,6,8,-1,-1,0,0,7,0
-1,0,-1,8,7,9,-1,-1,0,0,8,0
-1,0,-1,9,7,10,-1,-1,0,0,9,0
-1,0,-1,10,8,11,-1,-1,0,0,10,0
-1,0,-1,11,8,12,-1,-1,0,0,11,0
-1,0,-1,12,9,13,-1,-1,0,0,12,0
-1,0,-1,13,10,14,-1,-1,0,0,13,0
-1,0,-1,14,11,15,-1,-1,0,0,14,0
-1,0,-1,15,11,16,-1,-1,0,0,15,0
-1,0,-1,16,11,17,-1,-1,0,0,16,0
-1,0,-1,17,12,18,-1,-1,0,0,17,0
-1,0,-1,18,13,19,-1,-1,0,0,18,0
-1,0,-1,19,14,20,-1,-1,0,0,19,0
-1,0,-1,20,15,21,-1,-1,0,0,20,0
-1,0,-1,21,15,22,-1,-1,0,0,21,0
-1,0,-1,22,16,23,-1,-1,0,0,22,0
-1,0,-1,23,17,23,-1,-1,0,0,23,0
-1,0,-1,24,18,24,-1,-1,0,0,24,0
-1,0,-1,25,19,25,-1,-1,0,0,25,0
-1,0,-1,26,20,25,-1,-1,0,0,26,0
-1,0,-1,27,21,26,-1,-1,0,0,27,0
1,0,-1,28,22,27,-1,-1,0,0,28,0
-1,0,-1,29,23,28,-1,-1,0,0,29,0
-1,0,-1,30,24,29,-1,-1,0,0,30,0
-1,0,-1,31,25,30,-1,-1,0,0,31,0
-1,0,-1,32,26,31,-1,-1,0,0,32,0
-1,0,-1,33,26,32,-1,-1,0,0,33,0
-1,0,-1,34,27,33,-1,-1,0,0,34,0
-1,0,-1,35,28,34,-1,-1,0,0,35,0
-1,0,-1,36,29,35,-1,-1,0,0,36,0
-1,0,-1,37,30,36,-1,-1,0,0,37,0
-1,0,-1,38,30,37,-1,-1,0,0,38,0
-1,0,-1,39,30,38,-1,-1,0,0,39,0
-1,0,-1,40,30,39,-1,-1,0,0,40,0
-1,0,-1,41,30,40,-1,-1,0,0,41,0
-1,0,-1,42,31,41,-1,-1,0,0,42,0
-1,0,-1,43,32,42,-1,-1,0,0,43,0
-1,0,-1,44,32,43,-1,-1,0,0,44,0
-1,0,-1,45,32,44,-1,-1,0,0,45,0
-1,0,-1,46,33,45,-1,-1,0,0,46,0
-1,0,-1,47,34,46,-1,-1,0,0,47,0
-1,0,-1,48,35,47,-1,-1,0,0,48,0
-1,0,-1,49,36,48,-1,-1,0,0,49,0
-1,0,-1,50,37,49,-1,-1,0,0,50,0
