recipeinstructions,author,recipeingredient,recipeyield,recipecategory,totaltime,keywords,aggregaterating,publisher,creator
0,-1,-1,1,1,1,-1,-1,0,1
0,-1,-1,2,2,-1,1,-1,0,2
0,-1,-1,3,-1,-1,1,-1,0,3
0,-1,-1,4,-1,2,1,-1,0,4
0,-1,-1,5,3,3,1,-1,0,5
0,-1,-1,5,4,-1,1,-1,0,6
0,-1,-1,6,5,4,1,-1,0,7
0,-1,-1,7,6,5,1,-1,0,8
0,-1,-1,8,7,6,1,-1,0,9
0,-1,-1,9,-1,7,1,-1,0,10
0,-1,-1,10,8,8,1,-1,0,11
0,-1,-1,11,-1,-1,1,-1,0,12
0,-1,-1,12,9,9,1,-1,0,13
0,-1,-1,13,10,10,1,-1,0,14
0,-1,-1,14,-1,10,1,-1,0,15
0,-1,-1,15,11,11,1,-1,0,16
0,-1,-1,15,12,12,1,-1,0,-1
0,-1,-1,16,-1,13,1,-1,0,17
0,-1,-1,17,13,-1,1,-1,0,18
0,-1,-1,18,-1,-1,1,-1,0,18
0,-1,-1,19,-1,-1,1,-1,0,19
0,-1,-1,20,-1,14,1,-1,0,20
0,-1,-1,21,-1,15,1,-1,0,21
0,-1,-1,21,14,-1,1,-1,0,22
0,-1,-1,22,-1,16,1,-1,0,23
0,-1,-1,23,14,17,1,-1,0,24
0,-1,-1,24,15,18,1,-1,0,25
0,-1,-1,-1,16,-1,1,-1,0,26
0,-1,-1,24,-1,19,1,-1,0,27
0,-1,-1,24,17,20,1,-1,0,27
0,-1,-1,24,18,-1,1,-1,0,28
0,-1,-1,24,-1,21,1,-1,0,29
0,-1,-1,25,19,22,1,-1,0,29
0,-1,-1,26,20,23,1,-1,0,30
0,-1,-1,27,-1,24,1,-1,0,31
0,-1,-1,28,21,-1,1,-1,0,32
0,-1,-1,29,22,25,1,-1,0,33
0,-1,-1,30,23,-1,1,-1,0,34
0,-1,-1,31,24,26,1,-1,0,35
0,-1,-1,31,25,26,1,-1,0,36
0,-1,-1,31,-1,-1,1,-1,0,37
0,-1,-1,32,26,-1,1,-1,0,37
0,-1,-1,32,-1,27,1,-1,0,38
0,-1,-1,32,27,28,1,-1,0,39
0,-1,-1,32,28,29,1,-1,0,40
0,-1,-1,33,-1,30,1,-1,0,41
0,-1,-1,-1,-1,31,1,-1,0,42
0,-1,-1,34,29,-1,1,-1,0,43
0,-1,-1,35,-1,-1,1,-1,0,44
0,-1,-1,36,-1,32,1,-1,0,-1
0,-1,-1,37,30,33,1,-1,0,45
0,-1,-1,38,31,34,1,-1,0,46
0,-1,-1,39,-1,35,1,-1,0,47
0,-1,-1,40,32,36,1,-1,0,48
0,-1,-1,41,-1,37,-1,-1,0,49
0,-1,-1,41,33,-1,1,-1,0,50
0,-1,-1,41,34,38,1,-1,0,51
0,-1,-1,41,35,39,1,-1,0,52
0,-1,-1,42,-1,40,1,-1,0,53
0,-1,-1,43,-1,41,1,-1,0,54
0,-1,-1,44,-1,42,1,-1,0,55
0,-1,-1,45,36,43,1,-1,0,56
0,-1,-1,45,37,44,1,-1,0,57
0,-1,-1,46,38,45,1,-1,0,58
0,-1,-1,47,39,-1,1,-1,0,59
0,-1,-1,48,-1,46,1,-1,0,60
0,-1,-1,49,40,47,1,-1,0,61
0,-1,-1,50,-1,48,1,-1,0,62
0,-1,-1,51,-1,49,1,-1,0,63
0,-1,-1,52,41,50,1,-1,0,64
0,-1,-1,53,42,-1,1,-1,0,65
0,-1,-1,54,43,-1,1,-1,0,66
0,-1,-1,55,-1,51,1,-1,0,67
0,-1,-1,56,44,52,1,-1,0,68
0,-1,-1,57,-1,-1,1,-1,0,-1
0,-1,-1,58,45,-1,1,-1,0,69
0,-1,-1,59,46,53,1,-1,0,70
0,-1,-1,60,47,-1,1,-1,0,71
0,-1,-1,61,48,54,1,-1,0,72
0,-1,-1,62,48,55,1,-1,0,73
0,-1,-1,62,49,-1,1,-1,0,73
0,-1,-1,-1,-1,-1,1,-1,0,74
0,-1,-1,63,-1,56,1,-1,0,74
0,-1,-1,64,-1,-1,1,-1,0,74
0,-1,-1,65,50,57,1,-1,0,75
0,-1,-1,66,51,58,1,-1,0,76
0,-1,-1,66,52,-1,1,-1,0,77
0,-1,-1,67,-1,59,1,-1,0,77
0,-1,-1,68,-1,60,-1,-1,0,78
0,-1,-1,69,52,-1,1,-1,0,79
0,-1,-1,70,-1,61,1,-1,0,80
0,-1,-1,71,53,-1,1,-1,0,81
0,-1,-1,71,-1,62,1,-1,0,82
0,-1,-1,72,-1,-1,1,-1,0,83
0,-1,-1,73,-1,63,1,-1,0,84
0,-1,-1,74,-1,64,1,-1,0,85
0,-1,-1,75,-1,65,1,-1,0,85
0,-1,-1,76,54,66,1,-1,0,86
0,-1,-1,77,55,-1,1,-1,0,87
0,-1,-1,78,56,-1,1,-1,0,88
0,-1,-1,79,-1,-1,1,-1,0,89
0,-1,-1,79,57,-1,1,-1,0,90
0,-1,-1,-1,-1,-1,1,-1,0,91
0,-1,-1,80,58,-1,1,-1,0,91
0,-1,-1,81,59,67,1,-1,0,92
0,-1,-1,82,-1,68,1,-1,0,93
0,-1,-1,83,60,69,1,-1,0,94
0,-1,-1,84,61,70,1,-1,0,-1
0,-1,-1,84,62,-1,1,-1,0,95
0,-1,-1,85,-1,71,1,-1,0,96
0,-1,-1,86,63,-1,1,-1,0,97
0,-1,-1,87,64,72,1,-1,0,98
0,-1,-1,88,65,-1,1,-1,0,99
0,-1,-1,88,66,73,1,-1,0,100
0,-1,-1,88,67,74,1,-1,0,100
0,-1,-1,88,68,75,1,-1,0,101
0,-1,-1,89,69,76,1,-1,0,102
0,-1,-1,90,70,-1,1,-1,0,103
0,-1,-1,91,71,-1,1,-1,0,104
0,-1,-1,92,-1,77,1,-1,0,105
0,-1,-1,93,-1,78,1,-1,0,106
0,-1,-1,94,-1,79,1,-1,0,107
0,-1,-1,95,71,-1,1,-1,0,108
0,-1,-1,95,72,80,1,-1,0,109
0,-1,-1,96,-1,-1,1,-1,0,110
0,-1,-1,97,73,-1,1,-1,0,111
0,-1,-1,98,74,-1,1,-1,0,111
0,-1,-1,99,-1,-1,1,-1,0,112
0,-1,-1,100,-1,-1,1,-1,0,112
0,-1,-1,101,75,81,1,-1,0,113
0,-1,-1,102,76,-1,1,-1,0,113
0,-1,-1,103,77,-1,1,-1,0,114
0,-1,-1,103,-1,82,1,-1,0,115
0,-1,-1,103,78,83,1,-1,0,-1
0,-1,-1,104,-1,-1,1,-1,0,116
0,-1,-1,105,-1,-1,1,-1,0,116
0,-1,-1,106,78,-1,1,-1,0,116
0,-1,-1,107,-1,84,1,-1,0,116
0,-1,-1,108,79,-1,1,-1,0,116
0,-1,-1,109,80,85,1,-1,0,117
0,-1,-1,110,-1,-1,1,-1,0,118
0,-1,-1,111,-1,-1,1,-1,0,118
0,-1,-1,111,81,86,1,-1,0,119
0,-1,-1,112,-1,87,1,-1,0,120
0,-1,-1,112,-1,-1,1,-1,0,121
0,-1,-1,113,-1,88,1,-1,0,122
0,-1,-1,114,-1,-1,1,-1,0,123
0,-1,-1,115,82,89,1,-1,0,123
0,-1,-1,115,83,-1,1,-1,0,123
0,-1,-1,116,-1,90,1,-1,0,124
0,-1,-1,117,-1,91,1,-1,0,125
0,-1,-1,118,84,92,1,-1,0,-1
0,-1,-1,118,85,-1,1,-1,0,125
0,-1,-1,119,86,93,1,-1,0,126
0,-1,-1,120,87,94,1,-1,0,127
0,-1,-1,121,-1,-1,1,-1,0,128
0,-1,-1,122,88,-1,1,-1,0,129
0,-1,-1,123,-1,95,1,-1,0,130
0,-1,-1,124,89,-1,1,-1,0,131
0,-1,-1,125,-1,96,1,-1,0,132
0,-1,-1,126,-1,97,1,-1,0,133
0,-1,-1,127,-1,98,1,-1,0,134
0,-1,-1,128,-1,99,1,-1,0,135
0,-1,-1,128,89,-1,1,-1,0,136
0,-1,-1,129,90,100,1,-1,0,137
0,-1,-1,130,91,-1,1,-1,0,138
0,-1,-1,131,-1,101,1,-1,0,139
0,-1,-1,132,92,-1,1,-1,0,140
0,-1,-1,132,93,-1,1,-1,0,140
0,-1,-1,133,-1,102,1,-1,0,141
0,-1,-1,134,94,103,1,-1,0,142
0,-1,-1,135,95,104,1,-1,0,143
0,-1,-1,136,96,105,1,-1,0,144
0,-1,-1,137,97,106,1,-1,0,145
0,-1,-1,138,98,107,-1,-1,0,146
0,-1,-1,139,99,-1,1,-1,0,147
0,-1,-1,140,100,-1,1,-1,0,147
0,-1,-1,141,-1,108,1,-1,0,-1
0,-1,-1,142,101,109,1,-1,0,148
0,-1,-1,143,-1,-1,1,-1,0,149
0,-1,-1,144,-1,109,1,-1,0,-1
0,-1,-1,145,102,110,1,-1,0,150
0,-1,-1,145,103,111,1,-1,0,150
0,-1,-1,146,104,-1,1,-1,0,151
0,-1,-1,146,105,-1,1,-1,0,151
0,-1,-1,147,106,112,1,-1,0,152
0,-1,-1,148,-1,113,1,-1,0,152
0,-1,-1,149,107,-1,1,-1,0,153
0,-1,-1,150,108,113,1,-1,0,154
0,-1,-1,151,109,-1,1,-1,0,155
0,-1,-1,152,-1,114,1,-1,0,156
0,-1,-1,153,110,-1,1,-1,0,157
0,-1,-1,153,111,-1,1,-1,0,158
0,-1,-1,154,112,-1,1,-1,0,158
0,-1,-1,-1,113,-1,1,-1,0,158
0,-1,-1,155,-1,115,1,-1,0,159
0,-1,-1,156,113,116,1,-1,0,159
0,-1,-1,157,-1,117,-1,-1,0,160
0,-1,-1,158,-1,118,-1,-1,0,161
0,-1,-1,159,114,119,1,-1,0,162
0,-1,-1,160,115,-1,1,-1,0,163
0,-1,-1,161,-1,-1,1,-1,0,163
0,-1,-1,162,-1,-1,1,-1,0,164
0,-1,-1,163,116,-1,1,-1,0,165
0,-1,-1,164,-1,-1,1,-1,0,165
0,-1,-1,165,-1,-1,1,-1,0,165
0,-1,-1,166,117,120,1,-1,0,166
0,-1,-1,167,118,-1,1,-1,0,167
0,-1,-1,167,-1,-1,1,-1,0,168
0,-1,-1,168,-1,121,1,-1,0,169
0,-1,-1,169,-1,122,1,-1,0,169
0,-1,-1,169,119,123,1,-1,0,170
0,-1,-1,170,-1,124,1,-1,0,171
0,-1,-1,171,120,125,1,-1,0,172
0,-1,-1,172,121,126,1,-1,0,173
0,-1,-1,173,122,127,1,-1,0,174
0,-1,-1,174,-1,128,1,-1,0,175
0,-1,-1,175,-1,-1,1,-1,0,175
0,-1,-1,176,123,-1,1,-1,0,176
0,-1,-1,177,-1,-1,1,-1,0,177
0,-1,-1,178,-1,-1,1,-1,0,177
0,-1,-1,178,-1,-1,1,-1,0,178
0,-1,-1,178,124,129,1,-1,0,179
0,-1,-1,178,125,130,1,-1,0,180
0,-1,-1,178,126,131,1,-1,0,181
0,-1,-1,178,127,132,1,-1,0,182
0,-1,-1,-1,128,-1,1,-1,0,183
0,-1,-1,179,-1,133,-1,-1,0,184
0,-1,-1,180,-1,134,1,-1,0,184
0,-1,-1,181,129,135,1,-1,0,185
0,-1,-1,182,-1,136,1,-1,0,186
0,-1,-1,183,-1,137,1,-1,0,187
0,-1,-1,184,130,138,1,-1,0,188
0,-1,-1,185,-1,-1,1,-1,0,189
0,-1,-1,186,-1,139,1,-1,0,190
0,-1,-1,186,131,140,1,-1,0,191
0,-1,-1,186,132,141,1,-1,0,192
0,-1,-1,187,-1,-1,1,-1,0,193
0,-1,-1,188,-1,142,1,-1,0,194
0,-1,-1,189,133,143,1,-1,0,195
0,-1,-1,190,134,144,1,-1,0,-1
0,-1,-1,191,-1,145,1,-1,0,196
0,-1,-1,192,135,-1,1,-1,0,197
0,-1,-1,193,136,146,1,-1,0,198
0,-1,-1,193,137,147,1,-1,0,199
0,-1,-1,194,-1,-1,1,-1,0,200
0,-1,-1,195,-1,148,1,-1,0,201
0,-1,-1,196,138,-1,1,-1,0,202
0,-1,-1,197,139,-1,1,-1,0,203
0,-1,-1,198,-1,149,1,-1,0,-1
0,-1,-1,199,-1,150,1,-1,0,204
0,-1,-1,199,-1,151,1,-1,0,205
0,-1,-1,200,-1,152,1,-1,0,206
0,-1,-1,200,140,-1,1,-1,0,207
0,-1,-1,201,141,-1,1,-1,0,207
0,-1,-1,202,-1,153,1,-1,0,208
0,-1,-1,203,142,154,1,-1,0,209
0,-1,-1,204,143,154,1,-1,0,210
0,-1,-1,205,144,-1,1,-1,0,211
0,-1,-1,206,145,155,1,-1,0,212
0,-1,-1,207,146,156,1,-1,0,213
0,-1,-1,208,-1,157,1,-1,0,214
0,-1,-1,209,-1,158,1,-1,0,215
0,-1,-1,210,-1,159,1,-1,0,216
0,-1,-1,211,-1,-1,1,-1,0,217
0,-1,-1,212,-1,160,1,-1,0,217
0,-1,-1,213,147,161,1,-1,0,218
0,-1,-1,214,-1,162,1,-1,0,219
0,-1,-1,215,148,163,1,-1,0,220
0,-1,-1,216,-1,-1,1,-1,0,221
0,-1,-1,217,-1,164,1,-1,0,222
0,-1,-1,218,149,-1,1,-1,0,223
0,-1,-1,219,-1,-1,1,-1,0,223
0,-1,-1,219,-1,165,1,-1,0,224
0,-1,-1,219,150,166,1,-1,0,225
0,-1,-1,219,151,167,1,-1,0,226
0,-1,-1,220,151,-1,1,-1,0,227
