name,recipeinstructions,author,recipeingredient,datepublished,recipeyield,recipecategory,totaltime,keywords,datemodified
0,-1,0,-1,0,-1,1,-1,-1,0
1,-1,0,-1,1,-1,2,-1,-1,1
2,-1,0,-1,2,-1,3,-1,-1,2
3,-1,0,-1,3,1,-1,-1,-1,3
4,-1,0,-1,4,2,-1,1,-1,4
5,-1,0,-1,5,-1,-1,-1,-1,5
6,-1,0,-1,6,3,-1,2,-1,6
7,-1,0,-1,7,4,-1,3,-1,7
8,-1,0,-1,8,5,4,4,-1,8
9,-1,0,-1,9,6,5,5,-1,9
10,-1,0,-1,10,6,-1,5,-1,10
11,-1,0,-1,11,7,-1,5,-1,11
12,-1,0,-1,12,8,-1,6,-1,12
13,-1,0,-1,13,9,-1,7,-1,13
14,-1,0,-1,14,-1,-1,7,-1,14
15,-1,0,-1,15,10,6,8,-1,15
16,-1,0,-1,16,11,7,9,-1,16
17,-1,0,-1,17,11,-1,10,-1,17
18,-1,0,-1,18,-1,-1,11,-1,18
19,-1,0,-1,19,12,-1,12,-1,19
20,-1,0,-1,20,13,-1,13,-1,20
21,-1,0,-1,21,14,-1,14,-1,21
22,-1,0,-1,22,15,-1,15,-1,22
23,-1,0,-1,23,16,-1,16,-1,23
24,-1,0,-1,24,17,-1,17,-1,24
25,-1,0,-1,25,18,-1,-1,-1,25
26,-1,0,-1,26,-1,-1,18,-1,26
27,-1,0,-1,27,19,-1,18,-1,27
28,-1,0,-1,28,-1,-1,-1,-1,28
29,-1,0,-1,29,20,-1,19,-1,29
30,-1,0,-1,30,-1,8,-1,-1,30
31,-1,0,-1,31,-1,-1,-1,-1,31
32,-1,0,-1,32,-1,9,-1,-1,32
33,-1,0,-1,33,21,-1,20,-1,33
34,-1,0,-1,34,22,-1,21,-1,34
35,-1,0,-1,35,-1,10,-1,-1,35
36,-1,0,-1,36,23,11,22,-1,36
37,-1,0,-1,37,-1,12,-1,-1,37
38,-1,0,-1,38,-1,-1,23,-1,38
39,-1,0,-1,39,24,-1,24,-1,39
40,-1,0,-1,40,-1,-1,-1,-1,40
41,-1,0,-1,41,25,-1,25,-1,41
42,-1,0,-1,42,26,13,26,-1,42
43,-1,0,-1,43,27,-1,27,-1,43
44,-1,0,-1,44,28,-1,28,-1,44
45,-1,0,-1,45,28,-1,29,-1,45
46,-1,0,-1,46,28,14,30,-1,46
47,-1,0,-1,47,29,-1,31,-1,47
48,-1,0,-1,48,30,15,32,-1,48
49,-1,0,-1,49,-1,-1,-1,-1,48
50,-1,0,-1,50,31,-1,33,-1,49
51,-1,0,-1,51,32,-1,34,-1,50
52,-1,0,-1,52,33,-1,34,-1,51
53,-1,0,-1,53,-1,-1,-1,-1,52
54,-1,0,-1,54,-1,16,35,-1,53
55,-1,0,-1,55,34,17,36,-1,54
56,-1,0,-1,56,-1,-1,37,-1,55
57,-1,0,-1,57,-1,18,-1,-1,56
58,-1,0,-1,58,-1,-1,-1,-1,57
59,-1,0,-1,59,-1,-1,38,-1,58
60,-1,0,-1,60,-1,19,-1,-1,59
61,-1,0,-1,61,35,20,39,-1,60
62,-1,0,-1,62,36,-1,40,-1,61
63,-1,0,-1,63,37,21,41,-1,62
64,-1,0,-1,64,38,22,42,-1,63
65,-1,0,-1,65,39,-1,43,-1,64
66,-1,0,-1,66,40,-1,43,-1,65
67,-1,0,-1,67,41,-1,44,-1,66
68,-1,0,-1,68,-1,-1,-1,-1,67
69,-1,0,-1,69,42,-1,45,-1,68
70,-1,0,-1,70,43,23,46,-1,69
71,-1,0,-1,71,44,24,47,-1,70
72,-1,0,-1,72,-1,24,47,-1,71
73,-1,0,-1,73,-1,-1,-1,-1,72
74,-1,0,-1,74,-1,25,48,-1,73
75,-1,0,-1,75,-1,-1,-1,-1,74
76,-1,0,-1,76,45,-1,49,-1,75
77,-1,0,-1,77,45,-1,50,-1,76
78,-1,0,-1,78,-1,-1,-1,-1,77
79,-1,0,-1,79,46,-1,51,-1,78
80,-1,0,-1,80,47,26,-1,-1,79
81,-1,0,-1,81,-1,-1,52,-1,80
82,-1,0,-1,82,47,-1,53,-1,81
83,-1,0,-1,83,-1,-1,-1,-1,82
84,-1,0,-1,84,48,-1,54,-1,83
85,-1,0,-1,85,-1,26,-1,-1,84
86,-1,0,-1,86,49,-1,54,-1,85
87,-1,0,-1,87,50,27,55,-1,86
88,-1,0,-1,88,50,-1,56,-1,87
89,-1,0,-1,89,51,28,-1,-1,88
90,-1,0,-1,90,52,29,57,-1,89
91,-1,0,-1,91,-1,-1,-1,-1,90
92,-1,0,-1,92,53,-1,58,-1,91
93,-1,0,-1,93,53,30,59,-1,92
94,-1,0,-1,94,54,31,60,-1,93
95,-1,0,-1,95,-1,-1,-1,-1,94
96,-1,0,-1,96,55,32,61,-1,95
97,-1,0,-1,97,-1,-1,-1,-1,96
98,-1,0,-1,98,56,33,62,-1,97
99,-1,0,-1,99,57,-1,63,-1,98
100,-1,0,-1,100,58,34,64,-1,99
101,-1,0,-1,101,58,35,65,-1,100
102,-1,0,-1,102,-1,35,66,-1,101
103,-1,0,-1,103,59,-1,67,-1,102
104,-1,0,-1,104,60,36,68,-1,103
105,-1,0,-1,105,-1,-1,-1,-1,104
106,-1,0,-1,106,61,37,69,-1,105
107,-1,0,-1,107,62,38,70,-1,106
108,-1,0,-1,108,-1,39,71,-1,107
109,-1,0,-1,109,-1,-1,-1,-1,108
110,-1,0,-1,110,-1,40,-1,-1,109
111,-1,0,-1,111,63,41,-1,-1,110
112,-1,0,-1,112,64,-1,72,-1,111
113,-1,0,-1,113,65,-1,73,-1,112
114,-1,0,-1,114,66,-1,74,-1,113
115,-1,0,-1,115,66,-1,75,-1,114
