author,recipeingredient,preptime,cooktime,aggregaterating
1,-1,-1,-1,-1
2,-1,-1,-1,-1
3,-1,1,1,-1
4,-1,1,2,-1
5,-1,-1,-1,-1
6,-1,2,3,-1
7,-1,-1,-1,-1
8,-1,2,3,-1
9,-1,-1,-1,-1
10,-1,3,4,-1
11,-1,-1,5,-1
12,-1,4,6,-1
13,-1,5,7,-1
14,-1,6,8,-1
15,-1,7,9,-1
16,-1,8,10,-1
17,-1,9,11,-1
18,-1,10,12,-1
19,-1,-1,-1,-1
20,-1,-1,-1,-1
21,-1,-1,-1,-1
22,-1,11,13,-1
23,-1,11,14,-1
24,-1,-1,-1,-1
25,-1,-1,-1,-1
26,-1,12,15,-1
27,-1,-1,-1,-1
28,-1,13,16,-1
29,-1,13,17,-1
-1,-1,-1,-1,-1
30,-1,-1,-1,-1
31,-1,-1,-1,-1
32,-1,14,18,-1
33,-1,-1,-1,-1
34,-1,15,19,-1
35,-1,16,20,-1
36,-1,-1,-1,-1
37,-1,17,21,-1
-1,-1,-1,-1,-1
38,-1,-1,-1,-1
39,-1,18,21,-1
40,-1,-1,-1,-1
41,-1,19,22,-1
42,-1,19,23,-1
43,-1,20,24,-1
44,-1,-1,-1,-1
45,-1,20,25,-1
46,-1,-1,-1,-1
47,-1,-1,-1,-1
48,-1,-1,-1,-1
49,-1,-1,-1,-1
50,-1,21,26,-1
51,-1,22,27,-1
52,-1,23,28,-1
53,-1,-1,-1,-1
54,-1,23,29,-1
55,-1,-1,-1,-1
56,-1,24,-1,-1
57,-1,-1,-1,-1
58,-1,25,30,-1
59,-1,26,31,-1
60,-1,-1,-1,-1
61,-1,27,32,-1
62,-1,-1,-1,-1
63,-1,-1,-1,-1
64,-1,-1,-1,-1
65,-1,27,33,-1
66,-1,28,34,-1
67,-1,-1,-1,-1
68,-1,-1,-1,-1
69,-1,28,35,-1
70,-1,29,36,-1
71,-1,30,37,-1
72,-1,-1,-1,-1
73,-1,31,38,-1
74,-1,-1,39,-1
75,-1,32,40,-1
76,-1,-1,-1,-1
77,-1,32,41,-1
78,-1,-1,-1,-1
79,-1,32,42,-1
80,-1,-1,-1,-1
81,-1,33,43,-1
82,-1,34,44,-1
83,-1,35,45,-1
84,-1,36,46,-1
85,-1,-1,-1,-1
86,-1,37,47,-1
87,-1,-1,-1,-1
88,1,38,48,-1
89,-1,38,49,-1
90,-1,38,50,-1
91,-1,-1,-1,-1
92,-1,-1,-1,-1
93,-1,38,51,-1
94,-1,-1,-1,-1
95,-1,-1,-1,-1
96,-1,-1,-1,-1
97,-1,-1,-1,-1
98,-1,-1,-1,-1
99,-1,39,52,-1
100,-1,-1,-1,-1
101,-1,-1,-1,-1
102,-1,40,53,-1
103,-1,41,54,-1
104,-1,42,55,-1
105,-1,43,56,-1
106,-1,44,57,-1
107,-1,-1,-1,-1
108,-1,-1,-1,-1
109,-1,45,58,-1
110,-1,46,59,-1
111,-1,-1,-1,-1
112,-1,-1,-1,-1
113,-1,-1,60,-1
114,-1,-1,-1,-1
115,-1,46,61,-1
116,-1,-1,-1,-1
117,-1,46,62,-1
118,-1,-1,-1,-1
119,-1,47,63,-1
120,-1,-1,-1,-1
121,-1,48,64,-1
122,-1,49,65,-1
-1,-1,-1,66,-1
123,-1,50,67,-1
124,-1,51,68,-1
125,-1,-1,-1,-1
126,-1,-1,-1,-1
127,-1,-1,-1,-1
128,-1,-1,-1,-1
129,-1,-1,-1,-1
130,-1,52,-1,-1
131,-1,-1,-1,-1
132,-1,53,69,-1
133,-1,-1,-1,-1
134,-1,54,-1,-1
135,-1,-1,-1,-1
136,-1,-1,-1,-1
137,-1,55,70,-1
138,-1,-1,-1,-1
139,-1,56,71,-1
140,-1,-1,-1,-1
141,-1,57,72,-1
142,-1,-1,-1,-1
143,-1,58,73,-1
144,-1,-1,74,-1
145,-1,-1,-1,-1
146,-1,-1,-1,-1
147,-1,-1,-1,-1
148,-1,-1,-1,-1
149,-1,-1,-1,-1
150,-1,-1,-1,-1
151,-1,-1,-1,-1
152,-1,-1,-1,-1
153,-1,59,-1,-1
154,-1,-1,-1,-1
155,-1,-1,75,-1
156,-1,-1,-1,-1
157,-1,-1,-1,-1
158,-1,59,76,-1
159,-1,-1,-1,-1
160,-1,60,76,-1
161,-1,61,77,-1
162,-1,-1,78,-1
163,-1,-1,-1,-1
164,-1,62,79,-1
165,-1,-1,-1,-1
166,-1,63,80,-1
167,-1,-1,-1,-1
168,-1,-1,-1,-1
169,-1,64,81,-1
170,-1,65,82,-1
171,-1,66,83,-1
172,-1,-1,-1,-1
173,-1,-1,-1,-1
174,-1,-1,-1,-1
175,-1,-1,-1,-1
176,-1,-1,-1,-1
177,-1,-1,-1,-1
178,-1,-1,-1,-1
179,-1,-1,-1,-1
180,-1,67,84,-1
181,-1,67,85,-1
182,-1,-1,-1,-1
183,-1,-1,-1,-1
184,-1,68,86,-1
185,-1,-1,-1,-1
186,-1,69,87,-1
187,-1,-1,-1,-1
188,-1,-1,-1,-1
189,-1,70,88,-1
190,-1,71,89,-1
191,-1,-1,-1,-1
192,-1,72,90,-1
193,-1,-1,-1,-1
194,-1,73,91,-1
195,-1,73,92,-1
196,-1,74,93,-1
197,-1,75,94,-1
198,-1,-1,-1,-1
199,-1,76,95,-1
200,-1,-1,-1,-1
201,-1,77,96,-1
202,-1,-1,-1,-1
203,-1,-1,-1,-1
-1,-1,78,97,-1
204,-1,-1,-1,-1
205,-1,-1,-1,-1
206,-1,-1,-1,-1
207,-1,-1,-1,-1
208,-1,-1,-1,-1
209,-1,79,98,-1
210,-1,-1,-1,-1
211,-1,80,99,-1
212,-1,80,100,-1
213,-1,-1,-1,-1
214,-1,-1,-1,-1
215,-1,-1,-1,-1
216,-1,81,101,-1
217,-1,-1,-1,-1
218,-1,82,102,-1
219,-1,-1,-1,-1
220,-1,-1,-1,-1
221,-1,83,103,-1
222,-1,84,104,-1
223,-1,84,105,-1
223,-1,85,106,-1
224,-1,86,107,-1
225,-1,87,108,-1
226,-1,-1,-1,-1
227,-1,87,109,-1
228,-1,88,110,-1
229,-1,89,111,-1
230,-1,90,112,-1
231,-1,91,113,-1
232,-1,92,114,-1
233,-1,93,115,-1
234,-1,94,116,-1
235,-1,-1,-1,-1
236,-1,95,117,-1
237,-1,-1,-1,-1
238,-1,-1,-1,-1
239,-1,-1,-1,-1
240,-1,-1,-1,-1
241,-1,-1,-1,-1
242,-1,-1,-1,-1
243,-1,-1,-1,-1
244,-1,96,118,-1
245,-1,-1,119,-1
245,-1,96,120,-1
246,-1,-1,-1,-1
247,-1,97,121,-1
248,-1,-1,122,-1
249,-1,98,123,-1
250,-1,99,124,-1
251,-1,100,125,-1
252,-1,100,-1,-1
253,-1,100,126,-1
254,-1,-1,-1,-1
255,-1,-1,-1,-1
256,-1,101,127,-1
257,-1,102,128,-1
258,-1,-1,-1,-1
258,-1,103,129,-1
259,-1,-1,-1,-1
260,-1,-1,-1,-1
261,-1,104,130,-1
262,-1,-1,-1,-1
263,-1,-1,-1,-1
264,-1,-1,-1,-1
265,-1,-1,-1,-1
266,-1,105,131,-1
267,-1,106,132,-1
268,-1,-1,-1,-1
268,-1,-1,-1,-1
269,-1,-1,-1,-1
270,-1,106,133,-1
271,-1,106,134,-1
272,-1,107,135,-1
273,-1,108,136,-1
274,-1,-1,-1,-1
275,-1,108,137,-1
276,-1,109,138,-1
277,-1,110,139,-1
278,-1,111,140,-1
279,-1,111,141,-1
280,-1,112,142,-1
281,-1,-1,-1,-1
282,-1,-1,-1,-1
283,-1,113,143,-1
284,-1,-1,-1,-1
285,-1,-1,-1,-1
286,-1,114,144,-1
287,-1,115,145,-1
288,-1,116,146,-1
289,-1,-1,-1,-1
290,-1,117,147,-1
291,-1,118,148,-1
292,-1,-1,-1,-1
293,-1,-1,-1,-1
294,-1,-1,-1,-1
295,-1,119,149,-1
296,-1,-1,-1,-1
297,-1,-1,-1,-1
298,-1,120,150,-1
299,-1,120,151,-1
300,-1,121,152,-1
301,-1,122,153,-1
302,-1,-1,-1,-1
303,-1,-1,-1,-1
304,-1,-1,-1,-1
305,-1,-1,-1,-1
306,-1,122,154,-1
307,-1,123,155,-1
308,-1,-1,-1,-1
309,-1,124,156,-1
310,-1,125,157,-1
311,-1,-1,-1,-1
312,-1,-1,-1,-1
313,-1,-1,-1,-1
314,-1,126,158,-1
315,-1,-1,-1,-1
316,-1,127,159,-1
317,-1,128,160,-1
318,-1,128,161,-1
319,-1,129,162,-1
320,-1,-1,-1,-1
321,-1,130,163,-1
322,-1,-1,-1,-1
323,-1,131,164,-1
324,-1,131,165,-1
325,-1,132,166,-1
326,-1,-1,-1,-1
327,-1,133,166,-1
328,-1,-1,-1,-1
329,-1,134,167,-1
330,-1,134,168,-1
331,-1,135,169,-1
332,-1,136,170,-1
333,-1,-1,171,-1
334,-1,-1,172,-1
335,-1,-1,-1,-1
336,-1,-1,-1,-1
337,-1,137,173,-1
338,-1,-1,-1,-1
339,-1,-1,-1,-1
340,-1,138,174,-1
341,-1,-1,-1,-1
342,-1,139,175,-1
343,-1,-1,-1,-1
-1,-1,140,176,-1
344,-1,-1,-1,-1
345,-1,-1,-1,-1
346,-1,-1,-1,-1
347,-1,141,177,-1
348,-1,-1,-1,-1
349,-1,142,178,-1
350,-1,-1,179,-1
351,-1,143,180,-1
352,-1,144,181,-1
353,-1,-1,-1,-1
354,-1,-1,-1,-1
355,-1,-1,-1,-1
356,-1,-1,-1,-1
357,-1,-1,-1,-1
358,-1,145,182,-1
359,-1,-1,-1,-1
360,-1,-1,-1,-1
361,-1,-1,-1,-1
362,-1,146,183,-1
-1,-1,-1,-1,-1
363,-1,-1,-1,-1
364,-1,-1,-1,-1
365,-1,-1,-1,-1
366,-1,-1,-1,-1
367,-1,-1,-1,-1
368,-1,146,184,-1
369,-1,147,185,-1
370,-1,148,186,-1
371,-1,149,187,-1
372,-1,-1,-1,-1
373,-1,149,188,-1
374,-1,-1,-1,-1
375,-1,-1,-1,-1
376,-1,-1,-1,-1
377,-1,150,189,-1
378,-1,-1,-1,-1
379,-1,-1,-1,-1
380,-1,151,190,-1
381,-1,-1,191,-1
382,-1,-1,-1,-1
383,-1,152,192,-1
384,-1,153,193,-1
385,-1,-1,-1,-1
386,-1,-1,-1,-1
387,-1,-1,-1,-1
388,-1,-1,-1,-1
389,-1,154,194,-1
390,-1,155,-1,-1
391,-1,156,195,-1
392,-1,-1,-1,-1
393,-1,157,196,-1
394,-1,-1,-1,-1
395,-1,-1,-1,-1
396,-1,-1,-1,-1
397,-1,158,197,-1
398,-1,159,198,-1
399,-1,-1,-1,-1
400,-1,-1,-1,-1
401,-1,-1,199,-1
402,-1,160,200,-1
403,-1,161,201,-1
403,-1,162,202,-1
404,-1,162,203,-1
405,-1,-1,-1,-1
406,-1,-1,-1,-1
407,-1,-1,-1,-1
408,-1,163,204,-1
409,-1,163,205,-1
410,-1,-1,-1,-1
411,-1,164,206,-1
412,-1,-1,-1,-1
413,-1,-1,-1,-1
414,-1,-1,-1,-1
-1,-1,-1,207,-1
415,-1,-1,-1,-1
416,-1,165,208,-1
417,-1,-1,-1,-1
418,-1,-1,-1,-1
419,-1,166,209,-1
420,-1,167,210,-1
421,-1,-1,-1,-1
422,-1,-1,-1,-1
423,-1,-1,-1,-1
424,-1,-1,-1,-1
425,-1,-1,-1,-1
426,-1,168,211,-1
427,-1,-1,-1,-1
428,-1,168,212,-1
429,-1,-1,-1,-1
430,-1,-1,-1,-1
431,-1,-1,-1,-1
432,-1,-1,-1,-1
433,-1,-1,-1,-1
434,-1,168,213,-1
435,-1,-1,-1,-1
436,-1,-1,-1,-1
437,-1,-1,-1,-1
438,-1,169,214,-1
439,-1,-1,-1,-1
440,-1,170,215,-1
441,-1,-1,-1,-1
442,-1,170,215,-1
443,-1,171,216,-1
444,-1,172,217,-1
445,-1,173,218,-1
446,-1,174,219,-1
447,-1,175,-1,-1
448,-1,176,220,-1
449,-1,177,221,-1
450,-1,178,222,-1
451,-1,-1,-1,-1
452,-1,-1,-1,-1
453,-1,179,223,-1
454,-1,180,224,-1
455,-1,181,225,-1
456,-1,182,226,-1
457,-1,183,-1,-1
458,-1,-1,-1,-1
459,-1,-1,-1,-1
460,-1,-1,-1,-1
-1,-1,-1,-1,-1
461,-1,184,227,-1
462,-1,-1,-1,-1
463,-1,-1,-1,-1
464,-1,-1,-1,-1
465,-1,-1,-1,-1
466,-1,-1,-1,-1
467,-1,184,228,-1
468,-1,185,229,-1
469,-1,186,230,-1
470,-1,187,230,-1
471,-1,187,230,-1
472,-1,187,231,-1
473,-1,188,232,-1
474,-1,189,233,-1
475,-1,190,234,-1
476,-1,-1,-1,-1
477,-1,191,235,-1
-1,-1,191,236,-1
478,-1,192,237,-1
479,-1,193,238,-1
480,-1,-1,-1,-1
481,-1,194,239,-1
482,-1,195,239,-1
483,-1,196,240,-1
484,-1,-1,-1,-1
485,-1,-1,-1,-1
486,-1,-1,-1,-1
-1,-1,-1,241,-1
487,-1,197,242,-1
488,-1,-1,-1,-1
489,-1,-1,-1,-1
490,-1,-1,-1,-1
491,-1,-1,-1,-1
492,-1,198,243,-1
493,-1,199,244,-1
494,-1,-1,-1,-1
495,-1,200,245,-1
496,-1,-1,-1,-1
497,-1,-1,-1,-1
498,-1,201,246,-1
499,-1,-1,-1,-1
500,-1,202,247,-1
501,-1,203,248,-1
502,-1,-1,-1,-1
503,-1,-1,-1,-1
504,-1,203,249,-1
505,-1,204,250,-1
506,-1,-1,-1,-1
507,-1,205,251,-1
508,-1,-1,-1,-1
509,-1,205,251,-1
510,-1,206,251,-1
511,-1,207,252,-1
512,-1,208,253,-1
513,-1,208,254,-1
514,-1,209,255,-1
515,-1,-1,-1,-1
516,-1,-1,-1,-1
517,-1,210,256,-1
518,-1,-1,-1,-1
519,-1,-1,-1,-1
520,-1,211,256,-1
521,-1,-1,-1,-1
522,-1,212,257,-1
523,-1,-1,-1,-1
524,-1,-1,-1,-1
525,-1,-1,-1,-1
526,-1,-1,-1,-1
527,-1,213,258,-1
528,-1,214,259,-1
529,-1,-1,-1,-1
530,-1,215,260,-1
531,-1,216,260,-1
532,-1,216,261,-1
532,-1,216,262,-1
533,-1,217,263,-1
534,-1,218,264,-1
535,-1,219,265,-1
-1,-1,-1,-1,-1
536,-1,220,266,-1
537,-1,221,267,-1
-1,-1,-1,268,-1
538,-1,-1,-1,-1
539,-1,222,269,-1
540,-1,-1,-1,-1
541,-1,-1,-1,-1
542,-1,-1,-1,-1
543,-1,223,270,-1
544,-1,-1,-1,-1
545,-1,-1,-1,-1
546,-1,-1,-1,-1
547,-1,224,271,-1
548,-1,224,272,-1
549,-1,225,273,-1
550,-1,-1,-1,-1
551,-1,226,274,-1
552,-1,-1,-1,-1
553,-1,-1,-1,-1
554,-1,-1,-1,-1
-1,-1,227,275,-1
555,-1,228,276,-1
556,-1,-1,-1,-1
557,-1,228,276,-1
558,-1,-1,-1,-1
559,-1,229,-1,-1
560,-1,-1,-1,-1
561,-1,230,277,-1
562,-1,231,278,-1
563,-1,232,279,-1
564,-1,233,280,-1
565,-1,234,-1,-1
566,-1,-1,-1,-1
567,-1,-1,-1,-1
568,-1,-1,-1,-1
569,-1,-1,-1,-1
570,-1,235,281,-1
571,-1,236,282,-1
572,-1,237,283,-1
573,-1,238,284,-1
574,-1,-1,-1,-1
575,-1,239,285,-1
576,-1,-1,-1,-1
577,-1,-1,286,-1
578,-1,240,287,-1
579,-1,-1,-1,-1
580,-1,-1,-1,-1
581,-1,-1,-1,-1
582,-1,-1,-1,-1
583,-1,241,288,-1
584,-1,-1,-1,-1
585,-1,-1,-1,-1
586,-1,242,289,-1
587,-1,-1,-1,-1
588,-1,242,290,-1
589,-1,243,291,-1
590,-1,-1,-1,-1
591,-1,-1,-1,-1
592,-1,244,292,-1
593,-1,-1,-1,-1
594,-1,-1,-1,-1
595,-1,-1,-1,-1
596,-1,-1,-1,-1
597,-1,-1,-1,-1
598,-1,245,293,-1
599,-1,-1,294,-1
600,-1,246,295,-1
601,-1,247,296,-1
602,-1,248,296,-1
603,-1,-1,-1,-1
604,-1,249,297,-1
605,-1,-1,-1,-1
606,-1,-1,-1,-1
607,-1,-1,-1,-1
608,-1,249,298,-1
609,-1,250,299,-1
610,-1,-1,-1,-1
611,-1,251,300,-1
612,-1,252,301,-1
613,-1,252,302,-1
614,-1,-1,-1,-1
615,-1,-1,-1,-1
616,-1,253,303,-1
617,-1,-1,-1,-1
618,-1,-1,-1,-1
619,-1,-1,-1,-1
620,-1,-1,-1,-1
621,-1,-1,-1,-1
622,-1,-1,-1,-1
623,-1,-1,-1,-1
624,-1,-1,-1,-1
625,-1,-1,-1,-1
626,-1,-1,-1,-1
627,-1,253,304,-1
628,-1,-1,-1,-1
629,-1,253,305,-1
630,-1,254,306,-1
631,-1,255,307,-1
632,-1,-1,-1,-1
633,-1,256,-1,-1
634,-1,257,308,-1
635,-1,-1,-1,-1
636,-1,258,309,-1
637,-1,-1,-1,-1
638,-1,-1,-1,-1
639,-1,259,-1,-1
640,-1,260,310,-1
641,-1,261,311,-1
642,-1,262,312,-1
643,-1,-1,-1,-1
644,-1,-1,-1,-1
645,-1,-1,-1,-1
646,-1,-1,-1,-1
647,-1,-1,-1,-1
648,-1,263,313,-1
649,-1,264,314,-1
650,-1,-1,315,-1
651,-1,265,316,-1
652,-1,-1,-1,-1
