name,author,recipeingredient,recipeyield,recipecategory,totaltime,keywords,recipecuisine,aggregaterating,datecreated
0,-1,-1,-1,1,-1,1,-1,-1,-1
1,-1,-1,-1,2,-1,2,-1,-1,-1
2,-1,-1,-1,3,-1,3,-1,-1,-1
3,-1,-1,-1,4,-1,4,-1,-1,-1
4,-1,-1,-1,5,-1,5,-1,-1,-1
5,-1,-1,-1,6,-1,6,-1,-1,-1
6,-1,-1,-1,7,-1,7,-1,-1,-1
7,-1,-1,-1,8,-1,8,-1,-1,-1
8,-1,-1,-1,9,-1,9,-1,-1,-1
9,-1,-1,-1,10,-1,10,-1,-1,-1
10,-1,-1,-1,11,-1,11,-1,-1,-1
11,-1,-1,-1,12,-1,12,-1,-1,-1
12,-1,-1,-1,13,-1,13,-1,-1,-1
13,-1,-1,-1,14,-1,14,-1,-1,-1
14,-1,-1,-1,15,-1,15,-1,-1,-1
15,-1,-1,-1,16,-1,16,-1,-1,-1
16,-1,-1,-1,17,-1,17,-1,-1,-1
17,-1,-1,-1,18,-1,18,-1,-1,-1
18,-1,-1,-1,19,-1,19,-1,-1,-1
19,-1,-1,-1,20,-1,20,-1,-1,-1
20,-1,-1,-1,21,-1,21,-1,-1,-1
21,-1,-1,-1,22,-1,22,-1,-1,-1
22,-1,-1,-1,22,-1,23,-1,-1,-1
23,-1,-1,-1,23,-1,24,-1,-1,-1
24,-1,-1,-1,24,-1,25,-1,-1,-1
25,-1,-1,-1,25,-1,26,-1,-1,-1
26,-1,-1,-1,26,-1,27,-1,-1,-1
27,-1,-1,-1,27,-1,28,-1,-1,-1
28,-1,-1,-1,28,-1,29,-1,-1,-1
29,-1,-1,-1,29,-1,30,-1,-1,-1
30,-1,-1,-1,30,-1,31,-1,-1,-1
31,-1,-1,-1,31,-1,32,-1,-1,-1
32,-1,-1,-1,32,-1,33,-1,-1,-1
33,-1,-1,-1,33,-1,34,-1,-1,-1
34,-1,-1,-1,34,-1,35,-1,-1,-1
35,-1,-1,-1,35,-1,36,-1,-1,-1
36,-1,-1,-1,36,-1,37,-1,-1,-1
37,-1,-1,-1,37,-1,38,-1,-1,-1
38,-1,-1,-1,38,-1,39,-1,-1,-1
39,-1,-1,-1,39,-1,40,-1,-1,-1
40,-1,-1,-1,40,-1,41,-1,-1,-1
41,-1,-1,-1,41,-1,42,-1,-1,-1
42,-1,-1,-1,42,-1,43,-1,-1,-1
43,-1,-1,-1,43,-1,44,-1,-1,-1
44,-1,-1,-1,44,-1,45,-1,-1,-1
45,-1,-1,-1,45,-1,46,-1,-1,-1
46,-1,-1,-1,46,-1,47,-1,-1,-1
47,-1,-1,-1,47,-1,48,-1,-1,-1
48,-1,-1,-1,48,-1,49,-1,-1,-1
49,-1,-1,-1,49,-1,50,-1,-1,-1
50,-1,-1,-1,50,-1,51,-1,-1,-1
51,-1,-1,-1,51,-1,52,-1,-1,-1
52,-1,-1,-1,52,-1,53,-1,-1,-1
53,-1,-1,-1,53,-1,54,-1,-1,-1
54,-1,-1,-1,54,-1,55,-1,-1,-1
55,-1,-1,-1,55,-1,56,-1,-1,-1
56,-1,-1,-1,56,-1,57,-1,-1,-1
57,-1,-1,-1,57,-1,58,-1,-1,-1
58,-1,-1,-1,58,-1,59,-1,-1,-1
59,-1,-1,-1,59,-1,60,-1,-1,-1
60,-1,-1,-1,60,-1,61,-1,-1,-1
61,-1,-1,-1,61,-1,62,-1,-1,-1
62,-1,-1,-1,62,1,63,1,-1,1
63,-1,-1,1,63,2,-1,1,-1,2
64,-1,-1,-1,64,-1,-1,2,-1,3
65,-1,-1,-1,65,-1,-1,3,-1,4
66,-1,-1,-1,66,-1,-1,3,-1,5
67,-1,-1,2,67,3,-1,4,-1,6
68,-1,-1,-1,68,-1,-1,5,-1,7
69,-1,-1,3,69,4,-1,5,-1,8
70,-1,-1,4,70,-1,-1,6,-1,9
71,-1,-1,-1,70,-1,-1,7,-1,10
72,-1,-1,5,71,5,-1,7,-1,11
73,-1,-1,-1,72,-1,-1,7,-1,12
74,-1,-1,5,73,6,-1,7,-1,13
75,-1,-1,-1,74,-1,-1,7,-1,14
76,-1,-1,6,75,7,-1,7,-1,15
77,-1,-1,7,75,8,-1,7,-1,16
78,-1,-1,8,76,9,-1,7,-1,17
79,-1,-1,9,77,10,-1,7,-1,18
80,-1,-1,9,78,11,-1,7,-1,19
81,-1,-1,-1,79,12,64,7,-1,20
82,-1,-1,-1,80,13,-1,7,-1,21
83,-1,1,10,80,14,-1,7,-1,22
84,-1,-1,11,81,-1,-1,7,-1,23
85,-1,-1,12,82,15,65,7,-1,24
86,-1,-1,-1,83,-1,-1,7,-1,25
87,-1,-1,-1,84,16,-1,7,-1,26
88,-1,-1,-1,85,-1,-1,7,-1,27
89,-1,-1,13,86,17,-1,7,-1,28
90,-1,-1,-1,87,-1,-1,7,-1,29
91,-1,-1,14,88,18,-1,8,-1,30
92,-1,-1,-1,89,-1,-1,9,-1,31
93,-1,-1,-1,90,-1,-1,9,-1,32
94,-1,-1,15,91,19,-1,9,-1,33
95,-1,-1,-1,92,-1,-1,9,-1,34
96,-1,-1,-1,93,-1,-1,10,-1,35
97,-1,-1,-1,94,-1,-1,11,-1,36
98,-1,-1,-1,95,-1,-1,12,-1,37
99,-1,-1,16,96,20,-1,13,-1,38
100,-1,-1,-1,97,-1,66,13,-1,39
101,-1,-1,-1,98,-1,-1,13,-1,40
102,-1,-1,-1,99,-1,-1,13,-1,41
103,-1,-1,-1,100,-1,-1,13,-1,42
104,-1,-1,-1,101,-1,-1,13,-1,43
105,-1,-1,-1,102,21,-1,14,-1,44
106,-1,2,17,103,22,67,15,-1,45
107,-1,-1,18,104,22,-1,15,-1,46
108,-1,-1,-1,105,-1,-1,15,-1,47
109,-1,-1,-1,106,-1,-1,15,-1,48
110,-1,-1,-1,107,-1,-1,15,-1,49
111,-1,-1,-1,107,-1,-1,15,-1,50
112,-1,3,-1,108,23,-1,15,-1,51
113,-1,-1,-1,109,24,67,16,-1,52
114,-1,-1,-1,110,-1,-1,17,-1,53
115,-1,-1,18,111,25,68,17,-1,54
116,-1,-1,-1,112,26,-1,17,-1,55
117,-1,-1,-1,112,-1,69,17,-1,56
118,-1,-1,-1,113,-1,-1,18,-1,57
119,-1,-1,-1,114,-1,-1,19,-1,58
120,-1,-1,18,115,27,-1,20,-1,59
121,-1,-1,-1,116,-1,-1,21,-1,60
122,-1,-1,-1,117,28,-1,21,-1,61
123,-1,-1,19,118,29,-1,21,-1,62
124,-1,-1,20,119,30,-1,21,-1,63
125,-1,-1,20,120,31,70,21,-1,64
126,-1,-1,21,121,32,-1,21,-1,65
127,-1,-1,-1,122,-1,-1,21,-1,66
128,-1,-1,21,123,32,-1,21,-1,67
129,-1,-1,-1,124,-1,-1,21,-1,68
130,-1,-1,-1,125,33,71,21,-1,69
131,-1,-1,-1,126,34,-1,22,-1,70
132,-1,-1,22,127,35,-1,23,-1,71
133,-1,-1,23,128,-1,-1,23,-1,72
134,-1,-1,-1,129,-1,-1,23,-1,73
135,-1,-1,-1,130,-1,-1,23,-1,74
136,-1,-1,-1,131,-1,-1,23,-1,75
137,-1,-1,-1,132,-1,-1,23,-1,76
138,-1,-1,-1,133,36,72,23,-1,77
139,-1,-1,24,134,37,-1,23,-1,78
140,-1,-1,-1,135,38,-1,23,-1,79
141,-1,-1,-1,136,-1,-1,23,-1,80
142,-1,-1,25,137,39,73,24,-1,81
143,-1,-1,-1,138,-1,-1,25,-1,82
144,-1,-1,26,139,-1,-1,25,-1,83
145,-1,-1,-1,140,-1,74,25,-1,84
146,-1,-1,-1,141,40,-1,25,-1,85
147,-1,4,27,142,41,75,25,-1,86
148,-1,-1,-1,143,-1,-1,25,-1,87
149,-1,-1,-1,144,42,-1,26,-1,88
150,-1,-1,28,145,-1,-1,27,-1,89
151,-1,-1,-1,146,-1,-1,27,-1,90
152,-1,-1,29,147,43,-1,27,-1,91
153,-1,-1,30,148,44,-1,27,-1,92
154,-1,-1,31,149,45,-1,27,-1,93
155,-1,-1,32,150,-1,-1,27,-1,94
156,-1,-1,33,151,46,-1,27,-1,95
157,-1,-1,34,152,47,-1,27,-1,96
158,-1,-1,-1,153,47,-1,27,-1,97
159,-1,-1,-1,154,-1,-1,27,-1,98
160,-1,-1,35,155,48,-1,27,-1,99
161,-1,-1,36,156,49,-1,28,-1,100
162,-1,-1,-1,157,-1,-1,29,-1,101
163,-1,-1,37,158,-1,-1,29,-1,102
164,-1,-1,-1,159,-1,-1,29,-1,103
165,-1,-1,-1,160,50,-1,29,-1,104
166,-1,-1,-1,161,-1,-1,29,-1,105
167,-1,-1,37,162,50,-1,29,-1,106
168,-1,-1,38,163,50,-1,30,-1,107
169,-1,-1,39,164,51,-1,31,-1,108
170,-1,-1,-1,165,52,-1,31,-1,109
171,-1,-1,-1,166,53,-1,31,-1,110
172,-1,5,40,166,54,-1,32,-1,111
173,-1,-1,-1,167,-1,-1,33,-1,112
174,-1,-1,41,168,55,-1,33,-1,113
175,-1,-1,-1,169,-1,-1,33,-1,114
176,-1,-1,-1,170,-1,-1,34,-1,115
177,-1,6,-1,171,56,-1,35,-1,116
178,-1,-1,41,172,57,-1,35,-1,117
179,-1,-1,-1,173,-1,-1,35,-1,118
180,-1,-1,42,174,58,-1,35,-1,119
181,-1,-1,43,174,59,-1,35,-1,120
182,-1,-1,44,175,60,-1,35,-1,121
183,-1,7,45,176,61,-1,35,-1,122
184,-1,-1,-1,177,-1,-1,35,-1,123
185,-1,-1,-1,178,-1,-1,36,-1,124
186,-1,-1,-1,179,-1,76,37,-1,125
187,-1,-1,-1,180,-1,77,37,-1,126
188,-1,-1,45,181,61,-1,37,-1,127
189,-1,-1,-1,182,-1,-1,37,-1,128
190,-1,-1,-1,183,-1,-1,37,-1,129
191,-1,-1,-1,184,-1,-1,37,-1,130
192,-1,-1,46,185,61,-1,37,-1,131
193,-1,-1,47,186,62,-1,37,-1,132
194,-1,-1,-1,187,-1,-1,37,-1,133
195,-1,8,48,188,-1,-1,37,-1,134
196,-1,-1,49,189,-1,-1,38,-1,135
197,-1,-1,-1,190,-1,-1,39,-1,136
198,-1,-1,50,191,63,-1,39,-1,137
199,-1,-1,-1,192,-1,-1,39,-1,138
200,-1,-1,51,193,64,-1,39,-1,139
201,-1,-1,-1,194,-1,-1,39,-1,140
202,-1,-1,-1,195,-1,-1,39,-1,141
203,-1,-1,-1,196,-1,-1,39,-1,142
204,-1,-1,-1,197,-1,-1,39,-1,143
205,-1,9,-1,198,65,-1,39,-1,144
206,-1,-1,-1,199,-1,-1,39,-1,145
207,-1,-1,-1,200,-1,-1,39,-1,146
208,-1,-1,52,201,66,-1,40,-1,147
209,-1,-1,-1,202,-1,-1,41,-1,148
210,-1,-1,53,203,66,-1,41,-1,149
211,-1,10,-1,204,67,-1,41,-1,150
212,-1,-1,-1,205,-1,78,41,-1,151
213,-1,-1,-1,206,-1,-1,41,-1,152
214,-1,-1,54,207,-1,-1,41,-1,153
215,-1,-1,-1,208,-1,-1,41,-1,154
216,-1,-1,-1,209,-1,-1,41,-1,155
217,-1,-1,-1,210,-1,-1,41,-1,156
218,-1,-1,-1,211,-1,-1,41,-1,157
219,-1,-1,-1,212,-1,-1,41,-1,158
220,-1,-1,-1,213,68,-1,41,-1,159
221,-1,-1,54,214,69,-1,41,-1,160
222,-1,-1,-1,215,70,-1,41,-1,161
223,-1,-1,55,216,71,-1,41,-1,162
224,-1,-1,56,217,72,-1,42,-1,163
225,-1,-1,-1,217,-1,-1,43,-1,164
226,-1,11,-1,218,-1,-1,43,-1,165
227,-1,-1,-1,219,-1,-1,43,-1,166
228,-1,-1,-1,220,73,-1,44,-1,167
229,-1,-1,-1,221,-1,-1,45,-1,168
230,-1,-1,-1,222,-1,-1,45,-1,169
231,-1,-1,-1,223,-1,-1,45,-1,170
232,-1,-1,-1,224,-1,-1,45,-1,171
233,-1,-1,-1,225,-1,-1,46,-1,172
234,-1,-1,-1,226,-1,-1,47,-1,173
235,-1,-1,-1,227,-1,79,48,-1,174
236,-1,-1,-1,228,-1,-1,48,-1,175
237,-1,-1,-1,229,74,-1,48,-1,176
238,-1,-1,57,230,-1,-1,48,-1,177
239,-1,-1,-1,231,-1,-1,49,-1,178
240,-1,-1,-1,232,-1,-1,50,-1,179
241,-1,-1,58,233,75,-1,50,-1,180
242,-1,-1,-1,234,-1,-1,50,-1,181
243,-1,-1,-1,235,-1,-1,50,-1,182
244,-1,-1,59,236,76,80,50,-1,183
245,-1,-1,-1,237,-1,-1,50,-1,184
246,-1,-1,-1,238,77,-1,50,-1,185
247,-1,12,-1,239,-1,-1,50,-1,186
248,-1,13,60,239,78,-1,50,-1,187
249,-1,-1,61,240,79,-1,50,-1,188
250,-1,-1,-1,241,80,-1,50,-1,189
251,-1,-1,61,242,81,-1,51,-1,190
252,-1,-1,-1,243,-1,-1,52,-1,191
253,-1,14,-1,244,82,-1,53,-1,192
254,-1,-1,-1,245,-1,-1,54,-1,193
255,-1,-1,-1,246,-1,-1,55,-1,194
256,-1,-1,-1,247,83,81,56,-1,195
257,-1,-1,61,248,84,-1,56,-1,196
258,-1,-1,62,249,85,82,56,-1,197
259,-1,-1,63,250,86,-1,56,-1,198
260,-1,-1,64,251,87,-1,57,-1,199
261,-1,-1,65,252,88,-1,58,-1,200
262,-1,-1,66,253,88,-1,58,-1,201
263,-1,15,67,254,89,-1,58,-1,202
264,-1,-1,-1,255,-1,-1,58,-1,203
265,-1,-1,68,256,-1,-1,58,-1,204
266,-1,-1,-1,257,90,-1,58,-1,205
267,-1,-1,-1,258,-1,-1,58,-1,206
268,-1,-1,69,259,91,-1,58,-1,207
269,-1,-1,-1,260,92,-1,58,-1,208
270,-1,-1,70,261,92,-1,58,-1,209
271,-1,-1,71,262,93,-1,58,-1,210
272,-1,-1,-1,262,-1,-1,58,-1,211
273,-1,-1,-1,263,-1,-1,58,-1,212
274,-1,-1,-1,264,94,-1,58,-1,213
275,-1,-1,-1,265,-1,-1,58,-1,214
276,-1,-1,72,266,95,-1,58,-1,215
277,-1,-1,73,267,96,-1,58,-1,216
278,-1,-1,-1,268,-1,-1,58,-1,217
279,-1,-1,74,269,97,-1,58,-1,218
280,-1,-1,-1,270,-1,-1,59,-1,219
281,-1,16,-1,271,-1,-1,60,-1,220
282,-1,-1,75,272,98,-1,60,-1,221
283,-1,-1,-1,273,-1,-1,60,-1,222
284,-1,-1,-1,274,-1,-1,60,-1,223
285,-1,-1,76,275,99,-1,60,-1,224
286,-1,-1,76,276,100,-1,60,-1,225
287,-1,-1,77,277,101,-1,60,-1,226
288,-1,-1,78,278,102,-1,60,-1,227
289,-1,-1,-1,279,-1,-1,60,-1,228
290,-1,-1,79,280,-1,-1,60,-1,229
291,-1,-1,-1,281,103,-1,60,-1,230
