author,datepublished,recipeyield,preptime,cooktime,recipecategory,totaltime,datemodified,publisher,isaccessibleforfree
0,0,1,-1,-1,1,-1,1,0,0
0,1,1,1,1,2,1,2,0,0
0,2,2,2,2,2,2,3,0,0
0,3,-1,-1,-1,3,-1,-1,0,0
0,4,-1,2,-1,4,3,-1,0,0
0,5,-1,-1,-1,5,-1,-1,0,0
0,6,-1,3,3,6,4,4,0,0
0,7,3,4,-1,7,5,-1,0,0
0,8,4,4,3,8,6,-1,0,0
0,9,5,5,4,9,7,5,0,0
0,10,6,6,-1,10,8,6,0,0
0,11,7,7,-1,11,9,-1,0,0
0,12,-1,-1,-1,12,-1,7,0,0
0,13,8,8,5,13,10,-1,0,0
0,14,9,9,6,13,11,8,0,0
0,15,10,10,-1,14,12,-1,0,0
0,16,11,11,-1,15,13,-1,0,0
0,17,12,11,7,16,14,-1,0,0
0,18,13,12,-1,16,15,9,0,0
0,19,-1,-1,-1,17,-1,-1,0,0
0,20,14,13,8,17,16,-1,0,0
0,21,14,13,-1,18,17,10,0,0
0,22,14,14,9,19,18,-1,0,0
0,23,15,15,10,19,19,-1,0,0
0,24,-1,-1,-1,20,-1,-1,0,0
0,25,16,16,-1,21,20,11,0,0
0,26,17,-1,-1,22,-1,-1,0,0
0,27,17,17,11,23,21,12,0,0
0,28,18,18,12,24,22,13,0,0
0,29,19,19,13,24,23,-1,0,0
0,30,20,20,14,24,24,14,0,0
0,31,20,21,15,25,25,15,0,0
0,32,21,22,16,26,26,-1,0,0
0,33,22,23,-1,27,27,-1,0,0
0,34,23,24,17,27,28,-1,0,0
0,35,24,25,-1,28,29,16,0,0
0,36,-1,26,-1,28,30,-1,0,0
0,37,24,27,18,29,31,17,0,0
0,38,25,28,19,30,32,18,0,0
0,39,-1,-1,-1,31,-1,-1,0,0
0,40,26,29,20,32,33,-1,0,0
0,41,27,30,21,33,34,-1,0,0
0,42,28,31,22,34,35,19,0,0
0,43,29,32,23,35,36,20,0,0
0,44,29,33,-1,36,37,21,0,0
0,45,29,34,24,36,38,-1,0,0
0,46,30,-1,-1,37,-1,-1,0,0
0,47,30,35,25,38,39,22,0,0
0,48,30,36,26,38,40,-1,0,0
0,49,-1,-1,-1,39,-1,-1,0,0
0,50,31,37,27,40,41,-1,0,0
0,51,32,-1,-1,41,-1,-1,0,0
0,52,33,38,28,42,42,-1,0,0
0,53,34,39,29,43,43,23,0,0
0,54,35,40,-1,44,44,-1,0,0
0,55,35,41,30,44,45,-1,0,0
0,56,-1,41,31,44,46,-1,0,0
0,57,36,42,32,44,47,-1,0,0
0,58,36,43,33,44,48,-1,0,0
0,59,37,44,34,45,49,24,0,0
0,60,38,45,-1,46,50,25,0,0
0,61,38,46,35,47,51,26,0,0
0,62,39,-1,-1,48,-1,-1,0,0
0,63,40,47,36,49,52,27,0,0
0,64,41,48,37,50,53,28,0,0
0,65,41,49,38,50,53,29,0,0
0,66,-1,50,39,50,54,30,0,0
0,67,41,51,40,51,55,31,0,0
0,68,-1,52,41,52,56,-1,0,0
0,69,42,53,42,53,57,32,0,0
0,70,43,54,43,54,58,33,0,0
0,71,44,55,-1,55,59,34,0,0
0,72,45,-1,44,55,60,35,0,0
0,73,45,56,-1,56,61,36,0,0
0,74,45,57,45,57,62,37,0,0
0,75,45,58,46,58,63,38,0,0
0,76,45,59,-1,58,64,39,0,0
0,77,46,60,47,58,65,40,0,0
0,78,46,61,47,58,66,41,0,0
0,79,-1,-1,-1,59,-1,42,0,0
0,80,-1,-1,-1,59,-1,-1,0,0
0,81,46,62,48,60,66,-1,0,0
0,82,47,62,49,61,67,-1,0,0
0,83,48,63,50,62,68,43,0,0
0,84,49,64,-1,63,69,44,0,0
0,85,50,65,51,64,70,-1,0,0
0,86,51,66,52,65,71,-1,0,0
0,87,52,67,53,66,72,-1,0,0
0,88,53,68,54,67,73,45,0,0
0,89,53,-1,-1,68,-1,46,0,0
0,90,54,69,55,69,74,-1,0,0
0,91,55,70,56,70,75,47,0,0
0,92,55,-1,-1,70,-1,48,0,0
0,93,56,71,57,71,76,49,0,0
0,94,56,71,58,72,77,50,0,0
0,95,-1,72,59,73,78,-1,0,0
0,96,56,73,60,73,79,-1,0,0
0,97,56,74,61,73,80,51,0,0
0,98,57,74,62,74,81,52,0,0
0,99,58,75,-1,75,82,-1,0,0
0,100,59,-1,63,76,83,53,0,0
0,101,60,76,64,77,84,54,0,0
