recipeinstructions,author,recipeingredient,datepublished,recipeyield,preptime,cooktime,recipecategory,recipecuisine,nutrition,datemodified
0,0,-1,0,1,1,1,1,1,-1,0
0,0,-1,0,2,2,2,2,2,-1,0
0,0,-1,0,3,3,-1,3,3,-1,0
0,0,-1,0,4,4,-1,4,3,-1,0
0,0,-1,0,4,5,3,5,3,-1,0
0,0,-1,0,5,6,4,6,3,-1,0
0,0,-1,0,6,7,5,7,4,-1,0
0,0,-1,0,7,7,6,8,5,-1,0
0,0,-1,0,8,8,7,9,-1,-1,0
0,0,-1,0,-1,9,8,-1,-1,-1,1
0,0,-1,0,9,10,-1,10,-1,-1,2
0,0,-1,0,10,10,9,11,6,-1,2
0,0,-1,0,11,11,10,12,-1,-1,3
0,0,-1,0,-1,12,11,-1,-1,-1,3
0,0,-1,0,12,12,-1,13,7,-1,4
0,0,-1,0,12,13,12,14,-1,-1,4
0,0,-1,0,13,14,13,15,8,-1,4
0,0,-1,0,13,15,-1,16,9,-1,5
0,0,-1,0,-1,-1,-1,17,10,-1,6
0,0,-1,0,14,16,14,17,11,-1,7
0,0,-1,0,15,17,15,17,12,-1,7
0,0,-1,0,16,18,16,17,13,-1,7
0,0,-1,0,17,19,-1,18,14,-1,7
0,0,-1,0,18,20,17,19,14,-1,7
0,0,-1,0,19,21,-1,20,14,-1,7
0,0,-1,0,20,22,18,21,14,-1,7
0,0,-1,0,21,23,19,22,15,-1,7
0,0,-1,0,22,24,20,23,16,-1,7
0,0,-1,0,23,24,21,24,16,-1,7
0,0,-1,0,24,24,22,25,17,-1,7
0,0,-1,0,25,25,23,26,18,-1,7
0,0,-1,0,26,25,24,26,18,-1,7
0,0,-1,0,27,25,25,27,18,-1,7
0,0,-1,0,28,26,-1,28,18,-1,7
0,0,-1,0,29,27,26,29,18,-1,8
0,0,-1,0,-1,27,27,30,19,-1,9
0,0,-1,1,30,27,28,31,20,-1,10
0,0,-1,2,31,28,29,32,21,-1,10
0,0,-1,2,31,29,30,33,22,-1,10
0,0,-1,2,32,30,31,34,23,-1,10
0,0,-1,2,33,31,-1,35,24,-1,10
0,0,-1,2,-1,31,32,-1,-1,-1,11
0,0,-1,2,34,32,33,36,25,-1,12
0,0,-1,2,35,32,-1,37,25,-1,12
0,0,-1,2,36,33,34,38,25,-1,12
0,0,-1,2,36,34,35,39,26,-1,12
