author,datepublished,recipeyield,preptime,cooktime,totaltime,keywords,recipecuisine,datemodified,publisher,datecreated,articlesection,editor
0,0,0,1,1,-1,1,1,0,0,0,0,0
0,1,1,2,2,1,-1,-1,1,0,1,0,0
0,2,2,2,3,2,-1,-1,2,0,2,0,0
0,3,2,3,-1,3,-1,-1,3,0,3,0,0
0,4,3,4,4,-1,-1,-1,4,0,4,0,0
0,5,4,5,5,-1,-1,-1,5,0,5,0,0
0,6,4,6,6,4,-1,-1,6,0,6,0,0
0,7,5,7,7,-1,2,2,7,0,7,0,0
0,8,6,8,-1,5,3,3,8,0,8,0,0
0,9,7,9,8,-1,-1,-1,9,0,9,0,0
0,10,8,10,9,-1,-1,-1,10,0,10,0,0
0,11,9,10,10,-1,-1,-1,11,0,11,0,0
0,12,9,11,11,-1,-1,-1,12,0,12,0,0
0,13,10,12,-1,-1,4,4,13,0,13,0,0
0,14,11,13,12,6,-1,-1,14,0,14,0,0
0,15,12,13,13,-1,-1,-1,15,0,15,0,0
0,16,13,13,14,-1,-1,-1,16,0,16,0,0
0,17,14,14,15,-1,5,5,17,0,17,0,0
0,18,14,15,16,-1,6,6,18,0,18,0,0
0,19,14,16,17,7,7,7,19,0,19,0,0
0,20,14,17,18,-1,-1,-1,20,0,20,0,0
0,21,15,18,18,8,-1,-1,21,0,21,0,0
0,22,16,19,-1,9,8,8,22,0,22,0,0
0,23,17,-1,19,10,9,9,23,0,23,0,0
0,24,18,20,20,-1,-1,-1,24,0,24,0,0
0,25,19,21,-1,11,-1,-1,25,0,25,0,0
0,26,20,22,21,-1,10,10,26,0,26,0,0
0,27,21,-1,-1,-1,11,11,27,0,27,0,0
0,28,22,-1,-1,-1,-1,-1,28,0,28,0,0
0,29,23,23,22,12,-1,-1,29,0,29,0,0
0,30,23,24,23,13,-1,-1,30,0,30,0,0
0,31,23,25,-1,14,12,12,31,0,31,0,0
0,32,24,26,24,-1,13,13,32,0,32,0,0
0,33,25,27,-1,15,-1,-1,33,0,33,0,0
0,34,26,28,25,16,-1,-1,34,0,34,0,0
0,35,27,29,25,17,-1,-1,35,0,35,0,0
0,36,28,30,26,18,14,14,36,0,36,0,0
0,37,28,31,27,19,-1,-1,37,0,37,0,0
0,38,29,32,-1,20,-1,-1,38,0,38,0,0
0,39,30,33,28,21,15,15,39,0,39,0,0
0,40,31,34,29,-1,-1,-1,40,0,40,0,0
0,41,31,35,30,-1,16,16,41,0,41,0,0
0,42,32,36,31,-1,-1,-1,42,0,42,0,0
0,43,33,-1,-1,-1,-1,-1,43,0,43,0,0
0,44,34,37,32,-1,17,17,44,0,44,0,0
0,45,35,38,32,22,-1,-1,45,0,45,0,0
0,46,36,39,-1,-1,18,18,46,0,46,0,0
0,47,36,40,33,23,-1,-1,47,0,47,0,0
0,48,36,40,34,-1,-1,-1,48,0,48,0,0
0,49,36,40,-1,-1,19,19,49,0,49,0,0
0,50,37,41,35,24,-1,-1,50,0,50,0,0
0,51,38,41,36,-1,-1,-1,51,0,51,0,0
0,52,39,42,37,-1,-1,-1,52,0,52,0,0
0,53,40,43,37,25,-1,-1,53,0,53,0,0
0,54,41,44,38,-1,20,20,54,0,54,0,0
0,55,41,45,39,-1,21,21,55,0,55,0,0
0,56,42,46,40,-1,22,22,56,0,56,0,0
0,57,43,46,-1,-1,22,22,57,0,57,0,0
0,58,44,47,41,-1,23,23,58,0,58,0,0
0,59,45,48,42,-1,24,24,59,0,59,0,0
0,60,45,49,43,-1,25,25,60,0,60,0,0
0,61,46,50,44,26,26,26,61,0,61,0,0
0,62,47,51,45,-1,-1,-1,62,0,62,0,0
0,63,48,52,46,-1,27,27,63,0,63,0,0
0,64,49,53,-1,27,-1,-1,64,0,64,0,0
0,65,50,54,-1,-1,27,27,65,0,65,0,0
0,66,51,54,-1,28,-1,-1,66,0,66,0,0
0,67,52,54,47,-1,28,28,67,0,67,0,0
0,68,52,55,48,-1,29,29,68,0,68,0,0
0,69,53,56,49,-1,-1,-1,69,0,69,0,0
0,70,54,57,50,-1,-1,-1,70,0,70,0,0
0,71,54,58,51,-1,-1,-1,71,0,71,0,0
0,72,55,59,52,28,-1,-1,72,0,72,0,0
0,73,56,60,53,-1,30,30,73,0,73,0,0
0,74,57,61,54,29,31,31,74,0,74,0,0
0,75,58,62,-1,-1,32,32,75,0,75,0,0
0,76,59,62,55,30,-1,-1,76,0,76,0,0
0,77,60,63,56,-1,33,33,77,0,77,0,0
0,78,61,63,57,-1,-1,-1,78,0,78,0,0
0,79,62,64,58,31,-1,-1,79,0,79,0,0
0,80,63,65,59,-1,-1,-1,80,0,80,0,0
0,81,64,65,59,32,34,34,81,0,81,0,0
0,82,65,66,60,33,35,35,82,0,82,0,0
0,83,66,67,61,-1,-1,-1,83,0,83,0,0
0,84,67,68,62,-1,36,36,84,0,84,0,0
0,85,67,69,63,34,-1,-1,85,0,85,0,0
0,86,68,69,64,-1,-1,-1,86,0,86,0,0
0,87,69,70,65,35,-1,-1,87,0,87,0,0
0,88,70,71,66,36,37,37,88,0,88,0,0
0,89,71,71,67,37,-1,-1,89,0,89,0,0
0,90,72,72,68,38,-1,-1,90,0,90,0,0
0,91,73,73,-1,-1,-1,-1,91,0,91,0,0
0,92,74,74,69,-1,38,38,92,0,92,0,0
0,93,75,75,-1,39,39,39,93,0,93,0,0
0,94,76,76,70,-1,-1,-1,94,0,94,0,0
0,95,77,77,-1,40,40,40,95,0,95,0,0
0,96,77,78,71,-1,-1,-1,96,0,96,0,0
0,97,77,79,72,-1,-1,-1,97,0,97,0,0
0,98,77,80,73,-1,-1,-1,98,0,98,0,0
0,99,78,81,74,41,-1,-1,99,0,99,0,0
0,100,79,82,75,-1,41,41,100,0,100,0,0
0,101,80,83,-1,-1,-1,-1,101,0,101,0,0
0,102,81,84,76,-1,42,42,102,0,102,0,0
0,103,82,85,77,-1,43,43,103,0,103,0,0
0,104,83,86,78,-1,-1,-1,104,0,104,0,0
0,105,84,87,79,-1,-1,-1,105,0,105,0,0
0,106,85,88,80,42,-1,-1,106,0,106,0,0
0,107,86,89,-1,-1,44,44,107,0,107,0,0
0,108,86,90,80,43,-1,-1,108,0,108,0,0
0,109,86,91,-1,-1,45,45,109,0,109,0,0
0,110,87,92,81,-1,-1,-1,110,0,110,0,0
0,111,87,93,82,44,-1,-1,111,0,111,0,0
0,112,88,94,83,45,46,46,112,0,112,0,0
0,113,89,95,84,46,-1,-1,113,0,113,0,0
0,114,90,96,-1,-1,47,47,114,0,114,0,0
0,115,91,97,85,-1,-1,-1,115,0,115,0,0
0,116,92,98,-1,-1,-1,-1,116,0,116,0,0
0,117,93,99,86,-1,-1,-1,117,0,117,0,0
0,118,93,100,87,-1,-1,-1,118,0,118,0,0
0,119,93,100,88,-1,48,48,119,0,119,0,0
0,120,94,101,89,47,-1,-1,120,0,120,0,0
0,121,95,102,90,-1,-1,-1,121,0,121,0,0
0,122,96,-1,-1,-1,-1,-1,122,0,122,0,0
0,123,97,103,91,48,-1,-1,123,0,123,0,0
0,124,98,104,92,49,-1,-1,124,0,124,0,0
0,125,99,105,93,-1,-1,-1,125,0,125,0,0
0,126,99,105,93,-1,-1,-1,126,0,126,0,0
0,127,100,105,94,-1,-1,-1,127,0,127,0,0
0,128,101,106,94,50,-1,-1,128,0,128,0,0
0,129,102,107,95,-1,-1,-1,129,0,129,0,0
0,130,102,107,96,51,48,48,130,0,130,0,0
0,131,103,108,-1,-1,49,49,131,0,131,0,0
0,132,104,109,97,52,-1,-1,132,0,132,0,0
0,133,105,110,98,53,50,50,133,0,133,0,0
0,134,106,111,99,-1,-1,-1,134,0,134,0,0
0,135,106,112,100,54,-1,-1,135,0,135,0,0
0,136,106,113,101,-1,-1,-1,136,0,136,0,0
0,137,107,114,102,55,-1,-1,137,0,137,0,0
0,138,108,115,103,-1,-1,-1,138,0,138,0,0
0,139,109,116,104,56,-1,-1,139,0,139,0,0
0,140,110,117,-1,57,51,51,140,0,140,0,0
0,141,111,117,-1,-1,52,52,141,0,141,0,0
0,142,112,118,105,-1,-1,-1,142,0,142,0,0
0,143,113,119,106,58,-1,-1,143,0,143,0,0
0,144,114,120,107,59,-1,-1,144,0,144,0,0
0,145,115,121,108,60,53,53,145,0,145,0,0
0,146,115,122,109,-1,54,54,146,0,146,0,0
0,147,115,123,110,-1,55,55,147,0,147,0,0
0,148,116,124,110,-1,-1,-1,148,0,148,0,0
0,149,117,125,111,61,56,56,149,0,149,0,0
0,150,118,126,112,-1,-1,-1,150,0,150,0,0
0,151,119,126,113,-1,-1,-1,151,0,151,0,0
0,152,120,127,114,62,-1,-1,152,0,152,0,0
0,153,121,127,115,-1,-1,-1,153,0,153,0,0
0,154,122,128,116,-1,57,57,154,0,154,0,0
0,155,123,129,117,-1,-1,-1,155,0,155,0,0
0,156,124,130,118,63,-1,-1,156,0,156,0,0
0,157,125,131,119,64,-1,-1,157,0,157,0,0
0,158,126,132,120,-1,58,58,158,0,158,0,0
0,159,127,133,121,-1,59,59,159,0,159,0,0
0,160,128,134,-1,-1,-1,-1,160,0,160,0,0
0,161,129,135,122,65,-1,-1,161,0,161,0,0
0,162,129,136,123,66,-1,-1,162,0,162,0,0
