name,author,recipeingredient,recipeyield,preptime,totaltime
0,-1,-1,-1,-1,1
1,-1,-1,1,1,2
2,-1,-1,2,-1,-1
3,-1,-1,3,2,3
4,-1,-1,4,3,4
5,-1,-1,5,3,5
6,-1,-1,6,4,-1
7,-1,-1,-1,-1,-1
8,-1,-1,7,5,6
9,-1,-1,8,6,7
10,-1,-1,9,7,8
11,-1,-1,10,8,9
12,-1,-1,11,9,10
13,-1,-1,12,10,11
14,-1,-1,13,-1,12
15,-1,-1,-1,-1,-1
16,-1,-1,14,11,13
17,-1,-1,14,12,14
18,-1,-1,15,13,15
19,-1,-1,16,14,16
20,-1,-1,17,14,17
21,-1,-1,17,15,18
22,-1,-1,18,16,19
23,-1,-1,19,17,20
24,-1,-1,20,-1,21
25,-1,-1,-1,-1,22
26,-1,-1,21,18,23
27,-1,-1,22,19,-1
28,-1,-1,23,20,24
29,-1,-1,24,-1,25
30,-1,-1,-1,-1,-1
31,-1,-1,25,-1,26
32,-1,-1,26,21,27
33,-1,-1,27,22,28
34,-1,-1,28,23,29
35,-1,-1,29,24,29
36,-1,-1,30,25,-1
37,-1,-1,-1,-1,-1
38,-1,-1,31,26,30
39,-1,-1,32,27,31
40,-1,-1,-1,-1,-1
41,-1,-1,33,28,32
42,-1,-1,34,-1,-1
43,-1,-1,35,29,33
44,-1,-1,36,30,34
45,-1,-1,36,30,34
46,-1,-1,37,31,35
47,-1,-1,-1,-1,-1
48,-1,-1,38,32,36
49,-1,-1,39,33,37
50,-1,-1,40,34,-1
51,-1,-1,41,35,38
52,-1,-1,42,36,39
53,-1,-1,42,37,40
54,-1,-1,43,38,41
55,-1,-1,44,39,42
56,-1,-1,45,39,43
57,-1,-1,46,-1,44
58,-1,-1,47,-1,-1
59,-1,-1,48,-1,-1
60,-1,-1,49,40,45
61,-1,-1,50,41,45
62,-1,-1,51,42,46
63,-1,-1,52,43,47
64,-1,-1,52,44,48
65,-1,-1,53,45,49
66,-1,-1,54,46,50
67,-1,-1,-1,-1,51
68,-1,-1,-1,-1,-1
69,-1,-1,55,47,52
70,-1,-1,-1,-1,-1
71,-1,-1,56,-1,53
72,-1,-1,57,48,-1
73,-1,-1,58,-1,54
74,-1,-1,-1,-1,-1
75,-1,-1,59,49,55
76,-1,-1,60,-1,-1
77,-1,-1,61,50,56
78,-1,-1,62,-1,-1
79,-1,-1,63,51,57
80,-1,-1,64,52,-1
81,-1,-1,65,53,58
82,-1,-1,66,54,59
83,-1,-1,67,-1,60
84,-1,-1,68,-1,-1
85,-1,-1,69,55,61
86,-1,-1,70,56,62
87,-1,-1,71,57,63
88,-1,-1,72,58,64
89,-1,-1,73,-1,-1
90,-1,-1,74,59,65
91,-1,-1,74,60,-1
92,-1,-1,75,61,66
93,-1,-1,76,62,67
94,-1,-1,77,-1,-1
95,-1,-1,78,63,-1
96,-1,-1,78,64,68
97,-1,-1,79,-1,-1
98,-1,-1,80,65,69
99,-1,-1,-1,-1,70
100,-1,-1,81,66,71
101,-1,-1,82,67,72
102,-1,-1,82,68,73
103,-1,-1,83,68,74
104,-1,-1,84,-1,-1
105,-1,-1,85,-1,75
106,-1,-1,86,-1,76
107,-1,-1,87,69,77
108,-1,-1,88,70,78
109,-1,-1,89,71,79
110,-1,-1,90,-1,-1
111,-1,-1,91,72,80
112,-1,-1,92,73,81
113,-1,-1,93,74,82
114,-1,-1,94,75,83
115,-1,-1,95,76,84
116,-1,-1,-1,-1,-1
117,-1,-1,-1,-1,85
118,-1,-1,96,77,86
119,-1,-1,97,78,87
120,-1,-1,98,79,88
121,-1,-1,99,80,89
122,-1,-1,99,81,90
123,-1,-1,-1,-1,91
124,-1,-1,100,82,92
125,-1,-1,101,83,93
126,-1,-1,102,84,-1
127,-1,-1,103,-1,-1
128,-1,-1,104,85,-1
129,-1,-1,105,86,94
130,-1,-1,106,86,95
131,-1,-1,107,-1,96
132,-1,-1,108,-1,-1
133,-1,-1,109,87,97
134,-1,-1,109,-1,98
135,-1,-1,110,88,99
136,-1,-1,111,89,100
137,-1,-1,112,90,-1
138,-1,-1,113,91,101
139,-1,-1,114,92,102
140,-1,-1,115,92,103
141,-1,-1,116,-1,-1
142,-1,-1,117,93,104
143,-1,-1,118,94,105
144,-1,-1,-1,95,106
145,-1,-1,119,95,-1
146,-1,-1,120,96,107
147,-1,-1,121,97,-1
148,-1,-1,122,98,108
149,-1,-1,122,99,109
150,-1,-1,123,100,110
151,-1,-1,124,101,111
152,-1,-1,125,102,112
153,-1,-1,126,103,113
154,-1,-1,127,104,114
155,-1,-1,128,105,115
156,-1,-1,129,106,116
157,-1,-1,-1,-1,-1
158,-1,-1,130,106,117
159,-1,-1,130,107,118
160,-1,-1,131,108,-1
161,-1,-1,-1,-1,-1
162,-1,-1,-1,-1,-1
163,-1,-1,132,109,119
164,-1,-1,-1,-1,-1
165,-1,-1,133,110,120
166,-1,-1,134,111,121
