recipeinstructions,author,recipeingredient,recipeyield,recipecategory,totaltime,aggregaterating
0,-1,-1,1,1,1,-1
0,-1,-1,2,2,2,-1
0,-1,-1,3,-1,3,-1
0,-1,-1,4,2,4,-1
0,-1,-1,5,3,5,-1
0,-1,-1,6,3,6,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,7,3,7,-1
0,-1,-1,8,4,8,-1
0,-1,-1,9,5,9,-1
0,-1,-1,9,6,10,-1
0,-1,-1,10,-1,10,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,10,7,11,-1
0,-1,-1,11,-1,12,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,12,8,13,-1
0,-1,-1,13,9,14,-1
0,-1,-1,14,10,15,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,15,11,15,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,16,-1,16,-1
0,-1,-1,16,12,17,-1
0,-1,-1,16,13,18,-1
0,-1,-1,17,14,19,-1
0,-1,-1,18,15,20,-1
0,-1,-1,18,16,21,-1
0,-1,-1,19,17,22,-1
0,-1,-1,20,17,23,-1
0,-1,-1,21,18,24,-1
0,-1,-1,21,19,25,-1
0,-1,-1,22,19,26,-1
0,-1,-1,23,19,27,-1
0,-1,-1,24,20,28,-1
0,-1,-1,24,21,28,-1
0,-1,-1,24,-1,29,-1
0,-1,-1,25,22,30,-1
0,-1,-1,26,23,31,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,27,24,32,-1
0,-1,-1,27,-1,33,-1
0,-1,-1,28,25,33,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,29,26,34,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,30,-1,35,-1
0,-1,-1,31,27,36,-1
0,-1,-1,32,28,37,-1
0,-1,-1,32,29,38,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,33,30,39,-1
0,-1,-1,34,-1,40,-1
0,-1,-1,34,31,41,-1
0,-1,-1,35,32,42,-1
0,-1,-1,36,33,43,-1
0,-1,-1,37,34,44,-1
0,-1,-1,38,35,45,-1
0,-1,-1,39,36,45,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,40,37,46,-1
0,-1,-1,41,38,46,-1
0,-1,-1,41,39,47,-1
0,-1,-1,41,40,48,-1
0,-1,-1,42,-1,49,-1
0,-1,-1,43,40,50,-1
0,-1,-1,43,41,51,-1
0,-1,-1,44,42,51,-1
0,-1,-1,45,43,52,-1
0,-1,-1,46,44,53,-1
0,-1,-1,47,45,54,-1
0,-1,-1,48,46,55,-1
0,-1,-1,49,46,55,-1
0,-1,-1,49,47,56,-1
0,-1,-1,50,48,56,-1
0,-1,-1,51,48,57,-1
0,-1,-1,52,49,58,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,53,-1,58,-1
0,-1,-1,54,50,59,-1
0,-1,-1,55,50,60,-1
0,-1,-1,56,51,61,-1
0,-1,-1,56,52,62,-1
0,-1,-1,56,53,63,-1
0,-1,-1,57,54,64,-1
0,-1,-1,57,55,65,-1
0,-1,-1,57,56,66,-1
0,-1,-1,58,57,67,-1
0,-1,-1,59,58,68,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,60,59,69,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,61,-1,69,-1
0,-1,-1,62,-1,69,-1
0,-1,-1,63,60,70,-1
0,-1,-1,64,61,71,-1
0,-1,-1,65,62,71,-1
0,-1,-1,66,63,72,-1
0,-1,-1,67,64,73,-1
0,-1,-1,68,65,74,-1
0,-1,-1,69,66,75,-1
0,-1,-1,69,66,76,-1
0,-1,-1,70,66,77,-1
0,-1,-1,71,67,78,-1
0,-1,-1,72,-1,79,-1
0,-1,-1,72,-1,80,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,72,68,81,-1
0,-1,-1,72,68,82,-1
0,-1,-1,73,-1,83,-1
0,-1,-1,74,69,84,-1
0,-1,-1,75,-1,85,-1
0,-1,-1,76,70,86,-1
0,-1,-1,77,-1,87,-1
0,-1,-1,77,71,87,-1
0,-1,-1,78,72,88,-1
0,-1,-1,79,73,89,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,80,73,90,-1
0,-1,-1,80,74,91,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,81,75,92,-1
0,-1,-1,-1,-1,-1,-1
