recipeinstructions,author,recipeingredient,datepublished,recipeyield,preptime,cooktime,recipecategory,aggregaterating,nutrition,datemodified
-1,-1,-1,0,1,1,1,1,0,0,0
-1,-1,-1,0,2,2,2,2,0,0,1
-1,-1,-1,1,3,3,-1,3,0,0,2
-1,-1,-1,2,4,4,3,4,0,0,3
-1,-1,-1,2,5,5,4,5,0,0,4
-1,-1,-1,2,6,6,5,6,0,0,5
-1,-1,-1,2,7,-1,-1,7,0,0,6
-1,-1,-1,2,7,7,6,8,0,0,7
-1,-1,-1,2,7,-1,7,9,0,0,8
-1,-1,-1,2,8,8,8,10,0,0,9
-1,-1,-1,3,9,-1,-1,10,0,0,10
-1,-1,-1,4,10,8,9,11,0,0,11
-1,-1,-1,4,11,9,10,12,0,0,12
-1,-1,-1,4,12,10,11,13,0,0,13
-1,-1,-1,4,13,-1,-1,14,0,0,14
-1,-1,-1,4,14,11,12,15,0,0,15
-1,-1,-1,4,14,12,13,16,0,0,16
-1,-1,-1,4,15,13,14,17,0,0,17
-1,-1,-1,4,15,14,15,18,0,0,18
-1,-1,-1,4,15,15,16,18,0,0,19
-1,-1,-1,5,16,-1,-1,19,0,0,20
-1,-1,-1,5,16,16,-1,19,0,0,21
-1,-1,-1,6,17,17,17,20,0,0,22
-1,-1,-1,6,18,-1,-1,21,0,0,23
-1,-1,-1,6,19,-1,17,22,0,0,24
-1,-1,-1,6,20,17,-1,23,0,0,25
-1,-1,-1,6,21,-1,-1,24,0,0,26
-1,-1,-1,6,22,17,18,25,0,0,27
-1,-1,-1,6,23,18,19,26,0,0,28
-1,-1,-1,6,24,-1,-1,27,0,0,29
-1,-1,-1,6,25,19,20,28,0,0,30
-1,-1,-1,6,25,-1,-1,29,0,0,31
-1,-1,-1,6,25,-1,-1,30,0,0,32
-1,-1,-1,6,26,20,21,31,0,0,33
-1,-1,-1,6,27,21,22,32,0,0,34
-1,-1,-1,6,28,22,23,33,0,0,35
-1,-1,-1,6,28,-1,-1,34,0,0,36
-1,-1,-1,6,28,-1,-1,35,0,0,37
-1,-1,-1,6,29,23,24,36,0,0,38
-1,-1,-1,6,30,-1,-1,37,0,0,39
-1,-1,-1,6,31,24,25,38,0,0,40
-1,-1,-1,7,32,-1,-1,39,0,0,41
-1,-1,-1,8,33,25,26,40,0,0,42
-1,-1,-1,8,34,26,27,41,0,0,43
-1,-1,-1,8,35,27,28,42,0,0,44
