name,author,recipeingredient,preptime,recipecategory,recipecuisine,mainentityofpage
0,0,-1,1,0,1,0
1,0,-1,2,0,1,0
2,0,-1,3,1,1,0
3,0,-1,4,2,1,0
4,0,-1,5,3,1,0
5,0,-1,6,4,-1,0
6,0,-1,7,5,1,0
7,0,-1,7,6,1,0
8,0,-1,-1,7,1,0
9,0,-1,8,8,1,0
10,0,-1,-1,8,1,0
11,0,-1,9,9,-1,0
12,0,-1,10,10,1,0
13,0,-1,11,10,-1,0
14,0,-1,12,11,-1,0
15,0,-1,13,12,1,0
16,0,-1,-1,12,1,0
17,0,-1,-1,13,1,0
18,0,-1,13,14,1,0
19,0,-1,14,15,1,0
20,0,-1,14,16,1,0
21,0,-1,-1,16,1,0
22,0,-1,14,17,1,0
23,0,-1,15,18,1,0
24,0,-1,-1,19,1,0
25,0,-1,16,20,1,0
26,0,-1,-1,21,1,0
27,0,-1,-1,21,1,0
28,0,-1,-1,21,1,0
29,0,-1,-1,21,1,0
30,0,-1,17,21,1,0
31,0,-1,-1,22,1,0
32,0,-1,-1,23,1,0
33,0,-1,-1,24,1,0
34,0,-1,-1,24,1,0
35,0,-1,-1,25,1,0
36,0,-1,18,26,1,0
37,0,-1,-1,27,1,0
38,0,-1,18,28,1,0
39,0,-1,-1,29,1,0
40,0,-1,-1,30,1,0
41,0,-1,-1,31,1,0
42,0,-1,-1,32,1,0
43,0,-1,19,33,1,0
44,0,-1,20,34,-1,0
45,0,-1,21,35,1,0
46,0,-1,-1,36,1,0
47,0,-1,-1,37,1,0
48,0,-1,-1,38,1,0
49,0,-1,22,39,1,0
50,0,-1,23,40,1,0
51,0,-1,-1,40,1,0
52,0,-1,24,41,-1,0
53,0,-1,-1,42,1,0
54,0,-1,-1,43,1,0
55,0,-1,-1,44,1,0
56,0,-1,25,45,1,0
57,0,-1,26,46,-1,0
58,0,-1,-1,47,1,0
59,0,-1,27,48,1,0
60,0,-1,-1,49,1,0
61,0,-1,27,49,1,0
62,0,-1,27,49,1,0
63,0,-1,-1,50,1,0
64,0,-1,-1,50,1,0
65,0,-1,28,51,1,0
66,0,-1,-1,52,1,0
67,0,-1,29,53,1,0
68,0,-1,30,54,1,0
69,0,-1,30,55,1,0
70,0,-1,31,56,1,0
71,0,-1,32,57,-1,0
72,0,-1,-1,58,1,0
73,0,-1,33,59,1,0
74,0,-1,34,60,1,0
75,0,-1,-1,61,1,0
76,0,-1,35,62,1,0
77,0,-1,36,63,1,0
78,0,-1,-1,63,1,0
79,0,-1,-1,64,1,0
80,0,-1,37,65,1,0
81,0,-1,38,66,-1,0
82,0,-1,39,67,1,0
83,0,-1,-1,68,1,0
84,0,-1,-1,69,1,0
85,0,-1,40,70,1,0
86,0,-1,41,71,1,0
87,0,-1,42,72,1,0
88,0,-1,42,72,-1,0
89,0,-1,43,73,1,0
90,0,-1,44,74,1,0
91,0,-1,44,74,1,0
92,0,-1,-1,75,1,0
93,0,-1,45,76,1,0
94,0,-1,-1,77,1,0
95,0,-1,46,78,-1,0
96,0,-1,47,79,1,0
97,0,-1,48,80,1,0
98,0,-1,49,81,1,0
99,0,-1,-1,81,2,0
100,0,-1,-1,82,3,0
101,0,-1,49,83,3,0
102,0,-1,50,83,3,0
103,0,-1,51,83,3,0
104,0,-1,-1,84,3,0
105,0,-1,52,85,-1,0
106,0,-1,53,86,3,0
107,0,-1,54,86,-1,0
108,0,-1,-1,87,3,0
109,0,-1,55,88,3,0
110,0,-1,56,89,3,0
111,0,1,57,90,-1,0
112,0,-1,58,91,3,0
113,0,-1,-1,92,3,0
114,0,-1,58,93,3,0
115,0,-1,59,94,-1,0
116,0,-1,-1,95,3,0
117,0,-1,60,96,3,0
118,0,-1,61,97,3,0
119,0,-1,62,97,-1,0
120,0,-1,-1,98,3,0
121,0,-1,63,99,3,0
122,0,-1,64,100,-1,0
123,0,-1,65,100,3,0
124,0,-1,66,101,3,0
125,0,-1,-1,102,3,0
126,0,-1,-1,103,3,0
127,0,-1,-1,104,3,0
128,0,-1,67,105,3,0
129,0,-1,-1,105,3,0
130,0,-1,68,106,3,0
131,0,-1,69,107,3,0
132,0,-1,70,108,3,0
133,0,-1,-1,109,3,0
134,0,-1,-1,110,3,0
135,0,-1,71,111,3,0
136,0,-1,71,112,3,0
137,0,-1,-1,112,3,0
138,0,-1,72,113,3,0
139,0,-1,-1,114,3,0
140,0,-1,73,115,-1,0
141,0,-1,-1,116,3,0
142,0,-1,-1,117,3,0
143,0,-1,-1,118,3,0
144,0,-1,74,119,3,0
145,0,-1,75,120,3,0
146,0,-1,76,121,3,0
147,0,-1,-1,122,3,0
148,0,-1,-1,123,3,0
149,0,-1,-1,124,3,0
150,0,-1,-1,125,3,0
151,0,-1,-1,126,3,0
152,0,-1,77,127,3,0
153,0,-1,-1,128,3,0
154,0,-1,-1,129,3,0
155,0,-1,-1,130,3,0
156,0,-1,78,131,3,0
157,0,-1,79,132,-1,0
158,0,-1,80,133,3,0
159,0,-1,81,134,3,0
160,0,-1,82,135,3,0
161,0,-1,-1,136,3,0
162,0,-1,82,137,3,0
163,0,-1,-1,138,3,0
164,0,-1,-1,139,3,0
165,0,-1,-1,140,3,0
166,0,-1,83,141,3,0
167,0,-1,84,142,3,0
168,0,-1,85,142,-1,0
169,0,-1,86,142,-1,0
170,0,-1,86,142,-1,0
171,0,-1,-1,142,3,0
172,0,-1,-1,142,3,0
173,0,-1,87,143,3,0
174,0,-1,88,144,3,0
175,0,-1,-1,145,3,0
176,0,-1,89,146,3,0
177,0,-1,90,147,3,0
178,0,-1,91,148,3,0
179,0,-1,92,149,3,0
180,0,-1,93,150,3,0
181,0,-1,-1,151,3,0
182,0,-1,-1,152,3,0
183,0,-1,94,153,3,0
184,0,-1,-1,154,3,0
185,0,-1,95,155,3,0
186,0,-1,96,156,3,0
187,0,-1,96,156,3,0
188,0,-1,-1,157,3,0
189,0,-1,-1,158,3,0
190,0,-1,97,159,3,0
191,0,-1,-1,160,3,0
192,0,-1,97,161,3,0
193,0,-1,-1,162,3,0
194,0,-1,-1,163,3,0
195,0,-1,-1,164,3,0
196,0,-1,98,165,-1,0
197,0,-1,99,166,3,0
198,0,-1,100,167,3,0
199,0,-1,101,168,3,0
200,0,-1,102,169,3,0
201,0,-1,-1,170,3,0
202,0,-1,-1,170,3,0
203,0,-1,103,171,3,0
204,0,-1,-1,172,3,0
205,0,-1,104,173,3,0
206,0,-1,-1,174,3,0
207,0,-1,105,175,3,0
208,0,-1,-1,176,3,0
209,0,-1,106,177,3,0
210,0,-1,107,177,3,0
211,0,-1,108,178,3,0
212,0,-1,108,179,3,0
213,0,-1,109,180,3,0
214,0,-1,-1,181,3,0
215,0,-1,110,182,3,0
216,0,-1,-1,183,3,0
217,0,-1,111,184,3,0
218,0,-1,-1,185,3,0
219,0,-1,-1,186,3,0
220,0,-1,-1,187,3,0
221,0,-1,112,188,3,0
222,0,-1,113,189,3,0
223,0,-1,-1,190,3,0
224,0,-1,114,191,3,0
225,0,-1,115,192,3,0
226,0,-1,116,193,3,0
227,0,-1,117,194,3,0
228,0,-1,-1,195,3,0
229,0,-1,117,196,3,0
230,0,-1,-1,197,-1,0
231,0,-1,117,198,3,0
232,0,-1,118,199,3,0
233,0,-1,-1,199,3,0
234,0,-1,119,200,-1,0
235,0,-1,120,201,-1,0
236,0,-1,121,202,3,0
237,0,-1,-1,203,3,0
238,0,-1,122,204,3,0
239,0,-1,-1,205,3,0
240,0,-1,123,206,-1,0
241,0,-1,124,207,-1,0
242,0,-1,-1,208,3,0
243,0,-1,125,209,3,0
244,0,-1,126,210,3,0
245,0,-1,-1,211,3,0
246,0,-1,-1,212,3,0
