name,recipeinstructions,author,recipeingredient,recipeyield,preptime,cooktime,recipecategory,totaltime,recipecuisine,aggregaterating,nutrition
1,-1,-1,-1,1,1,1,1,1,-1,-1,-1
2,-1,-1,-1,2,2,2,2,2,-1,-1,-1
3,-1,-1,-1,3,3,3,3,-1,1,-1,-1
4,-1,-1,-1,4,4,4,-1,3,-1,-1,-1
5,-1,-1,-1,5,5,5,4,4,-1,-1,-1
6,-1,-1,-1,6,6,6,-1,5,-1,-1,-1
7,-1,-1,1,-1,-1,-1,5,-1,-1,-1,-1
8,-1,-1,-1,7,6,7,-1,6,-1,-1,-1
9,-1,-1,-1,8,7,8,6,7,-1,-1,-1
10,-1,-1,-1,9,7,9,-1,8,-1,-1,-1
11,-1,-1,-1,-1,7,10,-1,9,1,-1,-1
12,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1
13,-1,-1,3,10,-1,-1,-1,10,-1,-1,-1
14,-1,-1,-1,11,-1,-1,-1,11,-1,-1,-1
15,-1,-1,-1,12,8,11,7,12,2,-1,-1
16,-1,-1,-1,13,9,-1,-1,13,3,-1,-1
17,-1,-1,-1,14,10,12,8,14,-1,-1,-1
18,-1,-1,-1,15,11,13,-1,15,-1,-1,-1
19,-1,-1,-1,16,12,-1,9,16,-1,-1,-1
20,-1,-1,-1,17,13,14,-1,17,-1,-1,-1
21,-1,-1,-1,18,14,15,10,18,4,-1,-1
22,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1
23,-1,-1,-1,19,15,-1,-1,19,-1,-1,-1
24,-1,-1,-1,-1,16,16,-1,20,-1,-1,-1
25,-1,-1,-1,20,17,17,11,21,-1,-1,-1
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,21,18,18,-1,22,5,-1,-1
28,-1,-1,-1,22,18,19,12,23,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1
30,-1,-1,-1,23,18,20,13,24,-1,-1,-1
31,-1,-1,-1,24,19,21,14,25,-1,-1,-1
32,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1
33,-1,-1,-1,25,20,-1,-1,26,-1,-1,-1
34,-1,-1,-1,26,21,22,15,27,-1,-1,-1
35,-1,-1,-1,27,22,23,16,28,7,-1,-1
36,-1,-1,-1,28,-1,-1,-1,-1,-1,-1,-1
37,-1,-1,-1,29,23,24,17,28,7,-1,-1
38,-1,-1,-1,30,-1,-1,-1,29,8,-1,-1
39,-1,-1,-1,31,-1,-1,-1,-1,-1,-1,-1
40,-1,-1,-1,32,24,-1,-1,30,9,-1,-1
41,-1,-1,-1,33,25,-1,-1,31,-1,-1,-1
42,-1,-1,-1,34,26,25,-1,32,9,-1,-1
43,-1,-1,-1,-1,27,26,-1,33,-1,-1,-1
44,-1,-1,-1,35,28,27,18,34,10,-1,-1
45,-1,-1,-1,36,29,28,19,35,11,-1,-1
46,-1,-1,-1,37,30,29,-1,36,-1,-1,-1
47,-1,-1,-1,38,31,30,-1,37,-1,-1,-1
48,-1,-1,-1,39,31,31,-1,38,-1,-1,-1
49,-1,-1,-1,40,-1,-1,-1,-1,-1,-1,-1
50,-1,-1,-1,41,-1,-1,-1,39,-1,-1,-1
51,-1,-1,-1,42,31,32,20,40,12,-1,-1
52,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1
53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
54,-1,-1,-1,-1,-1,-1,-1,41,13,-1,-1
55,-1,-1,-1,43,-1,-1,-1,42,14,-1,-1
56,-1,-1,-1,44,32,33,-1,43,-1,-1,-1
57,-1,-1,-1,45,33,-1,-1,44,-1,-1,-1
58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60,-1,-1,-1,46,34,34,21,45,15,-1,-1
61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1
63,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1
64,-1,-1,-1,47,35,-1,-1,46,-1,-1,-1
65,-1,-1,-1,48,36,35,-1,47,-1,-1,-1
66,-1,-1,-1,49,37,36,22,48,-1,-1,-1
67,-1,-1,-1,50,37,-1,-1,49,-1,-1,-1
68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
69,-1,-1,-1,51,37,-1,-1,50,-1,-1,-1
70,-1,-1,-1,52,37,37,-1,51,-1,-1,-1
71,-1,-1,-1,53,38,38,-1,52,-1,-1,-1
72,-1,-1,-1,54,39,38,23,53,16,-1,-1
73,-1,-1,-1,55,40,39,-1,54,-1,-1,-1
74,-1,-1,-1,56,-1,-1,-1,55,-1,-1,-1
75,-1,-1,-1,57,41,40,-1,56,-1,-1,-1
76,-1,-1,-1,58,42,41,-1,57,-1,-1,-1
77,-1,-1,-1,59,-1,42,24,58,17,-1,-1
78,-1,-1,-1,-1,43,43,-1,59,-1,-1,-1
79,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1
80,-1,-1,-1,60,44,44,-1,60,-1,-1,-1
81,-1,-1,-1,61,45,45,25,61,-1,-1,-1
82,-1,-1,-1,-1,46,-1,-1,62,-1,-1,-1
83,-1,-1,-1,62,47,-1,-1,63,-1,-1,-1
84,-1,-1,-1,63,-1,-1,-1,-1,-1,-1,-1
85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
86,-1,-1,-1,64,48,-1,-1,64,-1,-1,-1
87,-1,-1,-1,65,49,46,-1,65,-1,-1,-1
88,-1,-1,-1,66,50,47,-1,66,18,-1,-1
89,-1,-1,-1,67,51,48,-1,67,-1,-1,-1
90,-1,-1,-1,68,52,49,-1,68,18,-1,-1
91,-1,-1,-1,69,53,50,-1,69,-1,-1,-1
92,-1,-1,-1,70,54,51,-1,70,18,-1,-1
