name,recipeinstructions,author,recipeingredient,datepublished,recipeyield,recipecategory,totaltime,keywords,aggregaterating
0,-1,-1,-1,0,0,1,1,1,-1
1,-1,-1,-1,1,1,2,2,2,-1
2,-1,-1,-1,2,2,2,3,3,-1
3,-1,-1,-1,3,3,2,-1,4,-1
4,-1,-1,-1,4,4,2,3,5,-1
5,-1,-1,-1,5,5,2,-1,6,-1
6,-1,-1,-1,6,5,2,4,7,-1
7,-1,-1,-1,7,5,2,5,8,-1
8,-1,-1,-1,8,5,3,6,9,-1
9,-1,-1,-1,9,6,4,-1,10,-1
10,-1,-1,-1,10,7,5,7,11,-1
11,-1,-1,-1,11,8,5,8,12,-1
12,-1,-1,-1,12,9,5,9,13,-1
13,-1,-1,-1,13,10,5,9,14,-1
14,-1,-1,-1,14,11,5,-1,15,-1
15,-1,-1,-1,15,12,5,10,16,-1
16,-1,-1,-1,16,13,5,-1,17,-1
17,-1,-1,-1,17,13,5,11,18,-1
18,-1,-1,-1,18,14,5,12,19,-1
19,-1,-1,-1,19,15,5,-1,20,-1
20,-1,-1,-1,20,16,5,13,21,-1
21,-1,-1,-1,21,17,5,14,22,-1
22,-1,-1,-1,22,18,6,-1,23,-1
23,-1,-1,-1,23,18,7,14,24,-1
24,-1,-1,-1,24,19,7,14,25,-1
25,-1,-1,-1,25,20,7,14,26,-1
26,-1,-1,-1,26,20,7,15,27,-1
27,-1,-1,-1,27,20,7,16,28,-1
28,-1,-1,-1,28,21,8,-1,29,-1
29,-1,-1,-1,29,22,9,17,30,-1
30,1,-1,-1,30,23,10,-1,31,-1
31,-1,-1,-1,31,24,10,18,32,-1
32,2,-1,-1,32,25,11,18,33,-1
33,-1,-1,-1,32,26,12,18,34,-1
34,-1,-1,-1,33,27,12,-1,35,-1
35,-1,-1,-1,34,28,12,19,36,-1
36,-1,-1,-1,35,28,12,20,37,-1
37,-1,-1,-1,36,29,12,21,38,-1
38,-1,-1,-1,37,30,12,22,39,-1
39,-1,-1,-1,38,30,12,23,40,-1
40,-1,-1,-1,39,31,13,24,41,-1
41,-1,-1,-1,40,32,14,25,42,-1
42,-1,-1,-1,41,33,14,26,43,-1
43,-1,-1,-1,42,33,14,27,44,-1
44,-1,-1,-1,43,33,14,28,45,-1
45,-1,-1,-1,44,34,14,-1,46,-1
46,-1,-1,-1,45,34,15,-1,47,-1
47,-1,-1,-1,46,34,16,29,48,-1
48,-1,-1,-1,47,35,17,30,49,-1
49,-1,-1,-1,48,36,17,-1,50,-1
50,-1,-1,-1,49,37,17,-1,51,-1
51,-1,-1,-1,50,37,17,31,52,-1
52,-1,-1,-1,51,37,18,32,53,-1
53,-1,-1,-1,52,38,19,-1,54,-1
54,-1,-1,-1,53,38,19,33,55,-1
55,-1,-1,-1,54,38,19,-1,56,-1
56,-1,-1,-1,55,39,19,34,57,-1
57,-1,-1,-1,56,39,19,-1,58,-1
58,-1,-1,-1,57,39,19,34,59,-1
59,-1,-1,-1,58,40,19,-1,60,-1
60,-1,-1,-1,59,41,19,35,60,-1
61,-1,-1,-1,60,42,20,36,61,-1
62,-1,-1,-1,61,43,21,37,62,-1
63,-1,-1,-1,62,44,21,38,63,-1
64,-1,-1,-1,63,45,21,-1,64,-1
65,-1,-1,-1,64,45,22,39,65,-1
66,-1,-1,-1,65,46,23,40,66,-1
67,-1,-1,-1,66,47,23,-1,67,-1
68,-1,-1,-1,67,48,23,-1,68,-1
69,-1,-1,-1,68,49,24,-1,69,-1
70,-1,-1,-1,68,50,25,41,-1,-1
71,-1,-1,-1,69,51,26,42,70,-1
72,-1,-1,-1,70,52,26,43,71,-1
73,-1,-1,-1,71,53,26,44,72,-1
74,-1,-1,-1,72,54,27,-1,73,-1
75,-1,-1,-1,73,55,28,45,74,-1
76,-1,-1,-1,74,55,28,46,75,-1
77,-1,-1,-1,75,55,28,47,76,-1
78,-1,-1,-1,76,55,29,48,77,-1
79,-1,-1,-1,77,55,30,48,78,-1
80,-1,-1,-1,78,56,30,49,79,-1
81,-1,-1,-1,79,57,30,49,80,-1
82,-1,-1,-1,80,58,31,-1,81,-1
83,-1,-1,-1,81,59,32,50,82,-1
84,-1,-1,-1,82,60,32,-1,83,-1
85,-1,-1,-1,83,60,33,51,84,-1
86,-1,-1,-1,84,61,34,52,85,-1
87,-1,-1,-1,85,62,35,53,86,-1
88,-1,-1,-1,86,62,36,54,87,-1
89,-1,-1,-1,87,62,36,55,88,-1
90,-1,-1,-1,88,63,36,56,89,-1
91,-1,-1,-1,89,64,36,56,90,-1
92,-1,-1,-1,90,65,36,-1,91,-1
93,-1,-1,-1,91,66,37,57,92,-1
94,-1,-1,-1,92,67,38,58,93,-1
95,-1,-1,-1,93,67,38,58,94,-1
96,-1,-1,-1,94,68,38,59,95,-1
97,-1,-1,-1,95,69,38,-1,96,-1
98,-1,-1,-1,96,70,38,60,97,-1
99,-1,-1,-1,97,70,38,61,98,-1
100,-1,-1,-1,98,71,38,-1,99,-1
101,-1,-1,-1,99,71,38,-1,100,-1
102,-1,-1,-1,100,72,38,62,101,-1
103,-1,-1,-1,101,72,38,-1,102,-1
104,-1,-1,-1,102,73,38,63,103,-1
105,-1,-1,-1,103,74,38,-1,104,-1
106,-1,-1,-1,104,75,38,64,105,-1
107,-1,-1,-1,105,75,38,65,106,-1
108,-1,-1,-1,106,75,39,66,107,-1
109,-1,-1,-1,107,75,40,66,108,-1
110,-1,-1,-1,108,76,41,67,109,-1
111,-1,-1,-1,109,76,42,-1,110,-1
112,-1,-1,-1,110,77,42,68,111,-1
113,-1,-1,-1,111,78,42,68,112,-1
114,-1,-1,-1,112,79,42,69,113,-1
115,-1,-1,-1,113,80,42,-1,114,-1
116,-1,-1,-1,114,81,43,70,115,-1
117,-1,-1,-1,115,82,44,71,116,-1
118,-1,-1,-1,116,82,44,-1,117,-1
119,-1,-1,-1,117,82,44,71,118,-1
120,-1,-1,-1,118,83,44,71,119,-1
121,-1,-1,-1,119,84,45,71,120,-1
122,-1,-1,-1,120,85,46,71,121,-1
123,-1,-1,-1,121,86,46,71,122,-1
124,-1,-1,-1,122,86,46,71,123,-1
125,-1,-1,-1,123,86,46,71,124,-1
126,-1,-1,-1,124,86,46,72,125,-1
127,-1,-1,-1,124,86,46,73,126,-1
128,-1,-1,-1,125,86,46,74,127,-1
129,-1,-1,-1,126,86,46,75,128,-1
130,-1,-1,-1,127,87,46,76,129,-1
131,-1,-1,-1,128,88,46,77,130,-1
132,-1,-1,-1,129,89,46,-1,131,-1
133,-1,-1,-1,130,89,46,-1,132,-1
134,-1,-1,-1,131,90,47,78,133,-1
135,-1,-1,-1,132,91,48,79,134,-1
136,-1,-1,1,133,91,48,80,135,-1
137,-1,-1,-1,133,91,48,81,136,-1
138,-1,-1,-1,134,91,48,81,137,-1
139,-1,-1,-1,135,91,48,82,138,-1
140,-1,-1,-1,136,92,49,83,139,-1
141,-1,-1,-1,137,93,50,84,140,-1
142,-1,-1,-1,138,93,50,-1,141,-1
143,-1,-1,-1,139,94,50,85,142,-1
144,-1,-1,-1,139,94,51,85,143,-1
145,-1,-1,-1,140,95,52,86,144,-1
146,-1,-1,-1,141,96,52,87,145,-1
147,-1,-1,-1,142,97,53,88,146,-1
148,-1,-1,-1,143,98,54,-1,147,-1
149,-1,-1,-1,144,99,55,89,148,-1
150,-1,-1,-1,145,100,56,90,149,-1
151,-1,-1,-1,146,100,56,91,150,-1
152,-1,-1,-1,147,100,56,92,151,-1
153,-1,-1,-1,148,101,57,93,152,-1
154,-1,-1,-1,149,102,58,94,153,-1
155,-1,-1,-1,150,102,58,95,154,-1
156,-1,-1,-1,151,102,58,95,155,-1
157,-1,-1,-1,152,102,58,95,156,-1
158,-1,-1,-1,153,102,58,96,157,-1
159,-1,-1,-1,154,102,58,97,158,-1
160,-1,-1,-1,155,103,58,98,159,-1
161,-1,-1,-1,156,104,58,99,160,-1
