recipeinstructions,author,recipeingredient,recipeyield,recipecategory,totaltime,aggregaterating
0,-1,-1,0,1,0,-1
0,-1,-1,1,2,0,-1
0,-1,-1,2,3,1,-1
0,-1,-1,3,-1,2,-1
0,-1,-1,3,3,3,-1
0,-1,-1,4,3,3,-1
0,-1,-1,5,4,4,-1
0,-1,-1,6,5,5,-1
0,-1,-1,7,-1,6,-1
0,-1,-1,8,6,7,-1
0,-1,-1,9,7,8,-1
0,-1,-1,10,8,9,-1
0,-1,-1,11,9,10,-1
0,-1,-1,12,10,11,-1
0,-1,-1,13,11,12,-1
0,-1,-1,13,12,13,-1
0,-1,-1,14,12,14,-1
0,-1,-1,14,13,15,-1
0,-1,-1,14,14,15,-1
0,-1,-1,14,-1,16,-1
0,-1,-1,15,14,17,-1
0,-1,-1,15,14,17,-1
0,-1,-1,16,15,18,-1
0,-1,-1,17,16,19,-1
0,-1,-1,18,17,20,-1
0,-1,-1,19,-1,21,-1
0,-1,-1,20,18,22,-1
0,-1,-1,21,18,22,-1
0,-1,-1,22,18,23,-1
0,-1,-1,23,19,24,-1
0,-1,-1,24,20,24,-1
0,-1,-1,24,21,25,-1
0,-1,-1,25,22,26,-1
0,-1,-1,26,-1,27,-1
0,-1,-1,26,23,28,-1
0,-1,-1,27,23,29,-1
0,-1,-1,28,-1,30,-1
0,-1,-1,29,-1,31,-1
0,-1,-1,30,24,32,-1
0,-1,-1,31,25,33,-1
0,-1,-1,32,25,33,-1
0,-1,-1,33,-1,34,-1
0,-1,-1,34,26,35,-1
0,-1,-1,35,27,36,-1
0,-1,-1,36,28,37,-1
0,-1,-1,37,29,38,-1
0,-1,-1,38,30,39,-1
0,-1,-1,39,31,40,-1
0,-1,-1,40,32,41,-1
0,-1,-1,41,33,42,-1
0,-1,-1,42,34,43,-1
0,-1,-1,43,35,44,-1
0,-1,-1,44,35,45,-1
0,-1,-1,45,36,46,-1
0,-1,-1,46,36,46,-1
0,-1,-1,47,37,47,-1
0,-1,-1,48,38,48,-1
0,-1,-1,48,38,49,-1
0,-1,-1,49,38,49,-1
0,-1,-1,50,39,50,-1
0,-1,-1,51,40,51,-1
0,-1,-1,51,41,52,-1
0,-1,-1,51,41,52,-1
0,-1,-1,52,42,53,-1
0,-1,-1,53,43,54,-1
0,-1,-1,54,44,55,-1
0,-1,-1,55,45,56,-1
0,-1,-1,56,46,57,-1
0,-1,-1,57,47,58,-1
0,-1,-1,58,48,59,-1
0,-1,-1,59,-1,59,-1
0,-1,-1,60,49,60,-1
0,-1,-1,61,50,61,-1
0,-1,-1,62,50,62,-1
0,-1,-1,62,51,63,-1
0,-1,-1,63,51,64,-1
0,-1,-1,64,52,65,-1
0,-1,-1,65,53,66,-1
0,-1,-1,66,54,67,-1
0,-1,-1,67,55,68,-1
0,-1,-1,68,56,69,-1
0,-1,-1,68,56,69,-1
0,-1,-1,68,-1,70,-1
0,-1,-1,68,57,71,-1
0,-1,-1,69,58,72,-1
0,-1,-1,70,59,73,-1
0,-1,-1,71,60,74,-1
0,-1,-1,72,61,75,-1
0,-1,-1,73,62,75,-1
0,-1,-1,73,63,76,-1
0,-1,-1,74,64,77,-1
0,-1,-1,75,65,78,-1
0,-1,-1,76,66,79,-1
0,-1,-1,77,66,80,-1
0,-1,-1,78,67,80,-1
0,-1,-1,79,67,81,-1
0,-1,-1,80,68,82,-1
0,-1,-1,81,-1,82,-1
0,-1,-1,82,69,83,-1
0,-1,-1,82,70,84,-1
0,-1,-1,82,70,85,-1
0,-1,-1,83,70,86,-1
0,-1,-1,84,71,87,-1
0,-1,-1,85,71,88,-1
0,-1,-1,86,72,89,-1
0,-1,-1,86,73,90,-1
0,-1,-1,87,-1,90,-1
0,-1,-1,88,74,90,-1
0,-1,-1,89,75,91,-1
0,-1,-1,90,76,92,-1
0,-1,-1,91,77,93,-1
0,-1,-1,92,78,94,-1
0,-1,-1,92,79,95,-1
0,-1,-1,93,80,95,-1
0,-1,-1,94,80,96,-1
0,-1,-1,95,81,97,-1
0,-1,-1,96,82,98,-1
0,-1,-1,97,83,99,-1
0,-1,-1,98,-1,100,-1
0,-1,-1,99,83,101,-1
0,-1,-1,100,84,101,-1
0,-1,-1,100,84,102,-1
0,-1,-1,101,85,103,-1
0,-1,-1,102,86,103,-1
0,-1,-1,103,86,104,-1
0,-1,-1,104,87,105,-1
0,-1,-1,105,88,106,-1
0,-1,-1,106,89,107,-1
0,-1,-1,107,90,108,-1
0,-1,-1,107,91,109,-1
0,-1,-1,108,92,110,-1
0,-1,-1,109,-1,111,-1
0,-1,-1,110,93,112,-1
0,-1,-1,111,94,113,-1
0,-1,-1,112,94,114,-1
0,-1,-1,112,95,115,-1
0,-1,-1,113,96,116,-1
0,-1,-1,114,96,117,-1
0,-1,-1,115,-1,118,-1
0,-1,-1,116,97,119,-1
0,-1,-1,117,98,120,-1
0,-1,-1,118,98,120,-1
0,-1,-1,118,99,121,-1
0,-1,1,119,-1,122,-1
0,-1,-1,120,100,123,-1
0,-1,-1,120,101,123,-1
0,-1,-1,121,101,124,-1
0,-1,-1,121,-1,125,-1
0,-1,-1,121,102,126,-1
0,-1,-1,122,103,127,-1
0,-1,-1,123,104,128,-1
0,-1,-1,124,105,128,-1
0,-1,-1,125,105,128,-1
0,-1,-1,125,106,129,-1
0,-1,-1,126,107,130,-1
0,-1,-1,127,108,131,-1
0,-1,-1,128,108,132,-1
0,-1,-1,129,109,132,-1
0,-1,-1,130,110,133,-1
0,-1,-1,131,110,134,-1
0,-1,-1,132,111,135,-1
0,-1,-1,133,112,136,-1
0,-1,-1,134,113,137,-1
0,-1,-1,135,114,138,-1
0,-1,-1,136,-1,139,-1
0,-1,-1,136,-1,140,-1
0,-1,-1,136,115,141,-1
0,-1,-1,136,-1,142,-1
0,-1,-1,137,116,143,-1
0,-1,-1,137,117,144,-1
0,-1,-1,138,118,144,-1
0,-1,-1,138,119,145,-1
0,-1,-1,138,120,146,-1
0,-1,-1,138,121,147,-1
0,-1,-1,139,-1,148,-1
0,-1,-1,140,-1,149,-1
0,-1,-1,140,121,150,-1
0,-1,-1,140,122,151,-1
0,-1,-1,141,123,152,-1
0,-1,-1,142,124,153,-1
0,-1,-1,143,-1,154,-1
0,-1,-1,144,125,155,-1
0,-1,-1,145,126,155,-1
0,-1,-1,146,127,156,-1
0,-1,-1,147,128,157,-1
0,-1,-1,148,129,158,-1
0,-1,-1,149,130,159,-1
0,-1,-1,150,131,159,-1
0,-1,-1,151,131,160,-1
0,-1,-1,152,132,161,-1
0,-1,-1,152,133,162,-1
0,-1,-1,153,134,163,-1
0,-1,-1,154,134,164,-1
0,-1,-1,155,135,165,-1
0,-1,-1,156,136,166,-1
0,-1,-1,157,-1,167,-1
0,-1,-1,158,-1,168,-1
0,-1,-1,159,137,169,-1
0,-1,-1,160,138,170,-1
0,-1,-1,160,139,170,-1
0,-1,-1,161,140,170,-1
0,-1,-1,162,141,171,-1
0,-1,-1,163,142,172,-1
0,-1,-1,163,-1,173,-1
0,-1,-1,164,143,174,-1
0,-1,-1,165,144,175,-1
0,-1,-1,166,144,175,-1
0,-1,-1,167,145,176,-1
0,-1,-1,168,146,177,-1
0,-1,-1,169,147,178,-1
0,-1,-1,169,148,178,-1
0,-1,-1,170,149,179,-1
0,-1,-1,171,150,180,-1
0,-1,-1,172,151,181,-1
0,-1,-1,172,152,182,-1
0,-1,-1,172,152,183,-1
0,-1,-1,172,152,184,-1
0,-1,-1,173,152,185,-1
0,-1,-1,174,153,186,-1
0,-1,-1,175,154,187,-1
0,-1,-1,176,155,188,-1
0,-1,-1,176,156,189,-1
0,-1,-1,177,157,190,-1
0,-1,-1,178,157,191,-1
0,-1,-1,179,158,192,-1
0,-1,-1,180,158,193,-1
0,-1,-1,180,159,194,-1
0,-1,-1,181,159,195,-1
0,-1,-1,182,160,196,-1
0,-1,-1,183,-1,196,-1
0,-1,-1,184,161,197,-1
0,-1,-1,185,162,197,-1
0,-1,-1,186,163,198,-1
0,-1,-1,187,-1,199,-1
0,-1,-1,187,164,200,-1
0,-1,-1,187,165,200,-1
0,-1,-1,188,165,201,-1
0,-1,-1,189,166,201,-1
0,-1,-1,190,166,202,-1
0,-1,-1,190,167,203,-1
0,-1,-1,191,167,203,-1
0,-1,-1,192,168,204,-1
0,-1,-1,193,169,205,-1
0,-1,-1,194,170,206,-1
0,-1,-1,195,170,207,-1
0,-1,-1,196,171,208,-1
0,-1,-1,197,172,208,-1
0,-1,-1,198,173,209,-1
0,-1,-1,199,173,210,-1
0,-1,-1,199,174,211,-1
0,-1,-1,200,175,212,-1
0,-1,-1,201,176,213,-1
0,-1,-1,202,177,214,-1
0,-1,-1,203,177,214,-1
0,-1,-1,204,178,215,-1
0,-1,-1,205,179,216,-1
0,-1,-1,205,179,216,-1
0,-1,-1,205,179,216,-1
0,-1,-1,206,180,216,-1
0,-1,2,207,181,217,-1
0,-1,-1,208,182,218,-1
0,-1,-1,209,183,219,-1
0,-1,-1,210,-1,220,-1
0,-1,-1,211,184,221,-1
0,-1,-1,212,185,221,-1
0,-1,-1,212,186,222,-1
0,-1,-1,213,187,223,-1
0,-1,-1,214,188,224,-1
0,-1,-1,215,189,225,-1
0,-1,-1,216,190,226,-1
0,-1,-1,217,-1,227,-1
0,-1,-1,217,191,228,-1
0,-1,-1,218,191,229,-1
0,-1,-1,219,192,229,-1
0,-1,-1,220,193,229,-1
0,-1,-1,221,194,230,-1
0,-1,-1,222,195,231,-1
0,-1,-1,223,196,232,-1
0,-1,-1,224,197,233,-1
0,-1,-1,225,197,234,-1
0,-1,-1,226,198,235,-1
0,-1,-1,226,199,235,-1
0,-1,-1,227,200,235,-1
0,-1,-1,228,201,236,-1
0,-1,-1,229,202,237,-1
0,-1,-1,230,-1,237,-1
0,-1,-1,231,203,237,-1
0,-1,-1,232,204,238,-1
0,-1,-1,233,205,238,-1
0,-1,-1,234,206,239,-1
0,-1,-1,235,207,240,-1
0,-1,-1,236,208,241,-1
0,-1,-1,237,209,242,-1
0,-1,-1,238,210,243,-1
0,-1,-1,239,-1,244,-1
0,-1,-1,240,210,244,-1
0,-1,-1,241,211,245,-1
0,-1,-1,242,212,246,-1
0,-1,-1,243,213,246,-1
0,-1,-1,244,214,247,-1
0,-1,-1,245,215,248,-1
0,-1,-1,246,-1,249,-1
0,-1,-1,246,216,249,-1
0,-1,-1,247,217,250,-1
0,-1,-1,247,218,251,-1
0,-1,-1,248,219,252,-1
0,-1,3,249,-1,253,-1
0,-1,-1,250,220,254,-1
0,-1,-1,250,221,255,-1
0,-1,-1,251,-1,256,-1
0,-1,-1,252,-1,257,-1
0,-1,-1,253,222,258,-1
0,-1,-1,254,222,259,-1
0,-1,-1,255,223,260,-1
0,-1,-1,256,223,260,-1
0,-1,-1,257,224,261,-1
0,-1,-1,258,225,262,-1
0,-1,-1,259,225,263,-1
0,-1,-1,260,226,263,-1
0,-1,-1,261,227,264,-1
0,-1,-1,262,227,265,-1
0,-1,-1,263,-1,265,-1
0,-1,-1,263,228,266,-1
0,-1,-1,264,228,267,-1
0,-1,-1,264,228,267,-1
0,-1,-1,265,229,268,-1
0,-1,-1,266,230,269,-1
0,-1,-1,267,231,270,-1
0,-1,-1,268,232,271,-1
0,-1,-1,269,233,272,-1
0,-1,-1,270,234,273,-1
0,-1,-1,271,-1,274,-1
0,-1,-1,271,235,275,-1
0,-1,-1,272,235,276,-1
0,-1,-1,273,235,277,-1
0,-1,-1,273,-1,277,-1
0,-1,-1,274,236,278,-1
0,-1,-1,275,-1,279,-1
0,-1,-1,276,237,280,-1
0,-1,-1,277,-1,281,-1
0,-1,-1,278,-1,282,-1
0,-1,-1,279,238,283,-1
0,-1,-1,279,239,284,-1
0,-1,-1,279,240,285,-1
0,-1,-1,279,240,286,-1
0,-1,-1,280,240,287,-1
0,-1,-1,281,241,288,-1
0,-1,-1,282,242,289,-1
0,-1,-1,283,242,289,-1
0,-1,-1,284,242,290,-1
0,-1,-1,285,243,291,-1
0,-1,-1,286,244,291,-1
0,-1,-1,287,245,292,-1
0,-1,-1,288,246,293,-1
0,-1,-1,289,247,294,-1
0,-1,-1,290,248,295,-1
0,-1,-1,291,249,295,-1
0,-1,-1,292,-1,296,-1
0,-1,-1,293,249,297,-1
0,-1,-1,293,250,297,-1
0,-1,-1,294,251,297,-1
0,-1,-1,294,252,298,-1
0,-1,-1,295,252,299,-1
0,-1,4,296,-1,300,-1
0,-1,-1,297,253,301,-1
0,-1,-1,297,254,302,-1
0,-1,-1,298,254,303,-1
0,-1,-1,299,-1,304,-1
0,-1,-1,300,254,304,-1
0,-1,-1,301,254,305,-1
0,-1,-1,302,-1,306,-1
