author,recipeingredient,datepublished,recipeyield,recipecategory,nutrition
0,-1,0,1,1,-1
0,-1,1,1,2,-1
0,-1,2,2,-1,-1
0,-1,3,3,3,-1
0,-1,4,4,3,-1
0,-1,5,5,4,-1
0,-1,6,6,5,-1
0,-1,7,7,6,-1
0,-1,8,7,7,-1
0,-1,9,8,8,-1
0,-1,10,9,9,-1
0,-1,11,10,10,-1
0,-1,12,11,11,-1
0,-1,13,11,11,-1
0,-1,14,12,12,-1
0,-1,15,13,13,-1
0,-1,16,13,14,-1
0,-1,17,13,15,-1
0,-1,18,13,16,-1
0,-1,19,14,17,-1
0,-1,20,15,18,-1
0,-1,21,16,19,-1
0,-1,22,17,20,-1
0,-1,23,18,21,-1
0,-1,24,19,22,-1
0,-1,25,19,23,-1
0,-1,26,20,24,-1
0,-1,27,21,25,-1
0,-1,28,22,26,-1
0,-1,29,23,27,-1
0,-1,30,24,28,-1
0,-1,31,25,29,-1
0,-1,32,-1,-1,-1
0,-1,33,26,30,-1
0,-1,34,27,31,-1
0,-1,35,28,32,-1
0,-1,36,28,32,-1
0,-1,37,29,33,-1
0,-1,38,30,34,-1
0,-1,39,31,34,-1
0,-1,40,32,34,-1
0,-1,41,33,35,-1
0,-1,42,34,36,-1
0,-1,43,35,-1,-1
0,-1,44,-1,37,-1
0,-1,45,36,38,-1
0,-1,46,37,39,-1
0,-1,47,38,-1,-1
0,-1,48,39,40,-1
0,-1,49,40,41,-1
0,-1,50,-1,-1,-1
0,-1,51,41,41,-1
0,-1,52,42,42,-1
0,-1,53,43,-1,-1
0,-1,54,44,43,-1
0,-1,55,45,44,-1
0,-1,56,46,45,-1
0,-1,57,47,46,-1
0,-1,58,48,47,-1
0,-1,59,49,48,-1
0,-1,60,50,49,-1
0,-1,61,50,50,-1
0,-1,62,51,51,-1
0,-1,63,-1,-1,-1
0,-1,64,52,52,-1
0,-1,65,53,53,-1
0,-1,66,54,54,-1
0,-1,67,55,55,-1
0,-1,68,55,55,-1
0,-1,69,55,56,-1
0,-1,70,56,57,-1
0,-1,71,57,57,-1
0,-1,72,58,58,-1
0,-1,73,59,58,-1
0,-1,74,60,59,-1
0,-1,75,60,-1,-1
0,-1,76,61,60,-1
0,-1,77,-1,-1,-1
0,-1,78,62,60,-1
0,-1,79,63,60,-1
0,-1,80,64,-1,-1
0,-1,81,65,61,-1
0,-1,82,66,-1,-1
0,-1,83,67,62,-1
0,-1,84,68,63,-1
0,-1,85,69,64,-1
0,-1,86,70,65,-1
0,-1,87,71,65,-1
0,-1,88,71,65,-1
0,-1,89,72,66,-1
0,-1,90,73,66,-1
0,-1,91,73,67,-1
0,-1,92,74,68,-1
0,-1,93,75,68,-1
0,-1,94,76,69,-1
0,-1,95,77,69,-1
0,-1,96,78,70,-1
0,-1,97,78,71,-1
0,-1,98,79,72,-1
0,-1,99,80,73,-1
0,-1,100,81,74,-1
0,-1,101,82,75,-1
0,-1,102,83,75,-1
0,-1,103,84,76,-1
0,-1,104,85,77,-1
0,-1,105,86,78,-1
0,-1,106,87,79,-1
0,-1,107,88,80,-1
0,-1,108,89,81,-1
0,-1,109,90,82,-1
0,-1,110,91,83,-1
0,-1,111,92,84,-1
0,-1,112,93,85,-1
0,-1,113,94,86,-1
0,-1,114,94,-1,-1
0,-1,115,95,87,-1
0,-1,116,96,88,-1
0,-1,117,97,-1,-1
0,-1,118,98,89,-1
0,-1,119,99,90,-1
0,-1,120,100,91,-1
0,-1,121,101,92,-1
0,-1,122,101,-1,-1
0,-1,123,102,93,-1
0,-1,124,103,94,-1
