author,recipeingredient,datepublished,recipeyield,recipecategory,totaltime,recipecuisine,aggregaterating,commentcount
0,-1,0,-1,1,1,0,0,0
0,-1,1,-1,2,1,0,0,0
0,-1,2,1,3,-1,0,0,0
0,-1,3,2,4,2,0,0,0
0,-1,4,-1,5,3,0,0,1
0,-1,5,2,6,4,0,0,2
0,-1,6,3,7,5,0,0,3
0,-1,7,-1,8,6,0,0,4
0,-1,8,3,9,7,0,0,4
0,-1,9,4,10,8,0,0,4
0,-1,10,5,11,8,0,0,4
0,-1,11,-1,12,9,0,0,4
0,-1,12,5,13,-1,0,0,4
0,-1,13,6,13,10,0,0,5
0,-1,14,7,14,-1,0,0,6
0,-1,15,8,15,11,0,0,7
0,-1,16,9,16,12,0,0,7
0,-1,17,10,17,13,0,0,8
0,-1,18,11,18,14,0,0,9
0,-1,19,12,19,15,0,0,9
0,-1,20,-1,20,16,0,0,10
0,-1,21,13,21,17,0,0,11
0,-1,22,14,22,18,0,0,11
0,-1,23,15,23,19,0,0,11
0,-1,24,15,24,20,0,0,11
0,-1,25,16,25,21,0,0,11
0,-1,26,17,26,22,0,0,11
0,-1,27,-1,27,23,0,0,11
0,-1,28,18,28,24,0,0,11
0,-1,29,-1,29,25,0,0,11
0,-1,30,19,30,26,0,0,12
0,-1,31,20,31,27,0,0,13
0,-1,32,21,32,28,0,0,13
0,-1,33,22,33,28,0,0,14
0,-1,34,-1,34,29,0,0,15
0,-1,35,-1,35,29,0,0,15
0,-1,36,-1,36,29,0,0,16
0,-1,37,23,37,-1,0,0,17
0,-1,38,24,38,30,0,0,17
0,-1,39,25,39,31,0,0,18
0,-1,40,26,40,32,0,0,19
0,-1,41,26,41,33,0,0,19
0,-1,42,-1,42,34,0,0,19
0,-1,43,27,43,35,0,0,19
0,-1,44,28,44,36,0,0,19
0,-1,45,28,45,37,0,0,19
0,-1,46,28,46,38,0,0,20
0,-1,47,29,47,38,0,0,20
0,-1,48,30,48,39,0,0,21
0,-1,49,-1,49,-1,0,0,21
0,-1,50,31,50,40,0,0,21
0,-1,51,31,51,-1,0,0,22
0,-1,52,32,52,41,0,0,22
0,-1,53,33,53,42,0,0,23
0,-1,54,34,54,43,0,0,23
0,-1,55,34,55,44,0,0,23
0,-1,56,35,56,45,0,0,23
0,-1,57,36,57,46,0,0,23
0,-1,58,37,58,47,0,0,23
0,-1,59,38,59,48,0,0,23
0,-1,60,39,60,49,0,0,23
0,-1,61,-1,61,50,0,0,23
0,-1,62,40,62,51,0,0,23
0,-1,63,41,63,52,0,0,24
0,-1,64,42,64,53,0,0,25
0,-1,65,43,65,54,0,0,26
0,-1,66,44,66,55,0,0,27
0,-1,67,45,67,-1,0,0,27
0,-1,68,46,68,56,0,0,27
0,-1,69,-1,69,-1,0,0,27
0,-1,70,46,70,57,0,0,28
0,-1,71,47,71,58,0,0,29
0,-1,72,47,72,59,0,0,29
0,-1,73,48,73,60,0,0,29
0,-1,74,49,74,61,0,0,29
0,-1,75,50,74,61,0,0,29
0,-1,76,51,75,62,0,0,29
0,-1,77,52,76,63,0,0,29
0,-1,78,53,77,64,0,0,29
0,-1,79,53,78,65,0,0,29
0,-1,80,54,79,-1,0,0,29
0,-1,81,55,80,-1,0,0,29
0,-1,82,-1,81,66,0,0,29
0,-1,83,56,82,67,0,0,30
0,-1,84,57,83,68,0,0,31
0,-1,85,58,84,69,0,0,32
0,-1,86,58,85,70,0,0,33
0,-1,87,58,86,-1,0,0,34
0,-1,88,-1,87,71,0,0,35
0,-1,89,58,88,72,0,0,35
0,-1,90,58,89,73,0,0,35
0,-1,91,58,90,74,0,0,35
0,-1,92,59,91,74,0,0,36
0,-1,93,60,92,75,0,0,37
0,-1,94,-1,93,-1,0,0,37
0,-1,95,61,94,76,0,0,38
0,-1,96,61,95,77,0,0,39
0,-1,97,62,95,78,0,0,39
