recipeinstructions,author,recipeingredient,recipeyield,recipecategory,totaltime,recipecuisine,aggregaterating,nutrition,video,cookingmethod,mainentity,position,reviews
-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,0,1,-1
-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,0,2,-1
-1,-1,-1,2,-1,2,2,-1,-1,-1,1,0,3,-1
-1,-1,-1,3,1,3,-1,-1,-1,-1,2,0,4,-1
-1,-1,-1,3,2,4,-1,-1,-1,-1,-1,0,5,-1
-1,-1,-1,4,3,5,3,-1,-1,-1,-1,0,6,-1
-1,-1,-1,5,-1,6,-1,-1,-1,-1,-1,0,7,-1
-1,-1,-1,6,4,7,4,-1,-1,-1,2,0,8,-1
-1,-1,-1,7,5,8,-1,-1,-1,-1,3,0,9,-1
-1,-1,-1,8,-1,9,-1,-1,-1,-1,4,0,10,-1
-1,-1,-1,9,5,10,5,-1,-1,-1,5,0,11,-1
-1,-1,-1,10,6,11,6,-1,-1,-1,5,0,12,-1
-1,-1,-1,11,7,12,-1,-1,-1,-1,5,0,13,-1
-1,-1,-1,12,7,13,7,-1,-1,-1,5,0,14,-1
-1,-1,-1,12,7,13,-1,-1,-1,-1,5,0,15,-1
-1,-1,-1,13,8,14,7,-1,-1,-1,-1,0,16,-1
-1,-1,-1,13,8,15,7,-1,-1,-1,-1,0,17,-1
-1,-1,-1,14,8,16,-1,-1,-1,-1,-1,0,18,-1
-1,-1,-1,15,8,17,-1,-1,-1,-1,-1,0,19,-1
-1,-1,-1,16,9,18,8,-1,-1,-1,-1,0,20,-1
-1,-1,-1,17,10,19,-1,-1,-1,-1,6,0,21,-1
-1,-1,-1,17,10,20,-1,-1,-1,-1,-1,0,22,-1
-1,-1,-1,17,10,20,-1,-1,-1,-1,6,0,23,-1
-1,-1,-1,18,10,21,-1,-1,-1,-1,6,0,24,-1
-1,-1,-1,18,10,22,8,-1,-1,-1,-1,0,25,-1
-1,-1,-1,19,-1,23,-1,-1,-1,-1,7,0,26,-1
-1,-1,-1,20,10,24,-1,-1,-1,-1,-1,0,27,-1
-1,-1,-1,21,11,25,-1,-1,-1,-1,-1,0,28,-1
-1,-1,-1,22,12,26,-1,-1,-1,-1,-1,0,29,-1
-1,-1,-1,23,13,27,-1,-1,-1,-1,7,0,30,-1
-1,-1,-1,24,13,28,-1,-1,-1,-1,-1,0,31,-1
-1,-1,-1,25,13,29,-1,-1,-1,-1,8,0,32,-1
-1,-1,-1,26,14,30,9,-1,-1,-1,9,0,33,-1
-1,-1,-1,27,15,31,-1,-1,-1,-1,-1,0,34,-1
-1,-1,-1,28,16,32,-1,-1,-1,-1,9,1,-1,-1
-1,-1,-1,28,16,32,10,-1,-1,-1,10,2,35,-1
-1,-1,-1,28,16,33,-1,-1,-1,-1,10,2,36,-1
-1,-1,-1,28,16,34,-1,-1,-1,-1,-1,2,37,-1
-1,-1,-1,28,16,35,-1,-1,-1,-1,-1,2,38,-1
-1,-1,-1,28,16,36,-1,-1,-1,-1,-1,2,39,-1
-1,-1,-1,28,16,37,-1,-1,-1,-1,-1,2,40,-1
-1,-1,-1,28,16,38,-1,-1,-1,-1,-1,2,41,-1
-1,-1,-1,28,16,39,-1,-1,-1,-1,-1,2,42,-1
-1,-1,-1,29,16,40,-1,-1,-1,-1,11,2,43,-1
-1,-1,-1,29,17,41,-1,-1,-1,-1,-1,2,44,-1
-1,-1,-1,29,18,42,-1,-1,-1,-1,-1,2,45,-1
-1,-1,-1,29,18,43,-1,-1,-1,-1,-1,2,46,-1
-1,-1,-1,29,18,44,-1,-1,-1,-1,-1,2,47,-1
-1,-1,-1,30,19,45,-1,-1,-1,-1,12,3,-1,-1
-1,-1,-1,31,19,46,-1,-1,-1,-1,-1,4,48,-1
-1,-1,-1,32,19,47,-1,-1,-1,-1,-1,4,49,-1
-1,-1,-1,33,-1,48,-1,-1,-1,-1,12,4,50,-1
-1,-1,-1,34,-1,49,11,-1,-1,-1,12,4,51,-1
-1,-1,-1,34,19,49,-1,-1,-1,-1,12,4,52,-1
-1,-1,-1,35,19,50,-1,-1,-1,-1,12,4,53,-1
-1,-1,-1,35,-1,51,-1,-1,-1,-1,12,4,54,-1
-1,-1,-1,36,20,52,11,-1,-1,-1,12,4,55,-1
-1,-1,-1,37,21,53,11,-1,-1,-1,12,4,56,-1
-1,-1,-1,38,21,54,11,-1,-1,-1,12,4,57,-1
-1,-1,-1,39,-1,55,11,-1,-1,-1,12,4,58,-1
-1,-1,-1,40,21,56,-1,-1,-1,-1,-1,4,59,-1
-1,-1,-1,41,21,57,-1,-1,-1,-1,-1,4,60,-1
-1,-1,-1,42,21,58,11,-1,-1,-1,13,4,61,-1
-1,-1,-1,43,-1,59,-1,-1,-1,-1,14,4,62,-1
-1,-1,-1,44,22,60,-1,-1,-1,-1,-1,4,63,-1
-1,-1,-1,44,22,61,-1,-1,-1,-1,15,4,64,-1
-1,-1,-1,45,22,62,12,-1,-1,-1,16,4,65,-1
-1,-1,-1,46,22,63,13,-1,-1,-1,17,4,66,-1
-1,-1,-1,47,22,64,14,-1,-1,-1,18,4,67,-1
-1,-1,-1,48,-1,65,-1,-1,-1,-1,-1,4,68,-1
