name,recipeinstructions,author,recipeingredient,datepublished,recipeyield,preptime,cooktime,recipecategory,totaltime,keywords,recipecuisine,aggregaterating
0,0,0,-1,0,0,0,0,1,0,0,0,0
1,0,0,-1,1,0,0,0,2,0,1,0,0
2,0,0,-1,2,0,0,0,3,0,2,0,0
3,0,0,-1,3,1,0,1,4,1,3,0,0
4,0,0,-1,4,2,0,2,5,2,4,0,0
5,0,0,-1,5,3,0,3,6,3,5,0,0
6,0,0,-1,6,4,0,4,7,4,6,0,0
7,0,0,-1,7,5,0,5,-1,5,7,0,0
8,0,0,-1,8,6,0,6,8,6,8,0,0
9,0,0,-1,9,7,0,7,9,7,9,0,0
10,0,0,-1,10,8,0,8,10,8,10,0,0
11,0,0,-1,11,9,0,9,11,9,11,0,0
12,0,0,-1,12,10,0,10,12,10,12,0,0
13,0,0,-1,13,10,0,10,13,10,13,0,0
14,0,0,-1,14,11,0,11,14,11,14,0,0
15,0,0,-1,15,12,0,12,15,12,15,0,0
16,0,0,-1,16,13,0,13,16,13,16,0,0
17,0,0,-1,17,14,0,14,17,14,17,0,0
18,0,0,-1,18,15,0,15,18,15,18,0,0
19,0,0,-1,19,16,0,16,18,16,19,0,0
20,0,0,-1,20,17,0,17,19,17,20,0,0
21,0,0,-1,21,18,0,18,20,18,21,0,0
22,0,0,-1,22,19,0,19,21,19,22,0,0
23,0,0,-1,23,20,0,19,22,19,23,0,0
24,0,0,-1,24,21,0,20,23,20,24,0,0
25,0,0,-1,25,21,0,20,24,20,25,0,0
26,0,0,-1,26,21,0,20,25,20,26,0,0
27,0,0,-1,27,22,0,21,25,21,27,0,0
28,0,0,-1,28,23,0,22,26,22,28,0,0
29,0,0,-1,29,23,0,22,27,22,29,0,0
30,0,0,-1,30,23,0,22,28,22,30,0,0
31,0,0,-1,31,24,0,23,28,23,31,0,0
32,0,0,-1,32,25,0,24,29,24,32,0,0
33,0,0,-1,33,26,0,25,30,25,33,0,0
34,0,0,-1,34,27,0,26,31,26,34,0,0
35,0,0,-1,35,28,0,27,31,27,35,0,0
36,0,0,-1,36,29,0,28,31,28,36,0,0
37,0,0,-1,37,29,0,28,32,28,37,0,0
38,0,0,-1,38,29,0,28,33,28,38,0,0
39,0,0,-1,39,29,0,29,34,29,39,0,0
40,0,0,-1,40,30,0,29,34,29,40,0,0
41,0,0,-1,41,31,0,30,35,30,41,0,0
42,0,0,-1,42,32,0,31,36,31,42,0,0
43,0,0,-1,43,33,0,32,37,32,43,0,0
44,0,0,-1,44,34,0,33,38,33,44,0,0
45,0,0,-1,45,35,0,34,38,34,45,0,0
46,0,0,-1,46,36,0,35,38,35,46,0,0
47,0,0,-1,47,37,0,36,39,36,47,0,0
48,0,0,-1,48,37,0,36,40,36,48,0,0
49,0,0,-1,49,38,0,37,40,37,49,0,0
50,0,0,-1,50,39,0,38,41,38,50,0,0
51,0,0,-1,51,40,0,39,42,39,51,0,0
52,0,0,-1,52,41,0,40,43,40,52,0,0
53,0,0,-1,53,42,0,41,44,41,53,0,0
54,0,0,-1,54,43,0,42,45,42,54,0,0
55,0,0,-1,55,44,0,43,46,43,55,0,0
56,0,0,-1,56,45,0,44,47,44,56,0,0
57,0,0,-1,57,45,0,45,48,45,57,0,0
58,0,0,-1,58,46,0,46,49,46,58,0,0
59,0,0,-1,59,47,0,47,50,47,59,0,0
60,0,0,-1,60,48,0,48,51,48,60,0,0
61,0,0,-1,61,49,0,49,52,49,61,0,0
62,0,0,-1,62,50,0,50,53,50,62,0,0
63,0,0,-1,63,51,0,51,53,51,63,0,0
64,0,0,-1,64,52,0,52,54,52,64,0,0
65,0,0,-1,65,52,0,53,55,53,65,0,0
66,0,0,-1,66,53,0,54,56,54,66,0,0
67,0,0,-1,67,53,0,55,57,55,67,0,0
68,0,0,-1,68,54,0,56,57,56,68,0,0
69,0,0,-1,69,55,0,57,58,57,69,0,0
70,0,0,-1,70,56,0,58,59,58,70,0,0
71,0,0,-1,71,57,0,59,60,59,71,0,0
72,0,0,-1,72,58,0,60,60,60,72,0,0
73,0,0,-1,73,59,0,61,61,61,73,0,0
74,0,0,-1,74,60,0,62,62,62,74,0,0
75,0,0,-1,75,61,0,63,63,63,75,0,0
76,0,0,-1,76,62,0,64,64,64,76,0,0
77,0,0,-1,77,62,0,64,65,64,77,0,0
78,0,0,-1,78,62,0,64,66,64,78,0,0
79,0,0,-1,79,62,0,64,67,64,79,0,0
80,0,0,-1,80,62,0,64,68,64,80,0,0
81,0,0,-1,81,62,0,64,69,64,81,0,0
82,0,0,-1,82,62,0,64,70,64,82,0,0
83,0,0,-1,83,62,0,64,71,64,83,0,0
84,0,0,-1,84,62,0,65,72,65,84,0,0
85,0,0,-1,85,62,0,66,73,66,85,0,0
86,0,0,-1,86,62,0,66,74,66,86,0,0
87,0,0,-1,87,63,0,67,75,67,87,0,0
88,0,0,-1,88,64,0,68,76,68,88,0,0
89,0,0,-1,89,64,0,68,77,68,89,0,0
90,0,0,-1,90,65,0,69,78,69,90,0,0
91,0,0,-1,91,66,0,70,79,70,91,0,0
92,0,0,-1,92,66,0,70,80,70,92,0,0
93,0,0,-1,93,67,0,71,81,71,93,0,0
94,0,0,-1,94,68,0,72,82,72,94,0,0
95,0,0,-1,95,69,0,73,83,73,95,0,0
96,0,0,-1,96,70,0,74,83,74,96,0,0
97,0,0,-1,97,70,0,74,84,74,97,0,0
98,0,0,-1,98,71,0,75,84,75,98,0,0
99,0,0,-1,99,72,0,75,84,75,99,0,0
100,0,0,-1,100,73,0,76,84,76,100,0,0
101,0,0,-1,101,73,0,77,84,77,101,0,0
102,0,0,-1,102,74,0,78,84,78,102,0,0
103,0,0,-1,103,75,0,79,85,79,103,0,0
104,0,0,-1,104,76,0,80,86,80,104,0,0
105,0,0,-1,105,76,0,81,87,81,105,0,0
106,0,0,-1,106,77,0,81,88,81,106,0,0
107,0,0,-1,107,78,0,82,89,82,107,0,0
108,0,0,-1,108,78,0,82,-1,82,108,0,0
109,0,0,-1,109,79,0,83,90,83,109,0,0
110,0,0,-1,110,80,0,84,90,84,110,0,0
111,0,0,-1,111,80,0,85,91,85,111,0,0
112,0,0,-1,112,81,0,86,92,86,112,0,0
113,0,0,-1,113,82,0,87,93,87,113,0,0
114,0,0,-1,114,83,0,88,94,88,114,0,0
115,0,0,-1,115,84,0,89,95,89,115,0,0
116,0,0,-1,116,85,0,90,96,90,116,0,0
117,0,0,-1,117,86,0,91,96,91,117,0,0
118,0,0,-1,118,87,0,92,97,92,118,0,0
119,0,0,-1,119,88,0,93,98,93,119,0,0
120,0,0,-1,120,89,0,94,99,94,120,0,0
121,0,0,-1,121,89,0,94,100,94,121,0,0
122,0,0,-1,122,90,0,95,101,95,122,0,0
123,0,0,-1,123,91,0,96,102,96,123,0,0
124,0,0,-1,124,92,0,97,103,97,124,0,0
125,0,0,-1,125,93,0,97,103,97,125,0,0
126,0,0,-1,126,94,0,98,104,98,126,0,0
127,0,0,-1,127,95,0,99,105,99,127,0,0
128,0,0,-1,128,96,0,100,106,100,128,0,0
129,0,0,-1,129,97,0,101,107,101,129,0,0
130,0,0,-1,130,98,0,102,107,102,130,0,0
131,0,0,-1,131,98,0,103,108,103,131,0,0
132,0,0,-1,132,99,0,104,109,104,132,0,0
133,0,0,-1,133,100,0,105,110,105,133,0,0
134,0,0,-1,134,101,0,106,111,106,134,0,0
135,0,0,-1,135,102,0,107,112,107,135,0,0
136,0,0,-1,136,103,0,108,112,108,136,0,0
137,0,0,-1,137,103,0,109,113,109,137,0,0
138,0,0,-1,138,104,0,110,114,110,138,0,0
