row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,organizer,aggregaterating,page_url
0,7147,436,415,0,2457,1,2,0,0,8335
1,7949,1447,1412,0,986,1,2,0,0,8647
2,4442,1055,1023,0,3627,1,2,0,1,3915
3,1427,940,906,0,5296,1,2,0,0,578
4,7309,1104,1069,0,2505,1,2,0,0,5925
5,5729,295,288,0,2020,1,2,0,0,7733
6,1759,1016,979,0,2997,1,2,0,0,807
7,6714,1086,1051,0,675,1,2,0,0,7178
8,6093,219,215,0,3968,1,2,0,1,7773
9,1252,1121,1083,0,2867,1,2,0,1,1784
10,5077,1023,990,0,5296,1,2,0,1,3370
11,7196,1528,1490,0,1598,1,2,0,1,8375
12,5625,1120,1083,0,5296,1,2,0,1,1322
13,1146,1029,996,0,5296,1,2,0,1,2129
14,8464,1239,1206,0,5215,1,2,0,1,3357
15,5161,1458,1424,0,5297,1,2,0,1,3966
16,6236,1208,1176,0,1417,1,2,0,1,4256
17,4159,1280,1247,0,1298,1,2,0,0,6416
18,4259,140,137,0,4423,1,2,0,1,5622
19,8301,1058,1022,0,5296,1,2,0,1,3696
20,261,1202,1170,0,963,1,2,0,1,2059
21,1795,1206,1171,1,3246,2,2,0,0,4988
22,2696,1022,991,0,2946,1,2,0,1,882
23,8327,1040,1009,0,4729,1,2,0,0,9112
24,8518,1133,1093,0,5296,1,2,0,1,3991
25,4480,1204,1171,0,2627,1,2,0,1,5408
26,44,1093,1058,0,5296,1,2,0,1,2519
27,2552,1048,1014,0,1864,1,2,0,1,4156
28,2575,1580,1546,0,5296,1,2,0,1,5721
29,2563,1191,1166,0,4535,1,2,0,1,4748
30,4859,925,892,0,5296,1,2,0,1,2892
31,849,1479,1443,0,285,1,2,0,0,407
32,6600,1175,1151,1,1416,2,2,0,1,4799
33,5933,779,740,0,1723,3,3,1,1,8858
34,563,942,912,0,632,1,2,0,0,1912
35,548,1165,1131,0,5296,1,2,0,1,2158
36,7745,1477,1459,0,3033,1,2,0,0,8621
37,6903,1218,1186,0,363,1,2,0,0,8299
38,2318,1190,1155,0,774,1,2,0,1,1175
39,6967,608,588,0,5296,1,2,0,1,5200
40,3152,875,841,0,5296,3,2,1,0,6078
41,6622,1074,1039,0,5296,0,2,0,1,1460
42,7772,1557,1523,0,2156,1,2,0,0,5778
43,883,1183,1151,0,2444,1,2,0,1,2881
44,1779,703,680,0,583,1,0,0,0,1097
45,3079,1038,1005,0,1147,1,2,0,0,2822
46,2973,1026,991,0,5296,0,2,0,1,5957
47,4056,1198,1166,0,3697,1,2,0,1,6448
48,8452,659,639,0,5296,1,2,0,1,9128
49,4114,1233,1199,0,1780,1,2,0,0,130
50,712,1065,1032,0,5296,1,2,0,0,7598
51,6257,836,802,0,5296,1,0,0,0,8110
52,2286,1350,1317,0,5296,3,2,1,0,1141
53,4098,1243,1208,0,1723,3,3,1,1,8853
54,8294,1171,1151,0,5068,1,2,0,0,9030
55,6013,1048,1022,0,5296,1,2,0,1,1412
56,12,580,561,1,436,2,2,0,1,5787
57,2799,957,922,0,5296,1,2,0,1,3832
58,7539,1041,1009,0,5296,1,2,0,1,3009
59,2553,995,959,0,5296,1,2,0,1,4389
60,3145,1455,1419,0,3271,1,2,0,1,1792
61,5667,1171,1140,0,5296,1,2,0,1,7632
62,2153,1025,991,0,3077,1,2,0,1,3599
63,1296,898,866,0,453,1,2,0,1,4212
64,4682,1224,1195,0,3698,1,2,0,1,3070
65,4234,1210,1176,0,195,1,2,0,1,6496
66,2713,995,965,0,5296,1,2,0,1,3273
67,1725,1479,1443,0,3,1,2,0,1,4692
68,7401,1058,1024,0,2640,1,2,0,0,8490
69,8111,1067,1033,0,3215,1,2,0,0,8727
70,794,1350,1317,0,3675,1,2,0,0,258
71,511,1526,1488,0,753,1,2,0,0,1970
72,2653,1120,1098,0,4525,0,2,0,0,605
73,1838,970,930,1,5296,2,2,0,1,2338
74,8393,1151,1116,0,1650,1,2,0,1,5599
75,5943,1097,1061,0,3366,1,2,0,1,7692
76,3606,1580,1546,0,4768,1,2,0,0,6738
77,3466,1446,1412,0,1384,1,2,0,0,7037
78,4343,1060,1031,0,5296,1,2,0,1,5118
79,8571,1131,1093,0,5076,1,2,0,1,5262
80,8077,1206,1173,0,2567,1,2,0,0,5933
81,7079,1094,1061,0,5296,1,2,0,1,2134
82,7751,1167,1132,0,5296,3,2,1,0,1053
83,5202,1144,1112,0,1890,1,2,0,0,7505
84,6652,1430,1395,0,5296,3,2,1,0,8084
85,7736,103,99,0,1723,3,3,1,1,8859
86,5124,1486,1451,0,941,1,2,0,0,7264
87,4625,337,326,0,1560,1,2,0,0,6778
88,7521,990,965,0,5296,1,2,0,1,4336
89,6263,1242,1208,0,1634,1,2,0,1,5013
90,3397,1205,1170,0,3338,1,2,0,0,6213
91,2462,65,62,0,3125,1,2,0,1,5643
92,3281,891,857,0,5296,1,2,0,0,1140
93,3087,1127,1114,0,4737,1,2,0,0,6095
94,8368,890,858,0,5296,1,2,0,1,9049
