row_id,name,startdate,location,page_url
0,4248,3464,0,700
1,4453,2177,0,700
2,4453,2177,0,700
3,1900,189,0,1610
4,1991,3172,0,1439
5,3246,4099,0,848
6,1473,4090,0,848
7,679,4004,0,848
8,3131,3981,0,848
9,1908,5204,0,1924
10,2960,4597,0,1924
11,1892,4452,0,1637
12,1076,5103,0,952
13,603,5060,0,952
14,603,5056,0,952
15,578,5055,0,952
16,2382,4967,0,1520
17,2274,4754,0,1520
18,1894,4721,0,1640
19,736,4673,0,1653
20,2353,1937,0,1849
21,4359,3242,0,690
22,889,2187,0,690
23,4275,2186,0,690
24,3073,1804,0,690
25,2820,3094,0,907
26,2998,2132,0,614
27,2550,2028,0,614
28,747,4127,0,783
29,1420,4025,0,783
30,1386,4006,0,783
31,497,3866,0,783
32,1420,3814,0,783
33,1964,709,0,677
34,2867,1721,0,541
35,2866,722,0,541
36,2034,613,0,541
37,2110,432,0,1131
38,2073,2659,0,1189
39,3160,2973,0,39
40,1517,2873,0,39
41,1077,2712,0,39
42,1064,2684,0,39
43,1337,2674,0,39
44,613,4600,0,1589
45,3258,4369,0,1589
46,1275,3641,0,1589
47,2643,2489,0,1589
48,4442,2488,0,1589
49,613,1853,0,1589
50,2586,1812,0,1589
51,1275,1457,0,1589
52,3257,1455,0,1589
53,989,4431,0,943
54,1670,3196,0,1468
55,2651,1418,0,1822
56,2651,1417,0,1822
57,2651,1263,0,1822
58,212,3411,0,364
59,407,2253,0,364
60,405,2085,0,364
61,222,1973,0,364
62,3862,3290,0,463
63,3984,2640,0,463
64,3708,2373,0,463
65,3846,1935,0,463
66,3660,2072,0,331
67,3659,1532,0,331
68,3647,1091,0,331
69,3684,1064,0,331
70,3663,1049,0,331
71,4645,1045,0,331
72,3688,949,0,331
73,3646,865,0,331
74,482,4698,0,753
75,482,4696,0,753
76,4363,4660,0,753
77,4363,4659,0,753
78,484,3604,0,639
79,807,3494,0,639
80,807,2570,0,639
81,2049,2428,0,639
82,2561,2250,0,639
83,4549,791,0,713
84,4632,784,0,713
85,4594,394,0,713
86,4600,384,0,713
87,4619,335,0,713
88,4551,131,0,713
89,4625,91,0,713
90,4479,49,0,713
91,4530,41,0,713
92,1417,3745,0,136
93,1411,3640,0,136
94,1411,3639,0,136
95,1562,3634,0,136
96,3083,3708,0,1206
97,924,3703,0,1206
98,4015,4250,0,1517
99,1608,3186,0,1181
100,1608,3026,0,1181
101,1771,708,0,265
102,1694,703,0,265
103,1784,700,0,265
104,1687,697,0,265
105,1770,693,0,265
106,1693,689,0,265
107,1691,686,0,265
108,1783,679,0,265
109,1695,678,0,265
110,1696,664,0,265
111,1782,658,0,265
112,1795,654,0,265
113,1769,653,0,265
114,1690,651,0,265
115,1688,648,0,265
116,1781,647,0,265
117,1780,644,0,265
118,2022,3057,0,24
119,3644,1707,0,307
120,2383,819,0,1333
121,890,3220,0,692
122,890,2802,0,692
123,890,2558,0,692
124,1477,2141,0,692
125,961,5303,0,1350
126,961,5291,0,1350
127,961,5252,0,1350
128,961,5108,0,1350
129,3425,3711,0,734
130,4195,4648,0,738
131,2197,4853,0,68
132,2965,4942,0,1359
133,1379,4786,0,1225
134,1144,4667,0,1225
135,792,4333,0,1225
136,4296,4161,0,1225
137,1326,4075,0,1225
138,2430,4393,0,1265
139,709,4232,0,1416
140,4440,1284,0,578
141,2285,3470,0,593
142,4559,2238,0,593
143,3427,358,0,656
144,2246,357,0,656
145,2247,339,0,656
146,2147,3019,0,1834
147,2147,2987,0,1834
148,2147,2980,0,1834
149,2147,2978,0,1834
150,4463,2920,0,1834
151,4016,3560,0,1702
152,485,3559,0,1702
153,485,3558,0,1702
154,1554,3555,0,1702
155,4016,3545,0,1702
156,2392,4799,0,1902
157,523,4706,0,1902
158,938,5182,0,1630
159,938,5154,0,1630
160,1263,5086,0,1630
161,938,5048,0,1630
162,3024,627,0,185
163,3024,626,0,185
164,3058,2426,0,1388
165,4024,1463,0,1388
166,1662,3585,0,855
167,1662,3442,0,855
168,4451,3592,0,1392
169,2582,1947,0,1304
170,1979,4971,0,1272
171,2797,4376,0,916
172,4376,3782,0,1170
173,749,2942,0,1170
174,698,2890,0,1170
175,1081,2693,0,1170
176,4050,3655,0,67
177,3206,4907,0,1883
178,3235,2732,0,1883
179,1930,2702,0,1883
180,3235,2699,0,1883
181,2552,2665,0,1883
182,1931,2530,0,1883
183,2701,1921,0,1883
184,1930,1791,0,1883
185,2426,1640,0,1883
186,3687,1866,0,314
187,3634,1056,0,314
188,3670,803,0,314
189,1529,4443,0,937
190,1431,4178,0,937
191,1265,2215,0,937
192,1844,2750,0,405
193,1845,2167,0,405
194,3384,1754,0,405
195,1843,1605,0,405
196,752,3483,0,628
197,752,3346,0,628
198,752,3316,0,628
199,752,2738,0,628
200,752,2556,0,628
201,2030,2425,0,921
202,2453,580,0,921
203,2685,436,0,921
204,1621,3117,0,790
205,2767,3103,0,790
206,4101,4947,0,1349
207,2654,3999,0,1349
208,2654,3998,0,1349
209,2915,4449,0,1835
210,817,4363,0,1835
211,817,3313,0,1835
212,785,4769,0,1832
213,785,3891,0,1832
214,2933,3529,0,826
215,3098,3529,0,826
216,3286,3433,0,826
217,545,3576,0,1142
218,1670,3530,0,1142
219,737,3418,0,1142
220,1310,3413,0,1142
221,3373,4128,0,1436
222,4316,4128,0,1436
223,512,2744,0,1890
224,602,2743,0,1890
225,1185,3112,0,1577
226,916,2649,0,1577
227,594,2641,0,1577
228,704,2615,0,1577
229,513,2578,0,1577
230,2413,2431,0,1577
231,1485,2409,0,1577
232,734,2249,0,1577
233,1436,2122,0,1577
234,2955,2122,0,1577
235,703,2062,0,1577
236,555,1884,0,1577
237,916,1849,0,1577
238,814,1715,0,1577
239,931,1712,0,1577
240,3152,1698,0,1577
241,1030,1698,0,1577
242,1185,1653,0,1577
243,4422,1652,0,1577
244,717,1650,0,1577
245,2152,2071,0,1477
246,4021,2366,0,1114
247,716,4251,0,1417
248,716,3816,0,1417
249,716,3794,0,1417
250,716,3459,0,1417
251,716,3230,0,1417
252,1242,3853,0,1807
253,687,3845,0,1807
254,1005,3754,0,1807
