row_id,name,startdate,enddate,location,description,offers,organizer,page_url
0,58,116,114,0,3,0,0,34
1,79,460,459,0,125,0,0,371
2,79,463,460,0,125,0,0,371
3,140,476,470,0,128,0,0,371
4,79,464,462,0,125,0,0,371
5,79,466,464,0,125,0,0,371
6,140,477,472,0,128,0,0,371
7,140,479,474,0,128,0,0,371
8,140,480,475,0,128,0,0,371
9,140,481,476,0,128,0,0,371
10,140,482,477,0,128,0,0,371
11,140,483,478,0,128,0,0,371
12,140,485,480,0,128,0,0,371
13,140,486,481,0,128,0,0,371
14,140,487,482,0,128,0,0,371
15,79,439,436,0,125,0,0,371
16,140,453,450,0,128,0,0,371
17,79,440,437,0,125,0,0,371
18,136,441,438,0,127,0,0,371
19,140,455,452,0,128,0,0,371
20,79,442,439,0,125,0,0,371
21,136,443,440,0,127,0,0,371
22,140,457,454,0,128,0,0,371
23,79,444,443,0,125,0,0,371
24,136,446,444,0,127,0,0,371
25,140,459,456,0,128,0,0,371
26,79,447,445,0,125,0,0,371
27,136,448,446,0,127,0,0,371
28,140,461,458,0,128,0,0,371
29,79,449,447,0,125,0,0,371
30,140,465,461,0,128,0,0,371
31,136,450,448,0,127,0,0,371
32,140,467,463,0,128,0,0,371
33,79,451,449,0,125,0,0,371
34,79,452,451,0,125,0,0,371
35,140,468,465,0,128,0,0,371
36,79,454,453,0,125,0,0,371
37,140,469,466,0,128,0,0,371
38,79,456,455,0,125,0,0,371
39,140,470,467,0,128,0,0,371
40,79,458,457,0,125,0,0,371
41,208,491,486,0,219,0,0,447
42,208,492,487,0,219,0,0,447
43,140,482,477,0,128,0,0,447
44,140,483,478,0,128,0,0,447
45,140,485,480,0,128,0,0,447
46,140,486,481,0,128,0,0,447
47,140,487,482,0,128,0,0,447
48,140,488,483,0,128,0,0,447
49,208,489,484,0,219,0,0,447
50,208,490,485,0,219,0,0,447
51,134,381,377,0,68,0,0,178
52,87,108,105,0,59,1,0,83
53,79,460,459,0,125,0,0,501
54,79,463,460,0,125,0,0,501
55,140,476,470,0,128,0,0,501
56,79,464,462,0,125,0,0,501
57,79,466,464,0,125,0,0,501
58,140,477,472,0,128,0,0,501
59,140,479,474,0,128,0,0,501
60,140,480,475,0,128,0,0,501
61,140,481,476,0,128,0,0,501
62,140,482,477,0,128,0,0,501
63,140,483,478,0,128,0,0,501
64,140,485,480,0,128,0,0,501
65,140,486,481,0,128,0,0,501
66,140,487,482,0,128,0,0,501
67,79,439,436,0,125,0,0,501
68,140,453,450,0,128,0,0,501
69,79,440,437,0,125,0,0,501
70,136,441,438,0,127,0,0,501
71,140,455,452,0,128,0,0,501
72,79,442,439,0,125,0,0,501
73,136,443,440,0,127,0,0,501
74,140,457,454,0,128,0,0,501
75,79,444,443,0,125,0,0,501
76,136,446,444,0,127,0,0,501
77,140,459,456,0,128,0,0,501
78,79,447,445,0,125,0,0,501
79,136,448,446,0,127,0,0,501
80,140,461,458,0,128,0,0,501
81,79,449,447,0,125,0,0,501
82,140,465,461,0,128,0,0,501
83,136,450,448,0,127,0,0,501
84,140,467,463,0,128,0,0,501
85,79,451,449,0,125,0,0,501
86,79,452,451,0,125,0,0,501
87,140,468,465,0,128,0,0,501
88,79,454,453,0,125,0,0,501
89,140,469,466,0,128,0,0,501
90,79,456,455,0,125,0,0,501
91,140,470,467,0,128,0,0,501
92,79,458,457,0,125,0,0,501
93,196,235,236,0,192,0,0,254
94,93,332,331,0,79,0,0,92
95,79,460,459,0,125,0,0,516
96,79,463,460,0,125,0,0,516
97,140,476,470,0,128,0,0,516
98,79,464,462,0,125,0,0,516
99,79,466,464,0,125,0,0,516
100,140,477,472,0,128,0,0,516
101,140,479,474,0,128,0,0,516
102,140,480,475,0,128,0,0,516
103,140,481,476,0,128,0,0,516
104,140,482,477,0,128,0,0,516
105,140,483,478,0,128,0,0,516
106,140,485,480,0,128,0,0,516
107,140,486,481,0,128,0,0,516
