row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,organizer,performer,duration,about,aggregaterating,page_url
0,2317,4928,6359,0,567,0,0,0,10179,53,567,0,6668
1,3094,5038,6500,0,9850,0,0,0,4448,7,9850,0,7073
2,9496,7950,10267,0,8436,0,0,0,4632,60,8436,0,7591
3,11144,9373,12330,0,3800,0,0,0,9084,24,3800,0,10085
4,11754,4883,6303,0,11485,0,0,0,11166,11,11485,0,11015
5,7235,4557,5756,0,8195,0,0,0,4274,26,8195,0,5909
6,8454,1940,2202,0,5139,0,0,0,8419,17,5139,0,6916
7,59,2082,2377,0,3808,0,0,0,5139,24,3808,0,4964
8,10716,4923,6352,0,1270,0,0,0,252,51,1270,0,10692
9,3950,2484,2908,0,8028,0,0,0,10355,40,8028,0,13641
10,132,7863,10147,0,5746,0,0,0,5633,1,5746,0,3849
11,4868,6037,7804,0,822,0,0,0,8662,50,822,0,13520
12,1218,3845,4599,0,442,0,0,0,3151,21,442,0,2289
13,11790,896,997,0,5649,0,0,0,2054,15,5649,0,11384
14,4956,5088,6565,0,9229,0,0,0,10683,51,9229,0,5603
15,4074,5254,6774,0,11490,0,0,0,10422,32,11490,0,8527
16,7742,205,221,0,2520,0,0,0,260,49,2520,0,1049
17,8011,577,632,0,596,0,0,0,8787,118,596,0,1816
18,3902,2305,2677,0,11122,0,0,0,6482,48,11122,0,5235
19,842,2094,2389,0,10347,0,0,0,5379,43,10347,0,6741
20,10054,4766,6130,0,4928,0,0,0,5867,60,4928,0,10495
21,835,8088,10452,0,10924,0,0,0,5975,82,10924,0,12261
22,11840,8403,10838,0,10920,0,0,0,5976,23,10920,0,10629
23,3681,482,530,0,3153,0,0,0,9774,71,3153,0,12484
24,70,392,430,0,3115,0,0,0,1460,21,3115,0,75
25,5023,7584,9794,0,8585,0,0,0,11282,10,8585,0,4526
26,12127,6881,8924,0,8749,0,0,0,5569,45,8749,0,8036
27,7589,1926,2184,0,8741,0,0,0,9985,54,8741,0,4888
28,11090,942,1046,0,8954,0,0,0,2437,31,8954,0,12181
29,11638,3970,4765,0,2105,0,0,0,1255,50,2105,0,13653
30,6065,9663,12873,0,591,0,0,0,4722,46,591,0,1734
31,10754,9817,13211,0,5621,0,0,0,4677,60,5621,0,7808
32,8129,6404,8300,0,6578,0,0,0,5907,72,6578,0,7932
33,6516,8704,11224,0,557,0,0,0,317,37,557,0,10064
34,10441,6966,9025,0,5092,0,0,0,5426,27,5092,0,10927
35,5119,3421,4068,0,8359,0,0,0,7392,82,8359,0,5034
36,9471,3366,3998,0,8961,0,0,0,7957,23,8961,0,13121
37,3654,4970,6417,0,7412,0,0,0,783,4,7412,0,8297
38,7584,6743,8758,0,5251,0,0,0,973,4,5251,0,8577
39,500,6642,8622,0,3330,0,0,0,9385,37,3330,0,10413
40,6094,2841,3365,0,10385,0,0,0,9906,82,10385,0,4833
41,1800,9681,12895,0,10350,0,0,0,1981,51,10350,0,3197
42,6457,7459,9656,0,6422,0,0,0,1238,93,6422,0,12697
43,3978,7287,9446,0,7213,0,0,0,5123,48,7213,0,8558
44,8020,3389,4026,0,1500,0,0,0,8174,11,1500,0,3064
45,6935,8069,10430,0,1205,0,0,0,10519,60,1205,0,3791
46,5733,9509,12568,0,12638,0,0,0,7617,17,12638,0,9271
47,1345,9738,13048,0,9954,0,0,0,10044,40,9954,0,9923
48,6898,6276,8121,0,2378,0,0,0,4251,51,2378,0,12668
49,11894,6497,8420,0,6428,0,0,0,11150,60,6428,0,12677
50,3039,9611,12758,0,1599,0,0,0,2535,18,1599,0,3921
51,1022,8578,11056,0,11019,0,0,0,774,31,11019,0,11354
52,8891,9639,12818,0,6468,0,0,0,10042,45,6468,0,10383
53,9542,4720,6061,0,3974,0,0,0,5718,34,3974,0,13032
54,8290,4608,5861,0,5699,0,0,0,10346,42,5699,0,1969
55,4601,3294,3909,0,8503,0,0,0,5386,69,8503,0,578
56,8603,9771,13116,0,9820,0,0,0,516,27,9820,0,10113
57,9881,9105,11906,0,7157,0,0,0,2702,60,7157,0,516
58,9010,9512,12578,0,11997,0,0,0,4402,19,11997,0,1505
59,7878,5721,7394,0,11099,0,0,0,7302,29,11099,0,6175
60,2435,5939,7670,0,6372,0,0,0,4195,36,6372,0,12616
61,6537,7408,9593,0,6336,0,0,0,8253,82,6336,0,12651
62,5315,6805,8829,0,12740,0,0,0,8073,7,12740,0,8434
63,3846,6811,8836,0,10009,0,0,0,3321,54,10009,0,4084
64,2053,6168,7984,0,2358,0,0,0,8439,48,2358,0,7989
65,10787,221,239,0,6288,0,0,0,1542,40,6288,0,10952
66,2763,8600,11082,0,3911,0,0,0,8126,84,3911,0,631
67,695,29,29,0,12404,0,0,0,2314,52,12404,0,1601
68,475,6883,8928,0,12346,0,0,0,2276,54,12346,0,4066
69,7400,4279,5253,0,7349,0,0,0,10740,48,7349,0,8495
70,7121,1576,1758,0,3320,0,0,0,632,47,3320,0,1992
71,9063,8429,10871,0,5507,0,0,0,6696,5,5507,0,2114
72,9080,4080,4932,0,733,0,0,0,11497,6,733,0,2136
73,6143,9455,12480,0,10198,0,0,0,6434,13,10198,0,3496
74,8043,535,586,0,6297,0,0,0,10552,60,6297,0,3644
75,5231,9227,12090,0,5265,0,0,0,8487,13,5265,0,7322
76,9767,8826,11410,0,9447,0,0,0,10555,1,9447,0,8265
77,5042,2499,2933,0,9679,0,0,0,381,31,9679,0,3647
78,5395,6880,8922,0,5032,0,0,0,10306,35,5032,0,8807
79,10456,9772,13126,0,10438,0,0,0,7182,46,10438,0,9295
80,11347,4357,5384,0,6312,0,0,0,816,53,6312,0,3579
81,2364,6015,7778,0,2141,0,0,0,6620,53,2141,0,1913
82,1641,6296,8148,0,1728,0,0,0,1339,22,1728,0,1329
83,9228,8226,10633,0,1572,0,0,0,1087,19,1572,0,7352
84,6168,1036,1146,0,8225,0,0,0,8949,40,8225,0,8011
85,1696,9962,13403,0,431,0,0,0,7260,40,431,0,7111
86,12402,6793,8816,0,3943,0,0,0,5690,93,3943,0,11976
87,4354,6364,8240,0,7328,0,0,0,3675,38,7328,0,3826
88,3852,5638,7297,0,10308,0,0,0,3327,82,10308,0,4080
89,4683,9658,12860,0,1428,0,0,0,5339,42,1428,0,10059
90,8263,7797,10069,0,10923,0,0,0,5976,49,10923,0,12258
91,11206,7740,9988,0,10996,0,0,0,2607,41,10996,0,999
92,3239,3127,3714,0,3409,0,0,0,8630,60,3409,0,1837
93,10155,8251,10663,0,80,0,0,0,11236,60,80,0,4789
94,1902,6503,8426,0,1347,0,0,0,5963,71,1347,0,12135
95,5696,7512,9713,0,11718,0,0,0,3827,2,11718,0,2634
96,8984,6256,8091,0,12833,0,0,0,9914,37,12833,0,4743
97,5706,4157,5040,0,956,0,0,0,5422,51,956,0,8317
98,211,252,272,0,10764,0,0,0,11202,47,10764,0,13184
99,12339,9991,13447,0,2620,0,0,0,4361,43,2620,0,4495
100,1240,5992,7748,0,1468,0,0,0,1231,37,1468,0,12470
101,8280,3705,4433,0,200,0,0,0,10558,53,200,0,2151
