row_id,name,startdate,enddate,location,description,organizer,performer,url,page_url
0,3183,2740,2716,0,2534,2,1,0,2923
1,1338,3406,3388,0,3724,2,2,0,4792
2,4703,3801,3783,0,3409,0,1,1,5592
3,5324,5085,5146,0,2642,0,1,1,5702
4,2864,2756,2730,0,1596,0,1,0,2488
5,4504,4380,4367,0,654,0,1,0,4048
6,148,4666,4649,0,1241,2,1,0,109
7,5611,4700,4684,0,3339,0,1,0,4687
8,3148,1530,1514,0,2581,2,1,0,2865
9,2306,745,735,0,2296,2,1,0,1876
10,3829,5667,5647,0,2124,2,1,1,6369
11,5310,5736,5715,0,1620,0,1,1,5678
12,2089,931,918,0,3392,0,1,0,1619
13,4064,3505,3487,0,1681,0,1,0,3658
14,4113,3379,3359,0,3872,2,2,1,4969
15,5037,3378,3358,0,3831,2,2,1,4969
16,4481,5043,5029,20,3361,0,1,1,5563
17,563,2492,2475,0,2539,2,1,0,456
18,3342,3412,3393,0,2730,2,1,1,6053
19,1492,1972,1949,0,1026,0,1,0,966
20,2881,1334,1326,0,3095,0,1,0,2507
21,4186,582,577,0,2434,2,1,0,3767
22,4489,3836,3817,0,1902,0,1,0,4045
23,5289,613,617,0,4072,2,1,0,4482
24,4936,5823,5799,0,3112,0,1,1,6287
25,1661,3500,3482,20,2967,2,1,0,1148
26,4126,4242,4227,0,411,2,1,0,3708
27,990,4179,4162,0,373,2,1,0,909
28,2278,2994,2974,0,548,0,1,0,1815
29,3321,2316,2295,20,4072,2,1,0,3051
30,1866,4577,4572,0,529,0,1,0,1398
31,3741,4963,5033,0,3963,0,2,0,4760
32,3248,2283,2262,0,2554,2,1,0,3004
33,5021,2963,2943,0,3945,2,2,1,5017
34,719,4215,4199,0,376,2,1,0,626
35,5025,5724,5703,0,3521,2,2,1,4920
36,2078,659,654,0,2805,0,1,0,1605
37,1779,1979,1953,0,2326,2,1,0,1296
38,1109,5625,5608,20,968,0,1,1,5931
39,4557,10,6,0,1750,0,1,0,4091
40,227,2525,2500,0,1449,0,1,0,162
41,4097,2774,2748,0,3841,2,2,1,5231
42,5560,4894,4878,0,3405,0,1,0,4644
43,2499,485,479,0,1812,2,1,0,2071
44,3436,1044,1029,0,1549,0,1,0,3176
45,5196,4640,4623,0,3367,0,1,0,4419
46,5551,2724,2700,0,3260,2,1,1,5584
47,3278,2222,2196,0,2272,2,1,0,3037
48,3059,241,236,20,2549,2,1,0,2710
49,3786,1183,1169,0,1512,2,1,0,3487
50,4519,2886,2865,0,4072,0,1,0,4072
51,1369,3717,3696,20,3735,2,2,0,4805
