row_id,location,description,summary,date,time,presenter,page_url
0,0,2763,3263,1588,399,2566,6660
1,0,251,3263,1588,399,2566,6142
2,0,764,3263,1588,399,2566,5975
3,0,1412,3263,1588,399,2566,6240
4,0,1258,3263,1588,399,2566,6398
5,0,1274,3263,1588,399,2566,6208
6,684,398,3263,1588,399,2566,5734
7,0,434,3263,1588,399,2566,6381
8,684,1576,3263,1588,399,2566,5839
9,0,1907,3263,1588,399,2566,5384
10,684,707,3263,1588,399,2566,5644
11,684,644,3263,1588,399,2566,5417
12,684,661,3263,1588,399,2566,5678
13,684,661,3263,1588,399,2566,5480
14,0,1214,3263,1588,399,2566,6405
15,684,4050,3263,1588,399,2566,2789
16,684,140,3263,1588,399,2566,6050
17,684,670,3263,1588,399,2566,5433
18,684,1848,3263,1588,399,2566,5372
19,684,3613,3263,1588,399,2566,5926
20,0,76,3263,1588,399,2566,2811
21,684,710,3263,1588,399,2566,5586
22,0,3496,3263,1588,399,2566,6611
23,0,3328,3263,1588,399,2566,6018
24,0,972,3263,1588,399,2566,6689
25,0,821,3263,1588,399,2566,5331
26,0,2064,3263,1588,399,2566,5308
27,684,686,3263,1588,399,2566,5568
28,684,756,3263,1588,399,2566,5994
29,0,1657,3263,1588,399,2566,6362
30,684,717,3263,1588,399,2566,5658
31,684,3096,3263,1588,399,2566,5883
32,0,3303,3263,1588,399,2566,5954
33,684,721,3263,1588,399,2566,5431
34,0,831,3263,1588,399,2566,5742
35,684,628,3263,1588,399,2566,5625
36,0,2453,3263,1588,399,2566,6503
37,684,3262,3263,1588,399,2566,5990
38,0,92,3263,1588,399,2566,2815
39,0,119,3263,1588,399,2566,2820
40,0,4050,3263,1588,399,2566,5309
41,684,659,3263,1588,399,2566,5409
42,0,4057,3263,1588,399,2566,6021
43,0,1656,3263,1588,399,2566,6327
44,0,1270,3263,1588,399,2566,6527
45,0,4050,3263,1588,399,2566,2890
46,0,2972,3263,1588,399,2566,6407
47,684,693,3263,1588,399,2566,5725
48,684,3200,3263,1588,399,2566,5923
49,0,17,3263,1588,399,2566,2866
50,684,2773,3263,1588,399,2566,5322
51,0,357,3263,1588,399,2566,6569
52,684,3859,3263,1588,399,2566,5904
53,0,3799,3263,1588,399,2566,6158
54,0,1663,3263,1588,399,2566,6369
55,0,2587,3263,1588,399,2566,5958
56,0,2588,3263,1588,399,2566,6618
57,0,2596,3263,1588,399,2566,6013
58,0,2764,3263,1588,399,2566,6652
59,0,3700,3263,1588,399,2566,6478
60,684,4050,3263,1588,399,2566,2782
61,0,222,3263,1588,399,2566,6012
62,0,80,3263,1588,399,2566,6706
63,0,1656,3263,1588,399,2566,6337
64,0,8,3263,1588,399,2566,2841
65,0,37,3263,1588,399,2566,2905
66,0,96,3263,1588,399,2566,2827
67,0,774,3263,1588,399,2566,5957
68,0,3089,3263,1588,399,2566,6541
69,0,1510,3263,1588,399,2566,6257
70,684,3389,3263,1588,399,2566,6597
71,0,557,3263,1588,399,2566,6167
72,0,2457,3263,1588,399,2566,6496
73,684,661,3263,1588,399,2566,5451
74,0,4050,3263,1588,399,2566,5997
75,0,1661,3263,1588,399,2566,6321
76,0,1182,3263,1588,399,2566,6103
77,0,974,3263,1588,399,2566,6234
78,684,3154,3263,1588,399,2566,5396
79,0,2359,3263,1588,399,2566,6077
80,684,3305,3263,1588,399,2566,6059
81,0,2782,3263,1588,399,2566,5951
82,0,860,3263,1588,399,2566,6472
83,0,3708,3263,1588,399,2566,6544
84,0,1661,3263,1588,399,2566,6334
85,0,615,3263,1588,399,2566,6081
86,0,95,3263,1588,399,2566,6707
87,0,1331,3263,1588,399,2566,6245
88,0,55,3263,1588,399,2566,2873
89,684,692,3263,1588,399,2566,5551
90,0,4050,3263,1588,399,2566,2899
91,0,489,3263,1588,399,2566,5771
92,0,56,3263,1588,399,2566,2859
93,684,3870,3263,1588,399,2566,6617
94,0,796,3263,1588,399,2566,6057
95,684,4050,3263,1588,399,2566,5845
96,684,1589,3263,1588,399,2566,5886
97,684,700,3263,1588,399,2566,5730
98,0,2907,3263,1588,399,2566,5344
99,0,1656,3263,1588,399,2566,6336
100,0,3804,3263,1588,399,2566,6156
101,684,553,3263,1588,399,2566,6125
102,0,2425,3263,1588,399,2566,6435
103,517,3711,2174,1474,85,2566,4749
104,153,4050,3263,1509,223,1619,141
105,621,2429,417,1014,140,2475,2137
106,56,4050,3263,5,330,2566,2970
107,56,4050,3263,481,330,2566,2970
108,56,4050,3263,491,330,2566,2970
109,56,4050,3263,492,330,2566,2970
110,56,4050,3263,248,298,2566,2970
111,56,4050,3263,248,328,2566,2970
