row_id,name,startdate,location,description,offers,page_url
0,4500,1149,0,3936,0,4529
1,2366,668,0,276,0,4262
2,2313,1921,11,768,1,972
3,838,443,11,1085,1,365
4,955,1450,0,2563,0,1660
5,3736,802,0,5373,0,2165
6,2372,582,0,2166,0,2994
7,1867,1564,0,5008,0,2281
8,1596,1651,0,2019,0,2304
9,1908,1496,0,3906,0,5677
10,133,860,0,3300,0,2678
11,2463,709,0,874,0,3589
12,1918,1916,11,212,1,197
13,1838,1553,0,4310,0,1429
14,897,383,0,265,0,1787
15,1341,2009,0,5633,0,2754
16,1485,745,0,52,0,5330
17,4011,597,0,238,0,3594
18,2648,2130,11,1282,1,924
19,1025,1674,11,3646,1,906
20,1971,681,0,2412,0,4947
21,2869,536,11,388,1,981
22,3227,1281,0,5905,0,6054
23,3086,1265,0,3685,0,3760
24,4706,147,0,1221,1,4476
25,4831,542,0,5494,0,1230
26,2483,1344,0,3900,0,3773
27,3892,1909,11,1699,1,217
28,1376,1292,11,645,1,217
29,1387,359,11,2343,1,217
30,3692,1450,0,5507,0,1229
31,370,1429,0,5004,0,4244
32,4216,1135,0,4503,0,2152
33,1024,1236,0,5440,0,2694
34,1024,1911,11,2797,1,366
35,3580,804,0,3974,0,4802
36,1277,1128,0,1208,1,4537
37,3173,924,0,2898,0,4573
38,1103,2019,11,159,1,862
39,1101,1990,11,1358,1,862
40,1716,1952,11,1278,1,862
41,1827,1935,11,3193,1,862
42,1103,1603,11,58,1,862
43,1642,593,0,2919,0,1046
44,1017,159,0,3442,0,2816
45,3674,1954,11,1439,1,48
46,842,585,11,2992,1,48
47,3754,493,0,4392,0,1194
48,584,283,11,3734,1,383
49,4189,335,0,5965,0,1522
50,4997,1441,0,1304,0,1859
51,3399,2033,11,2905,1,287
52,3407,1254,0,4364,0,1391
53,1345,1674,11,4089,1,267
54,3625,294,0,5772,0,6109
55,3754,315,0,4506,1,1210
56,1033,958,0,3596,0,2799
57,4124,2009,0,2868,0,3840
58,1807,1359,0,5313,0,3450
59,4903,1059,0,2346,0,4289
60,1817,1869,11,1080,1,79
61,3100,1980,11,4574,1,581
62,3673,1308,0,2153,0,1986
63,4320,1891,11,5969,1,844
64,3249,1566,11,3102,1,844
65,3249,1399,11,3100,1,844
66,541,1229,11,662,1,844
67,1094,9,11,614,1,968
68,4158,932,0,5513,0,2286
69,2372,605,0,3654,0,2978
70,3685,2042,0,5296,0,3860
71,3335,1055,0,5701,0,4667
72,283,181,0,1301,0,5778
73,3241,249,0,3605,0,1048
74,2501,2029,0,6016,1,3204
75,3474,271,11,5025,1,694
76,4832,406,0,1249,0,4506
77,1704,1018,0,4737,0,3684
78,3852,341,0,1206,1,4532
79,4021,1954,11,5876,1,557
80,563,1609,0,3845,0,3078
81,3651,304,11,3621,1,901
82,3126,1500,0,3495,0,4159
83,1500,1199,0,2025,1,2644
84,3134,2133,0,4781,0,4954
85,3308,1401,0,3183,0,5891
86,4354,934,0,5499,0,1446
87,113,934,0,5154,0,5024
88,2264,480,11,1654,1,397
89,2736,556,0,6003,1,1516
90,3044,1692,11,3785,1,551
91,1195,559,0,1369,0,2025
92,3006,1406,0,5528,0,2877
93,4660,2028,0,1916,0,2365
94,1421,1856,11,4069,1,162
95,4686,434,0,1226,1,4511
96,4322,756,0,2588,0,4279
97,4813,1104,0,1186,1,4411
98,4611,478,0,5029,0,4966
99,2900,1315,0,3315,0,4227
100,3040,1350,0,4757,0,3644
101,4032,1089,0,1780,1,4084
102,1402,1475,0,1905,0,2497
103,3428,1274,0,1806,0,4371
104,372,664,0,1633,0,4218
105,954,1171,0,604,0,1624
106,1245,315,0,1362,0,4101
107,3803,1211,0,5416,0,5699
108,1147,1876,11,5963,1,303
