row_id,name,startdate,enddate,description,eventattendancemode,organizer,inlanguage,page_url
0,659,1676,1674,2418,0,0,0,2855
1,2421,1783,1781,1584,0,0,0,1501
2,2241,1330,1328,255,0,0,0,3464
3,2841,1412,1409,3327,0,0,0,4037
4,3614,1838,1838,17,0,0,0,7703
5,3080,1886,1886,680,0,0,0,1041
6,408,1755,1753,2996,0,0,0,1505
7,705,1870,1870,2716,0,0,0,2962
8,2705,1784,1782,3189,0,0,0,2710
9,3393,1856,1856,740,0,0,0,3961
10,1503,1798,1797,1704,0,0,0,6797
11,1852,1498,1495,1795,0,0,0,3547
12,2995,161,160,3157,0,0,0,8862
13,708,1806,1805,416,0,0,0,1067
14,2324,356,358,1421,0,0,0,5228
15,1007,1037,1035,1497,0,0,0,2064
16,440,1597,1594,1639,0,0,0,3810
17,3204,824,821,1586,0,0,0,3045
18,1374,1517,1516,1162,0,0,0,5442
19,679,1612,1609,364,0,0,0,5756
20,481,1447,1445,2683,0,0,0,1095
21,1837,1834,1833,2520,0,0,0,2147
22,2750,842,839,944,0,0,0,6619
23,3389,1858,1858,745,0,0,0,3874
24,198,414,414,715,0,0,0,3963
25,1380,1861,1862,157,0,0,0,2377
26,408,1748,1746,2996,0,0,0,5568
27,541,369,369,1918,0,0,0,4568
28,750,252,252,2867,0,0,0,5109
29,2403,763,760,3035,0,0,0,8590
30,1439,435,435,3250,0,0,0,3452
31,2705,1761,1759,3189,0,0,0,2392
32,3525,338,337,859,0,0,0,3008
33,2008,1681,1679,1601,0,0,0,3419
34,2822,868,866,1620,0,0,0,3489
35,766,403,403,600,0,0,0,4648
36,1815,351,350,2702,0,0,0,8106
37,2141,981,979,2862,0,0,0,146
38,2328,1137,1135,1860,0,0,0,745
39,3081,1481,1478,1709,0,0,0,828
40,2712,1289,1286,3187,0,0,0,2882
41,2795,478,477,524,0,0,0,7818
42,1503,1785,1783,1704,0,0,0,1408
43,270,556,556,2464,0,0,0,1375
44,1380,1834,1833,157,0,0,0,3712
45,2388,1609,1606,1939,0,0,0,3738
46,604,160,159,319,0,0,0,5321
47,2873,1553,1550,1774,0,0,0,3329
48,3809,1037,1035,2281,0,0,0,2511
49,2834,1869,1869,801,0,0,0,1685
50,3648,778,775,2188,0,0,0,4097
51,541,432,432,1918,0,0,0,5174
52,672,425,425,1808,0,0,0,6658
53,2720,1087,1084,3187,0,0,0,4396
54,792,280,280,295,0,0,0,4778
55,1388,875,873,2325,0,0,0,1101
56,447,790,787,1207,0,0,0,2772
57,2642,1303,1300,1384,0,0,0,3572
