row_id,name,startdate,enddate,description,offers,page_url
0,1249,416,389,2032,0,3128
1,515,350,333,510,1,1902
2,751,426,400,2968,1,4425
3,477,510,468,32,1,471
4,914,499,456,2394,0,2165
5,1033,498,461,4641,0,4096
6,214,357,336,630,1,4883
7,223,358,339,661,0,487
8,634,491,451,2618,0,1604
9,648,496,456,493,0,1692
10,1306,244,249,4600,1,4077
11,1209,530,484,998,0,157
12,1234,47,46,129,1,534
13,314,627,566,823,0,1055
14,906,451,415,1711,0,29
15,885,495,455,2828,1,4465
16,619,509,470,4887,0,4009
17,42,472,438,372,1,986
18,568,588,532,2105,0,3002
19,371,438,404,2357,1,2292
20,1033,498,461,4170,0,4848
21,170,161,267,599,0,215
22,636,91,93,3778,1,1362
23,1092,464,430,3219,1,2028
24,347,359,339,1103,1,3738
25,1110,80,82,3533,0,485
26,418,477,436,144,0,2673
27,375,481,440,1332,0,2907
28,227,591,535,4322,0,3454
29,290,390,361,4604,1,3891
30,786,483,446,2855,1,4551
31,749,412,414,530,1,710
32,249,478,436,2685,0,2336
33,298,409,376,92,1,3893
34,393,336,319,3594,1,1819
35,1004,214,211,981,0,432
36,801,507,463,2542,0,1971
37,794,486,446,2291,0,2257
38,270,129,133,2099,0,2879
39,774,580,549,2725,0,4317
40,588,497,454,1257,1,1176
41,1006,343,323,3016,1,4601
42,817,457,420,4562,0,3551
43,722,76,76,2078,1,2480
44,993,102,159,3591,1,3595
45,886,444,409,2392,0,2172
46,1159,572,517,3083,0,2201
47,1,362,340,140,1,433
48,501,380,358,4234,0,4927
49,9,475,433,3129,0,3119
50,1133,232,226,3623,1,464
51,89,445,410,1188,0,990
52,612,374,349,3737,0,1937
53,228,484,447,737,1,2871
54,616,444,415,1937,0,687
55,100,578,524,393,0,3330
56,1006,343,323,2484,1,1273
57,1141,466,429,2723,0,4249
58,1049,402,372,1366,1,4309
59,688,434,410,3458,0,1653
60,1091,180,178,172,1,2027
61,15,299,351,224,1,935
62,735,375,353,2159,1,1211
63,349,311,302,906,1,150
64,347,359,339,1101,1,538
65,396,367,347,1910,1,2735
66,1083,418,389,3942,1,4943
67,622,465,433,1966,1,690
68,1172,590,538,4484,1,3498
69,574,520,475,1751,1,339
70,245,471,433,1823,1,1341
71,1100,509,469,4817,1,3670
72,152,430,397,4683,0,3854
73,848,209,206,4830,0,3734
74,728,439,420,866,0,108
75,1141,466,429,1826,0,2740
76,661,602,541,3464,0,569
77,158,203,202,3715,0,4361
78,949,283,270,4882,0,3817
79,96,497,456,3813,1,1507
80,180,513,481,2937,1,217
81,1228,535,491,756,0,2064
82,345,275,265,3194,1,1302
83,720,79,80,315,0,5042
84,1254,641,581,3728,1,556
85,166,469,428,3549,1,1405
86,1179,41,40,4839,0,3703
87,830,473,439,2415,0,2103
88,656,150,151,2328,0,2233
89,855,545,498,2599,0,727
90,12,499,462,2588,1,1969
91,427,235,227,4212,0,4659
92,1064,402,370,4625,0,3693
93,444,337,323,3604,1,4421
94,785,459,580,1224,1,927
95,851,451,417,1670,0,2709
96,131,395,366,515,1,1513
97,614,264,254,1799,1,5034
98,1281,466,428,910,1,159
99,332,305,295,2987,1,256
100,1112,527,480,1654,0,448
101,1004,214,211,1270,0,1277
102,128,134,138,4156,0,4729
103,140,219,216,308,1,4873
104,620,196,196,3450,1,1503
105,558,475,440,1677,0,1664
106,1147,472,435,4662,1,3671
107,1293,499,468,2905,0,4229
108,586,8,7,1318,1,1174
109,783,529,482,46,0,1221
110,1102,474,446,3402,1,1975
111,550,71,72,1716,0,800
112,356,472,437,318,1,509
113,815,502,462,2510,0,2149
114,594,216,212,1953,1,2451
115,1051,526,479,3530,0,522
116,188,335,317,2304,1,4882
117,146,615,552,874,0,91
118,1065,421,389,3523,0,5116
119,189,345,327,3807,1,11
120,688,434,410,4028,0,4792
121,276,7,9,702,0,808
122,85,215,212,445,0,1699
123,757,530,484,2451,0,5049
124,221,353,336,2375,0,2329
125,826,490,450,2560,0,3055
126,494,376,353,1414,0,4431
127,181,500,462,126,0,3718
128,21,526,485,4304,0,3640
129,568,588,532,2848,0,4199
130,1281,466,428,2761,1,4315
131,1118,313,301,299,0,4723
132,179,606,543,2043,0,171
133,824,624,568,13,0,2093
134,34,502,463,3505,0,2739
135,1001,518,477,860,1,2762
136,1043,275,266,3407,1,520
137,606,379,358,2207,1,4535
138,1310,371,352,3608,1,588
139,704,64,65,2052,1,698
140,513,161,267,132,0,2231
141,558,475,440,531,0,2423
142,68,505,463,4288,0,3351
143,598,201,200,3110,1,1505
144,951,469,435,977,1,102
145,815,502,462,2507,0,2687
146,309,461,427,1279,1,1139
147,546,633,573,95,0,3994
148,92,546,497,4661,0,3842
149,662,558,510,4098,1,4965
150,643,471,432,3139,0,2959
151,716,169,166,2064,0,2756
152,13,458,429,2956,0,3302
153,1019,496,456,621,0,2111
154,314,627,566,2756,0,4395
155,37,474,433,3712,0,535
156,722,76,76,2060,1,1203
157,617,407,376,1576,0,1620
158,242,515,473,3278,1,2940
159,563,418,386,3551,0,514
160,923,94,94,554,0,525
161,113,242,232,4405,1,3428
162,411,607,545,338,0,4471
163,27,466,427,772,0,4553
164,89,445,410,452,0,1702
165,121,20,22,3292,1,611
166,316,346,325,2889,1,4457
167,641,286,273,1092,0,2964
168,802,382,358,4432,0,3568
169,155,197,194,4690,0,3805
170,632,411,432,1990,1,5025
171,999,513,475,3511,0,1865
172,767,511,466,4254,1,1951
173,230,430,397,1919,1,2792
174,767,511,466,2469,1,4544
175,272,459,427,3656,1,2131
176,475,432,458,2763,0,4289
177,1291,372,353,1868,1,2826
178,542,445,414,1708,1,4782
179,1163,411,382,2926,1,3158
180,803,193,193,4355,1,3307
181,1038,624,563,3170,0,757
182,878,532,487,1438,1,4583
183,910,445,409,1052,0,414
184,1198,441,410,3541,0,1377
185,724,229,222,2671,1,2963
186,1082,463,430,655,0,1574
187,367,317,302,2977,1,4925
188,34,502,463,3505,0,893
189,781,377,351,2409,0,2589
190,1240,466,433,4082,1,4984
191,1317,356,337,1596,0,2190
192,351,611,548,3744,0,2205
193,93,426,403,1315,0,2399
194,1255,499,465,1721,1,1677
195,255,459,426,720,1,2101
196,571,3,5,4195,1,4664
197,806,576,522,1930,0,2676
198,735,375,353,2158,1,5047
199,189,345,327,3745,1,621
200,83,513,474,2091,0,2960
201,526,504,468,1474,0,4440
202,269,491,463,4203,0,4850
203,176,472,437,3601,0,1737
204,914,499,456,2668,0,75
205,1036,377,353,2697,1,2564
206,346,459,420,3808,0,14
207,921,375,353,4381,1,3226
208,151,441,410,555,0,524
209,1243,391,442,3832,1,26
210,449,451,415,2279,0,2393
211,335,496,455,1350,1,2923
212,181,500,462,125,0,3214
213,547,387,360,268,0,3995
214,1248,467,428,4767,1,4133
215,970,117,129,4875,0,3765
216,1249,416,389,1980,0,4637
217,565,274,264,3770,0,1534
218,1281,466,428,1849,1,2799
219,838,276,432,4435,0,3562
220,1106,507,462,3531,1,2033
221,1016,59,61,3713,1,1416
222,864,359,339,2607,1,402
223,1140,381,355,676,1,766
224,517,198,306,4500,0,3488
225,1215,490,455,549,1,615
