row_id,name,startdate,location,description,eventstatus,page_url
0,2565,2344,0,3128,0,1676
1,830,21,0,2130,0,5731
2,1177,32,0,1450,0,2949
3,2694,434,0,2748,0,2305
4,1923,2817,0,2230,0,7174
5,1919,2166,0,1631,0,6643
6,247,1388,0,373,0,4604
7,695,2729,0,865,0,7073
8,2219,2107,0,3066,0,1551
9,1711,359,0,3034,0,2403
10,1455,1262,0,1318,0,4363
11,940,1860,0,2840,0,5466
12,152,2180,0,1940,0,6640
13,2693,852,0,1363,0,3131
14,2200,1612,0,2545,0,5718
15,1412,2657,0,1580,0,7001
16,2872,336,0,2549,0,2358
17,570,2255,0,3099,0,875
18,1836,1244,0,2041,0,4142
19,1106,1582,0,2597,0,5667
20,2378,274,0,1198,0,4013
21,2408,99,0,2014,0,3301
22,2042,132,0,1399,0,525
23,493,181,0,1982,0,4984
24,1844,1058,0,755,0,3973
25,3056,1732,0,3004,0,61
26,2387,52,0,812,0,3040
27,3050,163,0,1728,0,4603
28,1758,2139,0,3063,0,1617
29,2501,1260,0,140,0,3678
30,1770,1503,0,2784,0,5094
31,189,50,0,596,0,5078
32,2750,847,0,199,0,3262
33,2713,596,0,2121,0,2587
34,2210,1686,0,2543,0,5771
35,2935,1623,0,2526,0,5490
36,763,15,0,1285,0,5492
37,921,1216,0,1920,0,3929
38,940,1858,0,2840,0,5467
39,129,2140,0,2562,0,1296
40,2632,1136,0,180,0,3783
41,504,2161,0,2881,0,790
42,2091,461,0,215,0,2461
43,2610,2607,0,1672,0,6892
44,2171,2237,0,2817,0,1384
45,216,186,0,962,0,385
46,503,2177,0,2881,0,793
47,2683,929,0,719,0,3141
48,922,1333,0,2027,0,3957
49,1826,1250,0,1223,0,4165
50,746,2249,0,3100,0,1186
51,3214,1768,0,3009,0,5872
52,3355,2115,0,2734,0,1151
53,2224,2138,0,3067,0,1622
54,2681,357,0,2745,0,2283
55,2291,171,0,1653,0,5438
56,946,1551,0,2081,0,4640
57,2398,174,0,1204,0,3780
58,1067,2845,0,384,0,7198
59,2263,2367,0,3125,0,1655
60,1021,123,0,2123,0,140
61,2769,507,0,2967,0,2054
62,2080,1394,0,1885,0,4746
63,3341,164,0,2383,0,2960
64,1244,933,0,2485,0,3400
65,406,1094,0,2219,0,4377
66,2856,3254,0,296,0,6485
67,2497,1284,0,160,0,3682
68,1262,1219,0,1702,0,3730
69,2466,666,0,1510,0,2670
70,1113,1664,0,2602,0,5679
71,997,2146,0,2833,0,950
72,1129,822,0,687,0,3011
73,2897,907,0,1217,0,3226
74,2910,655,0,2062,0,2726
75,3224,1429,0,2076,0,4700
76,2615,3307,1,974,0,6552
77,2600,2347,0,206,0,6693
78,1337,2835,0,2366,0,7188
79,3354,2254,0,2735,0,1147
80,2064,1322,0,233,0,4398
81,467,1122,0,789,0,4050
82,221,229,0,979,0,414
83,2664,956,0,222,0,3159
84,1211,254,0,238,0,4517
85,1690,126,0,1168,0,4542
86,1011,77,0,2128,0,123
87,2497,1304,0,160,0,3685
88,930,1536,0,1548,0,4635
