row_id,name,startdate,enddate,description,eventattendancemode,page_url
0,145,22,22,1988,0,46
1,0,112,110,806,0,9
2,5,31,31,802,0,9
3,5,30,30,802,0,9
4,11,111,109,807,0,9
5,9,73,71,826,0,9
6,21,2,2,814,0,9
7,10,154,152,829,0,9
8,14,142,139,803,0,9
9,12,143,140,803,0,9
10,13,141,138,839,0,9
11,17,113,111,835,0,9
12,144,78,76,828,0,9
13,144,77,75,855,0,9
14,145,22,22,851,0,9
15,145,21,21,850,0,9
16,146,20,20,857,0,9
17,22,86,84,819,0,9
18,23,24,24,809,0,9
19,1,97,94,797,0,9
20,1,95,93,796,0,9
21,2,98,96,798,0,9
22,9,72,70,826,0,9
23,26,69,67,826,0,9
24,9,71,69,826,0,9
25,141,103,101,810,0,9
26,29,103,101,801,0,9
27,30,106,104,811,0,9
28,31,103,101,810,0,9
29,31,108,106,812,0,9
30,32,107,105,811,0,9
31,47,58,56,822,0,9
32,37,127,125,805,0,9
33,38,88,86,820,0,9
34,34,132,130,818,0,9
35,36,134,132,817,0,9
36,35,133,131,817,0,9
37,51,79,77,831,0,9
38,53,121,119,824,0,9
39,54,155,153,829,0,9
40,54,156,154,829,0,9
41,55,158,156,842,0,9
42,57,49,49,808,0,9
43,65,64,62,856,0,9
44,70,166,163,834,0,9
45,80,207,205,816,0,9
46,80,208,206,815,0,9
47,80,209,207,815,0,9
48,142,206,204,815,0,9
49,78,180,178,836,0,9
50,75,38,38,832,0,9
51,75,40,39,830,0,9
52,75,41,40,832,0,9
53,75,37,36,832,0,9
54,83,102,100,837,0,9
55,87,171,169,852,0,9
56,88,9,9,799,0,9
57,90,196,194,804,0,9
58,89,198,196,804,0,9
59,91,197,195,804,0,9
60,150,230,228,849,0,9
61,86,183,181,840,0,9
62,153,128,126,821,0,9
63,153,114,112,821,0,9
64,152,105,103,833,0,9
65,92,43,43,841,0,9
66,92,39,41,800,0,9
67,103,148,146,843,0,9
68,103,149,147,843,0,9
69,104,147,145,844,0,9
70,105,3,3,845,0,9
71,106,173,171,825,0,9
72,108,194,192,838,0,9
73,111,193,191,813,0,9
74,111,213,211,848,0,9
75,112,15,15,827,0,9
76,112,17,17,827,0,9
77,112,16,16,827,0,9
78,112,14,14,827,0,9
79,24,124,122,847,0,9
80,24,123,121,847,0,9
81,24,122,120,847,0,9
82,134,33,33,853,0,9
83,138,137,135,823,0,9
84,18,235,233,846,0,9
85,20,23,23,854,0,9
86,82,8,8,1349,0,154
87,0,112,110,147,0,266
88,5,31,31,7,0,266
89,5,30,30,7,0,266
90,11,111,109,148,0,266
91,8,162,160,2698,0,266
92,9,73,71,1341,0,266
93,21,2,2,1195,0,266
94,10,154,152,1345,0,266
95,14,142,139,8,0,266
96,12,143,140,8,0,266
97,13,141,138,1435,0,266
98,140,140,141,1357,0,266
99,17,113,111,1352,0,266
100,19,51,48,150,0,266
101,144,78,76,1343,0,266
102,144,77,75,2626,0,266
103,145,22,22,1988,0,266
104,145,21,21,1987,0,266
105,146,20,20,3345,0,266
106,22,86,84,1202,0,266
107,23,24,24,720,0,266
108,1,97,94,1,0,266
109,1,95,93,0,0,266
110,2,98,96,2,0,266
111,9,72,70,1341,0,266
112,26,69,67,1341,0,266
113,9,71,69,1341,0,266
114,141,103,101,721,0,266
115,29,103,101,5,0,266
116,30,106,104,722,0,266
117,31,103,101,721,0,266
118,31,108,106,723,0,266
119,32,107,105,722,0,266
120,47,58,56,1206,0,266
121,37,127,125,10,0,266
