row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,offers,organizer,performer,page_url
0,89,37,39,0,123,0,0,1,0,1,146
1,57,154,158,0,45,0,0,0,0,0,602
2,38,155,159,0,37,0,0,0,0,0,602
3,56,156,160,0,45,0,0,0,0,0,602
4,38,157,161,0,37,0,0,0,0,0,602
5,39,159,163,0,12,0,0,0,0,0,602
6,41,163,166,0,19,0,0,0,0,0,602
7,57,165,169,0,45,0,0,0,0,0,602
8,56,167,171,0,45,0,0,0,0,0,602
9,40,172,176,0,17,0,0,0,0,0,602
10,84,173,177,0,23,0,0,0,0,0,602
11,57,175,179,0,45,0,0,0,0,0,602
12,57,149,151,0,45,0,0,0,0,0,602
13,77,11,11,0,89,0,0,1,0,1,112
14,57,154,158,0,44,0,0,0,0,0,112
15,38,155,159,0,38,0,0,0,0,0,112
16,56,156,160,0,44,0,0,0,0,0,112
17,38,157,161,0,38,0,0,0,0,0,112
18,39,159,163,0,11,0,0,0,0,0,112
19,41,163,166,0,20,0,0,0,0,0,112
20,57,165,169,0,44,0,0,0,0,0,112
21,56,167,171,0,44,0,0,0,0,0,112
22,40,172,176,0,18,0,0,0,0,0,112
23,84,173,177,0,22,0,0,0,0,0,112
24,57,175,179,0,44,0,0,0,0,0,112
25,57,149,151,0,44,0,0,0,0,0,112
26,57,154,158,0,45,0,0,0,0,0,485
27,38,155,159,0,37,0,0,0,0,0,485
28,56,156,160,0,45,0,0,0,0,0,485
29,38,157,161,0,37,0,0,0,0,0,485
30,39,159,163,0,12,0,0,0,0,0,485
31,41,163,166,0,19,0,0,0,0,0,485
32,57,165,169,0,45,0,0,0,0,0,485
33,56,167,171,0,45,0,0,0,0,0,485
34,40,172,176,0,17,0,0,0,0,0,485
35,84,173,177,0,23,0,0,0,0,0,485
36,57,175,179,0,45,0,0,0,0,0,485
37,57,149,151,0,45,0,0,0,0,0,485
38,57,154,158,0,45,0,0,0,0,0,703
39,38,155,159,0,37,0,0,0,0,0,703
40,56,156,160,0,45,0,0,0,0,0,703
41,38,157,161,0,37,0,0,0,0,0,703
42,39,159,163,0,12,0,0,0,0,0,703
43,41,163,166,0,19,0,0,0,0,0,703
44,57,165,169,0,45,0,0,0,0,0,703
45,56,167,171,0,45,0,0,0,0,0,703
46,40,172,176,0,17,0,0,0,0,0,703
47,84,173,177,0,23,0,0,0,0,0,703
48,57,175,179,0,45,0,0,0,0,0,703
49,57,149,151,0,45,0,0,0,0,0,703
50,83,26,23,1,177,0,0,0,1,1,136
51,57,154,158,0,44,0,0,0,0,0,136
52,38,155,159,0,38,0,0,0,0,0,136
53,56,156,160,0,44,0,0,0,0,0,136
54,38,157,161,0,38,0,0,0,0,0,136
55,39,159,163,0,11,0,0,0,0,0,136
56,41,163,166,0,20,0,0,0,0,0,136
57,57,165,169,0,44,0,0,0,0,0,136
58,56,167,171,0,44,0,0,0,0,0,136
59,40,172,176,0,18,0,0,0,0,0,136
60,84,173,177,0,22,0,0,0,0,0,136
61,57,175,179,0,44,0,0,0,0,0,136
62,57,149,151,0,44,0,0,0,0,0,136
63,91,107,113,1,129,0,0,1,1,1,148
64,57,154,158,0,44,0,0,0,0,0,148
65,38,155,159,0,38,0,0,0,0,0,148
66,56,156,160,0,44,0,0,0,0,0,148
67,38,157,161,0,38,0,0,0,0,0,148
68,39,159,163,0,11,0,0,0,0,0,148
69,41,163,166,0,20,0,0,0,0,0,148
70,57,165,169,0,44,0,0,0,0,0,148
71,56,167,171,0,44,0,0,0,0,0,148
72,40,172,176,0,18,0,0,0,0,0,148
73,84,173,177,0,22,0,0,0,0,0,148
74,57,175,179,0,44,0,0,0,0,0,148
75,57,149,151,0,44,0,0,0,0,0,148
