row_id,name,startdate,enddate,location,description,eventattendancemode,page_url
0,3906,2509,2676,0,3021,0,5751
1,2284,3390,3633,0,423,0,864
2,92,3719,4057,0,1116,0,932
3,3130,2224,2393,0,2401,0,5283
4,4354,1158,1198,0,333,0,1981
5,1841,3478,3745,0,1528,0,74
6,4231,3578,3877,0,3210,0,2409
7,1984,2357,2517,0,1173,0,4052
8,345,1258,1319,0,185,0,4603
9,253,2134,2301,0,2710,0,3135
10,825,3994,4411,1,2175,1,3357
11,1521,2228,2398,0,1367,0,5280
12,1057,2547,2721,0,777,0,3870
13,2691,3391,3635,0,1213,0,4731
14,1212,3753,4104,0,1715,0,5471
15,1633,3191,3427,0,2084,0,5490
16,3311,1026,1056,0,657,0,542
17,301,3637,4095,0,916,0,327
18,1356,1018,1048,0,1126,0,1321
19,165,3361,3600,0,218,0,192
20,3582,2541,2715,0,1108,0,4295
21,367,3664,3988,0,2713,0,1029
22,1784,2278,2474,0,1145,0,2274
23,2156,13,13,0,883,0,229
24,3560,763,767,0,1183,0,2490
25,942,1868,1998,0,2713,0,3556
26,1960,1464,1550,0,2632,0,5088
27,744,1691,1808,0,520,0,4630
28,2061,808,825,0,2588,0,2121
29,2892,2391,2557,0,2232,0,5382
30,417,1707,1823,0,1681,0,2260
31,196,2329,2490,0,166,0,4676
32,1741,2282,2449,0,1486,0,5330
33,1505,3643,3965,0,3031,0,2003
34,3373,1893,2026,0,218,0,2928
35,3210,3760,4134,1,3123,0,1601
36,2171,1910,2044,0,3283,0,1957
37,2562,377,375,0,2643,0,2095
38,1619,614,619,0,2445,0,3694
39,2172,1335,1404,0,1069,0,1421
40,528,2104,2273,0,2713,0,3561
41,3981,2567,2747,1,3057,1,2644
42,2985,2922,3126,0,1302,0,4833
43,1394,2539,2710,0,1110,0,3838
44,4498,3047,3259,0,667,0,5964
45,2907,366,366,0,3498,0,963
46,1106,3811,4172,1,610,1,4770
47,6,1777,1896,0,3305,0,500
48,143,670,674,1,176,1,1620
49,1516,3285,3526,0,104,0,278
50,2644,3761,4112,0,1954,0,2565
51,1159,2457,2622,0,981,0,5900
52,3917,2708,2894,0,2713,0,1007
53,4076,658,661,0,2762,0,3634
54,889,2836,3031,0,2778,0,5574
55,1172,2753,2941,0,54,0,3525
56,3191,2850,3050,0,133,0,1432
57,3858,1775,1894,0,3548,0,2186
58,730,3498,3763,0,1542,0,1245
59,45,3089,3311,0,1115,0,1373
60,2979,2782,2978,0,1448,0,3747
61,3713,3372,3614,0,1809,0,2238
62,667,1946,2088,0,997,0,1580
63,1495,1363,1439,0,369,0,746
64,3425,939,963,0,86,0,3400
65,3116,2696,2882,0,2438,0,3422
66,1057,2615,2795,0,777,0,3914
67,3320,2457,2625,0,2738,0,267
68,1179,3993,4410,0,2759,0,1534
69,3798,2358,2523,0,3144,0,61
70,1586,2213,2383,0,1374,0,5265
71,3098,2460,2628,0,2358,0,5401
72,3470,3277,3520,0,2945,0,5604
73,3384,3643,3965,0,2647,0,4560
74,3836,2707,2894,0,1430,0,2626
75,1063,2379,2541,0,2995,0,2800
76,17,1453,1535,0,2292,0,2139
77,460,3306,3547,0,2496,0,1510
78,3966,2209,2379,0,2713,0,3564
79,1832,1726,1837,0,2927,0,4439
80,4490,645,648,0,3013,0,3630
81,3130,2360,2526,0,2401,0,5355
82,4253,1900,2032,0,3224,0,2723
83,1465,3758,4108,0,2808,0,452
84,1833,3630,3946,0,2486,0,1268
85,1183,1573,1685,0,1076,0,2779
86,3216,1027,1058,0,1834,0,3034
87,3028,3286,3526,0,1207,0,4883
88,3945,2262,2432,0,2883,0,4669
89,423,3463,3723,0,2713,0,1019
90,1027,1983,2131,0,803,0,2100
91,2161,3510,3784,0,2805,0,1690
92,3756,1621,1728,0,3049,0,2431
93,2071,3256,3490,0,1658,0,4144
94,1989,1719,1832,0,1129,0,1628
95,669,3448,3706,0,227,0,3322
96,2286,2335,2494,0,1192,0,5954
97,4247,3176,3408,0,1087,0,3487
98,3383,1852,1980,0,1135,0,5624
99,4065,811,830,0,1127,0,1355
100,1123,3626,3940,0,964,0,4869
101,2527,2270,2440,1,2733,0,5525
