row_id,name,startdate,location,description,offers,page_url
0,2708,1305,5,6323,1,6403
1,3512,1975,0,6134,0,2210
2,1903,2012,0,2141,0,2545
3,866,1471,0,6349,1,3066
4,4248,1862,0,5226,0,5224
5,3074,2012,11,2692,1,721
6,3353,1150,0,5801,0,2436
7,4007,2032,0,5831,0,3215
8,4625,1352,0,1138,0,2254
9,3271,1293,0,1369,0,5382
10,3268,1958,11,1657,1,984
11,1503,1902,0,1840,0,4036
12,4442,69,0,6132,0,1694
13,3924,1335,0,2124,0,2775
14,1449,964,0,3107,0,5981
15,4058,1933,11,178,1,50
16,1096,1465,0,2696,0,2269
17,4648,1158,0,6355,0,3068
18,3657,704,0,1065,0,3956
19,2211,1147,0,4288,0,5116
20,3718,2141,0,5582,0,4643
21,3228,45,0,3302,1,5265
22,1796,1441,11,4169,1,275
23,1610,1531,0,2862,0,4865
24,54,774,0,3956,0,4908
25,124,1989,0,6323,1,5884
26,2904,2210,0,546,0,6178
27,4281,1465,0,181,0,5031
28,2216,720,0,6323,0,5621
29,941,1643,11,1012,1,528
30,4204,2135,11,5261,1,1135
31,4242,1956,11,5237,1,1135
32,4127,1768,0,810,0,3857
33,2420,1861,0,3756,0,4515
34,1067,680,0,5153,1,3733
35,2128,1451,0,2350,0,4973
36,4673,1043,0,6317,0,3561
37,4425,2181,0,4509,0,4894
38,4449,1099,0,3887,0,1769
39,4434,979,0,5689,0,4242
40,4041,51,0,4101,0,1515
41,2780,2099,0,5517,0,5202
42,4438,1204,0,3986,0,1708
43,4756,1210,0,3461,1,4344
44,2396,1689,0,5600,0,6060
45,1191,1437,0,5131,0,2487
46,755,765,0,1262,0,3180
47,2798,1573,0,3306,0,5257
48,4695,772,0,3291,1,3600
49,364,1630,0,2357,0,5859
50,3831,1356,11,6338,1,1109
51,289,76,0,5498,0,4589
52,2862,988,0,2662,0,4632
53,1842,1320,11,2140,1,387
54,1845,33,11,2101,1,387
55,1434,1236,0,3516,0,6103
56,3130,2117,0,1574,0,2779
57,775,1370,0,5893,0,3704
58,3205,2205,0,2411,0,5761
59,3815,1028,0,4610,0,1647
60,445,1747,0,4971,0,5985
61,4438,581,0,6262,0,1757
62,1043,1353,0,2266,0,1959
63,2379,1350,0,5119,0,3226
64,3401,1203,0,284,0,2660
65,569,1096,0,495,0,6281
66,2832,1121,0,5914,0,1683
67,3058,1221,0,3575,1,5659
68,223,1729,0,1995,0,6141
69,1313,1194,0,4143,1,5691
70,208,1685,11,537,1,1394
71,627,1373,0,36,0,5008
72,3269,1982,0,77,0,4150
73,4841,86,0,6076,0,4298
74,3053,1909,11,4081,1,871
75,2019,1975,0,100,0,2873
76,3052,1172,0,3873,0,3470
77,2613,444,0,2735,0,4246
78,5150,746,0,4612,0,4957
79,14,1320,11,4726,1,1108
80,812,774,0,4993,1,3363
81,1892,1984,0,3066,0,2527
82,4456,1008,0,6247,1,5422
83,3124,673,11,3612,1,743
84,93,1594,11,3574,1,928
85,1774,287,11,973,1,382
86,4683,1820,11,5020,1,801
87,2213,2104,0,1541,1,1567
88,1660,1302,0,2211,0,2550
89,3344,1044,0,266,0,3902
90,4209,609,0,5241,0,5225
91,4292,1899,0,344,0,5799
92,2387,244,0,6172,0,4410
93,1636,1313,0,3500,0,2421
94,5386,121,0,5618,0,4983
95,729,1864,11,584,1,908
96,729,1838,11,4263,1,908
97,2928,1833,11,4953,1,908
98,1518,548,11,1589,1,908
99,1934,2136,11,2023,1,1363
100,4074,794,0,5121,0,2382
101,1000,52,0,6198,0,1927
102,3366,1938,11,1539,1,441
103,3253,1422,0,2275,0,4808
104,478,224,0,3024,0,6254
105,3055,1038,11,4369,1,862
106,2795,1631,0,2366,0,5252
107,4436,209,11,6306,1,73
108,2210,1801,11,4885,1,1214
109,4438,402,0,6292,0,1761
110,5051,179,0,390,0,1837
111,5070,1092,0,2497,0,4057
112,1313,1335,0,1917,0,5723
113,4309,1802,0,2439,0,6122
114,2334,1449,0,3949,0,1585
115,3587,1357,0,4758,0,3574
116,2138,917,0,1513,0,4906
117,185,1328,0,1751,0,5313
118,3074,2046,11,3206,1,738
119,4438,923,0,3917,0,1724
120,4707,484,0,3984,1,3582
121,4335,2046,0,3823,0,5489
122,1081,50,0,2827,1,4469
123,3747,903,0,4858,0,4841
124,2274,766,0,2418,0,5261
125,4032,1724,11,5746,1,206
126,2178,1566,11,3901,1,559
127,2212,1009,0,1390,0,1513
128,2285,453,0,1454,0,6035
129,3373,1203,0,6433,0,4124
130,108,658,0,5411,0,5255
131,2674,101,0,2879,0,4860
132,12,100,0,3637,0,5506
133,4352,1531,0,5920,0,4458
134,3270,814,0,6056,1,3771
135,4438,1320,11,6291,1,74
136,179,7,11,5386,1,1279
137,283,1090,11,1382,1,1500
138,374,338,11,2444,1,1500
139,601,1320,0,1773,1,3862
140,4775,99,0,6060,0,4288
141,4486,747,0,1204,0,2459
142,1595,1537,0,294,0,4186
143,510,880,0,378,0,6038
144,4438,2027,11,352,1,68
145,4438,1469,11,3794,1,71
146,5353,1625,11,2594,1,1418
147,1449,1496,11,3106,1,1418
148,5282,890,11,3432,1,1418
149,4943,890,11,6014,1,1418
150,5282,716,11,6089,1,1418
151,2087,1505,0,2945,0,2105
152,3233,1682,0,6420,0,6076
153,1379,281,0,4734,1,4712
154,1131,1034,0,1159,0,4961
155,4544,1201,0,6112,0,1580
156,2414,487,0,3674,0,4732
157,3979,1085,0,4590,0,1852
158,2550,1366,0,18,0,3084
159,567,1696,11,2234,1,1482
160,2500,1578,0,4554,0,1875
161,5179,1270,0,4190,0,5120
162,1659,1320,11,1016,1,141
163,4933,455,0,3397,1,4099
164,371,332,0,4603,0,6235
165,181,2093,11,5039,1,1134
166,2232,1415,0,4133,0,2471
167,4657,735,0,4089,1,3592
168,4504,592,0,97,0,3954
169,1868,1074,11,4837,1,341
170,1027,997,0,1055,0,1967
171,531,1207,0,1678,0,6146
172,4374,794,0,3476,0,3256
173,701,1548,11,1971,1,931
174,700,1469,11,263,1,931
175,4609,461,11,1626,1,931
176,4456,905,0,2732,0,5358
177,929,964,0,2970,0,5977
178,4840,1938,11,3055,1,837
179,927,2220,11,411,1,1219
180,5388,191,11,3072,1,158
181,2056,1918,11,3171,1,1017
182,2796,1210,0,4897,0,5231
183,4776,534,11,6080,1,997
184,4781,377,11,6071,1,997
185,1830,1979,0,2158,1,2970
186,764,1177,0,6467,0,4059
187,3172,134,0,1288,0,4622
188,4341,1668,0,5326,0,6065
189,70,1754,11,6400,1,1097
190,4317,996,0,952,0,5864
191,299,426,0,2615,0,6085
192,410,816,0,2223,0,6230
193,2550,1356,11,19,1,423
194,4419,2049,0,5640,1,5292
195,4438,923,0,4609,0,1744
196,3133,1160,0,875,1,3537
197,4766,1540,0,5862,0,4190
198,2975,794,0,6304,0,3294
199,3476,1373,0,5487,0,5302
200,1313,782,0,3819,0,5700
201,3167,1895,11,3221,1,1490
202,2616,187,11,5390,1,1045
203,4436,1168,0,6332,0,1762
204,5014,660,0,2217,0,5811
205,3108,1966,0,6323,0,3454
206,3688,766,0,4207,0,2433
207,2126,1018,0,4274,1,2997
208,3721,1287,0,3190,0,4396
209,292,2032,11,2637,1,1260
210,2709,1696,11,5630,1,1201
211,4034,1267,0,4409,0,2424
212,1711,1160,0,2905,1,2909
213,1534,1131,0,2863,0,4873
214,5322,1441,11,4213,1,1224
215,829,1188,0,4128,0,3392
216,832,1260,0,1019,0,3416
217,3390,1711,0,5057,0,4259
218,4095,1945,11,5639,1,1388
219,168,1928,11,508,1,1388
220,638,668,0,3950,0,1653
221,4775,537,0,6079,0,4299
222,2136,1788,11,2744,1,450
223,1109,1845,0,4334,0,2320
224,773,1013,0,279,1,4503
225,4117,1309,0,6220,1,5019
226,1876,1528,11,4030,1,248
227,2210,1716,0,228,0,5464
228,1508,1050,0,360,0,6319
229,4964,1741,0,6106,0,4361
230,1127,1378,0,4211,0,2290
231,1324,1356,11,59,1,1272
232,3901,162,0,726,0,2071
233,4827,2008,0,2775,1,4169
234,2890,1417,11,5686,1,1051
235,5320,1228,0,4187,0,5118
236,276,637,0,2087,0,2627
237,2328,771,0,5802,0,3695
238,1630,781,0,4530,0,3891
239,3189,1537,0,6301,0,1759
240,4724,393,0,4130,0,3575
241,2195,1616,0,3992,0,4602
242,3553,1499,0,2263,0,1984
243,1571,1214,0,3715,0,2298
244,1959,271,0,5520,0,2390
245,1807,994,0,75,0,2888
246,3936,1328,0,5008,0,4945
247,2120,1348,0,6213,0,3078
248,694,1945,11,5669,1,812
249,3640,1938,11,2343,1,812
250,4050,1247,0,3130,0,4391
251,4750,2027,11,4256,1,973
252,1799,2037,0,2078,0,2648
253,1605,1740,0,4859,0,4700
254,3485,1928,11,1080,1,811
255,5362,1997,0,2379,0,2501
256,97,191,11,4340,1,1236
257,3579,1221,0,2606,0,4573
258,1546,1186,0,402,0,4070
259,1667,1991,0,6240,0,2816
260,3966,1991,0,1694,0,4569
261,483,199,0,2226,0,5883
262,3753,789,0,3453,1,4416
263,4707,862,0,2621,1,3586
264,4868,1023,0,6110,1,4339
265,1058,1272,11,3007,1,469
266,2826,1751,0,3603,0,3081
267,834,779,0,2069,0,2610
268,2575,2012,11,2950,1,1022
269,1992,1984,11,3536,1,1022
270,3338,1975,0,4947,1,2707
271,4925,559,0,2052,1,4089
272,4870,1399,0,1936,1,4349
273,2977,197,11,4363,1,504
274,1076,1553,0,212,0,4277
275,4030,1180,0,5251,0,5204
276,2100,813,0,3038,0,4422
277,311,1112,0,1682,1,6206
278,3929,975,0,5002,0,4950
279,242,1024,0,3929,0,3098
280,2619,401,0,2718,0,3742
281,3297,918,0,5673,0,4148
282,4850,896,0,2367,0,4105
283,2458,1945,11,3242,1,308
284,3704,1918,11,4300,1,308
285,3865,916,0,94,0,3796
286,5312,2040,0,3407,1,2661
287,3380,760,0,5680,0,2621
288,5095,633,0,3217,0,5109
289,2763,2024,0,598,0,2935
290,3400,811,0,599,0,4318
291,650,1272,11,5428,1,79
292,1322,1358,0,2774,0,5689
293,1235,573,11,1135,1,635
294,2636,768,11,5652,1,288
295,1027,146,0,4581,0,1966
296,1229,817,0,3957,0,2274
297,2385,380,0,2753,0,3214
298,1359,1330,0,1303,0,4773
299,4863,1448,0,5489,0,4355
300,2975,68,0,1711,0,3303
301,4457,1352,0,1598,0,5371
302,1245,1211,0,6154,0,2217
303,3873,113,0,1210,0,2456
304,3074,1991,11,4349,1,731
305,3678,1549,0,5164,0,3944
306,2344,1659,11,2403,1,1464
307,2205,1958,0,2122,0,2810
308,2919,610,0,3154,1,4487
309,2624,1909,11,2947,1,437
310,3967,2037,11,5377,1,1031
311,3340,768,11,4021,1,685
312,4507,2046,11,4474,1,959
313,4031,1591,0,5530,1,3791
314,2876,58,0,1277,0,4768
315,98,2078,0,1560,0,1829
316,4924,1830,0,2062,0,4226
317,2884,1035,0,6368,0,5414
318,2151,1147,0,2320,0,3017
319,38,806,0,5364,0,4934
320,5364,1197,0,3681,0,6291
321,819,772,0,3786,0,3314
322,4764,1906,0,4257,0,4271
323,3386,1329,0,5878,0,1823
324,2895,7,11,1040,1,142
325,250,101,0,5419,0,4614
326,3300,227,0,5140,0,5318
327,4054,669,0,4918,0,1641
328,876,380,0,2075,0,2532
329,1108,1469,11,3759,1,146
330,1065,2037,0,5389,1,3121
331,4468,2093,11,1123,1,1232
332,1527,2156,11,188,1,1232
333,109,2174,11,3451,1,1232
334,4484,2212,11,6142,1,1232
335,2681,1496,11,6431,1,426
336,485,735,0,375,1,6114
337,1307,1441,11,1230,1,519
338,4225,388,0,4194,1,5333
339,177,1391,11,5960,1,642
340,3518,407,0,5330,0,5910
341,1922,1024,0,76,0,2692
342,2323,240,0,1399,0,5328
343,2076,1821,0,5501,1,1565
344,1783,1956,0,4206,1,2939
345,2509,1180,0,256,0,1996
346,4575,1875,11,183,1,1268
347,939,1844,11,38,1,1268
348,4774,755,0,6044,0,4308
349,3686,211,0,1863,1,5575
350,1291,1160,0,1227,0,5595
351,2593,1147,0,5586,0,5373
352,1436,2021,0,4719,1,5496
353,5046,1283,0,6261,0,1900
354,4206,2063,0,5232,0,5223
355,4377,2071,0,6222,0,2123
356,1726,2046,0,3525,0,2509
357,4026,1958,11,6344,1,35
358,3801,1975,11,5923,1,35
359,2781,197,11,2486,1,118
360,1690,2065,11,2684,1,934
361,2631,1454,0,2323,0,5056
362,5327,2046,0,2084,0,2804
363,856,864,0,2464,0,3649
364,1156,2065,11,705,1,123
365,3164,1964,11,5527,1,770
366,2035,1320,11,3507,1,1093
367,2946,1009,0,5576,0,1909
368,59,803,0,282,0,3971
369,3608,1180,0,2413,1,5672
370,3135,1196,0,1446,0,3494
371,2523,1685,11,25,1,190
372,4509,1451,0,5458,0,3127
373,3806,1548,11,6282,1,37
374,4330,1832,0,5336,0,6382
375,879,964,0,1919,0,5979
376,4721,676,0,1679,0,3626
377,1619,2130,11,1496,1,1371
378,688,1625,11,2601,1,835
379,3208,1569,11,1367,1,1496
380,4603,40,11,1618,1,1496
381,235,2008,0,335,0,3107
382,415,1328,0,239,1,5879
383,2529,1905,11,5534,1,1391
384,142,1903,11,2978,1,1391
385,4481,1713,11,5307,1,1391
386,1144,1352,0,5089,0,2372
387,3597,1096,0,5836,0,5833
388,5126,1050,0,493,1,6284
389,1719,2037,0,658,0,2880
390,3957,1835,11,5678,1,1007
391,3206,2182,0,1397,0,5760
392,451,1022,0,496,0,5892
393,102,1425,0,1115,0,1827
394,3735,1141,0,1494,0,4477
395,5337,954,0,5443,1,4971
396,3074,1992,0,6323,1,3471
397,2444,1013,0,1101,1,4504
398,1096,197,11,690,1,134
399,4907,1848,0,2952,1,2866
400,4128,1763,0,5157,0,3699
401,476,347,0,540,0,5987
402,1253,1483,0,1193,0,2411
403,41,304,0,663,0,4874
404,2468,1330,0,5654,0,5068
405,4614,774,0,2874,0,6011
406,1776,774,0,2289,0,2887
407,4525,1739,0,5599,0,6061
408,3889,1085,0,1098,0,4565
409,1351,569,0,4158,0,4699
410,4303,414,11,5314,1,584
411,2127,898,0,1447,1,2996
412,3371,2012,11,4376,1,378
413,2527,1488,11,1812,1,645
414,4595,461,11,4343,1,645
415,726,1719,0,4410,0,3855
416,116,549,0,3257,0,5533
417,4649,243,11,5017,1,445
418,4707,804,0,6323,1,3639
419,1254,1455,0,878,0,2072
420,280,1703,0,3448,0,3509
421,4975,1110,0,6246,1,3763
422,3920,2008,11,3300,1,1014
423,933,2021,11,463,1,1014
424,4411,2060,11,4797,1,1014
425,2413,1975,11,3682,1,1014
426,4885,603,0,4219,0,4162
427,1416,1018,0,1753,0,4244
428,1805,54,11,2073,1,316
429,1038,547,0,2333,0,1933
430,4203,2084,0,5246,0,5447
431,1788,1991,0,5668,1,2768
432,1313,1168,0,1573,0,5728
433,995,1487,0,2253,0,1955
434,3504,2118,0,4806,0,4891
435,2143,956,0,3722,0,5584
436,4337,1764,11,5328,1,1385
437,5271,2027,11,1438,1,312
438,5300,1074,11,119,1,312
439,5309,600,11,142,1,312
440,5198,500,11,5403,1,312
441,4707,673,11,2066,1,707
442,5047,2012,0,2761,0,2769
443,3648,1358,0,4807,0,3920
444,4168,1125,0,369,1,5168
445,3909,898,0,149,0,4943
446,2005,1685,11,4460,1,1212
447,4447,1133,0,351,0,1764
448,4441,2072,11,5823,1,67
449,4861,1679,11,2061,1,510
450,3197,806,0,190,1,1600
451,1503,1881,0,5854,0,4035
452,2592,1877,0,4790,0,5191
453,427,808,0,6001,0,5968
454,3918,461,11,136,1,1085
455,642,389,0,3853,0,1542
456,2237,209,11,3518,1,237
457,414,1569,11,1758,1,1497
458,857,486,0,3010,0,3407
459,1163,1350,0,5074,0,2427
460,2945,1294,11,2165,1,267
461,5055,584,0,3703,0,2246
462,3074,2021,11,3206,1,737
463,3995,2027,0,5068,1,1573
464,1294,1517,11,3009,1,627
465,2943,1719,11,1949,1,1190
466,360,1807,11,702,1,1488
467,4307,773,0,295,0,5926
468,2338,2025,0,2481,0,4083
469,4280,1825,0,4482,0,5048
470,4259,1958,0,5038,0,5205
471,5369,2037,0,2189,0,2918
472,4380,648,0,5570,0,1905
473,4935,1173,0,2030,1,4206
474,4361,759,0,6323,0,5622
