row_id,name,startdate,enddate,description,eventattendancemode,offers,performer,url,page_url
0,1251,970,972,1137,0,1,0,0,1842
1,2235,2137,2150,679,0,0,0,0,2886
2,1881,1851,1863,5268,0,0,0,0,2459
3,1934,619,621,4852,0,0,0,0,2515
4,1481,1960,1972,4021,0,0,0,0,2057
5,1626,1954,1966,3945,0,0,0,0,2266
6,2808,1466,1476,3359,0,1,0,0,3355
7,5442,999,1001,92,0,0,0,0,353
8,3525,1594,1603,1237,0,0,0,0,4110
9,5578,2107,2120,5627,0,0,0,0,487
10,5060,1432,1442,2793,0,1,0,0,5711
11,1641,562,564,3995,0,1,0,0,2219
12,1742,1816,1828,3417,0,1,0,0,2325
13,2261,1407,1417,927,0,1,0,0,2786
14,515,1482,1492,4241,0,0,0,0,1044
15,2632,1965,1977,837,0,0,0,0,3231
16,5658,901,903,1614,0,0,0,0,576
17,765,2228,2241,2887,0,0,0,0,1291
18,3448,1437,1447,4099,0,1,0,0,4033
19,1969,886,888,3300,0,1,0,0,2553
20,3738,437,438,5484,0,0,0,0,4328
21,1631,1467,1477,3607,0,1,0,0,2209
22,3440,1949,1961,3377,0,0,0,0,4029
23,4830,1707,1718,2509,0,0,0,0,5421
24,3156,547,549,2062,0,0,0,0,3740
25,5387,1080,1082,3118,0,0,0,0,296
26,873,544,546,2895,0,0,0,0,1399
27,2857,922,924,1094,0,1,0,0,3448
28,109,1511,1520,4166,0,1,0,0,631
29,1968,886,888,2514,0,0,0,0,2552
30,665,1335,1342,1721,0,0,0,0,1191
31,2031,1097,1101,4714,0,1,0,0,2610
32,3884,327,328,2530,0,1,0,0,4476
33,683,658,660,460,0,1,0,0,1211
34,2053,1125,1130,4949,0,1,0,0,2630
35,2215,1862,1874,4106,0,0,0,0,2848
36,75,2114,2127,4347,0,0,0,0,2483
37,3664,2092,2105,3551,0,0,0,0,4280
38,3682,1531,1540,5233,0,0,0,0,4188
39,3791,2077,2090,2647,0,0,0,0,4386
40,5283,799,801,5702,0,0,0,0,212
41,1839,1993,2006,534,0,0,0,0,2524
42,4322,372,373,2237,0,1,0,0,4918
43,5209,834,836,3208,0,0,0,0,101
44,1791,1945,1957,4854,0,0,0,0,2365
45,2540,1421,1431,5232,0,1,0,0,3073
46,3189,1940,1952,2066,0,0,0,0,3772
47,4993,1482,1492,2330,0,1,0,0,5644
48,4010,1024,1026,3014,0,0,0,0,4600
49,4127,230,231,445,0,0,0,0,4720
50,5064,380,381,5578,0,1,0,0,5721
51,4053,488,489,4904,0,0,0,0,4656
52,4941,1812,1824,5169,0,0,0,0,5554
53,1850,1881,1893,1225,0,0,0,0,2429
54,2721,1413,1423,3307,0,1,0,0,3278
55,4433,1314,1321,3696,0,0,0,0,5021
56,5028,1093,1096,4724,0,1,0,0,5649
57,3361,629,631,2109,0,0,0,0,3945
58,30,993,995,60,0,1,0,0,22
59,5201,2226,2239,3199,0,0,0,0,93
60,1046,246,247,492,0,0,0,0,1589
61,1841,1907,1919,141,0,0,0,0,2420
62,3250,1054,1056,79,0,1,0,0,3831
63,1183,1565,1573,4290,0,0,0,0,1742
64,3751,817,819,3090,0,0,0,0,4339
65,3240,838,840,4528,0,1,0,0,3818
66,777,326,327,1742,0,0,0,0,1301
67,1702,1373,1381,3521,0,1,0,0,259
68,5447,186,187,118,0,1,0,0,358
69,2113,1852,1864,4151,0,0,0,0,2702
70,4719,557,559,764,0,1,0,0,5285
71,5181,1041,1043,2645,0,0,0,0,75
72,3442,1166,1171,714,0,1,0,0,4011
73,339,1853,1865,4637,0,0,0,0,873
74,2595,1177,1182,3755,0,1,0,0,3179
75,3524,1594,1603,215,0,0,0,0,4109
76,2636,1623,1632,2751,0,0,0,0,3237
77,762,2235,2248,67,0,0,0,0,1287
78,3742,76,76,416,0,1,0,0,4330
79,1890,1869,1881,1873,0,0,0,0,2469
80,3911,445,446,4257,0,1,0,0,4504
81,5286,517,519,2370,0,1,0,0,214
82,5763,1059,1061,2685,0,0,0,0,1684
83,1912,2078,2091,5762,0,0,0,0,2492
84,2760,921,923,2586,0,0,0,0,3351
85,1748,1815,1827,1853,0,1,0,0,2331
86,389,1932,1944,3677,0,0,0,0,935
87,2644,2084,2097,4596,0,0,0,0,3244
88,4604,1837,1849,5470,0,1,0,0,5159
89,485,1002,1004,2867,0,1,0,0,1011
90,4265,680,682,403,0,1,0,0,4866
91,3807,612,614,606,0,1,0,0,4399
92,4821,1399,1408,5463,0,1,0,0,5403
93,2286,841,843,558,0,0,0,0,2726
94,2990,923,925,3528,0,1,0,0,3579
95,791,2131,2144,1741,0,0,0,0,1318
96,338,2121,2134,1022,0,0,0,0,872
97,3981,1623,1632,3938,0,1,0,0,4572
98,4578,1010,1012,2264,0,0,0,0,5151
99,5327,441,442,609,0,0,0,0,254
100,3231,1514,1523,4368,0,1,0,0,3812
101,3286,618,620,1356,0,1,0,0,3874
102,113,1640,1649,1232,0,0,0,0,636
103,3815,64,64,5007,0,1,0,0,4413
104,871,1231,1236,2845,0,0,0,0,1397
105,1880,1770,1781,5274,0,0,0,0,2464
106,4684,829,831,5730,0,0,0,0,5275
107,2141,1240,1245,3602,0,1,0,0,2736
108,807,1045,1047,1465,0,0,0,0,1334
109,4640,1882,1894,5378,0,0,0,0,5223
110,1838,1907,1919,536,0,0,0,0,2418
111,3597,1493,1503,3268,0,0,0,0,4203
112,149,1233,1238,4491,0,1,0,0,671
113,135,1948,1960,3727,0,0,0,0,657
114,290,1789,1801,5664,0,0,0,0,836
115,937,1153,1158,5587,0,0,0,0,1459
116,5585,977,979,4274,0,0,0,0,495
117,4643,1707,1718,584,0,0,0,0,5226
118,5100,1114,1119,2501,0,0,0,0,5705
119,295,1903,1915,2863,0,0,0,0,5237
120,5461,886,888,3189,0,1,0,0,373
121,2454,2053,2066,4661,0,0,0,0,3050
122,5130,1568,1576,4303,0,0,0,0,5762
123,2101,994,996,4261,0,1,0,0,2693
124,2528,316,317,1066,0,1,0,0,3133
125,1888,1776,1787,2544,0,0,0,0,2472
126,5448,1730,1741,3214,0,1,0,0,360
127,4182,67,67,4988,0,0,0,0,4773
128,1202,1793,1805,1800,0,0,0,0,1783
129,5648,2038,2051,1575,0,0,0,0,567
130,4469,1182,1187,2252,0,1,0,0,5064
131,251,586,588,5336,0,1,0,0,791
132,5693,778,780,3970,0,1,0,0,1622
133,1434,595,597,5722,0,1,0,0,1998
134,278,1672,1683,2880,0,1,0,0,814
135,647,946,948,1715,0,1,0,0,1175
136,1155,1221,1226,2496,0,1,0,0,1756
137,2011,2190,2202,326,0,1,0,0,2596
138,2161,795,797,3354,0,1,0,0,2760
139,3964,2056,2069,4538,0,0,0,0,4553
140,4230,125,125,688,0,1,0,0,4828
141,124,1905,1917,3660,0,0,0,0,646
142,1955,611,613,217,0,1,0,0,2539
143,4373,594,596,5112,0,1,0,0,4971
144,1594,1943,1955,3806,0,0,0,0,2182
145,3513,1509,1518,3348,0,0,0,0,4057
146,2018,129,129,399,0,1,0,0,2603
147,5471,1071,1073,3198,0,1,0,0,384
148,5717,176,177,5300,0,1,0,0,1770
149,2942,964,966,1564,0,1,0,0,3524
150,33,948,950,1643,0,1,0,0,33
151,5616,1136,1141,2416,0,1,0,0,533
152,2451,150,150,36,0,0,0,0,3054
153,4952,1966,1978,1226,0,0,0,0,5569
154,2704,1723,1734,5217,0,0,0,0,3199
155,2978,1931,1943,5389,0,0,0,0,3566
156,5034,1478,1488,143,0,0,0,0,5655
157,5556,1859,1871,5626,0,0,0,0,467
158,3305,818,820,5027,0,0,0,0,3900
159,3203,315,316,1073,0,0,0,0,3786
160,930,1842,1854,1503,0,0,0,0,1456
161,2717,1428,1438,4087,0,1,0,0,3254
162,4214,864,866,967,0,1,0,0,4806
163,2915,898,900,1136,0,1,0,0,3497
164,3337,617,619,158,0,1,0,0,3921
165,3402,1382,1392,3882,0,1,0,0,3990
166,171,1657,1668,709,0,0,0,0,698
167,4791,2135,2149,234,0,0,0,0,5370
168,1365,1380,1389,5546,0,1,0,0,1983
169,2519,425,426,1970,0,0,0,0,3124
170,3547,1740,1751,5195,0,0,0,0,4139
171,4158,1063,1065,1120,0,1,0,0,4749
172,519,981,983,304,0,1,0,0,954
173,4177,597,599,205,0,1,0,0,4770
174,1601,2137,2150,5188,0,0,0,0,2189
175,2549,2135,2149,602,0,0,0,0,3010
176,5112,1520,1529,4049,0,0,0,0,5731
177,979,65,65,244,0,1,0,0,1508
178,2720,1723,1734,2743,0,0,0,0,3314
179,3028,1625,1634,1157,0,1,0,0,3557
180,2337,1134,1139,1001,0,0,0,0,2935
181,2347,1175,1180,2529,0,1,0,0,2943
