row_id,name,startdate,enddate,location,description,offers,organizer,performer,page_url
0,8,19,22,0,18,0,1,1,154
1,0,46,45,0,5,0,0,0,154
2,17,49,49,0,1,0,0,0,154
3,17,50,51,0,1,0,0,0,154
4,52,51,58,0,3,0,0,0,154
5,61,52,56,0,6,1,0,0,154
6,17,53,55,0,1,0,0,0,154
7,17,54,57,0,1,0,0,0,154
8,42,55,59,0,8,0,0,0,154
9,17,57,60,0,1,0,0,0,154
10,29,20,50,0,7,0,0,0,154
11,56,39,40,0,9,0,0,0,154
12,11,41,41,0,4,0,0,0,154
13,17,49,49,0,1,0,0,0,292
14,17,50,51,0,1,0,0,0,292
15,61,52,56,0,6,1,0,0,292
16,17,53,55,0,1,0,0,0,292
17,17,54,57,0,1,0,0,0,292
18,42,55,59,0,8,0,0,0,292
19,17,57,60,0,1,0,0,0,292
20,29,20,50,0,7,0,0,0,292
21,56,39,40,0,9,0,0,0,292
22,11,41,41,0,4,0,0,0,292
23,17,49,49,0,1,0,0,0,119
24,17,50,51,0,1,0,0,0,119
25,61,52,56,0,6,1,0,0,119
26,17,53,55,0,1,0,0,0,119
27,17,54,57,0,1,0,0,0,119
28,42,55,59,0,8,0,0,0,119
29,17,57,60,0,1,0,0,0,119
30,29,20,50,0,7,0,0,0,119
31,56,39,40,0,9,0,0,0,119
32,11,41,41,0,4,0,0,0,119
33,17,49,49,0,1,0,0,0,419
34,17,50,51,0,1,0,0,0,419
35,61,52,56,0,6,1,0,0,419
36,17,53,55,0,1,0,0,0,419
37,17,54,57,0,1,0,0,0,419
38,42,55,59,0,8,0,0,0,419
39,17,57,60,0,1,0,0,0,419
40,29,20,50,0,7,0,0,0,419
41,56,39,40,0,9,0,0,0,419
42,11,41,41,0,4,0,0,0,419
43,17,49,49,0,1,0,0,0,11
44,17,50,51,0,1,0,0,0,11
45,61,52,56,0,6,1,0,0,11
46,17,53,55,0,1,0,0,0,11
47,17,54,57,0,1,0,0,0,11
48,42,55,59,0,8,0,0,0,11
49,17,57,60,0,1,0,0,0,11
50,29,20,50,0,7,0,0,0,11
51,56,39,40,0,9,0,0,0,11
52,11,41,41,0,4,0,0,0,11
53,46,3,37,0,2,1,1,0,405
54,17,49,49,0,1,0,0,0,362
55,17,50,51,0,1,0,0,0,362
56,61,52,56,0,6,1,0,0,362
57,17,53,55,0,1,0,0,0,362
58,17,54,57,0,1,0,0,0,362
59,42,55,59,0,8,0,0,0,362
60,17,57,60,0,1,0,0,0,362
61,29,20,50,0,7,0,0,0,362
62,56,39,40,0,9,0,0,0,362
63,11,41,41,0,4,0,0,0,362
64,50,61,63,0,44,1,0,1,227
65,17,49,49,0,1,0,0,0,227
66,17,50,51,0,1,0,0,0,227
67,61,52,56,0,6,1,0,0,227
68,17,53,55,0,1,0,0,0,227
69,17,54,57,0,1,0,0,0,227
70,42,55,59,0,8,0,0,0,227
71,17,57,60,0,1,0,0,0,227
72,29,20,50,0,7,0,0,0,227
73,56,39,40,0,9,0,0,0,227
74,11,41,41,0,4,0,0,0,227
75,17,49,49,0,1,0,0,0,303
