row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,offers,organizer,page_url
0,385,458,514,0,4468,0,1,0,0,705
1,3864,1038,967,0,1451,0,1,0,0,4189
2,4651,954,883,0,3585,0,1,0,0,4998
3,352,515,466,0,1743,0,1,0,0,674
4,634,923,853,0,2019,0,1,0,0,892
5,2874,843,776,0,1457,0,1,0,0,3376
6,1569,1013,942,0,2046,0,1,0,0,1487
7,869,931,863,0,753,0,1,0,0,7136
8,1980,953,883,0,487,0,1,0,0,2183
9,5087,807,740,0,2910,0,1,0,0,5645
10,5513,901,831,0,3105,0,1,0,0,6151
11,962,762,699,0,1263,0,1,0,0,1164
12,3547,614,557,0,4468,0,1,0,0,5525
13,5743,966,895,0,4193,0,1,0,0,6539
14,78,967,896,0,2264,0,1,0,0,334
15,1498,706,644,0,3429,0,1,0,0,1913
16,3213,538,490,0,3133,0,1,0,0,3753
17,6369,1022,952,0,2357,0,1,0,0,7061
18,755,826,965,0,243,0,1,0,0,986
19,957,326,316,0,3940,0,1,0,0,1279
20,3598,1035,966,0,2027,0,1,0,0,4233
21,18,1079,1007,0,1450,0,1,0,0,6681
22,96,1071,1001,0,3605,0,1,0,0,412
23,1296,1034,963,0,512,0,1,0,0,1666
24,595,835,846,0,3798,0,1,0,0,868
25,1266,1085,1013,0,483,0,1,0,0,1582
26,5979,1042,971,0,4201,0,1,0,0,2919
27,4882,1029,959,0,2915,0,1,0,0,5751
28,168,200,190,0,2143,0,1,0,0,503
29,1264,1029,959,0,4417,0,1,0,0,1580
30,4715,935,865,0,2591,0,1,0,0,5098
31,6335,981,910,0,3968,0,1,0,0,7012
32,4768,691,729,0,1352,0,1,0,0,5160
33,2672,1063,994,0,2729,0,1,0,0,3157
34,1106,89,87,0,360,0,1,0,0,1599
35,349,629,570,0,3628,0,1,0,0,5966
36,5513,1201,1132,0,3105,0,1,0,0,6146
37,5582,671,610,0,3070,0,1,0,0,6321
38,6439,923,853,0,4207,0,1,0,0,7092
39,2836,964,893,0,801,0,1,0,0,3267
40,5086,862,793,0,2910,0,1,0,0,5640
41,6337,952,881,0,3966,0,1,0,0,7015
42,5476,518,659,0,4297,0,1,0,0,5878
43,1068,359,341,0,3423,0,1,0,0,1520
44,6533,1085,1012,0,4468,0,1,0,0,7143
45,2588,741,680,0,3343,0,1,0,0,4643
46,6525,785,720,0,1483,0,1,0,0,7362
