row_id,name,startdate,enddate,description,eventattendancemode,offers,organizer,performer,url,page_url
0,1320,454,456,1785,1,0,0,0,0,4091
1,666,527,537,1199,1,0,0,0,0,2621
2,633,2664,2784,2171,1,0,0,0,0,2576
3,2544,2147,2240,522,1,0,0,0,0,6626
4,1249,1376,1440,1558,1,0,0,0,0,842
5,1244,4101,4287,1556,1,1,0,0,0,1008
6,2493,2308,2415,1254,1,0,2,0,0,6305
7,1245,4734,4950,1558,1,0,0,0,0,3989
8,306,1460,1527,244,1,0,0,0,0,2037
9,1502,2585,2704,685,1,0,0,0,0,4385
10,2305,3849,4019,1105,1,0,0,0,0,5637
11,2305,4774,4995,1105,1,0,0,0,0,5649
12,154,1452,1517,1423,1,0,0,0,0,1849
13,1242,5713,5955,275,1,1,0,0,0,3604
14,429,1772,1837,2529,1,0,0,0,0,186
15,730,3079,3218,1103,1,0,0,0,0,2716
16,658,3075,3213,461,1,0,0,0,0,2609
17,1003,856,894,2257,1,0,0,0,0,3169
18,1251,4096,4283,1558,1,0,0,0,0,3754
19,1252,5376,5604,1558,1,0,0,0,0,3661
20,2493,5360,5592,1254,1,1,2,0,0,6182
21,1079,2164,2255,876,1,0,0,0,0,3244
22,2349,2423,2536,1093,1,1,0,0,0,5722
23,971,2370,2479,602,1,0,0,0,0,3134
24,373,1265,1317,2491,1,0,0,0,0,93
25,1244,3530,3682,1556,1,1,0,0,0,861
26,1455,5632,5869,1141,1,0,0,0,0,4320
27,1367,2084,2170,654,1,0,0,0,0,4160
28,1083,3293,3431,817,1,0,0,0,0,3249
29,2233,1721,1786,24,1,0,0,0,0,5475
30,2493,1885,1964,1254,1,0,2,0,0,6278
31,2514,3291,3430,1635,1,1,0,0,0,6593
32,1626,3794,3961,1248,1,0,0,0,0,4612
33,1669,4319,4512,2552,1,1,0,0,0,4664
34,432,834,871,299,1,0,0,0,0,2177
35,905,3100,3239,375,1,0,0,0,0,3042
36,1244,4995,5215,1556,1,1,0,0,0,1196
37,60,3242,3383,1635,1,1,0,0,0,4777
38,779,2577,2696,512,1,0,0,0,1,2142
39,821,4638,4846,1067,1,1,0,0,0,591
40,1244,3661,3818,1556,1,1,0,0,0,884
41,1816,257,250,1534,1,0,0,0,0,4825
42,1437,4104,4291,2557,1,1,0,0,0,4224
43,1244,4757,4976,1556,1,1,0,0,0,1167
44,1241,3265,3403,1426,1,0,0,0,0,3511
45,129,1089,1128,1196,1,0,0,0,0,1943
46,2493,4951,5172,1254,1,0,2,0,0,6353
47,821,4018,4198,1067,1,0,0,0,0,2875
48,1852,3045,3180,787,1,0,0,0,0,4946
49,1487,262,256,91,1,0,0,0,0,4365
50,1042,1146,1187,1459,1,0,0,0,0,760
51,1244,4714,4929,1556,1,1,0,0,0,1149
52,1244,4720,4936,1556,1,1,0,0,0,1152
53,1449,1881,1952,1653,1,0,0,0,0,5790
54,1829,2793,2918,831,1,0,0,0,0,4923
55,2610,370,370,1450,1,0,0,0,0,2064
56,2305,5394,5621,1105,1,0,0,0,0,5673
57,2493,5547,5785,1254,1,1,2,0,0,6225
58,519,3069,3207,1247,1,0,0,0,0,2514
59,853,2346,2463,1563,1,0,0,0,0,2572
