row_id,name,startdate,location,about,page_url
0,5083,12,0,38,254
1,2234,117,0,10,4237
2,2987,50,0,26,1326
3,1497,116,0,38,3744
4,3670,12,0,38,267
5,1330,13,0,29,382
6,811,88,0,43,2908
7,4350,13,0,29,2090
8,1075,105,0,62,3257
9,934,12,0,38,174
10,745,76,0,64,2219
11,586,91,0,44,3169
12,3089,102,0,70,3446
13,4552,80,0,26,2634
14,1229,12,0,38,201
15,1223,103,0,46,3315
16,3153,108,0,17,3615
17,4552,117,0,10,4157
18,1580,125,0,38,5210
19,2850,12,0,38,264
20,4788,24,0,18,749
21,2251,109,0,26,3468
22,88,108,0,17,3594
23,4916,124,0,26,4604
24,350,68,0,61,1896
25,4107,59,0,70,1984
26,2823,12,0,38,314
27,558,30,0,60,692
28,255,31,0,33,934
29,4823,59,0,70,1992
30,1755,113,0,11,3673
31,4358,103,0,46,3310
32,4552,52,0,38,1402
33,2397,101,0,8,3358
34,4556,52,0,38,1399
35,3992,102,0,70,3464
36,3392,123,0,16,4355
37,3867,125,0,38,5111
38,4067,95,0,46,3137
39,5090,102,0,70,3465
40,4518,124,0,26,4413
41,2593,124,0,26,4461
42,4552,55,0,46,1651
43,2928,80,0,26,2630
44,798,47,0,45,1421
45,1030,111,0,63,3421
46,3603,97,0,13,3223
47,2071,12,0,38,218
48,715,44,0,31,1265
49,4966,123,0,16,4391
50,1952,126,0,59,4840
51,2154,125,0,38,5115
52,907,51,0,32,1491
53,2760,116,0,38,3773
54,4347,13,0,29,1125
55,2966,113,0,11,3697
56,904,117,0,10,4141
57,2617,128,0,48,5260
58,1684,13,0,29,2572
59,2582,59,0,70,1983
60,4552,13,0,29,404
61,743,105,0,62,3246
62,4854,55,0,46,1597
63,125,17,0,35,554
64,2363,59,0,70,1993
65,4872,95,0,46,3127
66,3904,13,0,29,1998
67,2676,84,0,23,2731
68,1996,109,0,26,3486
69,4700,13,0,29,499
70,3767,117,0,10,4204
71,4893,71,0,2,2357
72,2626,109,0,26,3517
73,3143,80,0,26,2653
74,1388,113,0,11,3639
75,2458,13,0,29,1118
76,4586,116,0,38,3847
77,1773,86,0,3,2841
78,4531,87,0,38,2874
79,2993,116,0,38,3859
80,4890,114,0,37,3897
81,2303,67,0,36,2158
82,3220,87,0,38,2870
83,2549,13,0,29,488
84,1665,80,0,26,2621
85,1400,12,0,38,181
86,883,76,0,64,2224
87,1023,47,0,45,1409
88,1464,120,0,24,4799
