row_id,name,startdate,location,description,offers,page_url
0,497,605,1,4584,1,4714
1,1939,91,0,2359,1,3737
2,2772,1320,6,3929,1,9
3,2344,1724,6,4659,1,360
4,3276,1687,6,4152,1,360
5,450,1665,6,18,1,360
6,2526,1662,6,2142,1,360
7,2953,1544,6,405,1,360
8,1720,1504,6,434,1,360
9,2953,1476,6,3460,1,360
10,1216,1393,6,3930,1,360
11,3666,877,0,4230,0,1324
12,653,1249,0,3495,0,1615
13,503,447,0,2031,0,4523
14,1679,704,0,2064,0,3489
15,937,715,0,1308,0,3068
16,3633,1688,0,1008,0,2039
17,2149,823,0,4281,0,3440
18,694,415,0,1805,0,1424
19,2564,1366,6,4180,1,173
20,3187,768,0,4465,1,3438
21,1507,1675,6,484,1,647
22,2995,979,0,1588,0,2482
23,1877,106,0,3335,0,2528
24,1122,1523,6,1930,1,954
25,1987,1584,6,443,1,390
26,2674,1063,6,375,1,390
27,2225,811,6,1547,1,390
28,491,152,0,1992,1,2292
29,3068,105,0,1036,0,3956
30,2034,1395,0,1544,0,2744
31,1854,781,0,360,0,3745
32,1672,925,0,2224,0,2400
33,2019,1423,6,2850,1,434
34,1884,561,0,2777,1,2512
35,2976,710,0,621,0,1303
36,450,954,0,3080,0,2679
37,3773,1490,6,2316,1,50
38,1262,1068,0,587,0,4331
39,887,489,6,1083,1,120
40,2004,1704,6,3526,1,527
41,3093,1724,6,2564,1,527
42,1264,1694,6,3058,1,527
43,2612,1694,6,2332,1,527
44,2021,1687,6,3139,1,527
45,406,1687,6,3037,1,527
46,2358,1385,0,759,0,1913
47,1386,1208,0,2363,0,3534
48,2621,321,0,358,0,3020
49,312,106,0,2636,0,1010
50,1297,1374,0,2895,0,1093
51,1133,1614,6,562,1,191
52,534,306,0,4474,0,2969
53,206,638,0,3262,0,4491
54,3696,1318,0,503,0,4078
55,3485,1867,0,848,0,3712
56,1689,1676,0,2011,0,3495
57,1972,1348,0,68,0,3119
58,2264,1447,6,1531,1,836
59,2737,1451,0,1823,0,2472
60,1495,1205,0,4,0,4417
61,176,1017,6,910,1,958
62,2647,1724,0,1088,0,3579
63,811,1739,6,915,1,322
64,2414,1270,0,3567,0,3182
65,375,793,0,747,0,1825
66,373,1233,6,4537,1,591
67,972,1724,0,1281,1,2348
68,591,382,0,2044,0,4027
69,1013,1476,6,1689,1,133
70,1630,1075,0,2483,0,2121
71,2346,1250,0,589,0,3465
72,474,1739,6,500,1,839
73,3407,1044,6,924,1,851
74,2827,1316,0,4277,0,1006
75,674,561,0,3522,0,1887
76,3584,627,0,3222,0,3735
77,555,81,0,1156,0,1308
78,1961,685,0,642,0,3248
79,3480,630,0,868,0,3727
80,3090,1225,0,2132,0,2220
81,698,1061,0,3542,0,1780
82,1304,1088,0,3283,0,1662
83,2218,958,0,3945,0,1870
84,3304,1012,0,2069,1,4339
85,2745,1086,0,3568,0,1592
86,508,519,0,2108,0,4346
87,2609,461,0,40,0,3860
88,1376,1860,0,1555,0,1514
89,3119,1630,0,4584,1,2833
90,1620,1641,6,537,1,583
91,1818,1585,6,604,1,583
92,1629,1528,6,2213,1,583
93,2112,1320,6,2394,1,108
94,1845,1660,0,731,0,1883
95,1417,1432,0,4115,0,2955
96,1214,1331,0,2468,0,1045
97,3361,1042,0,3808,0,3934
98,3186,731,0,1078,0,3373
99,3183,1716,0,1574,0,3087
100,66,1572,0,4669,0,2002
101,1887,325,0,2770,1,2513
102,3540,1227,0,3246,0,4304
