row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,image,organizer,page_url
0,2,77,74,0,55,0,0,0,0,1417
1,2,78,75,0,55,0,0,0,0,1417
2,3,70,67,0,32,0,0,1,1,1417
3,3,75,72,0,32,0,0,1,1,1417
4,4,57,56,0,22,0,0,1,1,1417
5,5,47,46,0,37,0,0,1,1,1417
6,6,68,71,1,46,0,0,1,1,1417
7,7,59,57,0,45,0,0,1,1,1417
8,10,58,55,0,42,0,0,1,1,1417
9,19,56,54,0,40,0,0,1,1,1417
10,21,71,67,0,24,0,0,1,1,1417
11,23,72,68,0,10,0,0,1,1,1417
12,24,55,53,1,8,0,0,1,1,1417
13,26,73,69,0,20,0,0,1,1,1417
14,36,51,49,0,48,0,0,1,1,1417
15,36,52,50,0,48,0,0,1,1,1417
16,37,65,63,0,35,0,0,0,0,1417
17,39,74,70,0,3,0,0,1,1,1417
18,1,69,66,0,13,0,0,1,1,1417
19,42,66,64,0,51,0,0,1,1,1417
20,44,48,47,1,5,0,0,1,1,1417
21,44,49,48,1,5,0,0,1,1,1417
22,2,77,74,0,55,0,0,0,0,384
23,2,78,75,0,55,0,0,0,0,384
24,37,65,63,0,35,0,0,0,0,384
25,2,77,74,0,55,0,0,0,0,1371
26,2,78,75,0,55,0,0,0,0,1371
27,37,65,63,0,35,0,0,0,0,1371
28,2,77,74,0,55,0,0,0,0,449
29,2,78,75,0,55,0,0,0,0,449
30,37,65,63,0,35,0,0,0,0,449
31,2,77,74,0,55,0,0,0,0,992
32,2,78,75,0,55,0,0,0,0,992
33,37,65,63,0,35,0,0,0,0,992
34,2,77,74,0,55,0,0,0,0,1567
35,2,78,75,0,55,0,0,0,0,1567
36,37,65,63,0,35,0,0,0,0,1567
37,49,81,77,0,56,0,0,1,1,654
38,2,77,74,0,55,0,0,0,0,1190
39,2,78,75,0,55,0,0,0,0,1190
40,37,65,63,0,35,0,0,0,0,1190
41,2,77,74,0,55,0,0,0,0,586
42,2,78,75,0,55,0,0,0,0,586
43,37,65,63,0,35,0,0,0,0,586
44,2,77,74,0,55,0,0,0,0,1892
45,2,78,75,0,55,0,0,0,0,1892
46,37,65,63,0,35,0,0,0,0,1892
47,2,77,74,0,55,0,0,0,0,881
48,2,78,75,0,55,0,0,0,0,881
49,37,65,63,0,35,0,0,0,0,881
50,2,77,74,0,55,0,0,0,0,1807
51,2,78,75,0,55,0,0,0,0,1807
52,37,65,63,0,35,0,0,0,0,1807
53,2,77,74,0,55,0,0,0,0,317
54,2,78,75,0,55,0,0,0,0,317
55,37,65,63,0,35,0,0,0,0,317
56,2,77,74,0,55,0,0,0,0,645
57,2,78,75,0,55,0,0,0,0,645
58,37,65,63,0,35,0,0,0,0,645
59,2,77,74,0,55,0,0,0,0,1062
60,2,78,75,0,55,0,0,0,0,1062
61,37,65,63,0,35,0,0,0,0,1062
62,2,77,74,0,55,0,0,0,0,1625
63,2,78,75,0,55,0,0,0,0,1625
64,37,65,63,0,35,0,0,0,0,1625
65,2,77,74,0,55,0,0,0,0,1335
66,2,78,75,0,55,0,0,0,0,1335
67,37,65,63,0,35,0,0,0,0,1335
68,2,77,74,0,55,0,0,0,0,168
69,2,78,75,0,55,0,0,0,0,168
70,37,65,63,0,35,0,0,0,0,168
71,2,77,74,0,55,0,0,0,0,272
72,2,78,75,0,55,0,0,0,0,272
73,37,65,63,0,35,0,0,0,0,272
74,2,77,74,0,55,0,0,0,0,1850
75,2,78,75,0,55,0,0,0,0,1850
76,37,65,63,0,35,0,0,0,0,1850
77,2,77,74,0,55,0,0,0,0,1330
78,2,78,75,0,55,0,0,0,0,1330
79,37,65,63,0,35,0,0,0,0,1330
80,2,77,74,0,55,0,0,0,0,605
81,2,78,75,0,55,0,0,0,0,605
82,37,65,63,0,35,0,0,0,0,605
83,2,77,74,0,55,0,0,0,0,1025
84,2,78,75,0,55,0,0,0,0,1025
85,37,65,63,0,35,0,0,0,0,1025
86,2,77,74,0,55,0,0,0,0,466
87,2,78,75,0,55,0,0,0,0,466
88,37,65,63,0,35,0,0,0,0,466
89,2,77,74,0,55,0,0,0,0,1352
90,2,78,75,0,55,0,0,0,0,1352
