row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,image,offers,organizer,page_url
0,15,66,61,0,503,0,1,0,0,1,183
1,30,63,58,0,5695,0,1,0,0,0,183
2,44,62,58,0,4884,0,1,0,0,0,183
3,45,69,64,0,2322,0,1,0,0,1,183
4,51,67,62,0,3122,0,1,0,0,0,183
5,52,68,63,0,3122,0,1,0,0,0,183
6,57,64,59,0,3917,0,1,0,0,0,183
7,29,72,67,0,1497,0,1,0,0,0,113
8,28,71,66,0,991,0,1,0,0,0,113
9,29,72,67,0,1338,0,1,0,0,0,179
10,28,71,66,0,832,0,1,0,0,0,179
11,26,73,68,0,4394,0,1,0,0,0,1430
12,29,72,67,0,1824,0,1,0,0,0,1430
13,28,71,66,0,1318,0,1,0,0,0,1430
14,15,66,61,0,644,0,1,0,0,1,430
15,30,63,58,0,5836,0,1,0,0,0,430
16,44,62,58,0,5025,0,1,0,0,0,430
17,45,69,64,0,2463,0,1,0,0,1,430
18,51,67,62,0,3263,0,1,0,0,0,430
19,52,68,63,0,3263,0,1,0,0,0,430
20,57,64,59,0,4058,0,1,0,0,0,430
21,29,72,67,0,1791,0,1,0,0,0,1119
22,28,71,66,0,1285,0,1,0,0,0,1119
23,29,72,67,0,1730,0,1,0,0,0,851
24,28,71,66,0,1224,0,1,0,0,0,851
25,15,66,61,0,737,0,1,0,0,1,1369
26,30,63,58,0,5929,0,1,0,0,0,1369
27,44,62,58,0,5118,0,1,0,0,0,1369
28,45,69,64,0,2556,0,1,0,0,1,1369
29,51,67,62,0,3356,0,1,0,0,0,1369
30,52,68,63,0,3356,0,1,0,0,0,1369
31,57,64,59,0,4151,0,1,0,0,0,1369
32,15,66,61,0,513,0,1,0,0,1,868
33,30,63,58,0,5705,0,1,0,0,0,868
34,44,62,58,0,4894,0,1,0,0,0,868
35,45,69,64,0,2332,0,1,0,0,1,868
36,51,67,62,0,3132,0,1,0,0,0,868
37,52,68,63,0,3132,0,1,0,0,0,868
38,57,64,59,0,3927,0,1,0,0,0,868
39,15,66,61,0,677,0,1,0,0,1,1387
40,30,63,58,0,5869,0,1,0,0,0,1387
41,44,62,58,0,5058,0,1,0,0,0,1387
42,45,69,64,0,2496,0,1,0,0,1,1387
43,51,67,62,0,3296,0,1,0,0,0,1387
44,52,68,63,0,3296,0,1,0,0,0,1387
45,57,64,59,0,4091,0,1,0,0,0,1387
46,15,66,61,0,306,0,1,0,0,1,1291
47,30,63,58,0,5498,0,1,0,0,0,1291
48,44,62,58,0,4687,0,1,0,0,0,1291
49,45,69,64,0,2125,0,1,0,0,1,1291
50,51,67,62,0,2925,0,1,0,0,0,1291
51,52,68,63,0,2925,0,1,0,0,0,1291
52,57,64,59,0,3720,0,1,0,0,0,1291
53,26,73,68,0,4326,0,1,0,0,0,661
54,29,72,67,0,1589,0,1,0,0,0,661
55,28,71,66,0,1083,0,1,0,0,0,661
56,15,66,61,0,106,0,1,0,0,1,785
57,30,63,58,0,5298,0,1,0,0,0,785
58,44,62,58,0,4487,0,1,0,0,0,785
59,45,69,64,0,1924,0,1,0,0,1,785
60,51,67,62,0,2725,0,1,0,0,0,785
61,52,68,63,0,2725,0,1,0,0,0,785
62,57,64,59,0,3520,0,1,0,0,0,785
63,15,66,61,0,66,0,1,0,0,1,1053
64,30,63,58,0,5258,0,1,0,0,0,1053
65,44,62,58,0,4447,0,1,0,0,0,1053
66,45,69,64,0,1884,0,1,0,0,1,1053
67,51,67,62,0,2685,0,1,0,0,0,1053
68,52,68,63,0,2685,0,1,0,0,0,1053
69,57,64,59,0,3480,0,1,0,0,0,1053
70,29,72,67,0,1759,0,1,0,0,0,1215
71,28,71,66,0,1253,0,1,0,0,0,1215
72,26,73,68,0,4242,0,1,0,0,0,427
73,29,72,67,0,1335,0,1,0,0,0,427
74,28,71,66,0,829,0,1,0,0,0,427
75,9,52,48,0,6008,0,1,0,1,1,6
76,15,66,61,0,162,0,1,0,0,1,401
77,30,63,58,0,5354,0,1,0,0,0,401
78,44,62,58,0,4543,0,1,0,0,0,401
79,45,69,64,0,1980,0,1,0,0,1,401
80,51,67,62,0,2781,0,1,0,0,0,401
81,52,68,63,0,2781,0,1,0,0,0,401
82,57,64,59,0,3576,0,1,0,0,0,401
83,15,66,61,0,356,0,1,0,0,1,944
84,30,63,58,0,5548,0,1,0,0,0,944
85,44,62,58,0,4737,0,1,0,0,0,944
86,45,69,64,0,2175,0,1,0,0,1,944
87,51,67,62,0,2975,0,1,0,0,0,944
88,52,68,63,0,2975,0,1,0,0,0,944
89,57,64,59,0,3770,0,1,0,0,0,944
90,15,66,61,0,103,0,1,0,0,1,1133
91,30,63,58,0,5295,0,1,0,0,0,1133
92,44,62,58,0,4484,0,1,0,0,0,1133
93,45,69,64,0,1921,0,1,0,0,1,1133
94,51,67,62,0,2722,0,1,0,0,0,1133
95,52,68,63,0,2722,0,1,0,0,0,1133
96,57,64,59,0,3517,0,1,0,0,0,1133
97,29,72,67,0,1549,0,1,0,0,0,495
98,28,71,66,0,1043,0,1,0,0,0,495
99,29,72,67,0,1366,0,1,0,0,0,1207
100,28,71,66,0,860,0,1,0,0,0,1207
101,26,73,68,0,4285,0,1,0,0,0,353
102,29,72,67,0,1456,0,1,0,0,0,353
103,28,71,66,0,950,0,1,0,0,0,353
104,15,66,61,0,576,0,1,0,0,1,1028
