row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,image,page_url
0,14,7,7,0,9,0,0,0,859
1,15,3,3,0,9,0,0,0,859
2,11,4,4,0,12,0,0,0,859
3,14,7,7,0,9,0,0,0,379
4,15,3,3,0,9,0,0,0,379
5,11,4,4,0,12,0,0,0,379
6,9,2,2,0,10,0,0,0,379
7,9,5,5,0,10,0,0,0,379
8,14,7,7,0,9,0,0,0,335
9,15,3,3,0,9,0,0,0,335
10,11,4,4,0,12,0,0,0,335
11,2,10,10,0,1,0,0,0,384
12,9,14,14,0,10,0,0,0,384
13,9,11,11,0,10,0,0,0,384
14,14,7,7,0,9,0,0,0,901
15,15,3,3,0,9,0,0,0,901
16,11,4,4,0,12,0,0,0,901
17,9,2,2,0,10,0,0,0,901
18,9,5,5,0,10,0,0,0,901
19,2,10,10,0,1,0,0,0,21
20,9,14,14,0,10,0,0,0,21
21,9,11,11,0,10,0,0,0,21
22,2,10,10,0,1,0,0,0,1168
23,9,14,14,0,10,0,0,0,1168
24,9,11,11,0,10,0,0,0,1168
25,2,10,10,0,1,0,0,0,783
26,9,14,14,0,10,0,0,0,783
27,9,11,11,0,10,0,0,0,783
28,14,7,7,0,9,0,0,0,91
29,15,3,3,0,9,0,0,0,91
30,11,4,4,0,12,0,0,0,91
31,14,7,7,0,9,0,0,1,1332
32,15,3,3,0,9,0,0,1,1332
33,11,4,4,0,12,0,0,1,1332
34,14,7,7,0,9,0,0,0,902
35,15,3,3,0,9,0,0,0,902
36,11,4,4,0,12,0,0,0,902
37,2,10,10,0,1,0,0,0,13
38,9,14,14,0,10,0,0,0,13
39,9,11,11,0,10,0,0,0,13
40,14,7,7,0,9,0,0,0,942
41,15,3,3,0,9,0,0,0,942
42,11,4,4,0,12,0,0,0,942
43,14,7,7,0,9,0,0,0,613
44,15,3,3,0,9,0,0,0,613
45,11,4,4,0,12,0,0,0,613
46,14,7,7,0,9,0,0,0,1300
47,15,3,3,0,9,0,0,0,1300
48,11,4,4,0,12,0,0,0,1300
49,9,2,2,0,10,0,0,0,1300
50,9,5,5,0,10,0,0,0,1300
51,14,7,7,0,9,0,0,0,477
52,15,3,3,0,9,0,0,0,477
53,11,4,4,0,12,0,0,0,477
54,14,7,7,0,9,0,0,0,791
55,15,3,3,0,9,0,0,0,791
56,11,4,4,0,12,0,0,0,791
57,2,10,10,0,1,0,0,0,1311
58,9,14,14,0,10,0,0,0,1311
59,9,11,11,0,10,0,0,0,1311
60,14,7,7,0,9,0,0,0,493
61,15,3,3,0,9,0,0,0,493
62,11,4,4,0,12,0,0,0,493
63,9,2,2,0,10,0,0,0,493
64,9,5,5,0,10,0,0,0,493
65,14,7,7,0,9,0,0,0,1089
66,15,3,3,0,9,0,0,0,1089
67,11,4,4,0,12,0,0,0,1089
68,14,7,7,0,9,0,0,0,432
69,15,3,3,0,9,0,0,0,432
70,11,4,4,0,12,0,0,0,432
71,14,7,7,0,9,0,0,0,1380
72,15,3,3,0,9,0,0,0,1380
73,11,4,4,0,12,0,0,0,1380
74,9,2,2,0,10,0,0,0,1380
75,9,5,5,0,10,0,0,0,1380
76,2,10,10,0,1,0,0,0,426
77,9,14,14,0,10,0,0,0,426
78,9,11,11,0,10,0,0,0,426
79,14,7,7,0,9,0,0,0,994
80,15,3,3,0,9,0,0,0,994
81,11,4,4,0,12,0,0,0,994
82,2,10,10,0,1,0,0,0,775
83,9,14,14,0,10,0,0,0,775
84,9,11,11,0,10,0,0,0,775
85,14,7,7,0,9,0,0,0,1233
86,15,3,3,0,9,0,0,0,1233
87,11,4,4,0,12,0,0,0,1233
88,9,2,2,0,10,0,0,0,1233
89,9,5,5,0,10,0,0,0,1233
90,14,7,7,0,9,0,0,0,1262
91,15,3,3,0,9,0,0,0,1262
92,11,4,4,0,12,0,0,0,1262
93,9,2,2,0,10,0,0,0,1262
94,9,5,5,0,10,0,0,0,1262
95,14,7,7,0,9,0,0,0,24
96,15,3,3,0,9,0,0,0,24
97,11,4,4,0,12,0,0,0,24
98,14,7,7,0,9,0,0,0,1143
99,15,3,3,0,9,0,0,0,1143
100,11,4,4,0,12,0,0,0,1143
101,9,2,2,0,10,0,0,0,1143
102,9,5,5,0,10,0,0,0,1143
103,14,7,7,0,9,0,0,0,852
104,15,3,3,0,9,0,0,0,852
105,11,4,4,0,12,0,0,0,852
106,14,7,7,0,9,0,0,0,1032
107,15,3,3,0,9,0,0,0,1032
108,11,4,4,0,12,0,0,0,1032
109,14,7,7,0,9,0,0,0,369
110,15,3,3,0,9,0,0,0,369
111,11,4,4,0,12,0,0,0,369
112,2,10,10,0,1,0,0,0,638
113,9,14,14,0,10,0,0,0,638
114,9,11,11,0,10,0,0,0,638
115,2,10,10,0,1,0,0,0,691
116,9,14,14,0,10,0,0,0,691
117,9,11,11,0,10,0,0,0,691
118,2,10,10,0,1,0,0,0,1370
119,9,14,14,0,10,0,0,0,1370
120,9,11,11,0,10,0,0,0,1370
121,14,7,7,0,9,0,0,0,657
122,15,3,3,0,9,0,0,0,657
123,11,4,4,0,12,0,0,0,657
124,14,7,7,0,9,0,0,0,594
125,15,3,3,0,9,0,0,0,594
126,11,4,4,0,12,0,0,0,594
127,14,7,7,0,9,0,0,0,147
128,15,3,3,0,9,0,0,0,147
129,11,4,4,0,12,0,0,0,147
130,9,2,2,0,10,0,0,0,147
131,9,5,5,0,10,0,0,0,147
132,14,7,7,0,9,0,0,0,575
133,15,3,3,0,9,0,0,0,575
134,11,4,4,0,12,0,0,0,575
135,14,7,7,0,9,0,0,0,227
136,15,3,3,0,9,0,0,0,227
137,11,4,4,0,12,0,0,0,227
138,9,2,2,0,10,0,0,0,227
139,9,5,5,0,10,0,0,0,227
140,2,10,10,0,1,0,0,0,19
141,9,14,14,0,10,0,0,0,19
142,9,11,11,0,10,0,0,0,19
143,2,10,10,0,1,0,0,0,1188
144,9,14,14,0,10,0,0,0,1188
145,9,11,11,0,10,0,0,0,1188
146,14,7,7,0,9,0,0,0,650
147,15,3,3,0,9,0,0,0,650
148,11,4,4,0,12,0,0,0,650
149,9,2,2,0,10,0,0,0,650
150,9,5,5,0,10,0,0,0,650
151,2,10,10,0,1,0,0,0,1074
152,9,14,14,0,10,0,0,0,1074
153,9,11,11,0,10,0,0,0,1074
154,2,10,10,0,1,0,0,0,1330
155,9,14,14,0,10,0,0,0,1330
156,9,11,11,0,10,0,0,0,1330
157,14,7,7,0,9,0,0,0,587
158,15,3,3,0,9,0,0,0,587
159,11,4,4,0,12,0,0,0,587
160,14,7,7,0,9,0,0,0,603
161,15,3,3,0,9,0,0,0,603
162,11,4,4,0,12,0,0,0,603
163,9,2,2,0,10,0,0,0,603
164,9,5,5,0,10,0,0,0,603
165,2,10,10,0,1,0,0,0,737
166,9,14,14,0,10,0,0,0,737
167,9,11,11,0,10,0,0,0,737
168,14,7,7,0,9,0,0,0,1010
169,15,3,3,0,9,0,0,0,1010
170,11,4,4,0,12,0,0,0,1010
171,14,7,7,0,9,0,0,0,979
172,15,3,3,0,9,0,0,0,979
173,11,4,4,0,12,0,0,0,979
174,9,2,2,0,10,0,0,0,979
