row_id,name,startdate,enddate,location,description,eventattendancemode,offers,organizer,performer,page_url
0,53,93,88,0,24,0,0,0,0,644
1,20,96,91,0,20,0,0,0,0,644
2,47,107,101,0,70,0,0,0,0,644
3,15,110,103,0,14,0,0,0,0,644
4,18,120,122,0,88,0,0,0,0,644
5,18,120,122,0,88,0,0,0,0,644
6,4,126,123,0,28,0,0,0,0,644
7,14,131,127,0,18,0,0,0,0,644
8,53,93,88,0,24,0,0,0,0,868
9,20,96,91,0,20,0,0,0,0,868
10,15,110,103,0,14,0,0,0,0,868
11,18,120,122,0,88,0,0,0,0,868
12,18,120,122,0,88,0,0,0,0,868
13,4,126,123,0,28,0,0,0,0,868
14,14,131,127,0,18,0,0,0,0,868
15,53,93,88,0,24,0,0,0,0,805
16,20,96,91,0,20,0,0,0,0,805
17,15,110,103,0,14,0,0,0,0,805
18,18,120,122,0,88,0,0,0,0,805
19,18,120,122,0,88,0,0,0,0,805
20,4,126,123,0,28,0,0,0,0,805
21,14,131,127,0,18,0,0,0,0,805
22,53,93,88,0,24,0,0,0,0,1151
23,20,96,91,0,20,0,0,0,0,1151
24,15,110,103,0,14,0,0,0,0,1151
25,18,120,122,0,88,0,0,0,0,1151
26,18,120,122,0,88,0,0,0,0,1151
27,4,126,123,0,28,0,0,0,0,1151
28,14,131,127,0,18,0,0,0,0,1151
29,60,47,47,0,58,0,0,0,0,468
30,53,93,88,0,24,0,0,0,0,166
31,20,96,91,0,20,0,0,0,0,166
32,15,110,103,0,14,0,0,0,0,166
33,18,120,122,0,88,0,0,0,0,166
34,18,120,122,0,88,0,0,0,0,166
35,4,126,123,0,28,0,0,0,0,166
36,14,131,127,0,18,0,0,0,0,166
37,53,93,88,0,24,0,0,0,0,265
38,20,96,91,0,20,0,0,0,0,265
39,15,110,103,0,14,0,0,0,0,265
40,18,120,122,0,88,0,0,0,0,265
41,18,120,122,0,88,0,0,0,0,265
42,4,126,123,0,28,0,0,0,0,265
43,14,131,127,0,18,0,0,0,0,265
44,18,120,122,0,88,0,0,0,0,788
45,18,120,122,0,88,0,0,0,0,788
46,4,126,123,0,28,0,0,0,0,788
47,14,131,127,0,18,0,0,0,0,788
48,53,93,88,0,24,0,0,0,0,796
49,20,96,91,0,20,0,0,0,0,796
50,15,110,103,0,14,0,0,0,0,796
51,18,120,122,0,88,0,0,0,0,796
52,18,120,122,0,88,0,0,0,0,796
53,4,126,123,0,28,0,0,0,0,796
54,14,131,127,0,18,0,0,0,0,796
55,62,133,129,0,74,0,0,0,0,374
56,18,120,122,0,88,0,0,0,0,144
57,18,120,122,0,88,0,0,0,0,144
58,4,126,123,0,28,0,0,0,0,144
59,14,131,127,0,18,0,0,0,0,144
60,53,93,88,0,24,0,0,0,0,229
61,20,96,91,0,20,0,0,0,0,229
62,15,110,103,0,14,0,0,0,0,229
63,18,120,122,0,88,0,0,0,0,229
64,18,120,122,0,88,0,0,0,0,229
65,4,126,123,0,28,0,0,0,0,229
66,14,131,127,0,18,0,0,0,0,229
67,53,93,88,0,24,0,0,0,0,1145
68,20,96,91,0,20,0,0,0,0,1145
69,15,110,103,0,14,0,0,0,0,1145
70,18,120,122,0,88,0,0,0,0,1145
71,18,120,122,0,88,0,0,0,0,1145
72,4,126,123,0,28,0,0,0,0,1145
73,14,131,127,0,18,0,0,0,0,1145
74,53,93,88,0,24,0,0,0,0,1083
75,20,96,91,0,20,0,0,0,0,1083
76,15,110,103,0,14,0,0,0,0,1083
77,18,120,122,0,88,0,0,0,0,1083
78,18,120,122,0,88,0,0,0,0,1083
