row_id,name,startdate,enddate,location,description,image,performer,page_url
0,711,1362,1394,0,731,518,0,726
1,3178,825,846,0,3480,2361,0,2091
2,1529,1537,1574,0,903,2055,0,4112
3,2652,819,840,0,4994,2361,0,5078
4,537,1415,1491,0,417,1828,0,4161
5,2976,699,720,0,2728,2361,0,2957
6,1140,649,673,0,3892,1730,0,1199
7,3337,1142,1169,0,4629,92,0,2418
8,3108,1090,1119,0,3431,114,0,5202
9,383,700,719,0,4138,2361,0,4581
10,3553,941,968,0,4683,2301,0,5181
11,3550,168,169,0,1350,45,0,62
12,1771,855,876,0,4253,593,0,317
13,877,783,801,0,4560,2101,0,1429
14,4565,772,791,0,1656,2361,0,3066
15,1342,415,416,0,1485,2191,0,4315
16,3086,752,770,0,2868,1255,0,1441
17,241,580,598,0,509,1041,0,201
18,3438,1099,1127,0,3471,1735,0,2203
19,3355,603,622,0,4655,1738,0,4425
20,399,406,404,0,475,1317,0,185
21,3533,772,791,0,2328,2361,0,3166
22,670,1504,1546,0,780,2013,0,4096
23,1010,1244,1279,0,1688,2068,0,5239
24,822,1723,1767,0,732,529,1,910
25,3227,953,980,0,3058,2361,0,3863
26,1950,819,840,0,2776,2361,0,1898
27,1966,772,791,0,2001,2361,0,4825
28,2831,771,789,0,2060,2361,0,2999
29,76,819,840,0,1318,2361,0,3471
30,1889,630,645,0,982,1689,0,4416
31,1173,1616,1652,0,844,8,0,861
32,3965,660,680,0,73,659,0,2851
33,2981,699,720,0,2806,2361,0,4574
34,938,1513,1551,0,4688,1761,0,2335
35,1211,561,578,0,2456,212,0,216
36,397,1379,1412,0,2867,1657,0,2419
37,3884,772,791,0,4327,2361,0,1730
38,564,915,937,0,778,2150,0,3780
39,892,1373,1405,0,886,487,0,3991
40,4512,772,791,0,3395,2361,0,4638
41,2871,635,657,0,2107,335,0,4531
42,1714,1472,1513,0,3883,562,0,4136
43,1513,1355,1389,0,4301,151,0,501
44,3684,627,644,0,3732,1803,0,4520
45,3253,635,657,0,3079,2361,0,4535
46,4199,819,840,0,3877,2361,0,3540
47,1451,936,962,0,1118,1328,0,410
48,2808,770,787,0,751,624,0,264
49,1835,889,915,0,763,241,0,2187
50,1788,1376,1410,0,1729,2302,0,2346
51,2055,1618,1656,0,566,2087,0,2442
52,2249,819,840,0,3791,2361,0,3556
53,624,1497,1538,0,3941,1776,0,572
54,3578,772,791,0,3240,2361,0,3146
55,752,1748,1793,0,573,2011,0,3965
56,415,1473,1527,0,3424,79,0,4078
57,703,58,58,0,717,1783,0,9
58,1321,1150,1180,0,1374,1213,0,2246
59,732,1298,1332,0,874,645,0,551
60,3703,1502,1542,0,565,773,0,4114
61,858,1621,1659,0,1068,1645,0,702
62,1536,1226,1262,0,1398,54,0,3971
63,24,512,527,0,1774,1390,0,2697
64,3520,1681,1722,0,117,1190,0,4192
65,2523,772,791,0,2549,2361,0,3033
66,3301,819,840,0,4455,2361,0,1878
67,467,378,380,0,531,154,0,182
68,4811,772,791,0,2148,2361,0,1564
69,4623,599,617,0,3889,1497,0,4435
70,4097,819,840,0,3404,2361,0,2019
71,539,999,1022,0,542,618,0,5160
72,4125,772,791,0,2711,2361,0,1667
73,3773,772,791,0,3336,2361,0,1735
74,1117,84,84,0,1627,1867,0,4229
75,3386,627,644,0,3380,2361,0,4516
76,2507,820,841,0,3868,2361,0,5126
77,2297,772,791,0,1990,2361,0,3134
78,3164,819,840,0,3112,2361,0,3441
79,1,272,272,0,781,1059,0,118
80,1210,288,288,0,46,564,0,4260
81,3668,640,664,0,1044,1114,0,1342
82,4010,1003,1027,0,4600,1650,0,2133
83,2152,819,840,0,3785,2361,0,3452
84,3190,820,841,0,3000,2361,0,3720
85,1446,576,593,0,2436,1821,0,2634
86,1302,897,921,0,4559,575,0,362
87,2928,820,841,0,3028,2361,0,2078
88,4288,772,791,0,2268,2361,0,1489
89,1563,1786,1833,0,881,1697,0,5263
90,4539,772,791,0,1522,2361,0,1606
91,3975,819,840,0,2704,2361,0,5019
92,4314,838,861,0,1646,1536,0,3366
93,4205,819,840,0,4181,2361,0,1848
94,905,1406,1443,0,5033,1936,0,2263
95,1415,373,375,0,798,931,0,1100
96,3983,772,791,0,4596,2361,0,1633
97,4839,819,840,0,3030,2361,0,1998
98,1908,1403,1437,0,4896,2049,0,754
99,40,772,791,0,1890,2361,0,3137
100,430,1736,1780,0,732,846,1,4226
101,787,819,840,0,4791,202,0,4400
102,3787,772,791,0,4393,2361,0,4715
103,578,1427,1465,0,4873,1262,0,4027
104,1398,1714,1753,0,1831,1407,0,596
105,1480,355,355,0,971,1142,0,166
106,2570,819,840,0,2699,2361,0,4979
107,1810,691,712,0,2858,2271,0,239
108,1290,928,952,0,2092,1470,0,5191
109,3783,772,791,0,1905,2361,0,1508
110,667,977,1005,0,1389,816,0,3836
111,1057,1078,1106,0,1475,827,0,5158
112,2118,612,633,0,1307,353,0,2813
113,1895,1380,1415,0,4160,274,0,4061
114,2173,772,791,0,4990,2361,0,4789
115,4234,819,840,0,3495,2361,0,3491
