row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,offers,page_url
0,3746,662,576,0,3893,0,0,0,5603
1,2017,2408,2259,0,2252,0,0,0,5078
2,199,1400,5080,0,4710,0,0,0,3630
3,5351,1893,1853,0,3181,0,0,0,4496
4,1324,3748,3577,0,5078,0,0,0,359
5,4536,3823,3653,0,494,0,0,0,582
6,4119,229,618,0,1149,0,0,0,2668
7,4645,319,248,0,3291,1,0,0,2845
8,4368,1716,1566,0,463,0,0,0,4517
9,656,1471,1341,0,487,0,0,0,3551
10,171,1848,1692,0,3435,0,0,0,3744
11,1812,113,60,0,2023,0,0,0,2590
12,3218,1784,1628,0,4423,0,0,0,4419
13,5062,3723,3551,0,3850,0,0,0,925
14,1558,434,356,0,1915,0,0,0,2877
15,1716,333,262,0,832,0,0,0,2832
16,3964,653,567,0,1214,0,0,0,3243
17,2479,201,143,0,3314,1,0,0,2679
18,1326,2552,2409,0,1205,1,0,0,4828
19,5138,2004,1845,0,1696,0,0,0,5660
20,3687,26,4663,0,3509,0,0,0,2428
21,1498,1618,1476,0,1014,0,0,0,3874
22,4758,3586,3445,0,1076,0,0,0,547
23,4027,2768,2638,0,1362,0,0,0,5344
24,3013,4007,3843,0,2833,0,0,0,1296
25,5384,497,472,0,4993,0,0,0,3073
26,563,4257,4089,0,4908,0,0,0,967
27,1377,3219,3055,0,357,0,0,0,264
28,3367,1311,1233,0,3727,0,0,0,3868
29,3388,2641,2498,0,1069,0,0,0,4735
30,96,583,499,0,3614,0,0,0,3180
31,2879,957,871,0,2755,0,0,0,3439
32,5162,3906,3733,0,4421,0,0,0,1242
33,2008,2279,2121,0,1884,0,0,0,4866
34,4856,1651,1501,0,4276,1,0,0,4408
35,2862,2077,1917,0,2751,0,0,0,4610
36,1475,1885,1732,0,3262,0,0,0,2889
37,5252,581,494,0,2868,0,0,0,3030
38,1993,1128,1036,0,1776,1,0,0,3808
39,3358,4288,4123,0,497,0,0,0,1071
40,3211,1864,1709,0,13,0,0,0,4589
41,2693,379,304,0,920,0,0,0,2868
42,2384,1951,1796,0,5185,0,0,0,4426
43,2180,4958,4815,0,705,0,0,0,2183
44,1918,3736,3566,0,1595,0,0,0,363
45,2996,3317,4060,0,2816,0,0,0,757
46,2766,2758,2625,0,2218,0,0,0,3727
47,3314,1760,1613,0,2193,1,0,0,4338
48,3466,2333,2179,0,2013,0,0,0,5015
49,296,3810,3651,0,3253,0,0,0,1368
50,1140,756,665,0,2489,0,0,0,5545
51,2091,2733,2597,0,2633,0,0,0,5697
52,88,726,638,0,3250,0,0,0,3340
53,459,3777,3607,0,199,0,0,0,718
54,2024,4077,3913,0,1816,0,0,0,1166
55,5450,609,524,0,1062,0,0,0,3031
56,2803,3222,3058,0,4188,0,0,0,330
