row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,organizer,url,mainentityofpage,page_url
0,9707,6529,6813,1,5960,0,0,1,0,0,15342
1,7537,2633,2776,0,604,0,0,0,0,0,17315
2,5809,583,571,0,3402,0,0,0,0,0,465
3,2453,6790,7081,1,2974,0,0,1,0,0,6552
4,8430,10523,11008,0,5114,0,0,0,0,0,3890
5,1634,8584,8959,0,4474,0,0,0,0,0,1858
6,9884,9054,9438,0,4374,0,0,0,0,0,4579
7,7148,4979,5228,0,5960,0,0,0,0,0,10850
8,3597,10482,10958,0,5120,0,0,0,0,0,2663
9,9322,8709,9077,0,2941,0,0,0,0,0,3960
10,1374,10330,10802,1,5960,0,0,0,0,0,7165
11,2054,3781,3991,0,5960,0,0,1,0,0,7587
12,2093,5422,5674,0,5960,0,0,1,0,0,7644
13,8282,10067,10512,1,5960,0,0,0,0,0,11382
14,184,11955,12430,0,5269,0,0,1,0,0,12978
15,2699,3608,3823,1,3218,0,0,0,0,0,15813
16,723,6501,6787,0,1512,0,0,0,0,0,16971
17,870,12184,12662,0,2898,0,0,1,0,0,14455
18,6679,12265,12747,0,5919,0,0,0,0,0,617
19,6166,11358,11857,0,5130,0,0,1,0,0,3153
20,10159,5907,6184,0,1117,0,0,1,0,0,5099
21,7791,2630,2771,0,691,0,0,0,0,0,5453
22,1081,6724,7018,0,5163,0,0,0,0,0,5511
23,2780,7005,7304,1,5960,0,0,1,0,0,8153
24,4609,2420,2539,0,5960,0,0,1,0,0,9626
25,6292,5385,5635,1,5960,0,0,1,0,0,10338
26,7027,7572,7884,1,2153,0,0,1,0,0,10727
27,3011,7556,7876,0,4612,0,0,1,0,0,2205
28,8537,8718,9088,0,4850,0,0,0,0,0,3935
29,6414,392,390,0,3648,0,0,1,0,0,16708
30,9687,4591,4830,0,2213,0,0,0,0,0,17497
31,8923,100,99,0,2352,0,0,1,0,0,899
32,10211,9442,9836,0,5191,0,0,0,0,0,4653
33,7685,7993,8327,1,2153,0,0,1,0,0,11139
34,9527,3856,4082,0,5960,0,0,1,0,0,11880
35,2930,711,719,0,1715,0,0,0,0,0,15343
36,1208,442,437,0,5597,0,0,0,0,0,17105
37,8854,4811,5049,0,1458,0,0,1,0,0,5899
38,3565,6759,7051,1,5789,0,0,1,0,0,6640
39,5016,5832,6103,0,391,0,0,1,0,0,8567
40,8300,2171,2270,0,4090,0,0,0,0,0,11392
41,2808,8661,9029,0,1684,0,0,0,0,0,229
42,6075,11910,12386,0,5512,0,0,0,0,0,554
43,3246,12072,12544,0,1928,0,0,1,0,0,2385
44,9902,7540,7852,0,5667,0,0,1,0,0,4590
45,5925,1789,1845,0,1062,0,0,0,0,0,16003
46,9732,10968,11489,0,4694,0,0,1,0,0,4481
47,7127,2111,2196,0,5960,0,0,1,0,0,10833
48,3750,5068,5324,0,4001,0,0,0,0,0,12675
49,7541,2867,3020,0,4740,0,0,0,0,0,14111
50,871,9082,9464,0,5960,0,0,1,0,0,14533
51,9468,11490,11980,0,2151,0,0,1,0,0,15218
52,3195,11942,12417,1,2639,0,0,0,0,0,17790
53,7216,5225,5479,1,5960,0,0,1,0,0,6323
54,1184,6096,6376,0,928,0,0,1,0,0,5853
55,10396,11223,11727,0,4380,0,0,0,0,0,4760
56,9928,558,546,0,5960,0,0,1,0,0,16893
57,2525,11875,12353,0,3418,0,0,0,0,0,3656
58,3346,9306,9685,0,3177,0,0,1,0,0,2465
59,2577,4325,4573,1,5960,0,0,1,0,0,7960
60,875,7295,7598,0,5416,0,0,0,0,0,1415
61,3092,8146,8485,1,701,0,0,1,0,0,2318
62,7513,10970,11485,0,5544,0,0,0,0,0,3583
63,1762,735,736,0,5960,0,0,1,0,0,7407
64,4984,4765,5004,0,5960,0,0,0,0,0,8537
65,5045,4889,5129,0,5960,0,0,0,0,0,8597
66,10379,12005,12478,1,2212,0,0,1,0,0,17566
67,2088,4769,5006,0,5960,0,0,0,0,0,7636
68,1031,10072,10519,0,1041,0,0,1,0,0,14548
69,1686,3269,3448,0,4398,0,0,0,0,0,5141
70,7454,1699,1754,0,3380,0,0,1,0,0,5243
71,4150,2226,2321,0,5960,0,0,1,0,0,8995
72,7031,2099,2183,0,3720,0,0,1,0,0,10733
73,3817,5594,5858,0,5960,0,0,1,0,0,8775
74,2942,415,412,0,1712,0,0,1,0,0,5261
75,6214,3648,3863,1,5749,0,0,1,0,0,10307
76,7237,8681,9050,0,5216,0,0,0,0,0,3406
77,590,4126,4482,0,4826,0,0,0,0,0,5495
78,3889,3237,3411,0,5960,0,0,1,0,0,8841
79,4936,5329,5581,1,2131,0,0,1,0,0,8507
80,10296,8796,9168,0,2555,0,0,0,0,0,4688
81,123,164,166,1,3584,0,0,1,0,0,14228
82,3092,8062,8404,1,701,0,0,1,0,0,2307
83,7496,9596,10006,1,5960,0,0,0,0,0,11037
84,9473,3647,3870,1,2452,0,0,1,0,0,17838
85,4648,2513,2644,0,5960,0,0,1,0,0,9682
86,4802,5548,5810,0,5960,0,0,1,0,0,9876
