row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,image,offers,organizer,page_url
0,404,311,309,0,547,0,0,0,0,1,898
1,111,311,309,0,853,0,0,0,0,1,898
2,280,324,322,1,1295,0,0,0,0,1,898
3,404,324,322,0,525,0,0,0,0,1,898
4,215,314,312,1,1464,0,0,0,0,0,898
5,111,316,314,0,900,0,0,0,0,1,898
6,216,313,311,1,1362,0,0,0,0,0,898
7,216,318,316,1,1380,0,0,0,0,0,898
8,111,320,318,0,947,0,0,0,0,1,898
9,419,317,315,0,1153,0,0,0,0,0,898
10,216,326,324,1,1416,0,0,0,0,0,898
11,419,325,323,0,1247,0,0,0,0,0,898
12,215,319,317,1,1482,0,0,0,0,0,898
13,215,323,321,1,1500,0,0,0,0,0,898
14,216,322,320,1,1398,0,0,0,0,0,898
15,404,316,314,0,489,0,0,0,0,1,898
16,153,314,312,1,810,0,0,0,0,0,898
17,404,320,318,0,507,0,0,0,0,1,898
18,152,314,312,1,588,0,0,0,0,1,898
19,419,312,310,0,1106,0,0,0,0,0,898
20,419,321,319,0,1200,0,0,0,0,0,898
21,492,310,308,1,1314,0,0,0,0,0,898
22,111,324,322,0,994,0,0,0,0,1,898
23,393,302,300,1,247,0,0,0,0,1,510
24,280,324,322,1,1295,0,0,0,0,1,940
25,492,310,308,1,1314,0,0,0,0,0,940
26,216,326,324,1,1416,0,0,0,0,0,940
27,419,317,315,0,1153,0,0,0,0,0,940
28,216,322,320,1,1398,0,0,0,0,0,940
29,215,314,312,1,1464,0,0,0,0,0,940
30,419,312,310,0,1106,0,0,0,0,0,940
31,216,318,316,1,1380,0,0,0,0,0,940
32,404,311,309,0,547,0,0,0,0,1,940
33,216,313,311,1,1362,0,0,0,0,0,940
34,111,324,322,0,994,0,0,0,0,1,940
35,111,311,309,0,853,0,0,0,0,1,940
36,111,316,314,0,900,0,0,0,0,1,940
37,404,320,318,0,507,0,0,0,0,1,940
38,111,320,318,0,947,0,0,0,0,1,940
39,215,319,317,1,1482,0,0,0,0,0,940
40,419,321,319,0,1200,0,0,0,0,0,940
41,215,323,321,1,1500,0,0,0,0,0,940
42,419,325,323,0,1247,0,0,0,0,0,940
43,153,314,312,1,810,0,0,0,0,0,940
44,404,324,322,0,525,0,0,0,0,1,940
45,152,314,312,1,588,0,0,0,0,1,940
46,404,316,314,0,489,0,0,0,0,1,940
47,485,70,65,1,64,0,0,0,0,1,614
48,170,260,259,1,164,0,0,1,0,1,247
49,37,359,356,0,52,0,0,0,0,1,94
50,111,336,333,0,1025,0,0,0,0,1,12
51,419,358,355,0,1249,0,0,0,0,0,12
52,60,336,332,1,764,0,0,0,0,1,12
53,419,337,334,0,1061,0,0,0,0,0,12
54,60,335,333,1,735,0,0,0,0,1,12
55,111,349,346,0,902,0,0,0,0,1,12
56,216,339,336,1,1317,0,0,0,0,0,12
57,215,341,338,1,1419,0,0,0,0,0,12
58,60,335,333,1,706,0,0,0,0,1,12
59,419,350,347,0,1155,0,0,0,0,0,12
60,56,353,349,0,813,0,0,0,0,1,12
61,419,355,351,0,1202,0,0,0,0,0,12
62,419,344,341,0,1108,0,0,0,0,0,12
63,111,357,354,0,996,0,0,0,0,1,12
64,111,354,350,0,949,0,0,0,0,1,12
65,111,343,340,0,855,0,0,0,0,1,12
66,396,201,199,0,598,0,0,0,0,1,515
67,385,214,212,0,214,0,0,0,0,1,500
68,545,35,34,0,47,0,0,0,0,1,678
69,111,354,350,0,842,0,0,1,0,1,2
70,419,337,334,0,1060,0,0,1,0,0,2
71,216,339,336,1,1316,0,0,1,0,0,2
72,419,350,347,0,1060,0,0,1,0,0,2
73,404,349,346,0,472,0,0,1,0,1,2
74,419,358,355,0,1060,0,0,1,0,0,2
75,404,354,350,0,472,0,0,1,0,1,2
76,215,341,338,1,1418,0,0,1,0,0,2
77,404,343,340,0,472,0,0,1,0,1,2
78,111,349,346,0,842,0,0,1,0,1,2
79,419,344,341,0,1060,0,0,1,0,0,2
80,60,335,333,1,705,0,0,1,0,1,2
81,111,357,354,0,842,0,0,1,0,1,2
82,404,357,354,0,472,0,0,1,0,1,2
83,419,355,351,0,1060,0,0,1,0,0,2
84,111,336,333,0,842,0,0,1,0,1,2
85,404,336,333,0,472,0,0,1,0,1,2
86,56,353,349,0,812,0,0,1,0,1,2
87,111,343,340,0,842,0,0,1,0,1,2
88,60,336,332,1,705,0,0,1,0,1,2
89,216,339,336,1,1339,0,0,0,0,0,47
90,56,353,349,0,828,0,0,0,0,1,47
91,419,350,347,0,1170,0,0,0,0,0,47
92,215,341,338,1,1441,0,0,0,0,0,47
93,111,354,350,0,964,0,0,0,0,1,47
94,419,355,351,0,1217,0,0,0,0,0,47
95,111,343,340,0,877,0,0,0,0,1,47
96,419,344,341,0,1130,0,0,0,0,0,47
97,419,337,334,0,1083,0,0,0,0,0,47
98,111,357,354,0,1011,0,0,0,0,1,47
99,60,336,332,1,786,0,0,0,0,1,47
100,111,349,346,0,924,0,0,0,0,1,47
101,419,358,355,0,1264,0,0,0,0,0,47
102,60,335,333,1,757,0,0,0,0,1,47
103,111,336,333,0,1047,0,0,0,0,1,47
104,60,335,333,1,728,0,0,0,0,1,47
105,111,357,354,0,1011,0,0,0,0,1,42
106,60,335,333,1,757,0,0,0,0,1,42
107,60,335,333,1,728,0,0,0,0,1,42
108,419,358,355,0,1264,0,0,0,0,0,42
109,419,355,351,0,1217,0,0,0,0,0,42
110,419,350,347,0,1170,0,0,0,0,0,42
111,111,343,340,0,877,0,0,0,0,1,42
112,419,344,341,0,1130,0,0,0,0,0,42
113,111,349,346,0,924,0,0,0,0,1,42
114,60,336,332,1,786,0,0,0,0,1,42
115,419,337,334,0,1083,0,0,0,0,0,42
116,215,341,338,1,1441,0,0,0,0,0,42
117,111,336,333,0,1047,0,0,0,0,1,42
118,111,354,350,0,964,0,0,0,0,1,42
119,216,339,336,1,1339,0,0,0,0,0,42
120,56,353,349,0,828,0,0,0,0,1,42
121,212,22,22,0,392,0,0,0,0,1,290
122,285,263,262,0,135,0,0,0,0,1,370
123,82,33,32,0,307,0,0,0,0,1,144
124,419,350,347,0,1181,0,0,0,0,0,739
125,419,337,334,0,1087,0,0,0,0,0,739
126,111,354,350,0,975,0,0,0,0,1,739
127,60,335,333,1,732,0,0,0,0,1,739
128,216,339,336,1,1343,0,0,0,0,0,739
129,215,341,338,1,1445,0,0,0,0,0,739
130,111,357,354,0,1022,0,0,0,0,1,739
131,56,353,349,0,839,0,0,0,0,1,739
132,419,358,355,0,1275,0,0,0,0,0,739
133,111,343,340,0,881,0,0,0,0,1,739
134,60,335,333,1,761,0,0,0,0,1,739
135,60,336,332,1,790,0,0,0,0,1,739
136,419,355,351,0,1228,0,0,0,0,0,739
137,111,336,333,0,1051,0,0,0,0,1,739
138,419,344,341,0,1134,0,0,0,0,0,739
139,111,349,346,0,928,0,0,0,0,1,739
140,92,340,337,1,376,0,0,1,0,1,160
141,419,325,323,0,1247,0,0,0,0,0,8
142,419,321,319,0,1200,0,0,0,0,0,8
143,153,314,312,1,810,0,0,0,0,0,8
144,404,316,314,0,489,0,0,0,0,1,8
145,216,326,324,1,1416,0,0,0,0,0,8
146,280,324,322,1,1295,0,0,0,0,1,8
147,111,320,318,0,947,0,0,0,0,1,8
148,216,318,316,1,1380,0,0,0,0,0,8
149,215,323,321,1,1500,0,0,0,0,0,8
150,404,320,318,0,507,0,0,0,0,1,8
151,111,311,309,0,853,0,0,0,0,1,8
152,404,324,322,0,525,0,0,0,0,1,8
153,111,324,322,0,994,0,0,0,0,1,8
154,215,314,312,1,1464,0,0,0,0,0,8
155,111,316,314,0,900,0,0,0,0,1,8
156,216,313,311,1,1362,0,0,0,0,0,8
157,419,312,310,0,1106,0,0,0,0,0,8
158,215,319,317,1,1482,0,0,0,0,0,8
159,216,322,320,1,1398,0,0,0,0,0,8
160,152,314,312,1,588,0,0,0,0,1,8
161,492,310,308,1,1314,0,0,0,0,0,8
162,419,317,315,0,1153,0,0,0,0,0,8
163,404,311,309,0,547,0,0,0,0,1,8
164,2,293,292,1,38,0,0,0,0,1,86
165,111,349,346,0,924,0,0,0,0,1,817
166,419,350,347,0,1170,0,0,0,0,0,817
167,111,336,333,0,1047,0,0,0,0,1,817
168,419,358,355,0,1264,0,0,0,0,0,817
169,60,335,333,1,728,0,0,0,0,1,817
170,419,344,341,0,1130,0,0,0,0,0,817
171,111,343,340,0,877,0,0,0,0,1,817
172,60,336,332,1,786,0,0,0,0,1,817
173,56,353,349,0,828,0,0,0,0,1,817
174,60,335,333,1,757,0,0,0,0,1,817
175,419,337,334,0,1083,0,0,0,0,0,817
176,419,355,351,0,1217,0,0,0,0,0,817
177,215,341,338,1,1441,0,0,0,0,0,817
178,111,354,350,0,964,0,0,0,0,1,817
179,111,357,354,0,1011,0,0,0,0,1,817
180,216,339,336,1,1339,0,0,0,0,0,817
181,111,336,333,0,1025,0,0,0,0,1,26
182,216,339,336,1,1317,0,0,0,0,0,26
183,419,337,334,0,1061,0,0,0,0,0,26
184,60,335,333,1,706,0,0,0,0,1,26
185,419,355,351,0,1202,0,0,0,0,0,26
186,111,354,350,0,949,0,0,0,0,1,26
187,215,341,338,1,1419,0,0,0,0,0,26
188,60,335,333,1,735,0,0,0,0,1,26
189,60,336,332,1,764,0,0,0,0,1,26
190,419,358,355,0,1249,0,0,0,0,0,26
191,419,344,341,0,1108,0,0,0,0,0,26
192,56,353,349,0,813,0,0,0,0,1,26
193,111,357,354,0,996,0,0,0,0,1,26
194,419,350,347,0,1155,0,0,0,0,0,26
195,111,343,340,0,855,0,0,0,0,1,26
196,111,349,346,0,902,0,0,0,0,1,26
197,303,131,125,1,433,0,0,0,0,1,395
198,54,171,166,0,128,0,0,0,0,1,112
199,408,167,161,0,270,0,0,0,0,1,528
200,222,16,15,0,398,0,0,0,0,1,300
201,67,228,225,1,425,0,0,0,0,0,127
202,419,344,341,0,1131,0,0,0,0,0,740
203,419,355,351,0,1225,0,0,0,0,0,740
204,111,336,333,0,1048,0,0,0,0,1,740
205,56,353,349,0,836,0,0,0,0,1,740
206,216,339,336,1,1340,0,0,0,0,0,740
207,111,354,350,0,972,0,0,0,0,1,740
208,60,335,333,1,729,0,0,0,0,1,740
209,419,358,355,0,1272,0,0,0,0,0,740
210,60,335,333,1,758,0,0,0,0,1,740
211,111,357,354,0,1019,0,0,0,0,1,740
212,60,336,332,1,787,0,0,0,0,1,740
213,111,343,340,0,878,0,0,0,0,1,740
214,419,350,347,0,1178,0,0,0,0,0,740
215,111,349,346,0,925,0,0,0,0,1,740
216,215,341,338,1,1442,0,0,0,0,0,740
217,419,337,334,0,1084,0,0,0,0,0,740
218,152,314,312,1,583,0,0,0,0,1,742
219,215,314,312,1,1459,0,0,0,0,0,742
220,216,326,324,1,1411,0,0,0,0,0,742
221,419,325,323,0,1242,0,0,0,0,0,742
222,419,317,315,0,1148,0,0,0,0,0,742
223,280,324,322,1,1290,0,0,0,0,1,742
224,111,320,318,0,942,0,0,0,0,1,742
225,492,310,308,1,1309,0,0,0,0,0,742
226,404,324,322,0,520,0,0,0,0,1,742
227,111,316,314,0,895,0,0,0,0,1,742
228,404,316,314,0,484,0,0,0,0,1,742
229,216,322,320,1,1393,0,0,0,0,0,742
230,216,313,311,1,1357,0,0,0,0,0,742
231,419,312,310,0,1101,0,0,0,0,0,742
232,215,319,317,1,1477,0,0,0,0,0,742
233,404,320,318,0,502,0,0,0,0,1,742
234,404,311,309,0,542,0,0,0,0,1,742
235,153,314,312,1,805,0,0,0,0,0,742
236,419,321,319,0,1195,0,0,0,0,0,742
237,111,324,322,0,989,0,0,0,0,1,742
238,216,318,316,1,1375,0,0,0,0,0,742
239,215,323,321,1,1495,0,0,0,0,0,742
240,111,311,309,0,848,0,0,0,0,1,742
241,136,190,187,0,345,0,0,0,0,1,211
242,302,274,273,0,351,0,0,0,0,1,391
243,104,55,52,0,319,0,0,0,0,1,177
244,383,339,336,0,668,0,0,1,0,1,495
245,320,160,155,0,93,0,0,0,0,1,427
246,71,48,46,0,664,0,0,0,0,1,131
247,444,92,85,0,632,0,0,0,0,1,565
248,188,163,157,0,259,0,0,0,0,1,265
249,60,336,332,1,792,0,0,0,0,1,871
250,56,353,349,0,841,0,0,0,0,1,871
251,111,354,350,0,977,0,0,0,0,1,871
252,111,343,340,0,883,0,0,0,0,1,871
253,216,339,336,1,1345,0,0,0,0,0,871
254,419,358,355,0,1277,0,0,0,0,0,871
255,215,341,338,1,1447,0,0,0,0,0,871
256,419,350,347,0,1183,0,0,0,0,0,871
257,419,344,341,0,1136,0,0,0,0,0,871
258,111,357,354,0,1024,0,0,0,0,1,871
259,60,335,333,1,763,0,0,0,0,1,871
260,419,355,351,0,1230,0,0,0,0,0,871
261,60,335,333,1,734,0,0,0,0,1,871
262,111,336,333,0,1053,0,0,0,0,1,871
263,111,349,346,0,930,0,0,0,0,1,871
264,419,337,334,0,1089,0,0,0,0,0,871
265,111,354,350,0,964,0,0,0,0,1,813
266,111,357,354,0,1011,0,0,0,0,1,813
267,60,336,332,1,786,0,0,0,0,1,813
268,215,341,338,1,1441,0,0,0,0,0,813
269,419,344,341,0,1130,0,0,0,0,0,813
270,419,337,334,0,1083,0,0,0,0,0,813
271,56,353,349,0,828,0,0,0,0,1,813
272,60,335,333,1,728,0,0,0,0,1,813
273,419,350,347,0,1170,0,0,0,0,0,813
274,419,355,351,0,1217,0,0,0,0,0,813
275,111,343,340,0,877,0,0,0,0,1,813
276,60,335,333,1,757,0,0,0,0,1,813
277,216,339,336,1,1339,0,0,0,0,0,813
278,111,336,333,0,1047,0,0,0,0,1,813
279,111,349,346,0,924,0,0,0,0,1,813
